#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi    ft
2007 01 01 00 00  26 12.6 14.7  2.55  6.67  5.22 356 1015.7  23.3  24.6 999.0 99.0 99.00
2007 01 01 01 00  33 12.2 14.2  2.63  7.69  5.37  23 1016.4  23.3  24.6 999.0 99.0 99.00
2007 01 01 04 00  34 10.9 13.1 99.00 99.00 99.00 999 1018.3  23.4  24.5 999.0 99.0 99.00
2007 01 01 05 00  16 13.2 15.8  2.49  8.33  5.48  27 1017.8  22.4  24.4 999.0 99.0 99.00
2007 05 23 04 00 112  6.9  8.1  1.04  6.67  4.80  69 1012.1 -70.7  27.3 999.0 99.0 99.00
2007 05 23 05 00 108  8.2  9.5  1.17  7.14  4.69  68 9999.0  27.4  27.3 999.0 99.0 99.00
2007 05 23 06 00 104  9.1 10.0  1.22  6.67  4.69  68 9999.0  27.3  27.2 999.0 99.0 99.00
2007 05 23 07 00 112  9.2 10.8  1.22  6.25  4.61  71 9999.0  27.5  27.2 999.0 99.0 99.00
2007 05 23 08 00 117 10.6 12.4  1.20  5.88  4.52  69 9999.0  27.6  27.2 999.0 99.0 99.00
2007 05 23 09 00 117 10.3 11.9  1.37  5.26  4.35  81 9999.0  27.5  27.1 999.0 99.0 99.00
2007 05 23 10 00 106 11.0 12.4  1.41  5.56  4.44  75 9999.0  27.5  27.1 999.0 99.0 99.00
2007 05 23 11 00 111 11.7 13.6  1.44  5.00  4.39  83 1010.8  27.3  27.1 999.0 99.0 99.00
2007 05 23 12 00 106 10.5 12.2  1.58  6.25  4.63  72 1010.9  27.4  27.1 999.0 99.0 99.00
2007 05 23 13 00 103 10.7 12.3  1.50  6.25  4.60  73 1011.6  27.5  27.1 999.0 99.0 99.00
2007 05 23 14 00 106  9.2 10.8  1.54  6.67  4.59  79 1012.0  27.7  27.2 999.0 99.0 99.00
2007 05 23 15 00 105  8.8 10.2  1.57  6.25  4.79  76 1012.4  28.0  27.2 999.0 99.0 99.00
2007 05 23 16 00 110  9.1 10.6  1.70  6.67  4.97  73 1012.2  28.1  27.3 999.0 99.0 99.00
2007 05 23 17 00 116  9.3 11.1  1.83  7.14  5.15  76 1012.6  28.3  27.4 999.0 99.0 99.00
2007 05 23 18 00 113  9.4 10.6  1.97  7.14  5.40  71 1012.6  28.5  27.4 999.0 99.0 99.00
2007 05 23 19 00 112 10.5 12.6  1.95  6.67  5.18  80 1012.0  28.2  27.4 999.0 99.0 99.00
2007 05 23 20 00 117  9.6 10.9  1.89  7.69  5.34  67 1011.8  28.1  27.4 999.0 99.0 99.00
2007 05 23 21 00 109  8.4  9.4  1.92  7.69  5.48  76 1011.7  28.0  27.5 999.0 99.0 99.00
2007 05 23 22 00 104  8.9 10.2  1.91  7.14  5.69  74 1011.1  27.8  27.5 999.0 99.0 99.00
2007 05 23 23 00 106  7.6  8.6  1.74  7.69  5.37  69 1011.2  27.5  27.5 999.0 99.0 99.00
2007 05 24 00 00  95  8.5 10.1  1.55  7.69  5.34  72 1011.1  27.7  27.5 999.0 99.0 99.00
2007 05 24 01 00  87  9.1 10.4  1.59  7.14  5.28  71 1011.6  27.4  27.5 999.0 99.0 99.00
2007 05 24 02 00  93  8.9 10.3  1.47  6.67  5.05  66 1012.3  27.5  27.4 999.0 99.0 99.00
2007 05 24 03 00  84  9.8 11.5  1.51  7.14  5.28  76 1013.2  27.5  27.4 999.0 99.0 99.00
2007 05 24 04 00  90 10.8 12.9  1.61  7.14  5.15  76 1013.3  27.4  27.4 999.0 99.0 99.00
2007 05 24 05 00  95 10.8 12.8  1.50  7.14  4.91  69 1013.5  27.4  27.3 999.0 99.0 99.00
2007 05 24 06 00  93 10.5 12.4  1.75  6.25  5.12  75 1013.4  27.5  27.3 999.0 99.0 99.00
2007 05 24 07 00  91 11.0 13.0  1.85  6.67  4.92  68 1013.3  27.4  27.3 999.0 99.0 99.00
2007 05 24 08 00  94 11.3 14.4  1.87  6.67  5.07  69 1013.0  27.4  27.3 999.0 99.0 99.00
2007 05 24 09 00  96 11.6 13.4  2.05  6.67  5.31  73 1012.7  27.4  27.3 999.0 99.0 99.00
2007 05 24 10 00 102 12.0 13.9  2.15  7.14  5.51  73 1012.4  27.4  27.3 999.0 99.0 99.00
2007 05 24 11 00 105 10.2 12.1  2.23  6.67  5.30  79 1012.7  27.4  27.3 999.0 99.0 99.00
2007 05 24 12 00 100 10.6 12.2  2.07  6.67  5.16  73 1013.1  27.4  27.3 999.0 99.0 99.00
2007 05 24 13 00  97  9.9 11.9  2.14  7.14  5.24  73 1013.8  27.7  27.3 999.0 99.0 99.00
2007 05 24 14 00  98 10.2 11.9  1.96  7.14  5.07  67 1014.3  27.8  27.2 999.0 99.0 99.00
2007 05 24 15 00 102  9.9 11.9  1.95  7.14  5.23  71 1014.5  27.9  27.2 999.0 99.0 99.00
2007 05 24 16 00 101  9.9 11.6  2.04  7.14  5.19  75 1014.7  27.8  27.2 999.0 99.0 99.00
2007 05 24 17 00  94  8.5  9.8  2.08  7.69  5.22  72 1015.3  27.9  27.2 999.0 99.0 99.00
2007 05 24 18 00  95  7.9  9.2  2.05  7.69  5.37  64 1015.1  27.9  27.3 999.0 99.0 99.00
2007 05 24 19 00  91  8.5  9.8  1.93  8.33  5.43  63 1014.6  27.9  27.4 999.0 99.0 99.00
2007 05 24 20 00  89  8.9 10.5  1.95  7.69  5.67  71 1014.1  27.9  27.4 999.0 99.0 99.00
2007 05 24 21 00  87  9.1 10.6  1.88  7.69  5.47  72 1013.7  27.9  27.4 999.0 99.0 99.00
2007 05 24 22 00  82  9.4 10.9  1.85  7.69  5.45  74 1013.2  27.9  27.4 999.0 99.0 99.00
2007 05 24 23 00  84  9.5 11.0  1.79  7.69  5.32  75 1012.9  27.9  27.4 999.0 99.0 99.00
2007 05 25 00 00  84  9.9 11.3  1.81  7.14  5.37  72 1012.9  27.9  27.4 999.0 99.0 99.00
2007 05 25 01 00  84  9.5 11.1  1.61  8.33  5.25  72 1013.4  27.4  27.4 999.0 99.0 99.00
2007 05 25 02 00  82 10.2 11.5  1.70  7.69  5.38  73 1014.1  27.3  27.4 999.0 99.0 99.00
2007 05 25 03 00  87  9.9 12.2  1.72  7.69  5.36  75 1014.4  27.4  27.3 999.0 99.0 99.00
2007 05 25 04 00  87  9.6 11.2  1.67  8.33  5.20  74 1014.9  27.4  27.3 999.0 99.0 99.00
2007 05 25 05 00  84 10.2 12.2  1.67  7.14  5.27  67 1015.2  27.4  27.3 999.0 99.0 99.00
2007 05 25 06 00  93 10.1 11.8  1.84  8.33  5.39  68 1015.1  27.3  27.3 999.0 99.0 99.00
2007 05 25 07 00  93 10.0 11.6  1.93  8.33  5.61  67 1015.1  27.3  27.3 999.0 99.0 99.00
2007 05 25 08 00  93  9.2 11.7  1.85  7.69  5.49  80 1014.6  27.3  27.3 999.0 99.0 99.00
2007 05 25 09 00 100  9.6 10.7  1.98  9.09  5.47  69 1014.6  27.4  27.3 999.0 99.0 99.00
2007 05 25 10 00  91  9.9 11.4  1.99  6.67  5.49  76 1014.4  27.3  27.2 999.0 99.0 99.00
2007 05 25 11 00  88  9.0 10.9  2.09  8.33  5.65  72 1014.4  27.3  27.2 999.0 99.0 99.00
2007 05 25 12 00  92  9.7 11.6  2.26  8.33  5.69  69 1014.9  27.2  27.2 999.0 99.0 99.00
2007 05 25 13 00  95 10.1 11.8  2.09  6.67  5.60  65 1015.2  27.6  27.2 999.0 99.0 99.00
2007 05 25 14 00  96  9.6 10.9  2.31  8.33  5.69  63 1015.7  27.7  27.2 999.0 99.0 99.00
2007 05 25 15 00 102  9.7 11.2  2.36  7.14  5.80  70 1015.9  27.7  27.3 999.0 99.0 99.00
2007 05 25 16 00 104  9.8 11.3  2.22  9.09  5.57  75 1016.1  27.8  27.3 999.0 99.0 99.00
2007 05 25 17 00 107  8.7 10.4  2.24  7.14  5.66  61 1016.0  27.7  27.3 999.0 99.0 99.00
2007 05 25 18 00 106  8.8 10.0  2.16  9.09  5.75  77 1015.8  27.7  27.4 999.0 99.0 99.00
2007 05 25 19 00 112  8.3 10.3  2.10  7.69  5.51  74 1015.3  27.8  27.4 999.0 99.0 99.00
2007 05 25 20 00 103  8.5  9.8  2.07  7.69  5.50  71 1014.7  27.7  27.4 999.0 99.0 99.00
2007 05 25 21 00  95  8.1  9.3  1.82  9.09  5.27  76 1014.3  27.8  27.4 999.0 99.0 99.00
2007 05 25 22 00  95  7.6  9.0  2.10  7.69  5.70  65 1013.8  27.9  27.5 999.0 99.0 99.00
2007 05 25 23 00  94  8.0  9.0  1.77  7.69  5.61  80 1013.5  27.8  27.5 999.0 99.0 99.00
2007 05 26 00 00  93  8.3  9.8  1.68  8.33  5.52  72 1013.3  27.7  27.5 999.0 99.0 99.00
2007 05 26 01 00  82  8.9 10.5  1.73  9.09  5.79  69 1013.5  27.2  27.5 999.0 99.0 99.00
2007 05 26 02 00  84  9.4 10.9  1.67  8.33  5.49  75 1014.3  27.2  27.4 999.0 99.0 99.00
2007 05 26 03 00  85  9.7 11.5  1.67  9.09  5.55  69 1014.8  27.2  27.4 999.0 99.0 99.00
2007 05 26 04 00  87  9.7 11.6  1.88  7.69  5.69  69 1015.1  27.2  27.4 999.0 99.0 99.00
2007 05 26 05 00  86  9.6 11.2  1.75  8.33  5.47  69 1014.9  27.1  27.4 999.0 99.0 99.00
2007 05 26 06 00  83  9.3 11.4  1.91  9.09  5.64  68 1014.7  27.0  27.3 999.0 99.0 99.00
2007 05 26 07 00  83  9.3 11.2  1.95  8.33  5.71  69 1014.1  27.0  27.3 999.0 99.0 99.00
2007 05 26 08 00  76  9.3 11.2  1.95  8.33  5.48  72 1014.0  26.8  27.3 999.0 99.0 99.00
2007 05 26 09 00  89  8.3 10.4  2.03  8.33  5.65  64 1014.2  26.9  27.3 999.0 99.0 99.00
2007 05 26 10 00  94  7.9  9.2  1.90  6.67  5.68  62 1014.2  27.0  27.3 999.0 99.0 99.00
2007 05 26 11 00 106  8.7 10.1  2.02  7.69  5.83  62 1014.4  27.0  27.3 999.0 99.0 99.00
2007 05 26 12 00 106  8.3  9.5  1.85  8.33  5.61  62 1014.5  27.0  27.3 999.0 99.0 99.00
2007 05 26 13 00 104  7.7  8.8  1.83  9.09  5.66  74 1014.9  27.1  27.3 999.0 99.0 99.00
2007 05 26 14 00 103  6.3  7.4  1.70  8.33  5.49  67 1015.5  27.6  27.3 999.0 99.0 99.00
2007 05 26 15 00 103  7.0  7.7  1.92  8.33  5.86  70 1015.8  27.5  27.3 999.0 99.0 99.00
2007 05 26 16 00 103  6.0  7.1  1.72  6.67  5.70  73 1016.2  27.7  27.4 999.0 99.0 99.00
2007 05 26 17 00 118  6.4 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2007 05 26 18 00 104  5.3 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2007 05 26 19 00  93  5.5  6.2  1.50  6.67  5.41  66 1014.9  27.4  27.5 999.0 99.0 99.00
2007 05 26 20 00 104  5.2  6.1  1.68  6.67  5.64  67 1014.5  27.4  27.5 999.0 99.0 99.00
2007 05 26 21 00  87  6.3  6.9  1.64  7.69  5.66  70 1013.7  27.2  27.4 999.0 99.0 99.00
2007 05 26 22 00  80  6.2  7.1  1.51  7.14  5.60  67 1013.4  27.4  27.4 999.0 99.0 99.00
2007 05 27 01 00  77  6.7  7.8  1.60  9.09  6.03  69 1013.0  27.0  27.3 999.0 99.0 99.00
2007 05 27 02 00  77  6.7  7.5  1.65  7.69  6.08  63 1013.3  26.9  27.3 999.0 99.0 99.00
2007 05 27 03 00  74  6.7  7.7  1.61  8.33  5.97  65 1013.9  27.0  27.3 999.0 99.0 99.00
2007 05 27 04 00  65  6.8  8.3  1.60  9.09  5.92  70 1014.6  27.0  27.3 999.0 99.0 99.00
2007 05 27 05 00  73  6.3  7.1  1.56  9.09  5.82  65 1014.9  27.1  27.3 999.0 99.0 99.00
2007 05 27 06 00  63  6.3  7.3  1.57  8.33  6.05  67 1015.1  27.1  27.3 999.0 99.0 99.00
2007 05 27 07 00  67  6.8  7.7  1.56  9.09  6.00  64 1014.4  27.0  27.3 999.0 99.0 99.00
2007 05 27 08 00  87  6.7  8.1  1.48  9.09  5.80  68 1013.4  26.8  27.3 999.0 99.0 99.00
2007 05 27 09 00  85  5.7  6.7  1.42  9.09  5.74  68 1013.0  26.8  27.3 999.0 99.0 99.00
2007 05 27 10 00  86  6.4  7.5  1.51  9.09  5.67  68 1012.7  26.7  27.3 999.0 99.0 99.00
2007 05 27 11 00  97  5.4  6.5  1.41  8.33  5.41  64 1012.8  26.8  27.3 999.0 99.0 99.00
2007 05 27 12 00  93  5.2  6.2  1.42  8.33  5.63  66 1013.4  26.9  27.3 999.0 99.0 99.00
2007 05 27 13 00  92  4.9  5.9  1.35  9.09  5.45  70 1014.2  27.4  27.3 999.0 99.0 99.00
2007 05 27 14 00  88  4.2  4.9  1.41  8.33  5.51  68 1014.6  27.5  27.3 999.0 99.0 99.00
2007 05 27 15 00 100  5.1  5.9  1.33  8.33  5.63  68 1014.9  27.5  27.4 999.0 99.0 99.00
2007 05 27 16 00  99  4.9  5.6  1.20  8.33  5.36  65 1015.1  27.7  27.4 999.0 99.0 99.00
2007 05 27 17 00  99  4.2  4.9  1.23  8.33  5.37  72 1014.9  27.7  27.6 999.0 99.0 99.00
2007 05 27 18 00  88  4.3  5.1  1.25  9.09  5.43  70 1014.2  27.9  27.7 999.0 99.0 99.00
2007 05 27 19 00  92  2.8  3.5  1.17  8.33  5.37  70 1014.3  28.1  27.8 999.0 99.0 99.00
2007 05 27 20 00  70  3.0  3.7  1.17  8.33  5.59  70 1013.5  27.9  27.8 999.0 99.0 99.00
2007 05 27 21 00  82  3.0  3.6  1.25  7.69  5.70  67 1012.9  27.9  28.0 999.0 99.0 99.00
2007 05 27 22 00  82  3.2  3.8  1.20  7.69  5.64  72 1012.5  28.1  28.0 999.0 99.0 99.00
2007 05 27 23 00  72  4.7  5.8  1.17  8.33  5.90  75 1011.8  28.1  27.9 999.0 99.0 99.00
2007 05 28 00 00  68  5.0  5.8  1.19  7.14  5.83  66 1011.8  27.9  27.8 999.0 99.0 99.00
2007 05 28 01 00  67  5.0  6.1  1.16  7.69  5.71  73 1012.1  27.3  27.7 999.0 99.0 99.00
2007 05 28 02 00  62  5.1  5.8  1.18  8.33  5.72  72 1012.8  27.2  27.6 999.0 99.0 99.00
2007 05 28 03 00  65  5.7  6.7  1.19  7.69  5.76  67 1013.1  27.2  27.5 999.0 99.0 99.00
2007 05 28 04 00  83  6.4  7.2  1.14  9.09  5.85  72 1014.1  27.2  27.5 999.0 99.0 99.00
2007 05 28 05 00  77  6.3  7.2  1.17  7.14  5.78  63 1014.6  27.2  27.4 999.0 99.0 99.00
2007 05 28 06 00  71  5.8  6.7  1.23  8.33  5.95  71 1014.2  27.1  27.4 999.0 99.0 99.00
2007 05 28 07 00  72  5.6  6.7  1.18  7.69  5.45  64 1013.8  27.1  27.4 999.0 99.0 99.00
