#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2008 12 31 23 50  63  4.6  5.6  0.53  3.13  3.80 999 1017.3  23.9  25.5 999.0 99.0 99.00
2009 01 01 00 50  74  4.4  5.2  0.46  5.88  3.69  64 1017.7  23.9  25.4 999.0 99.0 99.00
2009 01 01 01 50  68  4.9  5.6  0.48  5.88  3.78  61 1018.3  24.0  25.4 999.0 99.0 99.00
2009 01 01 02 50  72  5.4  6.6  0.46  5.56  3.61  55 1018.6  23.9  25.4 999.0 99.0 99.00
2009 01 01 03 50  62  5.4  6.3  0.50  5.56  3.46  52 1018.9  23.9  25.3 999.0 99.0 99.00
2009 01 01 04 50  65  4.9  5.4  0.46  4.17  3.42 999 1018.6  23.9  25.3 999.0 99.0 99.00
2009 01 01 05 50  71  4.5  5.4  0.44  4.35  3.53 999 1018.1  23.8  25.2 999.0 99.0 99.00
2009 01 01 06 50  61  3.5  4.2  0.48  6.67  3.71  68 1017.7  23.7  25.2 999.0 99.0 99.00
2009 01 01 07 50  71  3.3  4.1  0.45  4.17  3.76 999 1017.5  23.7  25.1 999.0 99.0 99.00
2009 01 01 08 50  91  3.7  4.4  0.42  4.17  3.68 999 1016.8  23.5  25.1 999.0 99.0 99.00
2009 01 01 09 50  91  3.2  3.7  0.41  5.88  3.82  74 1016.5  23.4  25.1 999.0 99.0 99.00
2009 01 01 10 50  94  2.6  3.5  0.41  5.26  3.83  76 1016.6  23.4  25.1 999.0 99.0 99.00
2009 01 01 11 50  82  2.4  3.0  0.43  5.88  3.82  65 1017.0  23.4  25.0 999.0 99.0 99.00
2009 01 01 12 50 101  3.4  4.2  0.41  5.88  3.65  58 1017.2  23.4  25.0 999.0 99.0 99.00
2009 01 01 13 50  92  3.5  4.5  0.41  5.56  3.70  58 1018.1  23.9  25.0 999.0 99.0 99.00
2009 01 01 14 50 100  3.9  4.6  0.39  3.85  3.73 999 1018.5  24.4  25.1 999.0 99.0 99.00
2009 01 01 15 50 110  4.0  4.6  0.38  5.00  3.68  75 1018.5  24.4  25.1 999.0 99.0 99.00
2009 01 01 16 50 118  3.6  4.7  0.37  4.00  3.53 999 1018.2  24.2  25.3 999.0 99.0 99.00
2009 01 01 17 50 125  3.0  3.7  0.36  4.55  3.36 999 1017.6  24.2  25.4 999.0 99.0 99.00
2009 01 01 18 50 130  2.8  3.3  0.37  3.85  3.30 999 1016.6  24.1  25.6 999.0 99.0 99.00
2009 01 01 19 50 130  3.4  4.6  0.36  3.85  3.40 999 1015.8  24.0  25.6 999.0 99.0 99.00
2009 01 01 20 50 126  3.2  4.1  0.36  3.57  3.44 999 1015.3  24.1  25.6 999.0 99.0 99.00
