YYYY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi    ft
2007 09 18 07 00  45  5.1  6.0  1.26 10.00  6.20  97 1017.5  25.2  27.3  22.8 99.0 99.00
2007 09 18 08 00  44  3.4  4.0  1.31  8.33  6.43  24 1017.6  25.6  27.3  21.6 99.0 99.00
2007 09 18 09 00  84  3.1  4.1  1.39  7.69  6.78 359 1017.9  26.1  27.3 999.0 99.0 99.00
2007 09 18 10 00  86  7.1  8.7  1.48  9.09  7.03  21 1018.3  24.1  27.3 999.0 99.0 99.00
2007 09 18 11 00  80  3.9  4.9  1.59  8.33  6.92   9 1018.7  25.8  27.2 999.0 99.0 99.00
2007 09 18 12 00  84  3.9  4.4  1.40  9.09  6.97  14 1018.9  26.0  27.2 999.0 99.0 99.00
2007 09 18 13 00  87  2.8  3.6  1.60  8.33  7.22   6 1018.9  26.4  27.3 999.0 99.0 99.00
2007 09 18 14 00 100  4.5  5.8  1.46  9.09  7.01  24 1019.2  26.4  27.4  23.4 99.0 99.00
2007 09 18 15 00 106  4.1  5.1  1.45  8.33  6.80  18 1019.1  26.7  27.5  23.2 99.0 99.00
2007 09 18 16 00 108  4.7  5.6  1.39  8.33  6.66   8 1019.0  26.7  27.6  23.9 99.0 99.00
2007 09 18 17 00 139  4.4 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2007 09 18 18 00 136  6.3  9.3  1.35 10.81  6.53 109 1018.7  26.1  27.6  24.0 99.0 99.00
2007 09 18 19 00 123  4.9  6.1  1.35 10.00  6.70 122 1018.2  27.0  27.6  23.4 99.0 99.00
2007 09 18 20 00 126  4.5  5.3 99.00 99.00 99.00 999 1018.1  27.2  27.6  23.5 99.0 99.00
2007 09 18 21 00 120  4.9  5.6 99.00 99.00 99.00 999 1018.1  27.0  27.6  23.8 99.0 99.00
2007 09 18 22 00 124  2.8  3.4  1.35  8.33  6.41  17 1018.3  26.4  27.6  23.5 99.0 99.00
2007 09 18 23 00 120  4.6  5.6  1.36  8.33  6.61  16 1018.3  26.9  27.5  23.4 99.0 99.00
2007 09 19 00 00 128  4.5  5.4  1.41  9.09  6.58  49 1018.5  26.9  27.5  23.1 99.0 99.00
2007 09 19 01 00 116  4.7  5.5  1.44  8.33  6.26  58 1019.1  26.9  27.5  23.5 99.0 99.00
2007 09 19 02 00  96  7.1  7.9  1.37  8.33  6.30  23 1019.2  26.4  27.5  23.5 99.0 99.00
2007 09 19 03 00  97 10.4 11.9  1.43  9.09  5.91  67 1019.2  25.6  27.4  22.9 99.0 99.00
2007 09 19 04 00 159  6.6  7.8  1.39  9.09  5.63  24 1019.2  24.5  27.3  23.0 99.0 99.00
2007 09 19 05 00 117  5.9  8.6  1.38  9.09  6.09  86 1018.8  26.1  27.3  22.5 99.0 99.00
2007 09 19 06 00 118  6.8  7.6  1.34  8.33  5.70  27 1018.6  26.5  27.3  22.8 99.0 99.00
2007 09 19 07 00 125  6.5  7.9  1.49  9.09  5.90  36 1018.3  26.6  27.3  22.7 99.0 99.00
2007 09 19 08 00 128  6.5  8.2  1.37  7.14  5.70  56 1017.8  26.4  27.3  23.0 99.0 99.00
2007 09 19 09 00 123  7.6  8.5  1.45  7.14  5.79  27 1017.8  26.4  27.3  22.7 99.0 99.00
2007 09 19 10 00 121  7.3  8.7  1.39 10.00  5.74 115 1018.3  26.5  27.3  22.6 99.0 99.00
2007 09 19 11 00 117  6.8  7.8  1.39  9.09  5.80 102 1018.6  26.5  27.2  22.2 99.0 99.00
2007 09 19 12 00 115  6.1  7.3  1.38  8.33  5.57  45 1019.2  26.7  27.2  22.5 99.0 99.00
2007 09 19 13 00 111  6.2  7.7  1.39  9.09  5.79 110 1019.3  26.7  27.3  22.5 99.0 99.00
2007 09 19 14 00 119  6.2  7.2  1.45  9.09  5.90 123 1019.5  26.9  27.3  22.0 99.0 99.00
2007 09 19 15 00 113  7.1  8.1  1.34  9.09  5.77 128 1019.5  26.8  27.4  22.4 99.0 99.00
2007 09 19 16 00 112  6.9  8.3  1.40  7.69  5.62  58 1019.4  26.7  27.4  22.2 99.0 99.00
2007 09 19 17 00 121  6.8  8.0  1.49  9.09  5.77 122 1019.3  26.8  27.5  22.1 99.0 99.00
2007 09 19 18 00 111  7.0  8.0  1.34 10.00  5.46 122 1019.0  26.6  27.5  22.3 99.0 99.00
2007 09 19 19 00 104  6.4  7.6  1.46  8.33  5.74  94 1018.7  26.7  27.5  22.0 99.0 99.00
2007 09 19 20 00 104  5.9  7.1  1.42  9.09  5.66 128 1018.5  26.8  27.5  22.0 99.0 99.00
2007 09 19 21 00  95  6.2  7.3 99.00 99.00 99.00 999 1018.4  26.7  27.5  22.4 99.0 99.00
2007 09 19 22 00  91  7.1  8.1  1.53  7.69  5.80  65 1018.5  26.8  27.5  22.4 99.0 99.00
2007 09 19 23 00 100  6.3  7.5  1.42  7.69  5.36  96 1018.9  26.7  27.4  22.0 99.0 99.00
2007 09 20 00 00 118  8.8 11.2  1.58  7.14  5.80 105 1019.2  26.2  27.4  22.5 99.0 99.00
2007 09 20 01 00 111  8.6  9.9  1.62  7.14  5.62 113 1019.1  26.6  27.4  21.9 99.0 99.00
2007 09 20 02 00 110  8.2  9.5  1.57  7.69  5.39  81 1019.3  26.5  27.4  22.1 99.0 99.00
2007 09 20 03 00 103  8.0  9.6  1.54  7.14  5.36 105 1019.1  26.4  27.3  22.1 99.0 99.00
2007 09 20 04 00 107  7.4  8.5  1.55  8.33  5.34  89 1019.0  26.4  27.4  21.5 99.0 99.00
2007 09 20 05 00 114  7.1  8.6  1.59  7.69  5.50  88 1019.0  26.4  27.3  21.7 99.0 99.00
2007 09 20 06 00 115  6.9  9.3  1.41  8.33  5.40  98 1018.6  26.3  27.4  22.1 99.0 99.00
2007 09 20 07 00 114  6.5  7.5  1.37  7.69  5.37  51 1018.3  26.2  27.3  21.9 99.0 99.00
2007 09 20 08 00 119  6.5  7.8  1.27  7.69  5.26  53 1018.1  26.3  27.3  21.9 99.0 99.00
2007 09 20 09 00 121  6.5  7.7  1.30  7.14  5.50 115 1018.1  26.2  27.3  22.1 99.0 99.00
2007 09 20 10 00 108  7.1  8.2  1.28  7.14  5.34 111 1018.2  26.2  27.3  22.0 99.0 99.00
2007 09 20 11 00 103  7.3  8.5  1.34  7.69  5.49  94 1018.4  26.3  27.3  21.7 99.0 99.00
2007 09 20 12 00 110  7.7  8.8  1.36  7.14  5.34 113 1018.6  26.4  27.2  22.3 99.0 99.00
