YYYY MM DD hh mm  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2006 06 21 20 00 338  3.3  3.9  1.13  7.69  5.52 285 1029.8  13.8  15.6 999.0 99.0 99.00
2006 06 21 21 00 318  3.6  4.2  1.08  7.69  5.59 298 1029.9  13.9  15.7 999.0 99.0 99.00
2006 06 21 22 00 327  5.8  6.8  1.06  8.33  5.44 290 1029.8  13.8  15.4 999.0 99.0 99.00
2006 06 21 23 00 320  6.2  7.0  0.96  9.09  5.09 300 1029.6  14.1  15.1 999.0 99.0 99.00
2006 06 22 00 00 329  5.3  6.5  1.05  7.69  5.27 296 1029.3  14.1  15.0 999.0 99.0 99.00
2006 06 22 01 00 322  4.6  5.4  1.06  9.09  5.52 296 1029.0  14.2  15.0 999.0 99.0 99.00
2006 06 22 02 00 321  5.9  7.0  1.12  9.09  5.87 294 1028.5  14.4  15.0 999.0 99.0 99.00
2006 06 22 03 00 325  6.6  7.7  1.06  9.09  5.14 285 1028.2  14.3  14.9 999.0 99.0 99.00
2006 06 22 04 00 325  6.4  7.4  1.16  9.09  5.07 296 1028.2  14.3  14.7 999.0 99.0 99.00
2006 06 22 05 00 328  6.8  7.7  1.12  9.09  4.90 292 1028.0  14.2  14.5 999.0 99.0 99.00
2006 06 22 06 00 342  5.9  6.7  1.05  9.09  4.83 290 1028.2  14.1  14.5 999.0 99.0 99.00
2006 06 22 07 00 345  5.5  6.2  1.09  9.09  5.51 296 1028.0  13.9  14.3 999.0 99.0 99.00
2006 06 22 08 00 352  5.9  6.5  1.19  9.09  5.64 294 1027.8  13.8  14.2 999.0 99.0 99.00
2006 06 22 09 00 351  6.3  7.2  1.03  9.09  5.11 294 1027.9  13.8  14.1 999.0 99.0 99.00
2006 06 22 10 00 348  5.2  6.0  1.17  9.09  5.48 289 1027.7  13.6  14.2 999.0 99.0 99.00
2006 06 22 11 00 352  4.5  5.0  1.10  9.09  5.45 293 1027.8  13.4  14.2 999.0 99.0 99.00
2006 06 22 12 00   5  3.5  4.1  1.18  8.33  5.86 293 1027.7  13.2  14.2 999.0 99.0 99.00
2006 06 22 13 00 350  3.1  3.5  1.20  8.33  5.94 296 1027.9  13.2  14.3 999.0 99.0 99.00
2006 06 22 14 00 350  3.7  4.3  1.11  8.33  5.91 299 1028.2  13.3  14.3 999.0 99.0 99.00
2006 06 22 15 00 352  4.5  5.2  1.29  8.33  6.34 285 1028.5  13.2  14.1 999.0 99.0 99.00
2006 06 22 16 00 355  4.6  5.1  1.15  7.69  5.66 294 1028.6  13.2  13.9 999.0 99.0 99.00
2006 06 22 17 00 360  3.5  4.0  1.13  9.09  5.65 287 1029.0  13.2  13.9 999.0 99.0 99.00
2006 06 22 18 00 356  2.4  3.0  1.18  8.33  6.08 289 1029.2  13.2  14.1 999.0 99.0 99.00
2006 06 22 19 00 340  2.4  3.0  1.12  8.33  5.96 295 1029.6  13.5  14.3 999.0 99.0 99.00
2006 06 22 20 00 338  3.8  4.5  0.99  8.33  5.77 291 1029.7  13.6  13.8 999.0 99.0 99.00
2006 06 22 21 00 338  4.2  5.0  1.02  8.33  5.65 284 1029.8  13.7  13.8 999.0 99.0 99.00
2006 06 22 22 00 330  5.0  6.0  1.11  8.33  5.97 290 1029.9  13.9  14.0 999.0 99.0 99.00
2006 06 22 23 00 323  6.0  7.0  0.95  8.33  5.48 296 1029.8  14.0  13.8 999.0 99.0 99.00
2006 06 23 00 00 315  6.9  7.9  1.08  8.33  5.08 289 1029.6  14.0  13.8 999.0 99.0 99.00
2006 06 23 01 00 320  6.9  8.2  1.18  9.09  5.27 299 1029.1  14.1  14.0 999.0 99.0 99.00
2006 06 23 02 00 322  6.3  7.5  1.27  9.09  5.06 297 1029.0  14.1  14.0 999.0 99.0 99.00
2006 06 23 03 00 317  5.5  6.4  1.30  9.09  5.26 300 1028.8  14.1  13.9 999.0 99.0 99.00
2006 06 23 04 00 317  6.2  7.5  1.42  9.09  5.57 286 1028.5  14.0  13.5 999.0 99.0 99.00
2006 06 23 05 00 325  6.1  7.3  1.32  8.33  5.47 300 1028.7  13.8  13.2 999.0 99.0 99.00
2006 06 23 06 00 330  6.3  7.5  1.26  9.09  5.30 290 1028.6  13.6  13.4 999.0 99.0 99.00
2006 06 23 07 00 335  6.1  7.3  1.28  9.09  5.40 296 1028.6  13.5  13.2 999.0 99.0 99.00
2006 06 23 08 00 343  5.7  6.6  1.22  8.33  5.14 290 1028.4  13.2  13.4 999.0 99.0 99.00
2006 06 23 09 00 348  5.7  6.9  1.31  9.09  5.47 296 1028.3  13.3  13.4 999.0 99.0 99.00
2006 06 23 10 00   2  4.2  4.9  1.29  9.09  5.58 289 1028.3  12.9  13.4 999.0 99.0 99.00
2006 06 23 11 00 353  4.8  5.6  1.31  9.09  5.92 292 1028.5  12.9  13.2 999.0 99.0 99.00
2006 06 23 12 00  14  4.4  5.2  1.20  9.09  5.56 287 1028.6  12.6  13.1 999.0 99.0 99.00
2006 06 23 13 00  18  4.5  5.1  1.31  9.09  5.83 292 1028.8  12.5  13.1 999.0 99.0 99.00
2006 06 23 14 00   6  3.8  4.4  1.33 10.00  6.21 290 1029.0  12.6  13.0 999.0 99.0 99.00
2006 06 23 15 00  11  3.1  3.7  1.28  9.09  5.98 284 1029.2  12.9  13.1 999.0 99.0 99.00
2006 06 23 16 00   1  2.3  3.0  1.40  9.09  6.23 290 1028.9  12.8  13.1 999.0 99.0 99.00
2006 06 23 17 00 334  1.6  1.9  1.26  9.09  6.17 289 1029.1  13.1  13.4 999.0 99.0 99.00
2006 06 23 18 00 332  2.0  2.5  1.12  8.33  5.92 295 1029.1  13.5  13.8 999.0 99.0 99.00
2006 06 23 19 00 328  4.8  5.9  1.19  9.09  6.01 297 1029.1  13.7  14.0 999.0 99.0 99.00
2006 06 23 20 00 336  5.2  6.2  1.23 10.00  5.96 292 1028.8  13.9  14.2 999.0 99.0 99.00
2006 06 23 21 00 336  5.9  6.7  1.19 10.00  5.57 297 1028.7  13.9  14.2 999.0 99.0 99.00
