YYYY MM DD hh mm  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2006 01 01 00 00 322  7.8  9.6  4.49 13.79  7.95 294 1011.8  14.5  14.3 999.0 99.0 99.00
2006 01 01 01 00 323  5.6  7.1  4.41 12.12  8.57 311 1012.8  14.2  14.3 999.0 99.0 99.00
2006 01 01 02 00 299  4.5  6.5  4.55 12.90  8.86 297 1013.1  14.0  14.3 999.0 99.0 99.00
2006 01 01 03 00 297  3.7  5.1  4.42 12.90  9.02 296 1013.4  13.9  14.3 999.0 99.0 99.00
2006 01 01 04 00 316  2.7  4.0  4.43 12.12  9.17 296 1013.9  13.8  14.2 999.0 99.0 99.00
2006 01 01 05 00 288  2.7  4.2  4.51 12.90  9.40 299 1014.9  13.8  14.2 999.0 99.0 99.00
2006 01 01 06 00 291  0.8  1.8  3.98 13.79  9.28 307 1015.3  13.7  14.2 999.0 99.0 99.00
2006 01 01 07 00  77  0.6  1.8  4.50 12.90  9.49 301 1015.3  13.7  14.2 999.0 99.0 99.00
2006 01 01 08 00 118  1.7  3.6  4.35 13.79  9.49 309 1014.8  13.6  14.2 999.0 99.0 99.00
2006 01 01 09 00 115  4.9  7.2  4.45 12.90  9.48 291 1013.8  13.5  14.2 999.0 99.0 99.00
2006 01 01 10 00 138  5.6  7.8  4.03 12.90  9.00 279 1013.7  13.4  14.2 999.0 99.0 99.00
2006 01 01 11 00 139  6.3  8.3  4.07 13.79  9.00 282 1013.8  13.3  14.2 999.0 99.0 99.00
2006 01 01 12 00 123  8.6 11.0  4.18 11.43  8.95 281 1012.0  13.4  14.1 999.0 99.0 99.00
2006 01 01 13 00 126 10.7 13.7  3.92 12.12  8.19 282 1010.4  13.1  14.1 999.0 99.0 99.00
2006 01 01 14 00 131  8.7 11.4  3.87 12.90  8.04 271 1011.3  13.4  14.1 999.0 99.0 99.00
2006 01 01 15 00 132  9.5 12.2  3.81 12.90  7.78 286 1011.1  13.7  14.1 999.0 99.0 99.00
2006 01 01 16 00 126 10.0 13.1  3.56 13.79  7.76 283 1010.2  13.8  14.1 999.0 99.0 99.00
2006 01 01 17 00 126  9.9 12.4  3.40 12.90  7.59 281 1010.8  13.9  14.1 999.0 99.0 99.00
2006 01 01 18 00 117  7.1  9.8  3.28 12.12  7.50 287 1011.2  13.6  14.2 999.0 99.0 99.00
2006 01 01 19 00 131 11.3 15.0  3.09 12.90  7.45 287 1010.2  13.6  14.2 999.0 99.0 99.00
2006 01 01 20 00 150 15.1 18.2  3.47 12.12  6.89 282 1009.0  13.2  14.2 999.0 99.0 99.00
2006 01 01 21 00 129 13.2 16.3 99.00 99.00 99.00 999 1008.3  13.0  14.2 999.0 99.0 99.00
2006 01 01 22 00 117 13.9 17.5  3.63 12.90  6.70 276 1006.3  12.8  14.2 999.0 99.0 99.00
2006 01 01 23 00 112 14.1 16.9  3.74 12.90  6.74 287 1005.2  12.7  14.1 999.0 99.0 99.00
2006 01 02 00 00 129  5.3  9.6  3.64 12.90  6.66 279 1007.3  12.5  14.1 999.0 99.0 99.00
2006 01 02 01 00 119 11.2 14.3  3.74  8.33  6.87 173 1005.8  13.3  14.1 999.0 99.0 99.00
2006 01 02 02 00 136 10.1 13.1  3.82 13.79  7.03 266 1005.1  14.0  14.1 999.0 99.0 99.00
2006 01 02 03 00 154 11.9 14.0  4.04  7.69  7.24 156 1004.6  14.0  14.1 999.0 99.0 99.00
2006 01 02 04 00 142  6.8  9.4  4.11 12.12  7.52 281 1005.5  14.0  14.1 999.0 99.0 99.00
