#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2009 12 31 23 50 999  1.2  2.1  1.60 12.12  8.41 305 1026.7  14.3  13.9 999.0 99.0 99.00
2010 01 01 00 50 999  0.0  0.1  1.79 12.12  9.17 288 1026.5  14.0  13.9 999.0 99.0 99.00
2010 01 01 01 50 999  0.8  1.9  1.63 12.12  8.78 286 1026.8  13.7  13.8 999.0 99.0 99.00
2010 01 01 02 50 999  0.2  1.4  1.72 11.43  9.37 287 1027.1  13.7  13.7 999.0 99.0 99.00
2010 01 01 03 50 999  1.2  1.9  1.62 12.90  9.05 273 1027.4  13.7  13.7 999.0 99.0 99.00
2010 01 01 04 50 999  2.1  3.0  1.71 12.12  9.18 284 1027.5  13.7  13.6 999.0 99.0 99.00
2010 01 01 05 50 999  2.8  3.6  1.79 11.43  8.96 289 1028.0  13.7  13.6 999.0 99.0 99.00
2010 01 01 07 50 999  2.7  3.3 99.00 99.00 99.00 999 1027.9  13.7  13.5 999.0 99.0 99.00
2010 01 01 08 50 999  1.4  2.1 99.00 99.00 99.00 999 1027.3  13.6  13.5 999.0 99.0 99.00
2010 01 01 09 50 999  0.3  1.7  1.65 12.12  9.26 285 1026.4  13.6  13.5 999.0 99.0 99.00
2010 01 01 10 50 999  0.4  1.3  1.40 13.79  8.46 279 1025.5  13.5  13.5 999.0 99.0 99.00
2010 01 01 11 50 999  2.5  3.4  1.56 13.79  9.20 273 1025.6  13.5  13.4 999.0 99.0 99.00
2010 01 01 12 50 999  1.8  2.7 99.00 99.00 99.00 999 1025.4  13.5  13.4 999.0 99.0 99.00
2010 01 01 13 50 999  4.0  4.9  1.42 12.12  8.96 282 1025.6  13.6  13.4 999.0 99.0 99.00
2010 01 01 14 50 999  4.7  5.6 99.00 99.00 99.00 999 1026.2  13.6  13.5 999.0 99.0 99.00
2010 01 01 15 50 999  5.5  6.5  1.43 12.90  9.24 291 1026.2  13.6  13.5 999.0 99.0 99.00
2010 01 01 16 50 999  3.8  5.1  1.44 12.12  8.73 295 1026.7  13.9  13.5 999.0 99.0 99.00
2010 01 01 17 50 999  4.9  6.4  1.33 11.43  8.28 274 1026.8  13.8  13.5 999.0 99.0 99.00
2010 01 01 18 50 999  3.0  4.2 99.00 99.00 99.00 999 1026.3  13.9  13.5 999.0 99.0 99.00
2010 01 01 19 50 999  2.8  4.2  1.66 12.12  9.03 292 1025.4  13.9  13.5 999.0 99.0 99.00
2010 01 01 20 50 999  5.5  6.9  2.01 12.12  9.69 292 1025.0  13.8  13.6 999.0 99.0 99.00
2010 01 01 21 50 999  4.7  5.9  2.22 10.81  9.38 297 1024.8  13.9  13.6 999.0 99.0 99.00
2010 01 01 22 50 999  4.1  5.6  2.49 11.43  9.11 291 1024.2  14.3  13.6 999.0 99.0 99.00
2010 01 01 23 50 999  3.1  4.2  2.42 10.81  9.12 295 1023.8  14.4  13.6 999.0 99.0 99.00
2010 01 02 00 50 999  3.0  3.9  2.32 11.43  8.88 291 1023.6  14.3  13.7 999.0 99.0 99.00
2010 01 02 01 50 999  4.5  5.9  2.69 10.81  9.26 296 1023.6  14.2  13.7 999.0 99.0 99.00
2010 01 02 02 50 999  7.6  9.0 99.00 99.00 99.00 999 1023.8  14.0  13.6 999.0 99.0 99.00
2010 01 02 03 50 999  7.5  9.0 99.00 99.00 99.00 999 1023.7  14.0  13.6 999.0 99.0 99.00
2010 01 02 04 50 999  8.5 10.4  2.48 10.00  8.13 282 1024.2  14.4  13.5 999.0 99.0 99.00
2010 01 02 05 50 999  8.8 10.9 99.00 99.00 99.00 999 1024.4  14.6  13.5 999.0 99.0 99.00
2010 01 02 06 50 999  7.9  9.4  2.38 12.12  7.49 285 1023.9  13.4  13.5 999.0 99.0 99.00
2010 01 02 07 50 999  4.0  5.7  2.28 12.12  7.81 272 1023.2  13.5  13.5 999.0 99.0 99.00
2010 01 02 08 50 999  3.1  4.0 99.00 99.00 99.00 999 1022.4  13.9  13.5 999.0 99.0 99.00
2010 01 02 09 50 999  3.2  4.4  2.49 11.43  8.94 288 1022.2  13.9  13.4 999.0 99.0 99.00
2010 01 02 10 50 999  5.7  8.8  2.87 12.12  9.71 280 1022.4  14.0  13.4 999.0 99.0 99.00
2010 01 02 11 50 999  5.9  7.3  3.60 16.00 10.86 310 1022.6  14.0  13.4 999.0 99.0 99.00
2010 01 02 12 50 999  8.3 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2010 01 02 13 50 999  6.3  7.6  3.43 14.81 10.10 304 1022.1  14.5  13.5 999.0 99.0 99.00
2010 01 02 14 50 999  6.5 99.0 99.00 99.00 99.00 999 9999.0  14.3 999.0 999.0 99.0 99.00
2010 01 02 15 50 999  7.3  9.0  3.99 14.81 10.48 308 1021.9  14.8  13.4 999.0 99.0 99.00
2010 01 02 16 50 999  6.7  8.4  3.76 13.79 10.13 297 1022.7  14.7  13.4 999.0 99.0 99.00
2010 01 02 17 50 999  5.1  7.1  4.09 14.81 10.27 288 1022.8  14.8  13.4 999.0 99.0 99.00
2010 01 02 18 50 999  5.4  7.3  3.82 14.81 10.18 300 1022.6  14.5  13.5 999.0 99.0 99.00
2010 01 02 19 50 999  3.6  5.1  3.99 14.81 10.50 306 1021.6  14.4  13.6 999.0 99.0 99.00
2010 01 02 20 50 999  3.7  5.8  3.47 13.79 10.01 295 1020.7  14.6  13.7 999.0 99.0 99.00
2010 01 02 21 50 999  4.5  6.6  3.50 14.81 10.35 309 1020.4  14.6  13.7 999.0 99.0 99.00
2010 01 02 22 50 999  5.7  8.4  3.35 13.79  9.90 299 1020.0  14.6  13.7 999.0 99.0 99.00
