#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2008 12 31 23 50  58  8.6 10.4  1.57  5.88  4.55  63 1019.1  20.6  22.1  17.5 99.0 99.00
2009 01 01 00 50  55  9.1 10.9  1.61  6.67  4.70  70 1019.4  20.6  22.0  17.9 99.0 99.00
2009 01 01 01 50  53  9.7 12.0  1.74  6.25  4.58  58 1019.6  20.6  22.0  18.0 99.0 99.00
2009 01 01 02 50  54  8.6 10.1  1.77  6.67  4.76  66 1020.2  20.7  22.0  17.1 99.0 99.00
2009 01 01 03 50  58  8.3 10.1  1.74  6.67  4.82  69 1020.3  20.7  22.0  17.1 99.0 99.00
2009 01 01 04 50  52  7.9  9.5  1.85  5.88  5.07  65 1019.8  20.6  22.0  17.4 99.0 99.00
2009 01 01 05 50  76  9.6 10.8  1.83  7.14  5.20  79 1018.8  20.5  22.0  17.2 99.0 99.00
2009 01 01 06 50  72  8.9 10.4  1.87  6.67  5.11  79 1017.5  20.5  21.9  17.9 99.0 99.00
2009 01 01 07 50  80 11.0 13.5  2.04  7.14  4.94  75 1015.8  20.5  22.0  18.1 99.0 99.00
2009 01 01 08 50  80  7.3  8.8  1.93  7.14  5.07  78 1017.4  20.8  22.0  18.1 99.0 99.00
2009 01 01 09 50  82  6.6  8.0  1.84  7.14  5.11  83 1017.4  21.1  22.0  18.4 99.0 99.00
2009 01 01 10 50  74  6.0  7.2  1.80  6.67  5.24  76 1016.6  21.2  22.0  18.8 99.0 99.00
2009 01 01 11 50  72  6.8  8.0  1.70  7.14  5.04  76 1016.5  21.1  22.0  19.0 99.0 99.00
2009 01 01 12 50  83  7.0  8.0  1.66  6.67  5.07  78 1016.5  21.2  22.0  19.4 99.0 99.00
2009 01 01 13 50  66  6.5  7.9 99.00 99.00 99.00 999 1017.2  21.2  22.0  19.7 99.0 99.00
