YYYY MM DD hh mm  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2005 01 01 00 00 289  2.2  3.1  0.72 11.11  7.32 112 1029.8  19.1  21.2   9.0 99.0 99.00
2005 01 01 01 00 304  2.0  2.6  0.71 10.00  7.30 113 1029.9  19.1  21.2   8.1 99.0 99.00
2005 01 01 02 00 331  2.6  3.8  0.66 10.00  7.34 124 1030.3  19.0  21.2   8.6 99.0 99.00
2005 01 01 03 00 353  2.2  3.0  0.77 10.00  7.64 116 1029.9  19.0  21.2   9.1 99.0 99.00
2005 01 01 04 00 350  1.7  2.5  0.70 10.00  7.72 115 1029.9  19.1  21.2   8.4 99.0 99.00
2005 01 01 05 00 338  4.0  5.1  0.69 11.11  7.86 106 1029.9  19.1  21.2   9.7 99.0 99.00
2005 01 01 06 00 344  3.5  4.1  0.75 10.00  7.82 106 1029.7  19.1  21.2   8.7 99.0 99.00
2005 01 01 07 00 343  3.5  5.6  0.72 10.00  7.85 111 1029.7  18.9  21.3   8.6 99.0 99.00
2005 01 01 08 00 342  1.3  2.4  0.80 10.00  7.65 108 1029.4  19.1  21.3   9.6 99.0 99.00
2005 01 01 09 00 348  3.7  4.6  0.84 10.00  7.70 102 1028.9  18.8  21.4   9.9 99.0 99.00
2005 01 01 10 00 358  2.9  3.6  0.79 11.11  7.38  97 1028.9  18.8  21.4   9.2 99.0 99.00
2005 01 01 11 00  19  2.6  3.5  0.73 11.11  6.61 104 1029.6  18.8  21.4   8.9 99.0 99.00
2005 01 01 12 00 346  2.4  3.0  0.80 10.00  6.85 113 1029.9  18.8  21.4   9.6 99.0 99.00
2005 01 01 13 00 345  2.6  3.7  0.80 11.11  6.90  97 1030.4  18.3  21.2   9.2 99.0 99.00
2005 01 01 14 00 352  2.6  3.3  0.88 11.11  7.23 108 1031.2  18.3  21.4   8.9 99.0 99.00
2005 01 01 15 00 323  3.0  3.8  0.84 11.11  7.37 107 1031.5  18.3  21.4  10.0 99.0 99.00
2005 01 01 16 00 354  4.7  5.6  0.80 11.11  6.92 106 1031.4  18.3  21.4   9.9 99.0 99.00
2005 01 01 17 00 356  3.3  3.9  0.84 11.11  7.21 100 1030.5  18.1  21.4  10.8 99.0 99.00
2005 01 01 18 00   2  3.0  3.8  0.81 11.11  7.00  98 1029.9  18.0  21.5  10.5 99.0 99.00
2005 01 01 19 00 329  1.1  1.7  0.80 11.11  7.34  95 1029.7  18.2  21.9  10.8 99.0 99.00
2005 01 01 20 00 308  1.7  2.5  0.80 11.11  7.16 103 1029.7  18.3  21.9  10.6 99.0 99.00
2005 01 01 21 00 245  1.7  2.2  0.84 10.00  7.18 115 1029.8  18.9  21.9   9.9 99.0 99.00
2005 01 01 22 00 243  2.2  3.0  0.83 10.00  6.73 110 1029.8  18.8  21.9  10.8 99.0 99.00
2005 01 01 23 00 232  3.3  4.2  0.86 10.00  6.89 115 1029.7  19.1  21.5  10.4 99.0 99.00
2005 01 02 01 00 252  2.9  3.8  0.81 11.11  7.00 117 1030.5  19.6  21.5  11.8 99.0 99.00
2005 01 02 02 00 287  3.2  4.2  0.83 10.00  7.10 118 1030.5  19.1  21.5  12.5 99.0 99.00
2005 01 02 03 00 320  2.3  3.1  0.87 11.11  7.17 117 1031.1  18.7  21.5  13.3 99.0 99.00
2005 01 02 04 00 323  3.4  4.2  0.84 10.00  7.30 101 1031.1  18.4  21.5  12.0 99.0 99.00
2005 01 02 05 00 326  3.2  4.1  0.92 11.11  7.80 104 1030.5  18.7  21.4  12.1 99.0 99.00
2005 01 02 06 00 327  3.5  4.2  0.83 10.00  7.23 107 1030.3  18.4  21.4  11.1 99.0 99.00
2005 02 08 00 00  65  4.8  6.2  1.57 12.50  6.46  79 1022.8  12.4  15.7  10.1 99.0 99.00
2005 02 08 01 00  50  4.2  5.7  1.62 12.50  6.71  73 1023.4  12.9  15.9  10.3 99.0 99.00
2005 02 08 02 00  51  5.2  6.8  1.47 12.50  6.46  73 1022.6  13.6  15.9  10.9 99.0 99.00
2005 02 08 03 00  46  5.4  6.6  1.49 12.50  6.37  77 1022.1  14.2  16.0  11.6 99.0 99.00
2005 02 08 04 00  40  4.6  5.6  1.41 11.11  6.21  79 1022.1  14.5  16.0  11.5 99.0 99.00
2005 02 08 05 00  18  4.9  5.6  1.44 10.00  6.31  75 1021.9  14.2  15.9  12.1 99.0 99.00
2005 02 08 06 00  24  5.1  5.9  1.46 11.11  6.38  71 1021.2  13.6  15.9  12.1 99.0 99.00
2005 02 08 07 00  44  3.4  4.5  1.53 12.50  6.55  83 1021.2  14.5  16.0  12.3 99.0 99.00
