#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2008 12 31 23 50  64  6.2  7.6  0.86  4.76  3.91  82 1022.5  15.6  15.5   8.7 99.0 99.00
2009 01 01 00 50  64  5.9  7.1  0.79  4.76  3.93  88 1023.0  15.7  15.5   9.2 99.0 99.00
2009 01 01 01 50  59  7.3  8.5  0.78  4.35  3.76  92 1023.1  15.9  15.5   7.7 99.0 99.00
2009 01 01 02 50  52  9.2 11.4  0.86  4.55  3.73  87 1022.6  15.1  15.5   7.1 99.0 99.00
2009 01 01 03 50  54  8.7 10.2  0.97  4.55  3.76  88 1022.6  14.3  15.5   7.4 99.0 99.00
2009 01 01 04 50  67  9.0 10.6  1.01  5.00  3.94  94 1022.7  13.5  15.5   6.7 99.0 99.00
2009 01 01 05 50  62  9.5 11.2  1.25  5.26  4.16  99 1021.8  12.8  15.5   6.3 99.0 99.00
2009 01 01 06 50  72  9.3 11.0  1.30  5.26  4.26 102 1021.1  12.3  15.5   6.4 99.0 99.00
2009 01 01 07 50  78  8.8 10.9  1.36  5.56  4.44  96 1020.7  12.5  15.5   7.6 99.0 99.00
2009 01 01 08 50  89  8.2 10.0  1.16  5.88  4.15 106 1019.9  13.1  15.5   8.4 99.0 99.00
2009 01 01 09 50  81  7.3  8.8  1.17  5.56  4.21  93 1019.8  13.2  15.5   9.2 99.0 99.00
2009 01 01 10 50  79  7.0  8.2  1.17  5.26  4.25  95 1019.5  13.6  15.6  10.1 99.0 99.00
2009 01 01 11 50  91  6.6  8.1  1.11  5.26  4.14  90 1019.6  14.1  15.7  10.7 99.0 99.00
2009 01 01 12 50  80  6.4  7.4  0.95  5.00  4.09  92 1019.5  14.3  15.7  11.4 99.0 99.00
2009 01 01 13 50 111  6.6  7.6  0.90  5.00  4.01  89 1019.7  15.6  15.7  11.5 99.0 99.00
2009 01 01 14 50 111  4.9  5.7  0.93  5.56  3.99 102 1020.6  16.1  15.7  12.2 99.0 99.00
2009 01 01 15 50 105  4.8  5.8  0.94  5.26  4.18  96 1020.4  16.3  15.7  13.1 99.0 99.00
2009 01 01 16 50  94  4.5  5.2  0.82  5.00  4.05  95 1019.8  16.4  15.7  14.1 99.0 99.00
2009 01 01 17 50  94  4.1  4.6  0.77  5.26  4.08 102 1019.0  16.5  15.7  14.1 99.0 99.00
2009 01 01 18 50  91  4.1  4.9  0.89  5.26  4.20 109 1017.2  16.7  15.8  14.7 99.0 99.00
2009 01 01 19 50 100  4.1  4.6  0.89  5.00  4.31 105 1015.9  16.8  15.9  15.1 99.0 99.00
2009 01 01 20 50  93  3.2  3.5  0.80  5.88  4.25 120 1015.6  16.9  16.1  15.3 99.0 99.00
2009 01 01 21 50  69  1.9  2.3  0.87  6.25  4.44 124 1015.6  16.9  16.1  15.8 99.0 99.00
2009 01 01 22 50  67  3.7  4.1  0.81  5.56  4.31 110 1015.3  16.9  16.0  16.0 99.0 99.00
2009 01 01 23 50 101  4.0  4.6  0.75  5.56  4.19 103 1014.6  17.0  15.8  16.4 99.0 99.00
2009 01 02 00 50  99  3.6  4.0  0.83  5.26  4.39 110 1014.6  17.0  15.8  16.6 99.0 99.00
2009 01 02 01 50 109  3.4  3.9  0.72  5.00  4.31 106 1014.9  17.2  15.8  16.8 99.0 99.00
2009 01 02 02 50 117  4.4  5.0  0.70  5.88  4.29 111 1014.5  17.2  15.9  16.9 99.0 99.00
2009 01 02 03 50 141  3.9  4.3  0.72  5.00  4.30 114 1014.1  17.4  15.9  17.1 99.0 99.00
