#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2009 12 31 23 50  40  4.3  5.0  0.49  5.88  4.64 164 1018.6  11.3  13.9 999.0 99.0 99.00
2010 01 01 00 50   7  7.6  9.3  0.44  5.88  4.52 174 1019.7  10.7  13.7 999.0 99.0 99.00
2010 01 01 01 50  15  5.4  6.2  0.57  5.88  3.16 169 1020.1  10.6  13.8 999.0 99.0 99.00
2010 01 01 02 50 353  6.1  7.1  0.50  5.88  3.80 177 1020.7  11.6  13.7 999.0 99.0 99.00
2010 01 01 03 50 342  8.5 10.4  0.54  5.88  3.28 174 1022.6  11.2  13.6 999.0 99.0 99.00
2010 01 01 04 50 344 10.4 13.2  0.67  3.03  3.06 351 1022.8  12.2  13.7 999.0 99.0 99.00
2010 01 01 05 50 357 10.6 12.6  1.10  3.57  3.51 347 1022.6  12.2  13.7 999.0 99.0 99.00
2010 01 01 06 50 337 12.0 14.7  1.12  3.85  3.55 350 1023.3  11.9  13.7 999.0 99.0 99.00
2010 01 01 07 50 337 12.2 14.5  1.15  3.85  3.64 347 1024.1  11.7  13.8 999.0 99.0 99.00
2010 01 01 08 50 323 10.7 12.7  1.07  4.00  3.61 353 1024.9  10.9  13.7 999.0 99.0 99.00
2010 01 01 09 50 337 11.7 14.0  1.18  4.35  3.68 345 1025.9   9.8  13.6 999.0 99.0 99.00
2010 01 01 10 50 343 11.5 14.4  1.33  4.35  3.80 347 1026.6   9.8  13.6 999.0 99.0 99.00
2010 01 01 11 50   6 12.2 14.8  1.30  4.35  3.79 360 1026.2   9.8  13.5 999.0 99.0 99.00
2010 01 01 12 50  19 10.2 13.1  1.18  4.35  3.68  11 1026.7   9.5  13.5 999.0 99.0 99.00
2010 01 01 13 50   6  9.6 12.0  1.07  4.17  3.69  27 1028.6   9.2  13.5 999.0 99.0 99.00
2010 01 01 14 50   9 10.1 13.2  1.15  4.35  3.71  40 1029.5   9.1  13.5 999.0 99.0 99.00
2010 01 01 15 50  17  9.6 11.9  1.08  4.35  3.62  50 1030.5   9.0  13.5 999.0 99.0 99.00
2010 01 01 16 50 357  8.6 10.3  0.99  4.35  3.54  45 1030.8   8.6  13.6 999.0 99.0 99.00
2010 01 01 17 50  10  7.0  8.8  0.93  3.85  3.64  31 1030.2   8.9  13.6 999.0 99.0 99.00
2010 01 01 18 50   7  7.4  9.1  0.76  4.17  3.54  52 1028.8   9.4  13.6 999.0 99.0 99.00
2010 01 01 19 50  10  5.8  7.4  0.77  3.45  3.46  27 1028.2  10.2  13.8 999.0 99.0 99.00
2010 01 01 20 50  25  5.2  6.9  0.66  3.85  3.45  51 1027.9  11.0  14.0 999.0 99.0 99.00
2010 01 01 21 50  38  4.7  6.0  0.59  3.33  3.36  41 1027.6  11.4  14.2 999.0 99.0 99.00
2010 01 01 22 50  55  5.2  6.5  0.51  3.23  3.25  48 1027.5  11.7  14.0 999.0 99.0 99.00
2010 01 01 23 50  51  4.0  5.0  0.46  3.23  3.22  60 1027.7  11.5  14.0 999.0 99.0 99.00
2010 01 02 00 50  47  4.8  6.3  0.41  3.03  3.31  48 1028.1  11.8  14.0 999.0 99.0 99.00
