#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2008 01 01 00 00 143  3.8  4.5  1.45  8.33  6.14 113 1022.1  23.8  23.8  21.2 99.0 99.00
2008 01 01 01 00 150  4.5  5.4  1.51  8.33  6.30 114 1022.4  23.7  23.8  21.1 99.0 99.00
2008 01 01 02 00 147  5.4  6.0  1.50  8.33  6.49 109 1022.5  23.7  23.8  21.3 99.0 99.00
2008 01 01 03 00 146  5.6  6.6  1.57  9.09  6.51 118 1022.5  23.6  23.7  21.1 99.0 99.00
2008 01 01 04 00 139  5.8  6.7  1.38  8.33  6.24 109 1022.5  23.5  23.7  21.3 99.0 99.00
2008 01 01 05 00 139  6.4  7.1  1.50  8.33  6.32 123 1022.0  23.4  23.7  21.3 99.0 99.00
2008 01 01 06 00 143  7.2  8.4  1.34  7.69  5.98 118 1021.8  23.4  23.7  21.1 99.0 99.00
2008 01 01 07 00 142  5.8  7.1  1.41  8.33  5.99 117 1021.4  23.4  23.7  21.2 99.0 99.00
2008 01 01 08 00 143  5.0  5.8  1.32  8.33  5.55 114 1021.2  23.3  23.7  21.3 99.0 99.00
2008 01 01 09 00 148  5.2  5.8  1.40  8.33  5.80 123 1021.1  23.4  23.7  21.2 99.0 99.00
2008 01 01 10 00 155  4.4  5.1  1.52  8.33  6.15 117 1021.4  23.5  23.7  21.0 99.0 99.00
2008 01 01 11 00 143  4.3  5.1  1.39  8.33  5.90 130 1021.8  23.5  23.7  21.2 99.0 99.00
2008 01 01 12 00 146  4.8  5.5  1.53  8.33  6.18 120 1022.3  23.5  23.7  21.2 99.0 99.00
2008 01 01 13 00 148  5.6  6.5  1.40  7.69  5.95 105 1022.6  23.7  23.7  21.0 99.0 99.00
2008 01 01 14 00 154  5.8  6.7  1.33  8.33  5.72 119 1023.0  23.7  23.7  21.2 99.0 99.00
2008 01 01 15 00 152  5.2  6.1  1.51  8.33  6.16 106 1022.8  23.8  23.8  21.4 99.0 99.00
2008 01 01 16 00 161  6.2  7.2  1.35  8.33  5.89 114 1022.1  23.8  23.9  21.1 99.0 99.00
