#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2009 05 24 14 50 104  7.8  9.3 99.00 99.00 99.00 999 1021.0  23.9  24.3  20.2 99.0 99.00
2009 05 24 17 50 108  7.6  8.9 99.00 99.00 99.00 999 1020.7  24.1  24.4  20.6 99.0 99.00
2009 05 24 18 50 109  7.9  9.2  1.40  6.67  4.68  95 1020.0  24.1  24.4  20.5 99.0 99.00
2009 05 24 19 50 107  7.5  8.5  1.42  7.14  4.85  77 1019.7  24.2  24.5  20.8 99.0 99.00
2009 05 24 20 50 109  7.9  9.2  1.44  5.88  4.81  94 1019.0  24.2  24.4  20.8 99.0 99.00
2009 05 24 21 50 107  8.4  9.7  1.40  7.14  4.86  76 1018.6  24.2  24.4  20.6 99.0 99.00
2009 05 24 22 50 106  7.8  9.1  1.39  8.33  4.69  67 1018.9  24.1  24.4  20.8 99.0 99.00
2009 05 24 23 50 108  8.0  9.7  1.33  5.26  4.71 113 1019.2  23.9  24.3  20.8 99.0 99.00
2009 05 25 00 50 104  8.1  9.6  1.31  5.56  4.59 113 1019.3  23.8  24.3  21.0 99.0 99.00
2009 05 25 01 50 110  8.5 10.2  1.35  6.25  4.68 125 1019.8  23.9  24.3  20.9 99.0 99.00
2009 05 25 02 50 115  8.8 10.4  1.38  5.88  4.67 106 1020.1  23.8  24.2  21.0 99.0 99.00
2009 05 25 03 50 116  8.4  9.7  1.38  7.69  4.65  77 1020.0  23.8  24.2  21.1 99.0 99.00
2009 05 25 04 50 118  7.9  9.1  1.40  5.88  4.69  88 1019.4  23.8  24.2  20.9 99.0 99.00
2009 05 25 05 50 114  8.4  9.9  1.45  5.88  4.71 107 1018.5  23.8  24.2  20.8 99.0 99.00
2009 05 25 06 50 123  8.2  9.8  1.44  6.25  4.82 108 1017.8  23.8  24.2  20.4 99.0 99.00
2009 05 25 07 50 118  7.7  9.3  1.44  6.25  4.80 111 1017.8  23.7  24.1  20.5 99.0 99.00
2009 05 25 08 50 114  7.4  9.0  1.40  6.67  4.81 104 1017.6  23.7  24.1  20.5 99.0 99.00
2009 05 25 09 50 107  7.7  8.6  1.36  6.67  4.86 112 1018.0  23.7  24.1  20.6 99.0 99.00
2009 05 25 10 50 110  8.1  9.5  1.46  6.67  4.97 128 1018.3  23.8  24.1  20.3 99.0 99.00
2009 05 25 11 50 107  7.9  9.4  1.38  6.25  4.83 116 1018.3  23.9  24.1  20.4 99.0 99.00
2009 05 25 12 50 109  8.1  9.5  1.36  6.25  4.86 131 1018.9  24.0  24.1  20.6 99.0 99.00
