#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2010 12 31 23 50 126  2.3  2.7  0.39  8.33  6.77 109 1025.7  13.3  13.4   7.7 99.0 99.00
2011 01 01 00 20 111  2.2  2.5 99.00 99.00 99.00 999 1025.7  13.6  13.4   9.2 99.0 99.00
2011 01 01 00 50 121  2.0  2.3  0.37 10.81  6.96  89 1025.7  14.0  13.4  10.2 99.0 99.00
2011 01 01 01 20 132  1.8  2.1 99.00 99.00 99.00 999 1025.9  14.1  13.4  10.8 99.0 99.00
2011 01 01 01 50 142  1.5  1.6  0.39 12.90  6.74 123 1025.8  14.3  13.4  11.0 99.0 99.00
2011 01 01 02 20 134  2.3  2.7 99.00 99.00 99.00 999 1025.6  14.7  13.4  11.2 99.0 99.00
2011 01 01 02 50 136  2.4  2.8  0.39 12.90  6.61 151 1025.3  14.5  13.4  11.7 99.0 99.00
2011 01 01 03 20 131  1.9  2.1 99.00 99.00 99.00 999 1025.3  14.7  13.4  11.5 99.0 99.00
2011 01 01 03 50 101  0.9  1.2  0.43  8.33  6.60 103 1025.3  14.3  13.4  11.7 99.0 99.00
2011 01 01 04 20 126  1.1  1.4 99.00 99.00 99.00 999 1025.1  14.7  13.3  11.8 99.0 99.00
2011 01 01 04 50 101  1.4  2.0  0.45  9.09  6.55  89 1025.0  14.7  13.3  11.9 99.0 99.00
2011 01 01 05 20 121  1.8  1.9 99.00 99.00 99.00 999 1024.6  14.5  13.2  11.8 99.0 99.00
2011 01 01 05 50 155  1.3  1.5  0.41  9.09  6.47  92 1024.3  14.7  13.2  12.1 99.0 99.00
2011 01 01 06 20 169  1.1  1.6 99.00 99.00 99.00 999 1024.1  15.2  13.2  12.3 99.0 99.00
2011 01 01 06 50 109  0.7  1.0  0.40 12.90  6.33  51 1023.9  14.6  13.2  12.4 99.0 99.00
2011 01 01 07 20 103  1.1  1.3 99.00 99.00 99.00 999 1023.8  14.4  13.2  12.3 99.0 99.00
2011 01 01 07 50 112  0.5  0.7  0.42 12.90  6.88 132 1024.1  14.2  13.1  12.2 99.0 99.00
