#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2008 12 31 23 50 999  5.2  6.3  1.13 13.79  8.42 293 1017.1  11.8  14.8 999.0 99.0 99.00
2009 01 01 00 50 999  4.3  5.4  1.19 13.79  8.19 294 1016.9  11.6  14.7 999.0 99.0 99.00
2009 01 01 01 50 999  3.0  3.6  1.23 12.90  8.29 284 1017.0  11.5  14.4 999.0 99.0 99.00
2009 01 01 02 50 999  2.7  3.6  1.19 13.79  8.07 294 1017.4  11.6  14.2 999.0 99.0 99.00
2009 01 01 03 50 999  0.5  1.0  1.21 13.79  8.13 280 1017.5  11.9  14.3 999.0 99.0 99.00
2009 01 01 04 50 999  1.7  3.1  1.19 13.79  8.20 269 1018.1  11.8  14.5 999.0 99.0 99.00
2009 01 01 05 50 999  2.0  3.3  1.07 13.79  8.11 270 1018.0  11.9  14.5 999.0 99.0 99.00
2009 01 01 06 50 999  2.3  3.3  1.19 13.79  8.61 281 1017.8  11.6  14.5 999.0 99.0 99.00
2009 01 01 07 50 999  1.2  2.7  1.12 13.79  8.90 280 1017.6  11.4  14.5 999.0 99.0 99.00
2009 01 01 08 50 999  2.1  2.8  1.22 12.90  8.73 285 1017.1  11.5  14.5 999.0 99.0 99.00
2009 01 01 09 50 999  1.8  2.8  1.14 12.90  8.37 280 1017.2  11.5  14.5 999.0 99.0 99.00
2009 01 01 10 50 999  2.1  3.0  1.19 12.12  7.94 286 1017.2  11.7  14.5 999.0 99.0 99.00
2009 01 01 11 50 999  3.9  5.1  1.28 12.12  8.09 287 1017.1  11.9  14.5 999.0 99.0 99.00
2009 01 01 12 50 999  1.4  2.3  1.20 11.43  7.55 282 1016.5  11.7  14.5 999.0 99.0 99.00
2009 01 01 13 50 999  3.5  4.8  1.24 11.43  7.79 289 1017.1  10.9  14.6 999.0 99.0 99.00
2009 01 01 14 50 999  1.9  3.2  1.16 12.12  7.60 281 1017.5  10.3  14.6 999.0 99.0 99.00
2009 01 01 15 50 999  3.2  4.7  1.20 14.81  7.31 280 1017.9  10.5  14.6 999.0 99.0 99.00
2009 01 01 16 50 999  2.4  4.1  1.13 13.79  7.51 260 1018.2  10.4  14.6 999.0 99.0 99.00
2009 01 01 17 50 999  2.6  4.0  1.25 12.12  7.73 279 1018.7  10.9  14.7 999.0 99.0 99.00
2009 01 01 18 50 999  1.5  3.0  1.29 12.90  7.76 283 1018.2  11.2  14.7 999.0 99.0 99.00
2009 01 01 19 50 999  2.4  3.7  1.36  9.09  8.20 287 1017.3  11.4  14.8 999.0 99.0 99.00
