#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi    ft
2007 01 01 00 00 327  9.8 12.7  3.60 13.79  9.61 295 1023.6  12.0  13.3 999.0 99.0 99.00
2007 01 01 01 00 324  9.4 11.2  3.44 12.12  8.61 299 1023.5  12.1  13.3 999.0 99.0 99.00
2007 01 01 02 00 329  9.2 11.5  3.35 12.90  8.08 282 1023.5  11.9  13.2 999.0 99.0 99.00
2007 01 01 03 00 328  9.8 11.9  3.47 14.81  8.68 287 1023.8  12.0  13.1 999.0 99.0 99.00
2007 01 01 04 00 334  9.8 11.5  3.31 13.79  8.24 273 1023.8  12.0  13.0 999.0 99.0 99.00
2007 01 01 05 00 340  8.9 10.7  3.25 13.79  8.17 280 1024.2  12.0  13.0 999.0 99.0 99.00
2007 01 01 06 00 341  8.4 10.1  2.88 13.79  7.70 284 1024.1  11.9  13.0 999.0 99.0 99.00
2007 01 01 07 00 360  8.1  9.2  2.81 13.79  7.90 293 1023.8  11.5  12.9 999.0 99.0 99.00
2007 01 01 08 00 348  7.9  9.4  2.99 13.79  8.52 295 1023.7  11.5  12.9 999.0 99.0 99.00
2007 01 01 09 00 346  7.8  9.7  2.70 13.79  8.07 298 1023.4  11.6  12.9 999.0 99.0 99.00
2007 01 01 10 00 343  8.9 10.9  2.66 12.90  8.00 286 1023.2  11.6  12.9 999.0 99.0 99.00
2007 01 01 12 00 345  8.5 10.1  2.95 12.90  7.94 298 1023.1  11.4  12.9 999.0 99.0 99.00
2007 01 01 13 00 351  6.8  8.1  3.09 12.90  8.43 292 1022.5  11.3  12.9 999.0 99.0 99.00
2007 01 01 14 00  19  7.0  8.3  2.83 12.90  8.08 291 1022.6  11.8  12.8 999.0 99.0 99.00
2007 01 01 15 00   2  6.0  7.0  2.94 13.79  8.36 295 1023.0  12.1  12.8 999.0 99.0 99.00
2007 01 01 16 00  16  5.7  7.0  3.10 12.12  8.65 297 1023.3  12.0  12.8 999.0 99.0 99.00
2007 01 01 17 00  35  6.6  7.7  2.94 12.90  8.21 295 1023.4  11.8  12.8 999.0 99.0 99.00
2007 01 01 18 00  13  5.6  6.5  2.78 12.12  8.15 295 1024.1  11.5  12.7 999.0 99.0 99.00
2007 01 01 19 00 355  5.3  6.9  2.68 12.12  8.24 290 1023.3  12.0  12.8 999.0 99.0 99.00
2007 01 01 20 00 330  6.1  7.3  2.32 11.43  8.21 294 1022.1  12.2  12.9 999.0 99.0 99.00
