#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2009 12 31 23 50 316  4.7  5.5  1.76 13.79  8.42 293 1025.7  13.9  13.7 999.0 99.0 99.00
2010 01 01 00 50 326  4.4  5.3  1.82 12.12  9.02 284 1025.7  13.8  13.6 999.0 99.0 99.00
2010 01 01 01 50 329  3.9  4.6  1.69 12.12  8.45 294 1025.8  13.7  13.5 999.0 99.0 99.00
2010 01 01 02 50 326  3.3  4.0  1.68 12.90  8.47 301 1025.9  13.7  13.5 999.0 99.0 99.00
2010 01 01 03 50 322  4.3  5.1  1.67 11.43  8.54 284 1026.1  13.7  13.5 999.0 99.0 99.00
2010 01 01 04 50 318  5.8  7.2  1.61 11.43  8.50 280 1026.6  13.8  13.5 999.0 99.0 99.00
2010 01 01 05 50 323  5.0  6.0  1.66 12.12  8.45 294 1026.7  13.7  13.5 999.0 99.0 99.00
2010 01 01 06 50 326  4.8  5.7  1.61 10.81  8.58 288 1026.7  13.8  13.5 999.0 99.0 99.00
2010 01 01 07 50 319  5.1  6.1  1.55 11.43  7.93 287 1026.8  13.7  13.4 999.0 99.0 99.00
2010 01 01 08 50 325  6.3  7.8  1.77 12.90  8.42 289 1025.7  13.6  13.6 999.0 99.0 99.00
2010 01 01 09 50 324  6.5  7.6  1.46 11.43  7.35 291 1025.4  13.8  13.9 999.0 99.0 99.00
2010 01 01 10 50 329  5.0  6.2  1.76 12.12  8.45 283 1024.9  13.8  14.0 999.0 99.0 99.00
2010 01 01 11 50 312  7.1  8.4  1.70 12.12  8.41 289 1023.9  13.7  13.9 999.0 99.0 99.00
2010 01 01 12 50 318  8.6 10.1  1.60 11.43  7.34 270 1023.7  13.8  13.9 999.0 99.0 99.00
2010 01 01 13 50 333  6.4  7.7  1.68 11.43  7.29 281 1023.9  13.7  13.9 999.0 99.0 99.00
2010 01 01 14 50 315  5.5  6.3  1.47 12.12  6.99 286 1023.7  13.6  13.8 999.0 99.0 99.00
2010 01 01 15 50 317  6.5  7.8  1.57 12.12  7.61 285 1023.9  13.6  13.8 999.0 99.0 99.00
2010 01 01 16 50 304  8.1 10.0  1.53 12.90  7.15 277 1025.3  13.7  13.8 999.0 99.0 99.00
2010 01 01 17 50 341  7.3  8.8  1.64 12.90  7.20 267 1024.4  13.8  13.8 999.0 99.0 99.00
2010 01 01 18 50 316  7.6  9.4  1.69 12.90  7.05 279 1024.7  13.9  13.9 999.0 99.0 99.00
2010 01 01 19 50 319 10.1 12.0  1.57 13.79  6.53 269 1023.0  14.0  14.0 999.0 99.0 99.00
2010 01 01 20 50 325  8.4  9.7  1.60 12.12  5.87 287 1021.9  14.0  13.9 999.0 99.0 99.00
2010 01 01 21 50 322  9.4 11.0  1.55 12.12  5.80 293 1021.2  14.1  13.9 999.0 99.0 99.00
2010 01 01 22 50 320  8.5 10.1  1.70 12.12  5.69 288 1021.0  14.3  13.9 999.0 99.0 99.00
2010 01 01 23 50 312  9.6 11.5  1.58 12.90  5.61 277 1020.5  14.5  13.9 999.0 99.0 99.00
2010 01 02 00 50 312  9.5 11.5  1.74 12.12  5.51 293 1020.7  14.5  13.9 999.0 99.0 99.00
2010 01 02 01 50 323  7.9  9.3  2.03  5.88  5.57 309 1020.4  14.6  13.8 999.0 99.0 99.00
2010 01 02 02 50 320  9.0 10.3  1.77  5.88  5.55 309 1020.1  14.6  13.8 999.0 99.0 99.00
2010 01 02 03 50 321 10.9 13.2  1.91 12.12  5.60 294 1020.0  14.4  13.8 999.0 99.0 99.00
2010 01 02 04 50 328 10.5 12.5  2.12 12.12  5.96 293 1020.4  14.6  13.8 999.0 99.0 99.00
2010 01 02 05 50 326 10.5 12.4  2.23 12.90  6.19 282 1020.0  15.2  13.8 999.0 99.0 99.00
2010 01 02 06 50 331  8.4 10.1  2.14 11.43  6.01 287 1020.2  15.0  13.7 999.0 99.0 99.00
2010 01 02 07 50 323 10.3 12.4  2.28 11.43  6.48 285 1020.1  15.1  13.7 999.0 99.0 99.00
2010 01 02 08 50 312 11.5 15.1  2.43 11.43  6.44 287 1020.5  14.4  13.6 999.0 99.0 99.00
2010 01 02 09 50 340  9.7 11.6  2.41 11.43  6.35 295 1019.2  15.0  13.8 999.0 99.0 99.00
2010 01 02 10 50 330  6.4  7.5  2.51 12.12  6.99 279 1018.6  14.9  13.9 999.0 99.0 99.00
2010 01 02 11 50 319  8.9 10.5  2.33 10.81  7.27 289 1018.3  14.7  14.1 999.0 99.0 99.00
2010 01 02 12 50 330  7.2  9.2  2.44 11.43  7.77 283 1017.8  14.9  14.1 999.0 99.0 99.00
2010 01 02 13 50 317  5.6  7.2  2.47 11.43  8.08 278 1018.0  14.9  14.0 999.0 99.0 99.00
2010 01 02 14 50 314  7.3  9.3  2.28 10.81  7.64 286 1018.6  14.9  14.0 999.0 99.0 99.00
2010 01 02 15 50 329  9.6 12.0  2.70 12.12  7.74 282 1018.5  15.0  14.0 999.0 99.0 99.00
2010 01 02 16 50 318  9.1 11.1  2.72 16.00  7.47 301 1019.2  14.5  13.9 999.0 99.0 99.00
2010 01 02 17 50 316  6.1  7.8  3.18 16.00  8.30 297 1020.0  14.5  13.9 999.0 99.0 99.00
2010 01 02 18 50 321  6.8  8.1  3.61 16.00  9.67 301 1019.2  14.8  13.9 999.0 99.0 99.00
2010 01 02 19 50 312  7.8  9.1  3.69 16.00  9.60 309 1018.2  14.9  14.1 999.0 99.0 99.00
2010 01 02 20 50 309  7.2  8.9  3.17 14.81  9.02 310 1017.4  14.9  14.2 999.0 99.0 99.00
2010 01 02 21 50 322  7.1  8.4  3.74 13.79  9.99 307 1016.8  15.0  14.3 999.0 99.0 99.00
2010 01 02 22 50 327  5.4  7.1  3.28 14.81  9.62 290 1016.5  15.3  14.3 999.0 99.0 99.00
2010 01 02 23 50 319  4.7  6.1  3.10 12.90  9.35 302 1016.4  15.5  14.3 999.0 99.0 99.00
2010 01 03 00 50 302  5.7  7.0  3.22 14.81  9.74 286 1016.6  15.0  14.2 999.0 99.0 99.00
2010 01 03 01 50 308  8.6 10.5  3.07 14.81  9.44 274 1017.0  14.8  14.2 999.0 99.0 99.00
2010 01 03 02 50 321  7.8  9.2  3.13 14.81  9.30 284 1017.1  15.2  14.1 999.0 99.0 99.00
2010 01 03 03 50 322  7.1  9.0  2.97 14.81  8.97 279 1017.1  15.1  14.0 999.0 99.0 99.00
2010 01 03 04 50 322  4.7  5.8  2.66 12.12  8.03 278 1017.2  14.8  14.0 999.0 99.0 99.00
2010 01 03 05 50 303  5.1  6.4  2.66 12.90  8.55 281 1017.6  14.5  14.0 999.0 99.0 99.00
2010 01 03 06 50 317  5.2  6.5  2.56 13.79  8.40 291 1017.6  14.5  14.0 999.0 99.0 99.00
2010 01 03 07 50 315  4.3  5.5  2.78 13.79  9.22 297 1017.0  14.3  14.0 999.0 99.0 99.00
2010 01 03 08 50 328  3.3  4.9  2.98 13.79  9.79 301 1017.0  14.3  14.0 999.0 99.0 99.00
2010 01 03 09 50 307  1.8  2.8  2.73 13.79  9.13 289 1017.0  14.4  14.0 999.0 99.0 99.00
2010 01 03 10 50 294  0.6  1.8  2.95 12.90  9.78 293 1016.9  16.2  14.2 999.0 99.0 99.00
2010 01 03 11 50  43  2.9  4.4  2.80 12.90  9.70 290 1016.7  14.7  14.2 999.0 99.0 99.00
2010 01 03 12 50  45  2.5  3.4  2.61 13.79  9.38 296 1016.6  15.0  14.2 999.0 99.0 99.00
2010 01 03 13 50  68  3.5  5.0  2.76 12.90  9.45 296 1016.7  16.3  14.2 999.0 99.0 99.00
2010 01 03 14 50  43  3.9  5.4  2.65 12.90  9.13 286 1016.8  15.8  14.3 999.0 99.0 99.00
2010 01 03 15 50  69  5.6  6.9  3.04 13.79  9.96 294 1016.9  16.4  14.2 999.0 99.0 99.00
2010 01 03 16 50  78  6.8  8.9  2.86 12.90  9.31 286 1017.2  16.8  14.2 999.0 99.0 99.00
2010 01 03 17 50  83  6.6  8.0  2.71 12.90  8.60 291 1017.9  16.5  14.1 999.0 99.0 99.00
2010 01 03 18 50  90  4.3  5.4  2.34 12.12  8.26 299 1018.2  16.0  14.1 999.0 99.0 99.00
2010 01 03 19 50 177  2.0  2.7  2.62 12.90  9.11 300 1017.8  15.4  14.3 999.0 99.0 99.00
2010 01 03 20 50 162  0.2  0.8  2.13 12.90  8.52 289 1017.1  16.1  14.6 999.0 99.0 99.00
2010 01 03 21 50  87  0.1  0.5  1.92 11.43  8.59 288 1016.6  16.6  14.8 999.0 99.0 99.00
2010 01 03 22 50  24  0.5  0.8  2.05 12.12  8.72 295 1016.7  16.1  15.0 999.0 99.0 99.00
2010 01 03 23 50 301  1.1  1.7  1.86 12.12  8.93 288 1017.0  16.1  15.1 999.0 99.0 99.00
2010 01 04 00 50   5  1.7  2.4  1.68 11.43  8.76 287 1017.1  15.2  14.7 999.0 99.0 99.00
2010 01 04 01 50 304  2.4  3.1  1.73 12.12  9.50 288 1017.5  15.1  14.3 999.0 99.0 99.00
