#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2011 03 23 18 50 176  7.6  9.2  1.77 14.81  7.62 273 1015.8  13.8  13.8 999.0 99.0 99.00
2011 03 23 19 50 186  8.2 10.7  1.96 16.00  7.22 297 1015.5  13.9  13.8 999.0 99.0 99.00
2011 03 23 20 50 199  8.5 10.2  2.27 14.81  6.99 266 1014.6  13.3  13.8 999.0 99.0 99.00
2011 03 23 21 50 196  9.1 10.9  2.44 17.39  7.28 290 1013.4  13.7  13.8 999.0 99.0 99.00
2011 03 23 22 50 282  9.4 11.4 99.00 99.00 99.00 999 1013.7  12.2  13.8 999.0 99.0 99.00
2011 03 23 23 50 298  7.3  8.8 99.00 99.00 99.00 999 1013.7  12.3  13.8 999.0 99.0 99.00
2011 03 24 00 50 279  6.9  8.0  2.53 16.00  7.37 300 1013.7  13.0  13.8 999.0 99.0 99.00
2011 03 24 01 50 277  6.8  8.1 99.00 99.00 99.00 999 1014.1  13.0  13.8 999.0 99.0 99.00
2011 03 24 02 50 268  5.3  6.7  2.44 17.39  7.79 296 1014.6  12.9  13.7 999.0 99.0 99.00
2011 03 24 03 50 289  6.4  7.7  2.37 16.00  8.04 296 1015.1  13.3  13.8 999.0 99.0 99.00
2011 03 24 05 50 295  5.9  7.1 99.00 99.00 99.00 999 1016.2  13.3  13.8 999.0 99.0 99.00
2011 03 24 06 50 288  5.5  7.2  2.77 16.00  9.10 316 1016.4  13.3  13.9 999.0 99.0 99.00
2011 03 24 07 50 289  6.2  7.4  2.85 16.00  9.45 313 1016.6  13.2  13.8 999.0 99.0 99.00
2011 03 24 08 50 297  5.5  7.0 99.00 99.00 99.00 999 1016.7  13.3  13.8 999.0 99.0 99.00
2011 03 24 09 50 295  4.3  5.6  2.97 16.00  9.46 318 1016.5  13.1  13.8 999.0 99.0 99.00
2011 03 24 10 50 273  2.6  3.6  2.92 16.00  9.39 313 1016.3  13.0  13.8 999.0 99.0 99.00
2011 03 24 11 50 259  2.1  3.2  2.88 16.00  8.79 302 1016.5  13.0  13.8 999.0 99.0 99.00
2011 03 24 12 50 276  2.4  3.5  2.91 10.81  8.95 294 1017.0  13.1  13.8 999.0 99.0 99.00
2011 03 24 13 50 301  2.1  3.5 99.00 99.00 99.00 999 1017.6  13.2  13.7 999.0 99.0 99.00
2011 03 24 14 50 332  1.1 99.0 99.00 99.00 99.00 999 9999.0  13.1 999.0 999.0 99.0 99.00
2011 03 24 15 50 162  1.1  2.4  3.18 11.43  9.16 285 1018.1  13.7  13.8 999.0 99.0 99.00
2011 03 24 16 50 201  4.6  5.6  3.02 12.12  9.12 288 1018.4  12.6  13.8 999.0 99.0 99.00
2011 03 24 17 50 184  2.8  3.8  3.11 13.79  9.19 301 1018.9  13.1  13.8 999.0 99.0 99.00
2011 03 24 18 50 200  3.6  4.7  3.19 11.43  9.25 291 1019.1  13.4  14.0 999.0 99.0 99.00
2011 03 24 19 50 175  4.4  5.9  3.02 12.90  9.12 291 1018.6  13.6  14.1 999.0 99.0 99.00
2011 03 24 20 50 222  5.9  6.7  3.00 12.12  9.13 284 1018.5  14.0  14.0 999.0 99.0 99.00
2011 03 24 21 50 226  6.0  6.9  3.15 12.12  9.03 287 1018.1  14.0  14.0 999.0 99.0 99.00
2011 03 24 22 50 220  5.5  6.8  2.98 12.12  8.74 288 1017.8  14.1  14.1 999.0 99.0 99.00
2011 03 24 23 50 222  5.6  7.0  2.86 13.79  8.55 292 1017.7  14.1  14.1 999.0 99.0 99.00
2011 03 25 00 50 217  5.8  7.0  2.97 12.90  8.51 301 1017.5  14.1  14.1 999.0 99.0 99.00
2011 03 25 01 50 211  4.4  6.0  3.02 11.43  8.66 298 1017.4  13.9  14.1 999.0 99.0 99.00
2011 03 25 02 50 212  5.9  7.5  2.54 11.43  8.47 287 1017.2  13.5  14.1 999.0 99.0 99.00
2011 03 25 03 50 233  7.3  8.7  2.66 10.81  8.57 300 1017.4  13.8  13.9 999.0 99.0 99.00
2011 03 25 04 50 214  5.7  6.7  2.47 12.12  8.11 301 1017.4  13.8  13.9 999.0 99.0 99.00
2011 03 25 05 50 219  5.8  7.0  2.66 13.79  8.58 303 1017.5  13.8  13.9 999.0 99.0 99.00
2011 03 25 06 50 222  5.5  7.0  2.37 13.79  8.10 304 1017.6  13.8  14.0 999.0 99.0 99.00
2011 03 25 07 50 227  6.5  8.1  2.54 13.79  8.56 296 1017.2  13.9  14.0 999.0 99.0 99.00
2011 03 25 08 50 238  6.2  7.7  2.76 10.81  8.46 300 1017.0  13.8  13.8 999.0 99.0 99.00
2011 03 25 09 50 232  6.4  7.4  2.70 13.79  8.65 298 1016.6  13.8  13.8 999.0 99.0 99.00
2011 03 25 10 50 223  6.5  8.1  2.75 10.00  8.18 291 1015.8  13.8  13.7 999.0 99.0 99.00
2011 03 25 11 50 240  7.9  9.2  2.73 13.79  8.27 296 1015.7  13.6  13.6 999.0 99.0 99.00
2011 03 25 12 50 273  6.1  7.6  2.94 11.43  8.07 302 1016.2  13.1  13.6 999.0 99.0 99.00
2011 03 25 13 50 275  4.6  5.8  2.88 12.12  8.36 304 1016.6  13.3  13.6 999.0 99.0 99.00
2011 03 25 14 50 296  5.1  6.4 99.00 99.00 99.00 999 1017.4  13.4  13.6 999.0 99.0 99.00
2011 03 25 15 50 321  5.6  8.5 99.00 99.00 99.00 999 1018.3  12.7  13.6 999.0 99.0 99.00
2011 03 25 16 50 278  3.4  4.5  3.05 13.79  8.71 286 1018.5  13.6  13.6 999.0 99.0 99.00
2011 03 25 17 50 277  4.5  5.9  2.99 12.90  8.93 293 1018.9  13.9  13.6 999.0 99.0 99.00
2011 03 25 18 50 279  4.4  5.9 99.00 99.00 99.00 999 1018.6  13.9  13.8 999.0 99.0 99.00
2011 03 25 19 50 284  3.8  5.7  2.97 12.90  9.41 297 1018.6  14.0  13.9 999.0 99.0 99.00
