#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi    ft
2007 09 05 02 00 353  9.7 11.2  2.30  7.14  5.99 297 1019.0  17.7  18.5  15.4 99.0 99.00
2007 09 05 03 00 350 10.4 12.3  2.62 11.43  6.14 254 1019.4  17.4  18.5  15.1 99.0 99.00
2007 09 05 04 00 353  9.6 11.4  2.68 10.81  6.37 244 1019.9  17.3  18.5  14.4 99.0 99.00
2007 09 05 05 00 349  9.2 11.7  2.64 10.81  6.39 255 1020.4  17.3  18.4  14.5 99.0 99.00
2007 09 05 06 00 340  8.8 10.5  2.73 10.81  6.53 263 1020.3  17.4  18.5  14.7 99.0 99.00
2007 09 05 07 00 344  9.3 10.9  2.65  7.69  6.42 291 1020.6  17.3  18.4  14.0 99.0 99.00
2007 09 05 08 00 335  9.8 12.1  2.60 10.81  6.25 265 1020.6  17.3  18.4  13.6 99.0 99.00
2007 09 05 09 00 339  9.5 11.1  2.50  8.33  6.04 282 1020.7  17.1  18.5  14.1 99.0 99.00
2007 09 05 10 00 337  9.4 11.1  2.50  8.33  5.99 285 1020.7  17.1  18.5  13.8 99.0 99.00
2007 09 05 11 00 340  9.7 11.8  2.54  7.69  6.12 301 1020.5  17.0  18.4  13.6 99.0 99.00
2007 09 05 12 00 339  9.3 11.3  2.50  8.33  5.81 301 1020.4  16.9  18.4  13.7 99.0 99.00
2007 09 05 13 00 346  8.7 10.4  2.45  8.33  6.00 288 1020.3  16.9  18.4  13.7 99.0 99.00
2007 09 05 14 00 341  8.3 10.2  2.47  8.33  5.96 315 1020.7  17.0  18.4  13.8 99.0 99.00
2007 09 05 15 00 342  8.5  9.9  2.29  9.09  5.92 306 1021.1  17.1  18.4  14.0 99.0 99.00
2007 09 05 16 00 340  8.4 10.8  2.51  7.69  6.16 316 1021.3  17.0  18.4  13.5 99.0 99.00
2007 09 05 17 00 346  7.9  9.3  2.36  8.33  6.13 310 1021.4  17.0  18.4  13.0 99.0 99.00
2007 09 05 18 00 337  7.7  9.3  2.28  8.33  6.01 313 1021.3  17.0  18.4  13.6 99.0 99.00
2007 09 05 19 00 344  7.0  9.0  2.28  7.69  6.14 316 1021.6  17.0  18.4  13.3 99.0 99.00
2007 09 05 20 00 343  7.2  8.9  2.07  8.33  6.01 321 1021.4  17.0  18.5  13.8 99.0 99.00
2007 09 05 21 00 333  8.0  9.1  1.99  7.69  5.82 320 1021.4  16.4  18.5 999.0 99.0 99.00
2007 09 05 22 00 343  7.5  8.6  1.93  7.69  5.91 323 1021.0  16.4  18.5  15.9 99.0 99.00
2007 09 05 23 00 343  8.0  9.0  1.90  7.69  5.77 318 1020.9  16.2  18.5  16.1 99.0 99.00
2007 09 06 00 00 336  8.1 10.2  1.86  7.69  5.63 317 1020.5  17.0  18.5  15.9 99.0 99.00
2007 09 06 01 00 337  8.2  9.2  1.86  7.69  5.48 334 1020.4  16.5  18.5  16.0 99.0 99.00
2007 09 06 02 00 340  7.5  9.1  1.69  7.69  5.47 323 1020.4  16.4  18.5  15.9 99.0 99.00
2007 09 06 03 00 341  8.7 10.6  1.73  7.14  5.32 321 1020.2  16.2  18.4  16.2 99.0 99.00
2007 09 06 04 00 336  8.2  9.4  2.00  7.14  5.59 327 1020.4  16.7  18.4  15.9 99.0 99.00
2007 09 06 05 00 351  6.8  7.9  1.89  7.14  5.32 335 1020.7  16.8  18.4  16.2 99.0 99.00
2007 09 06 06 00 333  8.5 10.7  1.84  6.67  5.23 332 1020.6  16.9  18.4  15.4 99.0 99.00
2007 09 06 07 00 340  6.2  7.2  1.80  6.67  5.32 322 1020.6  16.8  18.4  15.1 99.0 99.00
2007 09 06 08 00 358  6.2  7.1  1.57  6.67  5.30 319 1020.4  17.1  18.4  15.2 99.0 99.00
2007 09 06 09 00 328  6.0  7.7  1.53  6.25  5.17 326 1020.7  16.5  18.4  16.2 99.0 99.00
2007 09 06 10 00 331  8.7 10.1  1.52  6.25  5.27 308 1020.7  16.8  18.4  16.5 99.0 99.00
2007 09 06 11 00 343  8.8 10.8  1.70  6.67  5.45 312 1020.7  17.1  18.4  15.2 99.0 99.00
2007 09 06 12 00 347  9.0 10.1  1.76  6.67  5.49 308 1020.9  17.4  18.4  15.5 99.0 99.00
2007 09 06 13 00 350  7.8  9.4  1.88  9.09  5.57 292 1021.1  17.5  18.4  14.1 99.0 99.00
2007 09 06 14 00 349  8.8 10.4  1.98 12.12  5.71 297 1021.2  17.2  18.4  13.8 99.0 99.00
2007 09 06 15 00 350  9.5 11.2  2.10 10.00  5.80 310 1022.0  16.9  18.3  12.1 99.0 99.00
2007 09 06 16 00 349  8.6 11.4  2.08 10.00  5.97 300 1022.3  16.4  18.3  11.3 99.0 99.00
2007 09 06 17 00 349  8.1 10.4  2.03 10.81  5.79 295 1022.4  16.7  18.3  12.3 99.0 99.00
2007 09 06 18 00 347  8.2 10.2  2.25 11.43  6.01 297 1022.9  16.4  18.3  11.8 99.0 99.00
2007 09 06 19 00 349  7.9  9.4  2.35 12.12  6.61 292 1023.2  16.5  18.4  11.7 99.0 99.00
2007 09 06 20 00 356  8.6 10.4  2.58  7.69  6.45 302 1023.3  16.8  18.4  11.9 99.0 99.00
2007 09 06 21 00 350  8.8 10.5  2.41 10.81  6.49 281 1023.3  16.8  18.4  11.6 99.0 99.00
2007 09 06 22 00 349  8.7 10.0  2.46 11.43  6.27 290 1023.3  16.9  18.4  11.7 99.0 99.00
2007 09 06 23 00 350  8.6 10.2  2.51 12.12  6.44 283 1023.2  17.0  18.4  11.8 99.0 99.00
2007 09 07 00 00 349  8.5 10.5  2.51 12.90  6.56 306 1023.0  17.0  18.4  12.6 99.0 99.00
2007 09 07 01 00 355  8.5 10.5  2.62  7.69  6.45 316 1023.2  16.9  18.3  11.7 99.0 99.00
2007 09 07 02 00 347  8.7 11.5  2.42 11.43  6.36 297 1023.0  16.9  18.3  11.7 99.0 99.00
2007 09 07 03 00 348 10.1 12.2  2.53 10.81  6.33 297 1023.0  16.8  18.3  11.9 99.0 99.00
2007 09 07 04 00 350  9.8 11.8  2.54 12.12  6.47 299 1023.0  16.8  18.3  12.0 99.0 99.00
2007 09 07 05 00 344  9.5 11.4  2.42 12.90  6.26 297 1023.2  16.7  18.3  12.2 99.0 99.00
2007 09 07 06 00 346 10.4 12.8  2.49 11.43  6.17 302 1023.2  16.6  18.3  11.8 99.0 99.00
2007 09 07 07 00 341 10.5 13.5  2.53 12.12  6.16 315 1023.3  16.5  18.3  12.0 99.0 99.00
2007 09 07 08 00 342 10.1 12.8  2.69 11.43  6.37 302 1023.5  16.7  18.3  12.6 99.0 99.00
2007 09 07 09 00 340 10.7 13.2  2.66 12.12  6.25 317 1023.5  16.5  18.3  12.2 99.0 99.00
2007 09 07 10 00 345 10.3 12.4  2.67 11.43  6.46 303 1023.5  16.5  18.2  12.5 99.0 99.00
2007 09 07 11 00 344  9.9 12.3  2.78  7.14  6.22 317 1023.5  16.5  18.2  12.4 99.0 99.00
2007 09 07 12 00 339 11.3 13.3  2.55 10.81  6.13 295 1023.4  16.5  18.2  12.4 99.0 99.00
2007 09 07 13 00 343 10.7 13.1  2.87 11.43  6.54 297 1023.3  16.5  18.2  12.2 99.0 99.00
2007 09 07 14 00 349 10.3 12.4  2.79 12.12  6.31 317 1023.4  16.6  18.2  12.5 99.0 99.00
2007 09 07 15 00 346 10.3 12.2  2.83 12.12  6.14 320 1023.6  16.6  18.2  12.6 99.0 99.00
2007 09 07 16 00 344 10.2 12.2  2.79 12.12  6.41 302 1023.9  16.6  18.1  12.8 99.0 99.00
2007 09 07 17 00 348  9.8 11.5  2.90 10.81  6.49 310 1024.2  16.8  18.1  12.9 99.0 99.00
2007 09 07 18 00 350  9.4 11.9  2.83  7.69  6.32 322 1024.8  16.7  18.1  13.1 99.0 99.00
2007 09 07 19 00 346 10.2 12.5  2.87  7.14  6.35 317 1025.1  16.8  18.1  12.6 99.0 99.00
2007 09 07 20 00 354  8.2 10.0  2.75 10.00  6.51 309 1025.4  16.9  18.1  12.7 99.0 99.00
2007 09 07 21 00 343  7.9  9.6  2.76  7.69  6.54 316 1025.3  16.9  18.1  13.5 99.0 99.00
2007 09 07 22 00 348  7.8 10.1  2.71  9.09  6.55 306 1025.3  16.9  18.1  13.5 99.0 99.00
