#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2008 12 31 23 50 124  1.6  2.4  0.52  5.00  5.11  95 1017.7  23.3 999.0  20.9 99.0 99.00
2009 01 01 00 50  80  1.2  1.8  0.47  7.69  5.04 111 1018.3  23.3 999.0  20.9 99.0 99.00
2009 01 01 01 50 114  2.2  2.8  0.45  5.56  4.81 109 1018.4  23.3 999.0  20.8 99.0 99.00
2009 01 01 02 50 135  0.6  1.2  0.44  7.14  5.05 116 1018.8  23.3 999.0  20.8 99.0 99.00
2009 01 01 03 50 300  0.8  3.1  0.46  6.67  5.06 109 1019.0  23.3 999.0  20.9 99.0 99.00
2009 01 01 04 50  57  3.9  4.9  0.50  6.25  4.18  89 1018.6  22.0 999.0  19.9 99.0 99.00
2009 01 01 05 50  98  4.1  4.8  0.90  5.00  4.91   1 1018.1  22.5 999.0  21.0 99.0 99.00
2009 01 01 06 50  97  1.1  1.8  1.01  6.25  5.17 357 1017.4  22.6 999.0  21.0 99.0 99.00
2009 01 01 07 50 349  0.4  1.1  1.07  6.25  5.39  13 1016.8  22.6 999.0  21.0 99.0 99.00
2009 01 01 08 50   2  1.5  2.1  1.09  6.67  5.49  22 1016.5  22.7 999.0  20.8 99.0 99.00
2009 01 01 09 50  22  2.5  3.2  1.03  6.67  5.46  20 1016.4  22.6 999.0  22.0 99.0 99.00
2009 01 01 10 50 340  2.7  3.6  1.06  6.67  5.54  14 1016.3  22.1 999.0  21.9 99.0 99.00
2009 01 01 11 50  92  0.7  1.2  1.07  6.25  5.53  23 1016.3  22.2 999.0  22.1 99.0 99.00
2009 01 01 12 50 158  2.8  3.4  1.04  6.25  5.54  28 1016.4  22.7 999.0  22.6 99.0 99.00
2009 01 01 13 50 197  4.1  5.0  1.05  5.88  5.62  25 1017.1  23.3 999.0 999.0 99.0 99.00
2009 01 01 14 50 198  3.7  4.8  1.14  6.25  5.71  27 1017.9  23.5 999.0 999.0 99.0 99.00
2009 01 01 15 50 198  3.1  3.9  1.13  6.25  5.50  26 1018.3  23.6 999.0  20.1 99.0 99.00
2009 01 01 16 50 207  3.1  4.0  1.16  6.67  5.64  33 1018.2  24.0 999.0  19.6 99.0 99.00
2009 01 01 17 50 206  3.6  4.7  1.17  6.25  5.63  25 1017.0  23.8 999.0  19.6 99.0 99.00
2009 01 01 18 50 205  4.2  5.0  1.02  6.25  5.48  32 1016.2  23.9 999.0  19.1 99.0 99.00
2009 01 01 19 50 186  5.4  6.3  1.00  6.25  5.51  39 1015.2  23.5 999.0  19.8 99.0 99.00
2009 01 01 20 50 200  4.2  5.2  0.94  6.25  5.25  46 1015.0  23.8 999.0  19.5 99.0 99.00
2009 01 01 21 50 184  4.6  5.5  1.08  6.25  5.51  39 1014.4  23.7 999.0  18.9 99.0 99.00
2009 01 01 22 50 189  4.9  5.9  1.03  6.67  5.50  41 1014.7  23.8 999.0  19.0 99.0 99.00
2009 01 01 23 50 187  4.7  5.5  1.09  6.67  5.50  45 1014.8  23.4 999.0  19.7 99.0 99.00
2009 01 02 00 50 172  4.9  5.6  1.03  6.67  5.31  52 1014.7  23.5 999.0  19.9 99.0 99.00
2009 01 02 01 50 174  6.0  7.1  0.97  6.25  5.22  41 1015.0  23.4 999.0  20.2 99.0 99.00
2009 01 02 02 50 173  6.4  7.7  1.01  6.25  5.23  37 1015.1  23.5 999.0  20.7 99.0 99.00
2009 01 02 03 50 168  7.5  8.9  0.95  6.67  4.86  55 1014.6  23.5 999.0  20.6 99.0 99.00
2009 01 02 04 50 181  6.9  7.9  0.96  6.67  4.69  57 1014.5  23.6 999.0  20.7 99.0 99.00
2009 01 02 05 50 181  6.9  7.9  0.95  6.25  4.48  49 1014.5  23.6 999.0  21.4 99.0 99.00
2009 01 02 06 50 180  7.6  9.0  0.88  6.25  4.33  52 1014.2  23.7 999.0  21.5 99.0 99.00
2009 01 02 07 50 188  8.0  9.3  0.88  6.25  4.05  53 1014.2  23.7 999.0  21.3 99.0 99.00
2009 01 02 08 50 187  7.0  8.4  0.90  6.25  3.94  60 1013.9  23.7 999.0  21.4 99.0 99.00
