YYYY MM DD hh mm  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2006 01 01 00 00 136  6.4  7.4  0.57  5.00  3.96  81 1009.7  24.9  25.1  23.0 99.0 99.00
2006 01 01 01 00 136  6.5  7.3  0.60  5.00  3.98  85 1009.9  24.8  25.1  23.0 99.0 99.00
2006 01 01 02 00 142  5.3  6.0  0.55  4.55  3.83 102 1010.5  24.8  25.0  22.9 99.0 99.00
2006 01 01 03 00 138  5.9  6.8  0.58  5.00  3.90  78 1010.8  24.8  25.0  22.8 99.0 99.00
2006 01 01 04 00 141  7.8  9.0  0.60  5.00  3.98  82 1010.9  24.8  25.0  22.4 99.0 99.00
2006 01 01 05 00 142  7.8  9.3  0.63  5.00  4.02  85 1010.8  24.8  25.0  22.5 99.0 99.00
2006 01 01 06 00 144  7.6  8.9 99.00 99.00 99.00 999 1010.7  24.8  25.0  22.5 99.0 99.00
2006 01 01 07 00 151  8.6  9.9  0.84  5.26  4.12 104 1009.9  24.7  25.0  22.2 99.0 99.00
2006 01 01 08 00 168  6.6  8.1  0.90  5.56  4.27  96 1009.8  24.7  25.0  22.5 99.0 99.00
2006 01 01 09 00 179  5.7  6.5  0.84  5.26  4.39  99 1009.7  24.8  25.0  22.6 99.0 99.00
2006 01 01 10 00 185  5.4  6.3  0.86  5.26  4.38  94 1010.1  24.8  25.0  22.7 99.0 99.00
2006 01 01 11 00 174  4.9  5.5  0.83  5.00  4.43 107 1010.1  24.9  25.0  22.9 99.0 99.00
2006 01 01 12 00 164  5.5  6.7  0.79  5.56  4.42  88 1010.3  24.8  25.0  22.8 99.0 99.00
2006 01 01 13 00 161  5.6  6.3  0.81  5.56  4.34  96 1010.6  24.8  25.0  22.8 99.0 99.00
2006 01 01 14 00 154  6.5  7.8 99.00 99.00 99.00 999 1011.1  24.9  25.0  22.7 99.0 99.00
2006 01 01 15 00 152  6.3  7.3 99.00 99.00 99.00 173 1011.6  25.2  25.0  22.8 99.0 99.00
2006 01 01 16 00 151  5.8  6.8  0.73  4.55  4.28 999 1012.3  25.4  25.1  22.9 99.0 99.00
2006 01 01 17 00 153  6.3  7.3  0.70  5.26  4.33 101 1011.6  25.3  25.1  23.1 99.0 99.00
2006 01 01 18 00 147  5.9  6.8 99.00 99.00 99.00 999 1010.7  25.2  25.2  23.2 99.0 99.00
2006 01 01 19 00 150  4.7  5.5  0.64  4.55  4.19 120 1009.9  25.3  25.2  23.3 99.0 99.00
2006 01 01 20 00 148  4.9  5.9  0.62  4.35  4.08 132 1009.1  25.4  25.3  23.4 99.0 99.00
2006 01 01 21 00 150  5.5  7.0  0.58  4.76  4.05 107 1008.8  25.3  25.3  23.2 99.0 99.00
2006 01 01 22 00 154  5.3  6.1  0.53  4.35  4.03 138 1009.2  25.4  25.3  22.7 99.0 99.00
2006 01 01 23 00 134  5.5  6.1  0.51  4.55  4.03 118 1009.6  25.4  25.3  22.9 99.0 99.00
2006 01 02 00 00 140  5.4  6.1  0.54  4.35  4.07 125 1009.7  25.2  25.2  22.9 99.0 99.00
2006 01 02 01 00 143  6.5  7.5  0.53  4.76  4.10  97 1009.8  25.2  25.2  22.8 99.0 99.00
2006 01 02 02 00 134  5.3  6.5  0.61  4.55  4.17 118 1010.5  25.2  25.2  22.8 99.0 99.00
2006 01 02 03 00 121  6.1  7.0  0.77  5.56  4.57 114 1011.0  24.9  25.2  22.7 99.0 99.00
2006 01 02 04 00 115  5.6  6.8  0.85  5.88  4.73 116 1011.6  24.7  25.2  22.9 99.0 99.00
2006 01 02 05 00 133  6.2  7.3  0.86  6.25  4.88 114 1011.7  24.9  25.2  23.0 99.0 99.00
2006 01 02 06 00 139  5.3  6.4  0.80  5.88  4.59 112 1011.6  24.8  25.1  23.1 99.0 99.00
2006 01 02 07 00 144  5.0  5.6  0.74  5.88  4.45 120 1011.5  24.8  25.1  23.3 99.0 99.00
2006 01 02 08 00 152  6.4  7.4  0.81  5.56  4.60 112 1010.7  24.8  25.1  23.3 99.0 99.00
2006 01 02 09 00 138  6.3  7.3  0.75  5.56  4.45 110 1010.8  24.8  25.1  23.4 99.0 99.00
2006 01 02 10 00 133  5.9  7.0  0.70  5.00  4.26 115 1011.1  25.0  25.1  23.3 99.0 99.00
2006 01 02 11 00 126  4.7  5.5  0.72  5.56  4.40  94 1011.7  25.0  25.1  23.4 99.0 99.00
2006 01 02 12 00 121  5.0  5.8  0.67  5.88  4.23  95 1012.3  25.0  25.1  23.3 99.0 99.00
2006 01 02 13 00 124  5.1  5.9  0.69  5.56  4.47  95 1013.0  25.2  25.1  23.2 99.0 99.00
2006 01 02 14 00 123  4.0  4.8 99.00 99.00 99.00 999 1014.2  25.4  25.1  23.2 99.0 99.00
2006 01 02 15 00 133  5.6  6.4  0.58  5.26  4.22  94 1014.8  25.5  25.1  23.0 99.0 99.00
2006 01 02 16 00 144  6.9  8.2  0.57  5.26  4.17  85 1015.0  25.5  25.2  22.9 99.0 99.00
2006 01 02 17 00 144  5.8  6.9  0.63  5.56  4.11  87 1015.2  25.6  25.2  22.8 99.0 99.00
2006 01 02 18 00 154  5.8  6.8  0.64  5.26  4.09  86 1014.5  25.5  25.3  22.9 99.0 99.00
2006 01 02 19 00 150  4.8  5.8  0.66  5.00  4.13 126 1013.8  25.5  25.4  23.1 99.0 99.00
2006 01 02 20 00 150  4.3  5.1  0.64  4.55  4.17 132 1013.3  25.5  25.4  23.1 99.0 99.00
2006 01 02 21 00 166  4.5  5.3  0.66  5.00  4.25 102 1013.2  25.5  25.5  23.1 99.0 99.00
2006 01 02 22 00 173  4.5  5.0  0.75  5.26  4.53 116 1013.4  25.3  25.5  23.1 99.0 99.00
2006 01 02 23 00 224  1.2  2.2  0.92  5.26  4.92 115 1014.2  25.4  25.4  22.9 99.0 99.00
2006 01 03 00 00 176  0.9  1.2  1.05  6.25  5.26 122 1014.5  25.3  25.4  22.6 99.0 99.00
2006 01 03 01 00  78  0.8  1.0  1.10  6.67  5.38 125 1015.1  25.3  25.4  22.9 99.0 99.00
2006 01 03 02 00  65  1.6  1.9  1.17  7.14  5.55 123 1015.7  25.3  25.4  23.2 99.0 99.00
2006 01 03 03 00  55  2.6  3.0  1.07  7.14  5.46 121 1016.3  25.2  25.4  23.3 99.0 99.00
2006 01 03 04 00  53  3.7  4.1  0.91  7.14  5.14 115 1016.8  25.2  25.4  23.3 99.0 99.00
2006 01 03 05 00  75  3.4  3.8  1.00  6.67  5.48 111 1016.8  25.1  25.4  23.3 99.0 99.00
2006 01 03 06 00  88  4.5  5.2  0.94  6.67  5.32 113 1016.6  24.9  25.4  23.2 99.0 99.00
2006 01 03 07 00  87  3.3  3.7  0.93  6.67  5.34  93 1016.2  24.8  25.3  23.1 99.0 99.00
2006 01 03 08 00  69  3.6  4.2  0.90  6.25  5.32 101 1016.2  24.7  25.3  23.1 99.0 99.00
2006 01 03 09 00  41  3.4  3.8  0.81  5.88  5.18 102 1016.2  24.6  25.3  22.8 99.0 99.00
2006 01 03 10 00  28  4.4  5.0  0.70  6.25  5.15  88 1016.3  24.6  25.3  22.8 99.0 99.00
2006 01 03 11 00  33  4.1  4.7 99.00 99.00 99.00 999 1016.6  24.5  25.3  22.6 99.0 99.00
2006 01 03 12 00  49  3.6  4.3  0.72  6.25  5.08  78 1016.9  24.6  25.3  22.5 99.0 99.00
2006 01 03 13 00  52  4.0  4.8  0.59  6.25  4.90  80 1017.2  24.6  25.3  22.3 99.0 99.00
2006 01 03 14 00  75  3.1  3.5  0.54  5.26  4.76  93 1018.0  24.9  25.2  22.4 99.0 99.00
2006 01 03 15 00  87  3.5  3.9  0.54  5.56  4.77  74 1018.9  24.9  25.2  22.5 99.0 99.00
2006 01 03 16 00  90  3.2  3.6  0.54  5.56  4.69  82 1019.3  25.2  25.3  22.6 99.0 99.00
2006 01 03 17 00  89  3.3  3.8  0.47  5.88  4.62  73 1019.3  25.1  25.3  22.5 99.0 99.00
2006 01 03 18 00  86  2.9  3.4 99.00 99.00 99.00 999 1018.4  25.2  25.4  22.5 99.0 99.00
2006 01 03 19 00  89  2.1  3.0  0.50  6.25  4.69  65 1017.3  25.3  25.6  22.6 99.0 99.00
2006 01 03 20 00 108  2.8  3.1  0.52  5.00  4.85  79 1016.6  25.3  25.8  22.4 99.0 99.00
2006 01 03 21 00  99  3.3  3.8  0.45  5.26  4.60  74 1016.1  25.2  25.7  22.4 99.0 99.00
2006 01 03 22 00  95  3.1  3.7  0.50  5.56  4.77  65 1016.3  25.1  25.6  22.0 99.0 99.00
2006 01 03 23 00  81  2.7  3.2  0.45  5.88  4.58  67 1016.5  25.1  25.5  22.2 99.0 99.00
2006 01 04 00 00  64  3.6  4.4  0.45  5.56  4.58  78 1016.6  24.8  25.5  22.2 99.0 99.00
2006 01 04 01 00  81  4.0  4.4  0.44  5.00  4.56  73 1016.9  24.8  25.5  22.1 99.0 99.00
2006 01 04 02 00  83  4.2  4.7  0.45  5.88  4.57  64 1017.4  24.7  25.4  22.2 99.0 99.00
2006 01 04 03 00  78  4.8  5.5  0.44  5.56  4.53  69 1017.9  24.7  25.4  22.2 99.0 99.00
2006 01 04 04 00  84  4.5  5.1  0.42  5.26  4.41  77 1018.1  24.6  25.4  22.0 99.0 99.00
2006 01 04 05 00  95  4.7  5.4  0.43  5.56  4.50  65 1018.0  24.6  25.5  21.9 99.0 99.00
2006 01 04 06 00  88  4.2  4.8 99.00 99.00 99.00 999 1017.6  24.5  25.4  22.0 99.0 99.00
2006 01 04 07 00  82  3.9  4.7  0.41  5.26  4.18  72 1017.1  24.4  25.3  21.9 99.0 99.00
2006 01 04 08 00  75  4.3  5.0 99.00 99.00 99.00  76 1016.5  24.4  25.2  21.7 99.0 99.00
2006 01 04 09 00  70  4.2  4.8  0.37  5.88  3.93  59 1016.1  24.3  25.2  21.9 99.0 99.00
2006 01 04 10 00  84  4.2  5.0  0.38  4.17  3.65  77 1016.0  24.3  25.2  21.6 99.0 99.00
2006 01 04 11 00 109  4.9  5.5 99.00 99.00 99.00 999 1016.0  24.3  25.2  21.6 99.0 99.00
2006 01 04 12 00 117  4.6  5.3  0.38  6.67  3.44  36 1016.4  24.4  25.2  21.4 99.0 99.00
2006 01 04 13 00 119  4.2  5.1  0.41  3.70  3.36  74 1017.0  24.5  25.2  21.4 99.0 99.00
2006 01 04 14 00 122  4.5  5.1 99.00 99.00 99.00 999 1017.7  24.7  25.2  21.4 99.0 99.00
2006 01 04 15 00 121  4.9  5.6  0.40  3.70  3.36  84 1018.3  24.9  25.3  21.5 99.0 99.00
2006 01 04 16 00 124  4.4  5.0  0.41  3.57  3.39  82 1018.7  25.0  25.3  21.6 99.0 99.00
2006 01 04 17 00 125  3.8  4.2 99.00 99.00 99.00 999 1018.6  25.1  25.4  21.5 99.0 99.00
2006 01 04 18 00 142  3.5  4.1  0.43  3.70  3.53  89 1018.0  25.0  25.5  21.6 99.0 99.00
2006 01 04 19 00 147  2.9  3.3  0.41  4.00  3.54  96 1016.9  25.0  25.6  21.7 99.0 99.00
2006 01 04 20 00 148  3.0  3.5  0.41  3.85  3.55  78 1016.2  25.0  25.7  21.5 99.0 99.00
2006 01 04 21 00 132  3.4  4.1  0.42  3.85  3.59  85 1015.4  25.0  25.8  21.6 99.0 99.00
2006 01 04 22 00 127  3.2  4.0  0.39  3.70  3.66  92 1015.4  25.1  25.7  21.5 99.0 99.00
2006 01 04 23 00 111  2.8  3.4  0.40  3.70  3.66  87 1015.9  25.1  25.6  21.5 99.0 99.00
2006 01 05 00 00  73  3.2  4.0  0.37  3.85  3.68  95 1016.4  24.8  25.5  21.4 99.0 99.00
2006 01 05 01 00  55  3.9  4.4  0.37  4.00  3.74 108 1016.9  24.8  25.5  21.3 99.0 99.00
2006 01 05 02 00  70  3.9  4.9  0.37  4.00  3.73  87 1017.3  24.7  25.4  21.6 99.0 99.00
2006 01 05 03 00  65  4.2  4.8 99.00 99.00 99.00 999 1017.6  24.6  25.3  21.5 99.0 99.00
2006 01 05 04 00  54  4.3  4.8 99.00 99.00 99.00 999 1018.0  24.6  25.3  21.4 99.0 99.00
2006 01 05 05 00  59  3.9  4.6 99.00 99.00 99.00 999 1018.5  24.6  25.3  21.2 99.0 99.00
2006 01 05 06 00  58  3.7  4.2 99.00 99.00 99.00 999 1018.4  24.5  25.2  21.0 99.0 99.00
2006 01 05 07 00  64  3.2  3.8  0.40  4.17  3.56 999 1017.6  24.4  25.2  21.0 99.0 99.00
2006 01 05 08 00  77  2.2  2.5 99.00 99.00 99.00 999 1017.0  24.3  25.2  21.1 99.0 99.00
2006 01 05 09 00  39  2.1  2.5  0.42  4.17  3.73 999 1016.9  24.2  25.3  20.8 99.0 99.00
2006 01 05 10 00  31  1.5  2.0  0.37  4.00  3.73 104 1016.7  24.1  25.3  21.0 99.0 99.00
2006 01 05 11 00 349  1.9  2.3  0.34  4.00  3.64  94 1016.8  24.1  25.3  20.8 99.0 99.00
2006 01 05 12 00 358  1.0  1.5  0.35  4.00  3.69 103 1017.1  24.0  25.3  20.7 99.0 99.00
2006 01 05 13 00 336  1.0  1.6  0.34  4.00  3.61 103 1017.5  24.0  25.3  20.6 99.0 99.00
2006 01 05 14 00 354  2.4  2.9 99.00 99.00 99.00 999 1018.3  24.3  25.3  20.7 99.0 99.00
2006 01 05 15 00   7  3.0  3.6  0.33  4.00  3.76 109 1019.0  24.5  25.3  21.0 99.0 99.00
2006 01 05 16 00 354  3.3  4.0  0.29  4.00  3.70 105 1019.7  24.6  25.3  20.6 99.0 99.00
2006 01 05 17 00 341  4.4  5.2  0.28  4.00  3.59 106 1019.8  24.6  25.4  20.6 99.0 99.00
2006 01 05 18 00 354  4.6  5.6  0.31  3.70  3.78  99 1019.0  24.5  25.5  20.8 99.0 99.00
2006 01 05 19 00 351  5.0  5.8  0.29  3.57  3.38  95 1017.7  24.5  25.6  20.8 99.0 99.00
2006 01 05 20 00 346  6.2  7.1  0.35  3.85  3.02  95 1017.1  24.5  25.6  20.3 99.0 99.00
2006 01 05 21 00 355  6.7  7.7  0.33  2.74  3.00  21 1017.2  24.4  25.6  20.1 99.0 99.00
2006 01 05 22 00 345  6.1  7.0  0.38  2.94  3.03   7 1017.3  24.5  25.5  20.4 99.0 99.00
2006 01 05 23 00 348  6.4  7.4  0.42  3.23  3.03  21 1017.3  24.5  25.5  20.3 99.0 99.00
2006 01 06 00 00 345  7.6  8.8  0.50  3.45  3.17  28 1017.9  24.4  25.4  20.1 99.0 99.00
2006 01 06 01 00   9 14.7 16.7  0.63  3.33  3.19  16 1018.4  24.0  25.3  19.4 99.0 99.00
2006 01 06 02 00  16 13.1 15.8  1.26  4.55  3.63  10 1019.5  24.1  25.2  18.8 99.0 99.00
2006 01 06 03 00   9 13.6 16.8  1.81  5.26  4.19   9 1020.6  23.6  25.2  16.5 99.0 99.00
2006 01 06 04 00   5 14.8 17.3  2.14  6.25  4.77  11 1021.1  23.3  25.1  14.1 99.0 99.00
2006 01 06 05 00   6 14.6 17.0  2.32  6.67  4.84 356 1021.6  22.7  25.0  14.2 99.0 99.00
2006 01 06 06 00   7 13.7 16.0 99.00 99.00 99.00 999 1022.0  22.2  24.9  14.7 99.0 99.00
2006 01 06 07 00  16 13.8 16.5  2.73  7.69  5.44 356 1021.9  22.3  24.9  13.8 99.0 99.00
2006 01 06 08 00   6 14.2 16.7  3.43  7.69  6.01   2 1021.9  22.1  24.8  13.3 99.0 99.00
2006 01 06 09 00   3 14.9 17.5  3.71  8.33  6.20 359 1021.9  21.8  24.8  12.8 99.0 99.00
2006 01 06 10 00 359 14.0 17.4  3.64  8.33  6.35 354 1022.4  21.8  24.8  12.4 99.0 99.00
2006 01 06 11 00 359 14.1 17.2  4.08  9.09  6.72 338 1022.8  21.8  24.8  11.8 99.0 99.00
2006 01 06 12 00 352 13.2 15.7  3.94  8.33  6.58 348 1023.4  21.9  24.8  11.0 99.0 99.00
2006 01 06 13 00 349 13.7 16.5  3.63  9.09  6.54   6 1023.9  22.1  24.8  10.9 99.0 99.00
2006 01 06 14 00 355 13.4 16.8  3.73  9.09  6.79 354 1024.8  22.1  24.8  11.2 99.0 99.00
2006 01 06 15 00 350 13.9 17.9  4.01  9.09  6.84 358 1025.8  21.7  24.7  10.9 99.0 99.00
2006 01 06 16 00 345 13.4 16.4  3.58  9.09  6.80 358 1026.0  21.8  24.7  10.6 99.0 99.00
2006 01 06 17 00 334 12.4 15.1  3.76 10.00  7.12   6 1025.7  21.7  24.7  10.2 99.0 99.00
