#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2010 05 29 16 50 116  3.5  4.1 99.00 99.00 99.00 999 1011.7  27.1  27.8 999.0 99.0 99.00
2010 05 29 17 50 110  3.8  4.9  0.22 99.00  4.12 999 1011.5  26.9  28.3 999.0 99.0 99.00
2010 05 29 18 50 118  4.0  5.0  0.21 99.00  4.27 999 1011.1  27.0  28.6 999.0 99.0 99.00
2010 05 29 19 50 120  3.1  4.0  0.20 99.00  3.94 999 1010.5  27.2  28.8 999.0 99.0 99.00
2010 05 29 20 50 105  3.4  4.3  0.19 99.00  4.27 999 1009.8  27.2  28.8  21.3 99.0 99.00
2010 05 29 21 50  97  2.8  3.4  0.17 99.00  4.26 999 1009.3  27.3  29.0  21.4 99.0 99.00
2010 05 29 22 50  92  2.9  3.8  0.19 99.00  4.36 999 1008.8  27.7  29.1  22.0 99.0 99.00
2010 05 29 23 50 112  3.2  4.1  0.16 99.00  4.28 999 1008.7  27.3  28.9  21.6 99.0 99.00
2010 05 30 00 50 124  3.4  4.5  0.17 99.00  4.32 999 1008.7  27.2  28.7  21.4 99.0 99.00
2010 05 30 01 50 139  3.2  3.8  0.17 99.00  4.38 999 1008.9  27.2  28.6  21.2 99.0 99.00
2010 05 30 02 50 124  2.2  3.0  0.16 99.00  4.15 999 1009.4  27.2  28.4  20.8 99.0 99.00
2010 05 30 03 50 121  3.2  3.9  0.15 99.00  4.11 999 1009.8  27.1  28.3  20.8 99.0 99.00
2010 05 30 04 50 122  3.5  4.4  0.15 99.00  4.01 999 1010.0  27.1  28.2  20.9 99.0 99.00
2010 05 30 05 50 118  3.9  5.0  0.14 99.00  3.81 999 1009.6  26.9  28.1  21.2 99.0 99.00
2010 05 30 06 50 130  3.6  4.3  0.14 99.00  3.44 999 1009.1  26.8  28.0  21.3 99.0 99.00
2010 05 30 07 50 121  3.5  4.3  0.15 99.00  3.25 999 1008.9  26.8  27.9  21.1 99.0 99.00
2010 05 30 08 50 100  2.9  3.8  0.14 99.00  3.35 999 1009.0  26.7  27.9  21.3 99.0 99.00
2010 05 30 09 50 111  4.2  5.1  0.16 99.00  3.11 999 1008.9  26.7  27.8  21.7 99.0 99.00
2010 05 30 10 50 111  4.7  5.5  0.17 99.00  2.86 999 1009.1  26.8  27.8  21.5 99.0 99.00
2010 05 30 11 50  75  5.5  6.2  0.21 99.00  2.68 999 1010.0  26.8  27.8  21.5 99.0 99.00
2010 05 30 12 50  82  5.4  6.3  0.24 99.00  2.71 999 1010.5  27.2  27.7  20.8 99.0 99.00
2010 05 30 13 50  98  5.6  7.4  0.29  2.74  2.81 999 1010.8  27.4  27.8  21.4 99.0 99.00
2010 05 30 14 50 103  5.7  7.0  0.30  2.94  2.88 999 1010.9  27.4  27.8  21.5 99.0 99.00
2010 05 30 15 50 103  5.6  6.7  0.33  3.13  2.88 999 1011.0  27.4  27.9  21.9 99.0 99.00
2010 05 30 16 50 106  4.8  5.9  0.37  3.03  2.97 999 1011.0  27.5  28.0  22.3 99.0 99.00
2010 05 30 17 50 108  5.2  6.5  0.42  3.45  3.03 999 1010.8  27.5  28.1  22.3 99.0 99.00
2010 05 30 18 50 109  5.4  6.3  0.46  3.23  3.12 999 1010.4  27.5  28.2  22.2 99.0 99.00
2010 05 30 19 50 125  4.8  5.5  0.52  3.70  3.15 999 1010.1  27.7  28.3  21.3 99.0 99.00
2010 05 30 20 50 117  5.0  6.2  0.49  3.45  3.20 999 1009.8  27.7  28.4  22.5 99.0 99.00
2010 05 30 21 50 125  5.8  6.7  0.55  4.00  3.31 999 1009.5  27.9  28.4  22.0 99.0 99.00
2010 05 30 22 50 123  6.4  7.3  0.52  3.70  3.16 999 1009.0  27.7  28.4  22.5 99.0 99.00
2010 05 30 23 50 112  6.5  7.2  0.58  4.35  3.23 999 1009.0  27.7  28.3  22.8 99.0 99.00
2010 05 31 00 50 103  6.4  7.6  0.62  4.17  3.15 999 1009.1  27.5  28.2  23.3 99.0 99.00
2010 05 31 01 50 105  6.3  7.2  0.61  4.00  3.22 999 1010.0  27.6  28.1  23.0 99.0 99.00
2010 05 31 02 50  97  5.6  6.4  0.63  4.17  3.21 999 1011.2  27.5  28.0  23.7 99.0 99.00
2010 05 31 03 50  96  5.5  6.1  0.60  4.00  3.35 999 1011.9  27.5  28.0  23.8 99.0 99.00
2010 05 31 04 50  91  5.1  5.6  0.57  4.35  3.26 999 1012.2  27.4  27.9  24.2 99.0 99.00
2010 05 31 05 50  98  6.0  7.0  0.53  4.35  3.34 999 1011.8  27.3  27.9  24.5 99.0 99.00
2010 05 31 06 50  96  6.6  7.4  0.53  4.17  3.22 999 1011.3  27.3  27.8  24.2 99.0 99.00
2010 05 31 07 50  93  5.0  5.7  0.56  4.00  3.24 999 1011.3  27.3  27.8  24.2 99.0 99.00
2010 05 31 08 50  87  6.2  7.2  0.55  4.35  3.24 999 1011.3  27.4  27.8  24.2 99.0 99.00
2010 05 31 09 50  91  6.3  7.2  0.56  4.17  3.29 999 1011.1  27.4  27.8  24.6 99.0 99.00
2010 05 31 10 50  88  6.4  7.5  0.55  4.35  3.26 999 1011.2  27.4  27.8  24.7 99.0 99.00
2010 05 31 11 50  85  5.4  6.0  0.52  3.85  3.27 999 1011.2  27.3  27.7  24.6 99.0 99.00
2010 05 31 12 50  73  5.0  5.7  0.57  4.17  3.49 999 1012.0  27.5  27.7  24.5 99.0 99.00
2010 05 31 13 50  90  6.5  7.5  0.53  4.35  3.49 999 1012.4  27.6  27.8  24.6 99.0 99.00
2010 05 31 14 50  95  6.2  7.0  0.56  4.35  3.41 999 1012.9  27.5  27.8  24.7 99.0 99.00
2010 05 31 15 50 116  5.8  6.6  0.60  4.35  3.39 999 1012.7  27.7  27.8  25.0 99.0 99.00
2010 05 31 16 50 121  6.1  6.9  0.59  4.35  3.48 999 1012.4  27.7  27.9  25.3 99.0 99.00
2010 05 31 17 50 131  5.8  6.5  0.55  4.35  3.48 999 1012.2  27.9  28.0  25.2 99.0 99.00
2010 05 31 18 50 135  4.3  5.2  0.53  4.55  3.40 999 1012.1  28.0  28.1  25.3 99.0 99.00
2010 05 31 19 50 115  3.2  3.6  0.57  4.55  3.59 999 1012.0  28.1  28.3  25.5 99.0 99.00
2010 05 31 20 50 109  2.7  3.2  0.55  4.35  3.46 999 1012.1  28.2  28.5  25.7 99.0 99.00
2010 05 31 21 50  92  2.6  2.8  0.51  4.17  3.51 999 1011.9  28.2  28.5  25.9 99.0 99.00
2010 05 31 22 50  78  3.1  3.5  0.50  4.17  3.51 999 1011.9  28.3  28.6  26.1 99.0 99.00
2010 05 31 23 50  98  4.1  4.5  0.48  4.55  3.60 999 1011.9  28.2  28.5  26.2 99.0 99.00
2010 06 01 00 50 114  4.3  5.0  0.46  4.55  3.55 999 1012.2  28.1  28.3  26.2 99.0 99.00
2010 06 01 01 50 105  4.4  5.0  0.45  4.55  3.44 999 1012.8  28.0  28.2  26.2 99.0 99.00
2010 06 01 02 50 104  5.5  6.3  0.47  4.55  3.53 999 1013.6  28.0  28.1  25.9 99.0 99.00
2010 06 01 03 50  97  4.9  5.5  0.47  4.55  3.37 999 1013.9  27.9  28.0  25.8 99.0 99.00
2010 06 01 04 50  86  5.6  6.4  0.50  4.55  3.53 999 1014.1  27.8  28.0  25.9 99.0 99.00
2010 06 01 05 50  94  7.0  7.7  0.55  5.00  3.42  89 1013.7  27.6  28.0  25.6 99.0 99.00
2010 06 01 06 50  89  7.0  8.0  0.62  4.55  3.37 999 1013.3  27.5  27.9  25.3 99.0 99.00
2010 06 01 07 50  94  7.8  8.7  0.68  3.45  3.26 999 1012.9  27.5  28.0  24.9 99.0 99.00
2010 06 01 08 50 106  7.8  9.0  0.76  3.33  3.36 999 1012.4  27.6  27.9  25.0 99.0 99.00
2010 06 01 09 50 117  7.6  9.2  0.83  3.33  3.36 999 1012.2  27.6  27.9  25.0 99.0 99.00
2010 06 01 10 50 121  6.5  7.3  0.80  4.55  3.57 999 1012.3  27.8  27.9  24.3 99.0 99.00
