#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2010 12 31 23 50 143  6.6  7.7  1.41  6.25  5.14 137 1007.9  24.1  24.0  22.8 99.0 99.00
2011 01 01 00 50 141  6.3  7.0  1.32  5.88  5.06 135 1008.9  24.1  23.9  22.8 99.0 99.00
2011 01 01 01 50 139  6.0  7.1  1.36  6.25  5.08 127 1009.5  24.1  23.9  22.9 99.0 99.00
2011 01 01 02 50 145  5.8  6.4  1.29  6.25  5.06 138 1010.3  24.1  23.9  22.8 99.0 99.00
2011 01 01 03 50 148  5.6  6.6  1.21  6.25  5.18 139 1010.7  24.2  23.9  22.9 99.0 99.00
2011 01 01 04 50 132  5.2  5.8  1.13  6.25  5.10 123 1010.4  24.1  23.8  22.6 99.0 99.00
2011 01 01 05 50 159  6.3  7.0  1.16  5.88  5.11 129 1010.4  24.3  23.8  22.5 99.0 99.00
2011 01 01 06 50 158  3.9  4.6  1.05  5.88  4.94 162 1010.3  24.4  23.8  22.5 99.0 99.00
2011 01 01 07 50 144  4.1  4.4  1.09  5.88  5.32 130 1009.9  24.9  23.8  21.8 99.0 99.00
2011 01 01 08 50 139  3.5  4.1  1.04  5.56  5.30 141 1009.7  25.0  23.8  21.6 99.0 99.00
2011 01 01 09 50 134  8.1  9.7  0.99  6.67  5.09 107 1009.0  25.5  23.8  21.6 99.0 99.00
2011 01 01 10 50 139  7.6  9.2  1.01  5.88  4.86 165 1009.6  24.9  23.8  22.4 99.0 99.00
2011 01 01 11 50 148  7.8  9.2  1.04  5.56  4.65 156 1010.1  24.6  23.8  22.5 99.0 99.00
2011 01 01 12 50 151  7.2  8.3  1.01  5.88  4.37 141 1010.9  24.4  23.8  22.5 99.0 99.00
2011 01 01 13 50 151  5.9  6.8  1.09  5.26  4.49 146 1012.0  24.3  23.8  22.5 99.0 99.00
2011 01 01 14 50 142  6.4  7.1  1.11  5.26  4.69 166 1012.8  24.3  23.8  22.5 99.0 99.00
2011 01 01 15 50 143  5.5  6.3  1.17  5.88  4.78 151 1013.4  24.4  23.9  22.5 99.0 99.00
2011 01 01 16 50 147  6.0  7.0  1.26  5.56  4.96 142 1013.2  24.5  23.9  22.5 99.0 99.00
2011 01 01 17 50 148  5.6  6.7  1.34  5.88  5.12 162 1012.9  24.5  23.9  22.4 99.0 99.00
2011 01 01 18 50 161  5.5  6.2  1.27  5.88  5.06 142 1012.4  24.5  24.0  22.4 99.0 99.00
2011 01 01 19 50 171  3.8  4.6  1.37  6.25  5.15 136 1012.2  24.5  24.0  22.5 99.0 99.00
2011 01 01 20 50 226  1.5  1.8  1.28  6.25  5.10 148 1012.4  24.7  24.1  22.7 99.0 99.00
2011 01 01 21 50 291  0.6  0.8  1.40  6.25  5.51 133 1012.4  24.7  24.2  22.7 99.0 99.00
2011 01 01 22 50 322  1.8  2.2  1.41  6.67  5.70 124 1012.8  24.2  24.1  22.8 99.0 99.00
2011 01 01 23 50 349  0.8  1.2  1.58  7.14  5.87 112 1013.2  24.1  24.1  22.9 99.0 99.00
2011 01 02 00 50 329  2.0  2.4  1.45  6.67  5.78 122 1013.9  24.0  24.0  23.0 99.0 99.00
2011 01 02 01 50  33  1.7  2.1  1.45  6.67  5.80 126 1014.7  24.0  24.0  23.1 99.0 99.00
2011 01 02 02 50  61  1.6  2.2  1.34  7.14  5.76  96 1015.4  23.9  24.0  23.1 99.0 99.00
