#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2010 04 23 19 50 265  6.3  7.3 99.00 99.00 99.00 999 1014.3  20.4  20.6  12.6 99.0 99.00
2010 04 23 20 50 251  6.3  7.5  1.71  7.14  6.20 140 1014.6  20.5  20.4  14.2 99.0 99.00
2010 04 23 21 50 248  6.8  8.1  1.71  8.33  6.01 191 1014.7  20.5  20.4  14.4 99.0 99.00
2010 04 23 22 50 227  7.3  8.8  1.64  8.33  5.69 180 1014.9  20.4  20.3  14.7 99.0 99.00
2010 04 23 23 50 275  7.8  9.0  1.62  7.14  5.81 115 1015.2  20.4  20.2  14.6 99.0 99.00
2010 04 24 00 50 276  7.6  8.5  1.58  6.67  5.57 116 1015.6  20.4  20.1  15.8 99.0 99.00
2010 04 24 01 50 292  7.8  8.8  1.62  7.14  5.71 122 1016.2  20.5  20.0  15.5 99.0 99.00
2010 04 24 02 50 294  7.8  9.1  1.49  8.33  5.58 999 1015.9  20.4  19.9  16.1 99.0 99.00
2010 04 24 03 50 292  7.6  9.3  1.50  8.33  5.30 999 1015.8  20.4  19.9  16.5 99.0 99.00
2010 04 24 04 50 302  8.2 10.1  1.46  6.25  5.06 999 1015.7  20.4  19.8  16.7 99.0 99.00
2010 04 24 05 50 295  9.4 11.1  1.48  6.67  4.90 999 1015.3  20.8  19.8  13.7 99.0 99.00
2010 04 24 06 50 263  6.7  7.9  1.58  5.88  5.34 999 1015.1  20.2  19.8  15.6 99.0 99.00
2010 04 24 07 50 312  9.3 11.8  1.38  7.69  4.98 999 1015.1  20.3  19.9  15.5 99.0 99.00
2010 04 24 08 50 304  8.9 10.4  1.52  7.69  5.18 999 1015.7  19.7  19.9  15.6 99.0 99.00
2010 04 24 09 50 300  6.8  8.5  1.52  7.14  5.15 999 1016.1  19.6  19.9  15.9 99.0 99.00
2010 04 24 10 50 324  6.6  7.7  1.50  5.88  5.54 999 1017.2  19.6  19.9  15.8 99.0 99.00
2010 04 24 11 50 337  7.5  8.9  1.48  7.69  5.43 999 1017.9  19.6  19.9  13.8 99.0 99.00
2010 04 24 12 50 338  8.0  9.2  1.51  6.25  5.49 999 1018.6  19.2  19.9  12.8 99.0 99.00
2010 04 24 13 50 341  7.0  8.7  1.56  8.33  5.48 999 1018.9  19.0  20.0  11.8 99.0 99.00
2010 04 24 14 50 341  5.8  6.8  1.80  7.69  5.98 999 1019.3  18.7  20.0  10.8 99.0 99.00
2010 04 24 15 50 338  5.3  6.4  1.73  7.69  5.95 999 1019.5  18.6  20.1  10.3 99.0 99.00
2010 04 24 16 50 340  4.4  5.5  1.85  7.69  6.21 999 1019.4  18.6  20.2  10.2 99.0 99.00
2010 04 24 17 50 329  3.5  4.4  1.71  7.69  6.17 999 1019.0  18.6  20.3  10.1 99.0 99.00
2010 04 24 18 50 316  3.2  4.2  1.67  7.69  6.48 999 1018.9  18.7  20.4   9.6 99.0 99.00
2010 04 24 19 50 337  3.8  5.1  1.81  7.69  6.55 999 1018.5  18.7  20.6   8.9 99.0 99.00
2010 04 24 20 50 338  3.1  4.3  1.76  7.69  6.45 999 1018.6  19.1  20.5   9.4 99.0 99.00
2010 04 24 21 50 326  2.8  3.4  1.82  9.09  6.70 999 1019.0  19.1  20.5   9.2 99.0 99.00
2010 04 24 22 50 341  3.1  3.9  1.90  9.09  6.69 999 1018.7  18.6  20.4   8.9 99.0 99.00
2010 04 24 23 50 309  2.1  3.3  1.93  9.09  6.72 999 1019.1  18.4  20.3   9.2 99.0 99.00
2010 04 25 00 50 311  2.2  3.3  2.02  9.09  7.18 999 1019.9  18.5  20.3   9.3 99.0 99.00
2010 04 25 01 50 291  1.1  1.7  1.92 10.81  6.97 999 1019.8  18.5  20.3   9.1 99.0 99.00
2010 04 25 02 50   0  0.0  0.2  1.98 10.00  7.13 999 1019.1  18.2  20.3   9.1 99.0 99.00
2010 04 25 03 50 171  0.4  1.0  1.81 11.43  7.14 999 1019.1  18.3  20.3   9.3 99.0 99.00
2010 04 25 04 50 104  1.1  1.9  1.99  9.09  7.42 999 1018.6  18.3  20.3   9.6 99.0 99.00
2010 04 25 05 50 145  2.0  2.9  1.97 10.00  7.30 999 1018.0  18.4  20.2   9.6 99.0 99.00
2010 04 25 06 50 132  3.4  4.1  1.81 12.90  7.41 999 1016.9  18.4  20.2  10.1 99.0 99.00
2010 04 25 07 50 161  4.5  5.8  1.92 12.12  7.78 999 1016.7  18.5  20.2  10.3 99.0 99.00
2010 04 25 08 50 153  6.0  7.0  1.93 12.90  7.98 999 1015.9  18.5  20.2  11.4 99.0 99.00
2010 04 25 09 50 160  6.2  7.7  1.86 11.43  7.90 999 1015.6  18.6  20.2  12.1 99.0 99.00
2010 04 25 10 50 186  7.9  9.6  1.80 12.12  8.02 999 1016.0  19.0  20.2  12.6 99.0 99.00
2010 04 25 11 50 190  8.8 10.7  1.88 12.90  7.37 999 1015.7  19.1  20.2  13.1 99.0 99.00
2010 04 25 12 50 207  9.0 10.5  1.78 14.81  6.72 999 1015.8  19.3  20.2  13.8 99.0 99.00
2010 04 25 13 50 220  8.6 10.0  1.87 13.79  6.39 999 1016.4  19.4  20.2  14.1 99.0 99.00
2010 04 25 14 50 229  8.4 10.3  1.82 14.81  6.18 999 1016.1  19.6  20.3  14.6 99.0 99.00
2010 04 25 15 50 216  8.8 10.3  1.95 13.79  6.34 999 1015.8  19.7  20.3  15.3 99.0 99.00
2010 04 25 16 50 236  9.8 12.1  1.97 13.79  6.53 999 1015.1  19.9  20.3  16.0 99.0 99.00
2010 04 25 17 50 192 10.5 13.2  2.21 12.90  6.79 999 1014.5  20.0  20.3  17.0 99.0 99.00
2010 04 25 18 50 198 10.8 13.0  2.04 13.79  6.43 999 1014.1  20.2  20.4  17.7 99.0 99.00
2010 04 25 19 50 196 10.8 13.2  2.19 12.90  6.41 999 1013.2  20.2  20.4  18.0 99.0 99.00
2010 04 25 20 50 194 10.1 11.7  1.97 12.90  6.31 999 1012.7  20.3  20.4  18.3 99.0 99.00
2010 04 25 21 50 189 10.5 12.9  2.02 12.90  6.49 999 1012.4  20.3  20.4  18.3 99.0 99.00
2010 04 25 22 50 182 11.3 13.2  2.11 12.90  6.23 999 1011.6  20.3  20.4  18.3 99.0 99.00
2010 04 25 23 50 187 11.7 14.0  1.95 12.90  5.95 999 1011.5  20.4  20.4  18.2 99.0 99.00
2010 04 26 00 50 186 12.4 15.2  1.90 12.12  5.64 999 1010.9  20.4  20.4  18.5 99.0 99.00
2010 04 26 01 50 174 14.3 17.4  1.98 12.90  5.43 999 1009.1  20.3  20.3  18.5 99.0 99.00
2010 04 26 02 50 179 14.1 17.4  2.07 12.12  5.41 999 1008.8  20.4  20.3  18.3 99.0 99.00
2010 04 26 03 50 180 14.1 17.3  2.23  5.88  5.48 999 1008.2  20.5  20.2  18.5 99.0 99.00
2010 04 26 04 50 180 13.8 16.5  2.55  6.25  5.68 999 1007.5  20.4  20.2  18.6 99.0 99.00
2010 04 26 05 50 199 12.9 15.5  2.58  6.67  5.87 999 1007.5  20.4  20.2  18.6 99.0 99.00
