YYYY MM DD hh mm  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2005 01 01 00 00   7  3.7  5.1  1.98 10.00  7.51 208  998.8   8.7   8.6 999.0 99.0 99.00
2005 01 01 01 00   3  3.7  5.1  2.25  9.09  7.93 189  998.9   8.6   8.3 999.0 99.0 99.00
2005 01 01 02 00  10  3.4  4.5  2.01  9.09  7.46 207  999.3   8.3   8.3 999.0 99.0 99.00
2005 01 01 03 00 147  6.4  7.8  1.98  9.09  7.48 225  999.6   8.2   8.3 999.0 99.0 99.00
2005 01 01 04 00 152  6.7  7.9  2.02  9.09  7.90 244 1000.0   7.4   8.2 999.0 99.0 99.00
2005 01 01 05 00 144  5.7  7.4  1.66  9.09  7.00 279 1000.2   6.7   8.2 999.0 99.0 99.00
2005 01 01 06 00 123  6.4  7.6  1.85 10.00  6.79 288 1000.1   7.0   8.2 999.0 99.0 99.00
2005 01 01 07 00 102  6.4  7.9  1.90  9.09  6.75 298 1000.0   7.1   8.2 999.0 99.0 99.00
2005 01 01 08 00 109  6.5  8.4  2.04 10.00  7.24 293 1000.1   6.7   8.2 999.0 99.0 99.00
2005 01 01 09 00 117  7.5  9.3  1.81 10.00  6.79 295 1000.1   6.7   8.2 999.0 99.0 99.00
2005 01 01 10 00 116  9.1 10.8  2.01  8.33  6.89 296 1000.1   6.7   8.2 999.0 99.0 99.00
2005 01 01 11 00 126  8.6 10.8  1.96  8.33  6.53 291 1000.6   6.4   8.2 999.0 99.0 99.00
2005 01 01 12 00 110  8.4 10.0  1.92  9.09  6.77 294 1000.8   5.8   8.2 999.0 99.0 99.00
2005 01 01 13 00 123  6.4  7.8  1.84  9.09  6.62 292 1001.1   5.8   8.3 999.0 99.0 99.00
2005 01 01 14 00 111  7.5  8.9  1.80 10.00  6.41 292 1001.5   5.6   8.6 999.0 99.0 99.00
2005 01 01 15 00  98  8.0  9.8  1.84  9.09  6.48 290 1002.0   5.8   8.6 999.0 99.0 99.00
2005 01 01 16 00  99  9.0 10.9  1.99 10.00  6.32 286 1002.4   5.6   8.7 999.0 99.0 99.00
2005 01 01 17 00  96  9.2 11.6  1.76 10.00  5.69 286 1003.2   6.3   8.7 999.0 99.0 99.00
2005 01 01 18 00  92  8.8 12.1  1.69  9.09  5.59 288 1004.1   6.5   8.7 999.0 99.0 99.00
2005 01 01 19 00 104  9.5 11.9  1.91  9.09  5.83 290 1004.8   6.5   8.9 999.0 99.0 99.00
2005 01 01 20 00  92  7.4  9.4  1.77 10.00  5.54 298 1005.2   6.2   9.0 999.0 99.0 99.00
2005 01 01 21 00  97  9.8 12.0  1.60  9.09  5.69 297 1005.1   6.7   9.0 999.0 99.0 99.00
2005 01 01 22 00 106 10.0 12.1  1.81 10.00  5.53 304 1005.4   7.1   9.0 999.0 99.0 99.00
2005 01 01 23 00 104 10.2 12.4  1.77  9.09  5.30 297 1006.2   7.4   9.0 999.0 99.0 99.00
2005 01 02 00 00 104 10.1 12.4  1.79 10.00  5.56 300 1007.1   7.4   9.0 999.0 99.0 99.00
2005 01 02 01 00 103  9.9 11.9  1.86 10.00  5.39 301 1008.0   7.1   9.0 999.0 99.0 99.00
2005 01 02 02 00 113  9.8 11.7  1.79  9.09  5.66 299 1008.9   7.3   9.0 999.0 99.0 99.00
2005 01 02 03 00 132  9.1 10.8  1.68 10.00  5.42 296 1010.0   6.7   9.0 999.0 99.0 99.00
2005 01 02 04 00 107  7.2  8.4  1.66  9.09  5.87 291 1011.0   6.6   9.1 999.0 99.0 99.00
2005 01 02 05 00 118  6.1  7.3  1.75 10.00  6.23 287 1011.8   6.7   9.4 999.0 99.0 99.00
2005 01 02 06 00 115  7.4  8.9  1.76 10.00  6.35 292 1012.9   6.7   9.1 999.0 99.0 99.00
2005 01 02 07 00 115  6.5  8.0  1.59 10.00  5.89 298 1013.7   6.8   9.4 999.0 99.0 99.00
2005 01 02 08 00 111  6.0  7.3  1.38 10.00  5.75 291 1014.4   6.3   9.4 999.0 99.0 99.00
2005 01 02 09 00 107  6.9  8.9  1.30  9.09  6.07 287 1014.7   6.3   9.4 999.0 99.0 99.00
2005 01 02 10 00  85  6.4  7.5  1.46 11.11  6.10 288 1015.2   6.2   9.5 999.0 99.0 99.00
2005 01 02 11 00  84  4.4  5.4  1.41 10.00  5.67 297 1016.1   6.3   9.5 999.0 99.0 99.00
2005 01 02 12 00  71  3.0  4.1  1.50  9.09  6.10 296 1016.4   6.3   9.5 999.0 99.0 99.00
2005 01 02 13 00  68  1.5  2.5  1.51  9.09  6.70 300 1016.5   6.3   9.0 999.0 99.0 99.00
2005 01 02 14 00 107  0.5  1.1  1.46  9.09  6.75 301 1017.2   6.3   8.7 999.0 99.0 99.00
2005 01 02 15 00  76  1.2  1.9  1.41 10.00  6.58 299 1017.3   6.3   8.6 999.0 99.0 99.00
2005 01 02 16 00  40  0.9  1.5  1.43  9.09  6.87 299 1018.0   6.3   8.6 999.0 99.0 99.00
2005 01 02 17 00 291  0.5  1.2  1.41  9.09  7.03 306 1018.8   6.5   8.6 999.0 99.0 99.00
2005 01 02 18 00 296  0.7  2.1  1.58  9.09  7.11 307 1019.4   6.8   8.6 999.0 99.0 99.00
2005 01 02 19 00 184  3.5  4.5  1.38  9.09  6.67 305 1019.6   7.3   8.7 999.0 99.0 99.00
2005 01 02 20 00 162  4.5  5.5  1.27 10.00  6.55 298 1019.3   6.4   8.9 999.0 99.0 99.00
2005 01 02 21 00 149  3.9  5.2  1.23  8.33  6.40 298 1019.4   5.9   8.9 999.0 99.0 99.00
2005 01 02 22 00 163  2.7  4.2  1.31  9.09  6.71 301 1019.3   6.2   9.0 999.0 99.0 99.00
2005 01 02 23 00 239  0.7  1.6  1.25  9.09  6.29 299 1019.5   7.1   9.0 999.0 99.0 99.00
2005 01 03 00 00  15  0.3  1.5  1.42 25.00  6.92 292 1019.6   6.7   9.0 999.0 99.0 99.00
2005 01 03 01 00 329  1.0  2.1  1.34 25.00  7.15 287 1020.3   6.2   9.0 999.0 99.0 99.00
2005 01 03 02 00 191  0.2  1.0  1.58 25.00  8.75 289 1020.5   5.9   8.9 999.0 99.0 99.00
2005 01 03 03 00 356  1.2  1.8  1.30 20.00  7.96 287 1020.7   6.3   8.7 999.0 99.0 99.00
2005 01 03 04 00  16  1.7  2.5  1.46 20.00  9.46 290 1021.2   6.3   8.7 999.0 99.0 99.00
2005 01 03 05 00 309  0.3  0.9  1.53 20.00  9.72 292 1021.8   5.9   8.7 999.0 99.0 99.00
