YYYY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2008 12 31 23 50 999 99.0 99.0  4.46 12.12  8.16 290 1019.2   6.1   8.7 999.0 99.0 99.00
2009 01 01 00 50 999 99.0 99.0  4.54 11.43  8.33 272 1019.3   5.9   8.7 999.0 99.0 99.00
2009 01 01 01 50 999 99.0 99.0  4.31 11.43  8.19 279 1019.2   4.6   8.7 999.0 99.0 99.00
2009 01 01 02 50 999 99.0 99.0  4.08 10.81  8.26 280 1018.7   4.1   8.7 999.0 99.0 99.00
2009 01 01 03 50 999 99.0 99.0  4.52 12.12  8.52 290 1018.3   4.0   8.6 999.0 99.0 99.00
2009 01 01 04 50 999 99.0 99.0  4.32 11.43  8.78 283 1017.1   4.3   8.6 999.0 99.0 99.00
2009 01 01 05 50 999 99.0 99.0  4.62 11.43  9.16 285 1015.8   4.9   8.6 999.0 99.0 99.00
2009 01 01 06 50 999 99.0 99.0  4.02 11.43  8.72 275 1014.3   5.8   8.6 999.0 99.0 99.00
2009 01 01 07 50 999 99.0 99.0  3.62 11.43  8.19 275 1012.1   7.4   8.6 999.0 99.0 99.00
2009 01 01 08 50 999 99.0 99.0  3.69 12.12  7.62 284 1010.3   7.6   8.7 999.0 99.0 99.00
2009 01 01 09 50 999 99.0 99.0  3.58 11.43  6.97 275 1008.5   7.3   8.7 999.0 99.0 99.00
2009 01 01 10 50 999 99.0 99.0  3.77 10.81  6.95 278 1006.6   7.5   8.7 999.0 99.0 99.00
2009 01 01 11 50 999 99.0 99.0  3.77 10.81  6.52 268 1003.4   7.4   8.8 999.0 99.0 99.00
2009 01 01 12 50 999 99.0 99.0  3.81 12.12  6.57 275 1000.4   5.8   8.8 999.0 99.0 99.00
2009 01 01 13 50 999 99.0 99.0  3.51 11.43  6.18 285  999.1   5.3   8.8 999.0 99.0 99.00
2009 01 01 14 50 999 99.0 99.0  3.95 10.81  6.76 272  997.9   9.9   8.8 999.0 99.0 99.00
2009 01 01 15 50 999 99.0 99.0  4.27 10.81  6.76 265  996.5   9.5   8.8 999.0 99.0 99.00
2009 01 01 16 50 999 99.0 99.0  4.56 10.00  7.15 246  996.9   8.4   8.8 999.0 99.0 99.00
2009 01 01 17 50 999 99.0 99.0  4.16  9.09  6.99 228  999.1   8.1   8.8 999.0 99.0 99.00
2009 01 01 18 50 999 99.0 99.0  3.91  9.09  6.89 231 1001.3   7.1   8.9 999.0 99.0 99.00
2009 01 01 19 50 999 99.0 99.0  3.30  9.09  6.76 219 1002.7   7.0   8.9 999.0 99.0 99.00
2009 01 01 20 50 999 99.0 99.0  3.77 10.00  7.26 257 1003.8   6.5   8.9 999.0 99.0 99.00
2009 01 01 21 50 999 99.0 99.0  3.22 10.81  7.11 281 1003.6   6.4   8.9 999.0 99.0 99.00
