YYYY MM DD hh  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2004 01 01 01 320  3.5  4.4  1.75 10.00  7.77 291 1016.1  12.2  12.9 999.0 99.0 99.00
2004 01 01 02 311  3.3  4.0  1.79 20.00  8.21 309 1016.4  12.2  12.9 999.0 99.0 99.00
2004 01 01 03 314  2.2  3.0  2.25 20.00  9.90 307 1016.4  12.1  12.8 999.0 99.0 99.00
2004 01 01 04 272  1.6  2.5  1.91 20.00  9.47 305 1016.4  12.1  12.8 999.0 99.0 99.00
2004 01 01 05 253  3.8  4.6  2.03 20.00  9.67 290 1017.4  12.2  12.9 999.0 99.0 99.00
2004 01 01 06 240  2.7  3.3  2.08 20.00 10.50 287 1018.0  12.5  13.3 999.0 99.0 99.00
2004 01 01 07 236  3.0  3.6  2.12 20.00 10.47 296 1017.8  12.2  13.3 999.0 99.0 99.00
2004 01 01 08 210  3.6  4.1  1.88 20.00  9.76 295 1017.2  12.2  13.3 999.0 99.0 99.00
2004 01 01 09 216  3.6  4.3  2.22 20.00 10.77 292 1017.3  12.5  13.3 999.0 99.0 99.00
2004 01 01 10 155  6.2  7.4  2.60 20.00 11.98 299 1016.6  12.5  13.3 999.0 99.0 99.00
2004 01 01 11 149  7.0  8.4  2.98 20.00 13.50 303 1016.5  12.5  13.3 999.0 99.0 99.00
2004 01 01 12 167  4.3  5.3  2.40 16.67 11.41 294 1017.6  12.6  13.3 999.0 99.0 99.00
2004 01 01 13 153  6.4  8.3  2.77 16.67 11.69 290 1016.7  12.6  13.3 999.0 99.0 99.00
2004 01 01 14 161  6.0  7.2  2.80 16.67 11.73 308 1017.5  12.8  13.3 999.0 99.0 99.00
2004 01 01 15 159  6.5  8.1  2.62 16.67 10.50 303 1017.9  12.9  13.3 999.0 99.0 99.00
2004 01 01 16 155  8.3 10.1  2.56 16.67  9.86 294 1018.3  12.8  13.3 999.0 99.0 99.00
2004 01 01 17 161  9.6 12.0  2.99 16.67  9.42 295 1018.4  12.9  13.3 999.0 99.0 99.00
2004 01 01 18 162 10.0 12.6  2.41 16.67  7.45 129 1018.9  13.3  13.3 999.0 99.0 99.00
2004 01 01 19 167 10.4 12.4  2.68 16.67  7.44 305 1018.5  13.2  13.3 999.0 99.0 99.00
2004 01 01 20 175 10.5 13.0  2.95 16.67  7.15 295 1017.5  12.9  13.3 999.0 99.0 99.00
2004 01 01 21 177 10.4 12.6  3.21 14.29  7.26 312 1016.6  12.7  13.3 999.0 99.0 99.00
2004 01 01 22 215  9.0 11.0  3.19 16.67  7.47 291 1017.1  12.6  13.3 999.0 99.0 99.00
2004 01 01 23 211  6.6  8.6  3.22 16.67  7.56 290 1017.3  12.5  13.3 999.0 99.0 99.00
2004 01 02 00 206  7.6  8.9  3.20 14.29  7.50 293 1017.1  12.6  13.3 999.0 99.0 99.00
2004 01 02 01 200  6.0  7.3  3.06 14.29  7.37 293 1017.3  12.8  13.3 999.0 99.0 99.00
2004 01 02 02 343  3.3  4.5  3.18 16.67  8.00 298 1017.8  12.1  12.9 999.0 99.0 99.00
2004 01 02 03 339  4.0  4.9  3.12 14.29  8.00 298 1018.6  12.1  12.9 999.0 99.0 99.00
2004 01 02 04 342  4.6  5.9  3.36 14.29  8.95 294 1018.9  12.0  12.9 999.0 99.0 99.00
2004 01 02 05 317  2.8  4.0  3.33 16.67  8.40 298 1019.2  12.5  12.9 999.0 99.0 99.00
2004 01 02 06 333  1.3  2.4  3.42 12.50  8.57 304 1019.4  12.5  12.9 999.0 99.0 99.00
2004 01 02 07 326  2.1  3.8  3.13 11.11  8.55 287 1019.5  12.5  12.9 999.0 99.0 99.00
2004 01 02 08 313  2.3  3.4  3.22 16.67  8.78 300 1019.2  12.5  12.9 999.0 99.0 99.00
2004 01 02 09 311  3.3  4.4  2.99 16.67  8.74 317 1019.1  12.5  12.9 999.0 99.0 99.00
2004 01 02 10 315  3.5  4.6  3.32 14.29  8.84 301 1019.1  12.5  12.9 999.0 99.0 99.00
2004 01 02 11 346  4.3  5.4  2.96 10.00  8.54 287 1019.3  12.5  12.9 999.0 99.0 99.00
2004 01 02 12 360  3.3  4.3  3.12 14.29  8.52 304 1019.0  12.1  12.9 999.0 99.0 99.00
2004 01 02 13 335  3.3  4.3  3.14 12.50  8.79 300 1018.8  12.1  12.9 999.0 99.0 99.00
2004 01 02 14 334  3.0  4.2  3.12 14.29  8.75 305 1018.7  12.1  12.9 999.0 99.0 99.00
2004 01 02 15 342  3.3  4.4 99.00 99.00 99.00 303 1019.0  12.1  12.9 999.0 99.0 99.00
2004 01 02 16 331  1.8  2.8  3.32 12.50  8.50 306 1019.1  12.1  12.9 999.0 99.0 99.00
2004 01 02 17 310  1.9  2.7  3.17 14.29  8.48 299 1019.6  12.1  12.9 999.0 99.0 99.00
2004 01 02 18 219  1.4  2.1  3.58 12.50  8.69 303 1020.4  12.8  12.9 999.0 99.0 99.00
2004 01 02 19 232  1.7  2.4  3.25 14.29  8.43 306 1020.1  12.9  12.9 999.0 99.0 99.00
