#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2008 01 01 00 00 999 99.0 99.0  3.97 13.79 10.39 311 1021.3  12.3  12.3 999.0 99.0 99.00
2008 01 01 01 00 999 99.0 99.0  3.56 14.81  9.83 312 1021.3  12.2  12.1 999.0 99.0 99.00
2008 01 01 02 00 999 99.0 99.0  4.03 16.00 10.45 312 1021.6  12.0  12.1 999.0 99.0 99.00
2008 01 01 03 00 999 99.0 99.0  3.65 13.79 10.11 314 1022.0  11.9  12.0 999.0 99.0 99.00
2008 01 01 04 00 999 99.0 99.0  3.40 16.00 10.27 316 1022.3  11.9  12.0 999.0 99.0 99.00
2008 01 01 05 00 999 99.0 99.0  3.54 16.00 10.20 317 1022.8  11.8  12.0 999.0 99.0 99.00
2008 01 01 06 00 999 99.0 99.0  3.47 14.81 10.27 316 1023.1  12.0  12.0 999.0 99.0 99.00
2008 01 01 07 00 999 99.0 99.0  3.32 14.81 10.21 311 1023.1  12.2  12.2 999.0 99.0 99.00
2008 01 01 08 00 999 99.0 99.0  3.30 14.81 10.31 309 1022.8  12.3  12.2 999.0 99.0 99.00
2008 01 01 09 00 999 99.0 99.0  3.18 14.81 10.35 305 1022.5  12.6  12.2 999.0 99.0 99.00
2008 01 01 10 00 999 99.0 99.0  3.00 14.81  9.74 309 1022.2  12.5  12.2 999.0 99.0 99.00
2008 01 01 11 00 999 99.0 99.0  2.98 14.81  9.81 306 1022.4  12.6  12.2 999.0 99.0 99.00
2008 01 01 12 00 999 99.0 99.0  2.75 14.81  9.87 308 1022.2  12.4  12.2 999.0 99.0 99.00
2008 01 01 14 00 999 99.0 99.0  2.90 13.79 10.21 309 1022.5  12.0  12.0 999.0 99.0 99.00
2008 01 01 15 00 999 99.0 99.0  2.76 13.79 10.00 317 1022.9  12.0  12.0 999.0 99.0 99.00
2008 01 01 16 00 999 99.0 99.0  2.77 12.12  9.80 319 1023.4  12.2  12.0 999.0 99.0 99.00
2008 01 01 17 00 999 99.0 99.0  2.62 12.90  9.75 318 1023.6  12.6  12.0 999.0 99.0 99.00
2008 01 01 18 00 999 99.0 99.0  2.46 13.79  9.94 310 1024.1  12.9  12.2 999.0 99.0 99.00
2008 01 01 19 00 999 99.0 99.0  2.14 12.90  9.20 313 1023.6  13.2  12.3 999.0 99.0 99.00
2008 01 01 20 00 999 99.0 99.0  2.08 12.12  9.17 317 1022.8  13.2  12.6 999.0 99.0 99.00
2008 01 01 21 00 999 99.0 99.0  1.83 12.90  9.07 314 1021.9  13.4  12.5 999.0 99.0 99.00
2008 01 01 22 00 999 99.0 99.0  1.85 10.81  9.42 312 1021.4  13.5  13.3 999.0 99.0 99.00
2008 01 01 23 00 999 99.0 99.0  1.60 12.90  9.00 314 1021.2  13.8  13.6 999.0 99.0 99.00
2008 01 02 00 00 999 99.0 99.0  1.48 12.90  9.06 306 1020.8  14.1  13.2 999.0 99.0 99.00
2008 01 02 01 00 999 99.0 99.0  1.44 12.90  8.79 311 1020.8  13.4  13.0 999.0 99.0 99.00
2008 01 02 02 00 999 99.0 99.0  1.33 12.90  8.33 310 1020.6  12.7  13.1 999.0 99.0 99.00
2008 01 02 03 00 999 99.0 99.0  1.20 12.12  7.71 313 1020.6  12.3  12.9 999.0 99.0 99.00
2008 01 02 04 00 999 99.0 99.0  1.20 12.90  8.07 301 1020.4  12.8  13.0 999.0 99.0 99.00
