YYYY MM DD hh mm  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2006 01 01 00 00 110  3.2  4.4  0.74  6.67  5.41 151 1009.4  22.7  23.0  20.4 99.0 99.00
2006 01 01 01 00 128  3.9  4.7  0.73  6.25  5.30 149 1009.6  22.9  23.0  20.5 99.0 99.00
2006 01 01 02 00 139  3.7  4.1  0.72  6.67  5.51 148 1009.7  22.7  22.9  20.4 99.0 99.00
2006 01 01 03 00 134  3.5  4.2  0.69  6.67  5.37 145 1010.1  22.7  22.7  20.8 99.0 99.00
2006 01 01 04 00 149  3.5  4.1  0.71  6.67  5.44 149 1010.1  22.7  22.7  20.8 99.0 99.00
2006 01 01 05 00 147  3.9  4.4  0.65  6.67  5.32 141 1009.6  22.7  22.7  21.1 99.0 99.00
2006 01 01 06 00 147  4.6  5.3  0.70  6.67  5.45 148 1009.0  22.7  22.7  21.0 99.0 99.00
2006 01 01 07 00 153  4.0  4.8  0.67  6.67  5.31 143 1009.0  22.7  22.7  21.1 99.0 99.00
2006 01 01 08 00 158  4.5  5.3  0.64  6.67  5.20 143 1008.8  22.4  22.7  21.1 99.0 99.00
2006 01 01 09 00 172  3.0  3.6  0.74  6.67  5.39 142 1008.7  22.3  22.7  21.0 99.0 99.00
2006 01 01 10 00 183  2.7  3.1  0.68  6.67  5.21 134 1008.6  22.2  22.7  21.2 99.0 99.00
2006 01 01 11 00 165  2.6  3.3  0.66  6.67  5.28 136 1008.1  22.2  22.7  21.3 99.0 99.00
2006 01 01 12 00 176  4.0  4.9  0.67  6.67  5.26 141 1008.1  22.2  22.7  21.1 99.0 99.00
2006 01 01 13 00 172  5.4  6.7  0.62  6.25  4.84 135 1007.9  22.2  22.7  20.9 99.0 99.00
2006 01 01 14 00 194  5.4  6.6  0.64  6.67  4.81 145 1008.6  22.1  22.7  21.0 99.0 99.00
2006 01 01 15 00 185  6.8  8.0  0.65  6.25  4.45 133 1008.7  21.4  22.7  20.6 99.0 99.00
2006 01 01 16 00 205  6.9  7.8  0.75  6.25  4.32 137 1009.6  21.2  22.7  20.1 99.0 99.00
2006 01 01 17 00 222  7.3  8.6  0.70  5.88  3.89 139 1009.7  20.7  22.3  18.9 99.0 99.00
2006 01 01 18 00 215  6.6  8.0  0.76  6.67  4.05 145 1008.9  20.4  22.2  19.2 99.0 99.00
2006 01 01 19 00 231  6.4  7.4  0.73  6.25  3.81 135 1008.4  20.5  22.2  19.0 99.0 99.00
2006 01 01 20 00 204  4.5  5.6  0.72  6.67  4.02 138 1007.3  21.4  22.2  19.1 99.0 99.00
2006 01 01 21 00 184  4.3  5.1  0.69  6.25  4.19 141 1006.6  21.6  22.2  19.4 99.0 99.00
2006 01 01 22 00 165  6.7  7.6  0.65  6.25  4.29 139 1006.3  21.2  22.2  19.7 99.0 99.00
2006 01 01 23 00 168  6.0  6.9  0.65  5.88  4.07 140 1006.5  21.4  22.2  19.6 99.0 99.00
2006 01 02 00 00 166  6.3  7.2  0.66  6.25  4.05 136 1007.1  21.2  22.2  19.5 99.0 99.00
2006 01 02 01 00 166  8.8 10.5  0.71  5.88  3.77 139 1007.1  19.9  22.2  19.0 99.0 99.00
2006 01 02 02 00 174  8.4  9.8  0.88  3.57  3.89 164 1007.7  20.0  22.2  19.4 99.0 99.00
2006 01 02 03 00 173  8.6 10.2  0.97  3.70  3.86 168 1008.6  20.4  22.0  19.6 99.0 99.00
2006 01 02 04 00 174  7.6  9.4  0.94  3.85  3.86 167 1009.4  20.7  22.0  19.9 99.0 99.00
2006 01 02 05 00 183  8.0  9.5  1.01  4.00  3.95 168 1010.1  20.8  22.2  20.1 99.0 99.00
2006 01 02 06 00 185  6.5  7.9  0.96  3.57  3.96 177 1010.2  21.2  22.2  20.5 99.0 99.00
2006 01 02 07 00 200  6.2  7.5  0.81  5.88  3.81 138 1010.6  21.2  22.2  20.5 99.0 99.00
2006 01 02 08 00 192  7.1  8.3  0.75  5.88  3.71 130 1010.4  21.1  22.2  20.5 99.0 99.00
2006 01 02 09 00 198  7.6  8.8  0.81  5.56  3.78 136 1010.6  20.8  22.2  20.4 99.0 99.00
2006 01 02 10 00 237  5.4  6.2  0.71  5.56  3.75 122 1011.9  20.6  22.2  20.1 99.0 99.00
2006 01 02 11 00 218  5.5  6.5  0.62  5.56  3.89 127 1011.9  20.4  22.2  20.0 99.0 99.00
2006 01 02 12 00 216  6.3  8.5  0.66  5.26  3.92 130 1012.6  20.4  22.2  20.0 99.0 99.00
2006 01 02 13 00 215  7.5  9.0  0.70  5.56  3.97 127 1012.8  20.6  22.2  20.3 99.0 99.00
2006 01 02 14 00 228  5.4  7.5  0.67  5.56  3.71 125 1014.1  20.3  22.3  19.6 99.0 99.00
2006 01 02 15 00 254  4.2  5.5  0.61  5.00  3.98 131 1015.6  19.9  22.7  19.0 99.0 99.00
2006 01 02 16 00 241  3.0  4.0  0.57  5.88  4.13 127 1016.3  20.2  22.7  18.7 99.0 99.00
2006 01 02 17 00 280  3.7  5.2  0.54  5.26  4.20 132 1016.4  19.8  22.7  18.1 99.0 99.00
2006 01 02 18 00 281  2.3  3.1  0.53  5.26  4.31 130 1015.8  20.2  22.7  17.6 99.0 99.00
2006 01 02 19 00 274  3.0  3.9  0.52  5.26  4.39 129 1015.0  19.9  22.7  17.4 99.0 99.00
2006 01 02 20 00 307  3.6  4.3  0.53  5.88  4.61 118 1014.8  19.7  22.7  17.4 99.0 99.00
2006 01 02 21 00 334  2.3  3.0  0.45  5.88  4.65 124 1014.8  19.9  22.7  17.2 99.0 99.00
2006 01 02 22 00 332  1.9  2.4  0.46  5.56  4.63 131 1014.9  20.6  22.7  17.3 99.0 99.00
2006 01 02 23 00  14  1.6  2.2  0.48  5.88  4.88 123 1015.0  21.4  22.7  15.3 99.0 99.00
2006 01 03 00 00   8  1.7  2.2  0.46  5.56  4.86 130 1015.0  21.4  22.7  15.2 99.0 99.00
2006 01 03 01 00  23  1.3  1.7  0.41  5.56  4.75 124 1015.0  21.9  22.7  14.7 99.0 99.00
2006 01 03 02 00 145  2.3  2.5  0.43  5.88  4.91 130 1015.8  21.5  22.2  16.2 99.0 99.00
2006 01 03 03 00 132  1.1  1.5  0.46  5.56  4.93 136 1016.4  21.5  22.2  16.9 99.0 99.00
2006 01 03 04 00 146  1.3  1.7  0.44  5.56  4.94 143 1017.2  21.5  21.9  17.7 99.0 99.00
2006 01 03 05 00 111  1.7  2.0  0.47  5.88  5.03 145 1017.2  21.9  21.9  18.4 99.0 99.00
2006 01 03 06 00 149  3.1  3.6  0.50  5.88  5.07 152 1017.2  22.1  21.9  17.4 99.0 99.00
2006 01 03 07 00 180  5.8  7.1  0.48  5.56  5.04 152 1016.6  19.3  21.9  18.6 99.0 99.00
2006 01 03 08 00 170  4.6  5.6  0.53  5.56  4.95 145 1017.2  19.6  22.2  18.1 99.0 99.00
2006 01 03 09 00 185  3.9  4.7  0.56  5.26  4.47 157 1017.2  19.1  22.2  17.9 99.0 99.00
2006 01 03 10 00 203  3.7  4.3  0.64  5.56  4.60 145 1017.2  18.0  22.0  16.8 99.0 99.00
2006 01 03 11 00 213  3.1  3.7  0.65  6.25  4.62 120 1017.2  18.4  21.7  16.6 99.0 99.00
2006 01 03 12 00 210  2.9  3.5  0.50  6.25  4.56 121 1017.2  18.3  21.4  16.6 99.0 99.00
2006 01 03 13 00 199  3.0  3.7  0.58  5.88  4.89 127 1017.4  18.0  21.4  16.3 99.0 99.00
2006 01 03 14 00 192  3.8  4.6  0.59  6.25  4.99 122 1018.2  18.1  21.4  16.1 99.0 99.00
2006 01 03 15 00 209  3.2  4.0  0.53  6.25  4.79 122 1018.9  18.4  21.4  15.8 99.0 99.00
2006 01 03 16 00 208  2.9  4.0  0.54  6.25  4.58 116 1019.6  18.0  21.4  15.6 99.0 99.00
