#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi    ft
2007 01 01 00 00 346  1.8  3.0 99.00 99.00 99.00 999 1020.4  18.0  22.2   9.7 99.0 99.00
2007 01 01 01 00 342  2.2  3.2 99.00 99.00 99.00 999 1020.8  18.2  22.2  10.5 99.0 99.00
2007 01 01 02 00 345  3.0  4.0 99.00 99.00 99.00 999 1021.4  18.6  22.2   9.8 99.0 99.00
2007 01 01 03 00 333  2.9  4.4 99.00 99.00 99.00 999 1022.1  18.7  22.2  10.0 99.0 99.00
2007 01 01 04 00 321  5.1  6.3 99.00 99.00 99.00 999 1022.7  18.9  22.2  10.5 99.0 99.00
2007 01 01 05 00 318  4.6  8.2 99.00 99.00 99.00 999 1022.7  19.0  22.2   8.0 99.0 99.00
2007 01 01 06 00 330  5.5  7.7 99.00 99.00 99.00 999 1022.6  19.0  22.2   7.2 99.0 99.00
2007 01 01 07 00 334  7.1  9.1 99.00 99.00 99.00 999 1022.6  18.6  22.2   7.3 99.0 99.00
2007 01 01 08 00   7  6.8  8.7 99.00 99.00 99.00 999 1022.6  18.3  22.2   8.3 99.0 99.00
2007 01 01 09 00  10  8.7 10.5 99.00 99.00 99.00 999 1022.7  17.5  22.2   8.2 99.0 99.00
2007 01 01 10 00   7  9.1 12.1 99.00 99.00 99.00 999 1022.8  16.8  22.2   8.9 99.0 99.00
2007 01 01 11 00  12  9.0 10.8 99.00 99.00 99.00 999 1022.8  16.0  22.2   6.9 99.0 99.00
2007 01 01 12 00   8  8.8 10.7 99.00 99.00 99.00 999 1023.2  15.7  22.2   7.3 99.0 99.00
2007 01 01 13 00   6  8.7 10.7 99.00 99.00 99.00 999 1023.6  15.2  22.2   7.9 99.0 99.00
2007 01 01 14 00   7  7.9  9.9 99.00 99.00 99.00 999 1024.4  15.0  22.2   6.9 99.0 99.00
2007 01 01 15 00  13  7.9 10.3 99.00 99.00 99.00 999 1025.4  14.9  22.2   6.1 99.0 99.00
2007 01 01 16 00  15  7.3  9.1 99.00 99.00 99.00 999 1025.8  15.2  22.2   5.2 99.0 99.00
2007 01 01 17 00   6  7.0  8.6 99.00 99.00 99.00 999 1025.9  15.4  22.2   6.6 99.0 99.00
2007 01 01 18 00   3  6.8  8.9 99.00 99.00 99.00 999 1025.4  15.4  22.2   6.7 99.0 99.00
2007 01 01 19 00   3  6.6 10.0 99.00 99.00 99.00 999 1024.3  15.2  22.2   8.0 99.0 99.00
2007 01 01 20 00 360  5.9  8.5 99.00 99.00 99.00 999 1023.8  15.0  22.2   7.1 99.0 99.00
2007 01 01 21 00 360  7.5  9.3 99.00 99.00 99.00 999 1022.9  14.6  22.2   6.3 99.0 99.00
2007 01 01 22 00   6  7.3  9.1 99.00 99.00 99.00 999 1022.9  14.4  22.2   7.3 99.0 99.00
2007 01 01 23 00  16  7.2  9.4 99.00 99.00 99.00 999 1023.0  14.4  22.2   6.7 99.0 99.00
2007 01 02 00 00  25  6.4  8.4 99.00 99.00 99.00 999 1023.5  14.4  22.0   7.3 99.0 99.00
2007 01 02 01 00  31  6.2  8.7 99.00 99.00 99.00 999 1023.6  14.6  22.1   6.5 99.0 99.00
2007 01 02 02 00  40  5.9  7.6 99.00 99.00 99.00 999 1024.2  14.9  22.2   7.0 99.0 99.00
2007 01 02 03 00  40  5.0  6.8 99.00 99.00 99.00 999 1024.3  15.1  22.2   8.0 99.0 99.00
2007 01 02 04 00  44  4.0  5.6 99.00 99.00 99.00 999 1024.4  15.2  22.2   7.4 99.0 99.00
2007 01 02 05 00  51  3.9  6.0 99.00 99.00 99.00 999 1024.3  15.3  22.2   7.0 99.0 99.00
2007 01 02 06 00  27  3.4  5.9 99.00 99.00 99.00 999 1024.2  15.7  22.2   7.6 99.0 99.00
2007 01 02 07 00  25  4.1  5.4 99.00 99.00 99.00 999 1023.7  15.8  22.2   8.5 99.0 99.00
2007 01 02 08 00  29  3.4  5.2 99.00 99.00 99.00 999 1023.5  15.7  22.2   7.1 99.0 99.00
2007 01 02 09 00  38  3.7  5.5 99.00 99.00 99.00 999 1023.0  16.0  22.2   8.3 99.0 99.00
2007 01 02 10 00  50  3.2  5.1 99.00 99.00 99.00 999 1022.8  16.0  22.2   7.5 99.0 99.00
2007 01 02 11 00  69  3.3  5.1 99.00 99.00 99.00 999 1022.8  16.4  22.2   8.5 99.0 99.00
2007 01 02 12 00  44  2.6  4.2 99.00 99.00 99.00 999 1022.7  16.4  22.2   7.4 99.0 99.00
2007 01 02 13 00  63  5.7  7.7 99.00 99.00 99.00 999 1022.9  16.7  22.2   8.6 99.0 99.00
2007 01 02 14 00  78  4.3  6.1 99.00 99.00 99.00 999 1023.6  16.8  22.2   8.7 99.0 99.00
2007 01 02 15 00  52  3.8  5.0 99.00 99.00 99.00 999 1024.6  17.2  22.2   8.3 99.0 99.00
2007 01 02 16 00  70  5.5  8.1 99.00 99.00 99.00 999 1024.6  17.5  22.2   8.5 99.0 99.00
2007 01 02 17 00  59  4.6  6.5 99.00 99.00 99.00 999 1024.9  18.2  22.2   9.6 99.0 99.00
2007 01 02 18 00  49  4.3  5.6 99.00 99.00 99.00 999 1024.3  18.3  22.2  10.4 99.0 99.00
2007 01 02 19 00  61  4.4  6.0 99.00 99.00 99.00 999 1023.6  18.2  22.2  10.5 99.0 99.00
2007 01 02 20 00  68  4.5  6.0 99.00 99.00 99.00 999 1022.7  18.4  22.2  10.3 99.0 99.00
2007 01 02 21 00  56  5.4  7.4 99.00 99.00 99.00 999 1022.0  18.3  22.2  11.3 99.0 99.00
2007 01 02 22 00  65  5.1  6.8 99.00 99.00 99.00 999 1021.9  18.3  22.2  10.7 99.0 99.00
2007 01 02 23 00  60  5.3  7.2 99.00 99.00 99.00 999 1022.1  18.3  22.2  11.7 99.0 99.00
2007 01 03 00 00  73  6.7  8.8 99.00 99.00 99.00 999 1022.1  18.6  22.2  11.7 99.0 99.00
2007 01 03 01 00  80  7.0  9.2 99.00 99.00 99.00 999 1022.1  18.8  22.2  12.4 99.0 99.00
2007 01 03 02 00  79  8.0 10.3 99.00 99.00 99.00 999 1022.2  19.1  22.2  12.0 99.0 99.00
2007 01 03 03 00  71  8.7 10.1 99.00 99.00 99.00 999 1022.4  19.2  22.2  13.0 99.0 99.00
2007 01 03 04 00  65  8.6 10.7 99.00 99.00 99.00 999 1022.1  19.1  22.2  12.6 99.0 99.00
2007 01 03 05 00  74  6.9  8.6 99.00 99.00 99.00 999 1022.2  19.5  22.2  12.8 99.0 99.00
2007 01 03 06 00  69  7.4  8.8 99.00 99.00 99.00 999 1022.1  19.3  22.2  13.9 99.0 99.00
2007 01 03 07 00  62  8.5 10.3 99.00 99.00 99.00 999 1021.2  19.4  22.2  14.2 99.0 99.00
2007 01 03 08 00  69  8.5 10.2 99.00 99.00 99.00 999 1021.1  19.6  22.2  14.1 99.0 99.00
2007 01 03 09 00  78  8.6 10.3 99.00 99.00 99.00 999 1021.0  19.9  22.2  14.2 99.0 99.00
2007 01 03 10 00  71  8.7 10.5 99.00 99.00 99.00 999 1020.7  19.9  22.2  14.6 99.0 99.00
2007 01 03 11 00  88  8.6 10.5 99.00 99.00 99.00 999 1020.6  20.1  22.2  14.9 99.0 99.00
2007 01 03 12 00  81  8.8 10.6 99.00 99.00 99.00 999 1020.3  20.2  22.2  15.0 99.0 99.00
2007 01 03 13 00  80  9.4 11.6 99.00 99.00 99.00 999 1020.1  20.4  22.2  15.4 99.0 99.00
2007 01 03 14 00  76  7.7  9.1 99.00 99.00 99.00 999 1021.2  20.1  22.2  16.0 99.0 99.00
2007 01 03 15 00  73  9.1 10.7 99.00 99.00 99.00 999 1021.2  20.1  22.2  16.5 99.0 99.00
2007 01 03 16 00  67  9.2 11.4 99.00 99.00 99.00 999 1021.3  19.8  22.2  16.7 99.0 99.00
2007 01 03 17 00  76 10.3 12.4 99.00 99.00 99.00 999 1021.0  19.9  22.2  17.6 99.0 99.00
2007 01 03 18 00  76 10.2 12.1 99.00 99.00 99.00 999 1019.7  19.8  22.2  17.7 99.0 99.00
2007 01 03 19 00  80  9.7 11.6 99.00 99.00 99.00 999 1018.1  20.4  22.2  18.6 99.0 99.00
2007 01 03 20 00 104 10.2 11.8 99.00 99.00 99.00 999 1016.5  21.4  22.2  18.9 99.0 99.00
2007 01 03 21 00 104  8.1  9.8 99.00 99.00 99.00 999 1016.0  21.2  22.2  18.7 99.0 99.00
2007 01 03 22 00 103  9.7 12.2 99.00 99.00 99.00 999 1015.5  21.4  22.2  19.0 99.0 99.00
2007 01 03 23 00 100 12.5 15.4 99.00 99.00 99.00 999 1014.7  21.5  22.2  17.7 99.0 99.00
2007 01 04 00 00 101 11.4 13.8 99.00 99.00 99.00 999 1014.5  20.8  22.2  17.9 99.0 99.00
2007 01 04 01 00 100 14.3 18.1 99.00 99.00 99.00 999 1013.8  21.3  22.2  17.6 99.0 99.00
2007 01 04 02 00 102 13.5 16.3 99.00 99.00 99.00 999 1013.2  21.4  22.2  18.8 99.0 99.00
2007 01 04 03 00 110 14.5 18.0 99.00 99.00 99.00 999 1013.1  21.2  22.2  18.7 99.0 99.00
2007 01 04 04 00 112 14.2 17.5 99.00 99.00 99.00 999 1012.2  21.6  22.2  19.0 99.0 99.00
2007 01 04 05 00 118 14.3 18.0 99.00 99.00 99.00 999 1011.4  22.0  22.2  19.4 99.0 99.00
2007 01 04 06 00 302 13.3 16.1 99.00 99.00 99.00 999 1013.9  14.7  22.0  13.7 99.0 99.00
2007 01 04 07 00 325 12.3 15.1 99.00 99.00 99.00 999 1013.6  14.3  21.9  12.9 99.0 99.00
2007 01 04 08 00 329 11.5 14.5 99.00 99.00 99.00 999 1013.8  14.9  21.9  13.3 99.0 99.00
