#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2009 12 31 23 50 352  1.5  2.0  0.56  5.56  4.72 107 1016.8  19.1  21.4  16.4 99.0 99.00
2010 01 01 00 50 346  6.6  7.9  0.55  6.25  4.71  87 1018.0  19.1  21.4  16.6 99.0 99.00
2010 01 01 01 50 345  4.1  4.9  0.49  6.25  4.50 100 1019.2  19.6  21.2  17.0 99.0 99.00
2010 01 01 02 50 356  6.0  6.8  0.51  6.25  4.31 103 1020.5  18.5  21.2  16.8 99.0 99.00
2010 01 01 03 50 358  5.6  6.7  0.57  5.88  3.90 104 1021.2  18.7  21.2  16.6 99.0 99.00
2010 01 01 04 50 356 15.5 18.5  0.76  3.45  3.42   5 1022.2  16.4  21.1  15.3 99.0 99.00
2010 01 01 05 50   5 14.5 17.6  1.76  5.00  4.31 360 1023.1  17.2  21.1  11.0 99.0 99.00
2010 01 01 06 50 360 13.4 16.1  2.11  5.88  4.78 359 1023.9  15.8  21.1   9.9 99.0 99.00
2010 01 01 07 50 348 14.4 17.8  2.66  6.25  5.29 358 1024.2  14.1  21.1   9.9 99.0 99.00
2010 01 01 08 50 350 15.3 18.8  2.87  7.14  5.58 355 1024.9  12.8  20.7   9.3 99.0 99.00
2010 01 01 09 50 352 13.7 17.6  3.43  7.14  5.78 359 1025.9  12.3  20.7   8.8 99.0 99.00
2010 01 01 10 50 354 12.1 14.5  2.98  7.14  5.83   6 1026.6  12.2  20.7   8.1 99.0 99.00
2010 01 01 11 50 360 12.7 16.2  3.18  7.69  5.96  16 1027.1  11.8  20.7   8.2 99.0 99.00
2010 01 01 12 50 355 11.3 14.6  3.13  7.69  5.96  15 1028.0  11.3  20.7   8.1 99.0 99.00
2010 01 01 13 50 345 10.8 13.1  3.04  7.69  6.05  19 1028.7  11.1  20.7   7.7 99.0 99.00
2010 01 01 14 50 356 10.1 12.2  2.56  7.69  5.56  22 1029.7  11.2  20.7   7.1 99.0 99.00
2010 01 01 15 50 354  9.1 12.3  2.51  7.14  5.53  25 1030.3  11.1  20.7   7.5 99.0 99.00
2010 01 01 16 50 360  9.1 12.1  2.41  7.69  5.72  22 1030.4  11.1  20.6   7.2 99.0 99.00
2010 01 01 17 50   5  8.9 11.3  2.25  7.69  5.52  31 1030.0  11.2  20.7   7.3 99.0 99.00
2010 01 01 18 50   5  8.1 10.9  2.12  6.67  5.37  19 1028.8  11.0  20.6   7.2 99.0 99.00
2010 01 01 19 50   4  7.2  9.8  1.95  7.14  5.27  30 1028.4  11.0  20.6   7.3 99.0 99.00
2010 01 01 20 50 348  6.0  7.9  1.75  6.67  5.16  27 1028.3  11.3  20.6   7.8 99.0 99.00
2010 01 01 21 50 333  4.3  5.7  1.62  7.14  5.13  39 1028.1  11.2  20.6   6.8 99.0 99.00
2010 01 01 22 50 340  5.6  6.7  1.52  6.67  5.12  38 1027.4  11.7  20.6   6.9 99.0 99.00
2010 01 01 23 50 345  5.0  6.5  1.45  6.67  5.23  38 1027.7  11.9  20.6   7.2 99.0 99.00
2010 01 02 00 50 357  5.6  7.6  1.34  6.67  5.01  38 1028.0  12.1  20.6   7.6 99.0 99.00
2010 01 02 01 50  18  6.9  9.0  1.28  6.67  5.03  42 1027.4  12.7  20.6   7.0 99.0 99.00
2010 01 02 02 50  23  5.9  8.1  1.21  6.67  4.84  40 1028.2  12.8  20.4   7.6 99.0 99.00
2010 01 02 03 50  35  5.7  7.9  1.21  6.25  4.87  46 1027.4  13.2  20.4   7.8 99.0 99.00
2010 01 02 04 50  42  6.5  9.1  1.20  6.67  4.73  50 1026.8  13.6  20.4   7.9 99.0 99.00
2010 01 02 05 50  69  4.8  6.5  1.24  6.67  4.87  53 1027.0  14.1  20.4   6.6 99.0 99.00
2010 01 02 06 50  64  5.5  8.0  1.16  7.14  4.91  54 1026.1  13.9  20.4   6.7 99.0 99.00
2010 01 02 07 50  66  4.3  6.2  1.13  6.67  4.86  54 1026.4  13.7  20.4   6.4 99.0 99.00
2010 01 02 08 50  63  4.5  6.6  1.07  6.67  4.87  62 1025.8  14.1  20.4   6.7 99.0 99.00
2010 01 02 09 50  69  3.2  4.3  1.05  6.25  4.74  56 1025.7  14.3  20.4   6.7 99.0 99.00
2010 01 02 10 50  59  3.7  5.6  0.99  6.67  4.76  56 1025.3  14.5  20.4   6.4 99.0 99.00
2010 01 02 11 50  62  3.9  5.8  0.97  6.25  4.74  49 1025.2  14.7  20.4   6.6 99.0 99.00
2010 01 02 12 50  44  3.4  6.4  0.98  6.67  4.70  55 1025.7  14.9  20.4   6.9 99.0 99.00
2010 01 02 13 50  74  4.0  5.6  1.04  6.67  4.80  63 1025.2  15.6  20.4   4.8 99.0 99.00
2010 01 02 14 50  72  5.0  6.7  0.95  5.88  4.67  59 1025.7  15.6  20.4   4.9 99.0 99.00
2010 01 02 15 50  75  4.7  6.6  0.84  5.56  4.50  71 1025.9  16.0  20.3   6.4 99.0 99.00
2010 01 02 16 50  90  4.4  6.2  0.89  5.88  4.47  67 1025.7  16.4  20.4   5.6 99.0 99.00
2010 01 02 17 50  81  4.3  6.0  0.91  5.88  4.39  61 1025.0  16.4  20.4   5.8 99.0 99.00
2010 01 02 18 50  88  6.1  7.4  0.88  5.88  4.55  67 1023.5  16.3  20.6   7.2 99.0 99.00
2010 01 02 19 50  78  4.5  6.2  0.83  5.26  4.27  57 1022.2  16.5  20.6   5.9 99.0 99.00
2010 01 02 20 50  91  3.8  6.1  0.86  5.56  4.35  62 1021.9  16.4  20.6   5.6 99.0 99.00
2010 01 02 21 50  76  6.0  8.2  0.85  5.56  4.37  61 1021.1  16.5  20.7   7.1 99.0 99.00
2010 01 02 22 50  84  5.6  7.8  0.82  5.56  4.05  69 1021.2  16.4  20.7   7.5 99.0 99.00
2010 01 02 23 50  90  5.1  7.0  0.95  4.76  4.31  59 1021.2  16.6  20.7   7.3 99.0 99.00
2010 01 03 00 50  94  5.2  7.0  0.91  5.26  4.31  72 1021.2  16.8  20.6   7.1 99.0 99.00
2010 01 03 01 50  99  6.2  7.8  0.87  6.25  4.25  85 1021.2  17.2  20.6   8.4 99.0 99.00
2010 01 03 02 50  97  6.7  8.5  0.91  6.25  4.19  82 1020.8  17.2  20.6   9.6 99.0 99.00
2010 01 03 03 50  92  5.9  8.5  1.00  5.88  4.33  85 1020.6  17.3  20.6   9.5 99.0 99.00
2010 01 03 04 50  92  6.3  8.9  0.99  5.88  4.29  77 1020.3  17.5  20.6  10.5 99.0 99.00
2010 01 03 05 50 103  5.9  7.4  0.96  5.56  4.24  65 1019.8  18.1  20.6  11.3 99.0 99.00
2010 01 03 06 50 134  5.0  6.4  0.96  5.56  4.45  65 1019.2  18.3  20.6  10.6 99.0 99.00
2010 01 03 07 50 157  5.1  6.6  0.89  5.88  4.36  81 1018.3  18.7  20.6  10.3 99.0 99.00
2010 01 03 08 50 136  3.6  5.2  0.89  5.56  4.59  73 1018.1  18.7  20.4   9.6 99.0 99.00
2010 01 03 09 50 105  2.1  3.6  0.90  5.88  4.48  70 1018.1  18.8  20.4   9.5 99.0 99.00
2010 01 03 10 50 109  3.0  4.3  1.01  5.88  4.71  78 1017.4  19.1  20.4  10.5 99.0 99.00
2010 01 03 11 50 142  2.4  5.2  1.08  5.88  4.99  76 1018.0  19.0  20.4   9.5 99.0 99.00
2010 01 03 12 50  63  5.2  7.5  1.03  5.88  4.78  62 1018.0  18.8  20.4  12.0 99.0 99.00
2010 01 03 13 50 118  1.7  3.1  1.12  5.88  4.99  62 1019.2  18.0  20.4  10.9 99.0 99.00
2010 01 03 14 50  98  4.3  5.6  1.14  6.67  4.91  85 1019.5  17.9  20.3  12.0 99.0 99.00
2010 01 03 15 50 112  4.7  5.8  1.14  5.88  5.07  77 1020.3  18.0  20.3  12.6 99.0 99.00
2010 01 03 16 50 127  4.4  5.2  1.01  5.88  4.75  80 1020.5  17.4  20.5  13.4 99.0 99.00
2010 01 03 17 50  93  4.0  5.2  1.13  5.00  4.83  51 1019.7  17.7  20.6  12.7 99.0 99.00
2010 01 03 18 50  68  3.1  4.1  1.16  5.56  4.88  53 1018.9  18.0  20.7  13.7 99.0 99.00
2010 01 03 19 50  48  2.9  3.8  1.22  6.25  4.87  69 1018.2  17.8  20.7  13.8 99.0 99.00
2010 01 03 20 50  53  4.9  6.5  1.25  5.88  4.70  56 1018.1  17.7  20.7  13.8 99.0 99.00
2010 01 03 21 50  29  9.0 10.8  1.33  6.25  4.71  57 1018.4  17.5  20.7  15.3 99.0 99.00
2010 01 03 22 50  21 10.0 12.0  1.52  6.25  4.78  36 1018.8  16.9  20.6  15.5 99.0 99.00
2010 01 03 23 50  27 10.1 12.1  1.82  6.67  4.80  48 1019.4  16.9  20.6  13.3 99.0 99.00
2010 01 04 00 50  28 10.3 12.6  1.83  6.25  4.84  46 1019.7  17.5  20.7  13.9 99.0 99.00
2010 01 04 01 50  32 10.8 12.5  1.96  6.67  4.99  56 1020.5  17.5  20.7  12.8 99.0 99.00
2010 01 04 02 50  40 10.0 12.5  2.16  6.67  5.10  62 1021.3  17.4  20.7  12.7 99.0 99.00
