#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2010 12 31 23 50  32  4.1  4.9  1.84  8.33  6.45 133 1005.9  20.9  20.9  19.6 99.0 99.00
2011 01 01 00 50  36  3.0  3.5  1.68  8.33  6.27 132 1006.7  20.9  20.7  19.6 99.0 99.00
2011 01 01 01 50  29  3.8  4.4  1.60  7.69  6.14 140 1007.5  20.9  20.7  19.7 99.0 99.00
2011 01 01 02 50  17  3.3  3.8  1.63  7.69  6.17 135 1008.1  21.0  20.7  19.8 99.0 99.00
2011 01 01 03 50   7  6.9  7.8  1.51  8.33  6.22 141 1008.3  20.4  20.7  18.9 99.0 99.00
2011 01 01 04 50  12  7.9  9.4  1.56  8.33  5.83 128 1008.5  20.5  20.8  16.9 99.0 99.00
2011 01 01 05 50  23  7.9  9.3  1.64  8.33  5.46 138 1008.3  20.4  20.9  17.3 99.0 99.00
2011 01 01 06 50  25  7.9  9.4  1.62  7.69  5.43 121 1008.4  20.5  21.0  16.7 99.0 99.00
2011 01 01 07 50  26  8.8 10.3  1.94  8.33  5.78 124 1008.5  20.5  21.1  16.4 99.0 99.00
2011 01 01 08 50  22  7.3  8.7  1.96  7.69  5.72 134 1009.5  20.5  21.2  16.7 99.0 99.00
2011 01 01 09 50 356  9.6 11.5  1.77  7.69  5.51 121 1010.7  20.2  21.3  16.2 99.0 99.00
2011 01 01 10 50 351 12.7 15.4  1.96  8.33  5.28 123 1011.7  17.7  21.3  12.0 99.0 99.00
2011 01 01 11 50   1 13.9 16.8  2.15  7.69  5.11 119 1012.8  17.0  21.3   9.7 99.0 99.00
2011 01 01 12 50   9 14.5 16.6  2.53  5.56  5.23  11 1013.5  16.9  21.3   8.6 99.0 99.00
2011 01 01 13 50  11 13.4 16.7  2.82  6.67  5.49   7 1014.9  17.0  21.5   8.6 99.0 99.00
2011 01 01 14 50  18 11.6 13.6  3.08  7.69  5.86  21 1016.4  17.3  21.8   9.4 99.0 99.00
2011 01 01 15 50  18 11.3 13.6  3.07  7.14  6.03  20 1017.3  17.6  21.9   9.8 99.0 99.00
2011 01 01 16 50  11 12.2 14.2  2.96  7.69  5.83  30 1017.9  17.3  22.0   8.9 99.0 99.00
2011 01 01 17 50  12 12.6 15.1  2.98  7.69  5.79  26 1018.0  17.6  22.0   8.9 99.0 99.00
2011 01 01 18 50   7 12.1 14.4  2.87  7.14  5.67  32 1018.0  16.4  22.0   7.2 99.0 99.00
2011 01 01 19 50  12 11.6 14.6  2.58  7.69  5.60  36 1017.9  16.7  21.9   7.2 99.0 99.00
2011 01 01 20 50  14 11.1 13.2  2.64  7.69  5.72  46 1018.5  17.0  22.0   7.4 99.0 99.00
2011 01 01 21 50  11 12.0 14.5  2.70  8.33  5.84  58 1018.5  17.2  21.9   6.8 99.0 99.00
2011 01 01 22 50  15 11.2 14.6  2.57  7.69  5.67  43 1019.0  17.4  21.9   6.7 99.0 99.00
2011 01 01 23 50  20 10.8 13.5  2.84  8.33  6.06  56 1019.4  17.7  21.9   6.6 99.0 99.00
2011 01 02 00 50  23 10.1 12.4  2.87  8.33  6.16  66 1020.3  18.0  21.9   7.2 99.0 99.00
2011 01 02 01 50  27 10.2 12.6  2.59  8.33  5.93  61 1021.0  18.1  21.8   7.1 99.0 99.00
2011 01 02 02 50  22 10.4 12.7  2.59  7.69  5.97  68 1021.5  18.2  21.8   7.2 99.0 99.00
2011 01 02 03 50  25  9.7 11.8  2.38  7.69  5.72  61 1022.1  18.2  21.8   6.9 99.0 99.00
