#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2010 12 31 23 50 120  9.2 11.4  2.10  7.14  5.09 999 1017.3  21.5  21.1  19.6 99.0 99.00
2011 01 01 00 50 124 10.1 12.2  1.89  7.14  4.74 999 1017.6  21.5  21.1  19.4 99.0 99.00
2011 01 01 01 50 123 10.4 12.3  1.90  7.69  4.88 999 1018.1  21.5  21.1  19.2 99.0 99.00
2011 01 01 02 50 129 10.2 12.2  1.90  7.14  4.80 999 1018.3  21.6  21.2  19.0 99.0 99.00
2011 01 01 03 50 131 10.0 11.7  2.25  7.14  5.00 999 1018.4  21.6  21.2  18.8 99.0 99.00
2011 01 01 04 50 130 10.7 12.9  2.17  6.67  4.91 999 1017.7  21.5  21.2  18.9 99.0 99.00
2011 01 01 05 50 133 10.0 12.0  2.18  7.14  5.01 999 1017.4  21.5  21.2  18.9 99.0 99.00
2011 01 01 06 50 131 10.0 12.4  2.00  6.25  4.65 999 1016.8  21.6  21.3  18.9 99.0 99.00
2011 01 01 07 50 132  9.6 11.2  2.21  7.14  4.95 999 1016.6  21.6  21.3  19.0 99.0 99.00
2011 01 01 08 50 127  9.7 12.2  2.14  6.25  4.91 999 1015.9  21.6  21.4  19.0 99.0 99.00
2011 01 01 09 50 131  9.3 11.7  2.16  6.25  4.94 999 1015.8  21.6  21.4  19.1 99.0 99.00
2011 01 01 10 50 132  9.1 11.3  2.26  7.14  5.04 999 1015.9  21.7  21.5  19.3 99.0 99.00
2011 01 01 11 50 132  9.7 11.7  2.32  6.67  5.38 999 1016.1  21.8  21.5  19.5 99.0 99.00
2011 01 01 12 50 132  7.8  9.6  2.08  7.69  5.09 999 1016.9  21.9  21.5  19.8 99.0 99.00
2011 01 01 13 50 128  6.2  7.3  2.04  7.14  5.28 999 1017.9  22.2  21.5  20.1 99.0 99.00
2011 01 01 14 50 127  5.7  6.9  1.94  7.14  5.24 999 1018.6  22.3  21.5  20.2 99.0 99.00
2011 01 01 15 50 130  5.8  7.0  1.85  7.14  5.13 999 1018.5  22.3  21.5  20.2 99.0 99.00
2011 01 01 16 50 142  4.2  4.9 99.00 99.00 99.00 999 1018.2  22.3  21.6  20.5 99.0 99.00
2011 01 01 17 50 136  6.1  7.2  1.81  6.67  5.22 999 1016.5  22.2  21.6  20.0 99.0 99.00
2011 01 01 18 50 139  7.7  9.5  1.73  5.88  5.07 999 1014.7  22.5  21.6  20.0 99.0 99.00
2011 01 01 19 50 144  8.0  9.8  1.65  6.25  4.91 999 1014.1  22.6  21.6  20.0 99.0 99.00
2011 01 01 20 50 196  3.5  4.3  1.79  7.14  5.10 999 1015.9  22.8  21.6  20.0 99.0 99.00
2011 01 01 21 50  57  0.2  0.8  1.78  7.14  5.33 999 1016.8  22.3  21.6  20.2 99.0 99.00
2011 01 01 22 50  74  0.3  0.9  1.76  7.14  5.29 999 1017.0  22.3  21.6  20.3 99.0 99.00
2011 01 01 23 50 127  2.3  2.8  1.66  7.69  5.25 999 1017.5  22.3  21.6  20.3 99.0 99.00
2011 01 02 00 50 133  4.5  5.2  1.57  6.67  5.24 999 1017.7  22.1  21.6  20.4 99.0 99.00
2011 01 02 01 50 120  3.2  4.0  1.48  6.67  5.15 999 1018.6  22.1  21.6  20.3 99.0 99.00
2011 01 02 02 50 133  4.3  5.3  1.58  7.69  5.45 999 1018.7  22.0  21.5  20.3 99.0 99.00
2011 01 02 03 50 125  4.9  5.7  1.53  7.69  5.29 999 1019.1  22.0  21.5  20.4 99.0 99.00
2011 01 02 04 50 126  5.4  6.7  1.49  7.14  5.19 999 1019.4  21.8  21.5  20.5 99.0 99.00
