#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi    ft
2007 01 01 00 00 152 10.4 12.4  1.77  5.56  4.70 999 1024.1  22.5  23.3  16.0 99.0 99.00
2007 01 01 01 00 155 10.9 12.4  1.81  5.88  4.83 999 1023.7  22.5  23.2  16.5 99.0 99.00
2007 01 01 02 00 162 11.2 13.4  1.83  6.25  4.90 999 1023.6  22.6  23.1  17.3 99.0 99.00
2007 01 01 03 00 167 11.5 13.9  2.08  6.67  5.04 999 1023.4  22.6  23.1  17.3 99.0 99.00
2007 01 01 04 00 170 11.2 13.6  2.17  5.88  4.94 999 1022.9  22.7  23.0  17.5 99.0 99.00
2007 01 01 05 00 168 13.1 16.2  2.27  5.56  4.93 999 1021.4  22.4  23.1  17.9 99.0 99.00
2007 01 01 06 00 171 12.8 15.7  2.32  6.25  5.01 999 1020.5  22.5  23.1  17.7 99.0 99.00
2007 01 01 07 00 173 14.4 17.0 99.00 99.00 99.00 999 1019.2  22.6  23.2  16.2 99.0 99.00
2007 01 01 08 00 177 14.1 17.1  2.54  5.88  5.14 999 1018.6  22.6  23.2  17.0 99.0 99.00
2007 01 01 09 00 184 13.2 15.5  2.66  6.67  5.37 999 1018.9  22.5  23.2  17.2 99.0 99.00
2007 01 01 10 00 187 12.6 15.2  2.89  6.67  5.49 999 1018.5  22.6  23.2  17.8 99.0 99.00
2007 01 01 11 00 194 11.6 14.8  2.71  7.14  5.54 999 1018.0  22.9  23.2  18.6 99.0 99.00
2007 01 01 12 00 194 12.7 15.9  2.63  7.14  5.60 999 1017.9  23.0  23.1  18.4 99.0 99.00
2007 01 01 13 00 193 12.8 15.2  3.11  7.14  6.07 999 1017.5  23.1  23.0  18.8 99.0 99.00
2007 01 01 14 00 200 12.0 14.9  2.72  7.69  5.66 999 1017.9  23.3  22.9  19.1 99.0 99.00
2007 01 01 15 00 203 11.9 14.6  2.96  7.69  5.80 999 1018.3  23.4  22.8  19.4 99.0 99.00
2007 01 01 16 00 200 12.2 14.7  2.77  7.69  5.77 999 1017.4  23.4  22.7  19.5 99.0 99.00
2007 01 01 17 00 201 12.2 15.8  2.80  7.69  5.68 999 1016.1  23.4  22.6  19.9 99.0 99.00
2007 01 01 18 00 213 12.1 15.8  3.14  7.69  5.85 999 1015.2  20.4  22.5  19.5 99.0 99.00
2007 01 01 19 00 215 11.9 13.9  2.67  7.69  5.46 999 1014.7  21.9  22.5  19.5 99.0 99.00
2007 01 01 20 00 224 10.8 13.1  2.58  7.69  5.48 999 1014.4  22.7  22.5  20.5 99.0 99.00
2007 01 01 21 00 229 12.8 15.9  2.68  7.69  5.67 999 1013.9  22.8  22.5  20.0 99.0 99.00
2007 01 01 22 00 232 11.7 14.2  2.49  7.69  5.54 999 1013.9  22.2  22.5  19.8 99.0 99.00
2007 01 01 23 00 238 13.6 16.9  2.50  7.69  5.29 999 1014.0  22.1  22.5  19.8 99.0 99.00
2007 01 02 00 00 275 10.3 11.9  2.37  7.69  5.30 999 1015.0  18.6  22.3  17.1 99.0 99.00
2007 01 02 01 00 247 10.0 12.3  2.27  7.14  5.39 999 1015.1  19.6  21.9  16.9 99.0 99.00
2007 01 02 02 00 255 12.9 15.9  2.36  7.69  5.38 999 1015.5  19.6  21.6  14.8 99.0 99.00
2007 01 02 03 00 272 11.8 14.4  2.41  7.14  5.26 999 1016.1  18.6  21.3  13.9 99.0 99.00
2007 01 02 04 00 288 12.8 15.2  2.25  7.69  5.10 999 1017.0  18.0  21.3  12.4 99.0 99.00
2007 01 02 05 00 285 12.4 15.1  2.29  7.69  5.12 999 1017.2  17.4  21.2  11.8 99.0 99.00
2007 01 02 06 00 287 12.4 14.9  2.30  7.69  5.19 999 1017.5  16.5  21.3  12.0 99.0 99.00
2007 01 02 07 00 307 10.1 12.3  2.40  7.69  5.24 999 1018.6  15.7  21.4  11.4 99.0 99.00
2007 01 02 08 00 322  9.6 11.5  2.05  7.14  5.21 999 1019.3  15.2  21.5  10.7 99.0 99.00
2007 01 02 09 00 335 10.4 12.9  1.88  5.56  5.00 999 1020.0  14.4  21.6   9.3 99.0 99.00
2007 01 02 10 00 346 10.5 12.7  1.74  4.76  4.68 999 1020.4  13.9  21.7   8.2 99.0 99.00
2007 01 02 11 00 358 10.8 13.1  1.84  4.55  4.71 999 1021.5  13.3  21.7   7.1 99.0 99.00
2007 01 02 12 00 350 10.7 13.2  1.76  5.00  4.50 999 1022.5  12.8  21.5   7.1 99.0 99.00
2007 01 02 13 00 360 10.3 13.2  1.84  4.76  4.51 999 1023.9  12.7  21.3   6.5 99.0 99.00
2007 01 02 14 00   7  9.9 12.1  1.66  5.26  4.50 999 1024.8  12.6  21.0   6.7 99.0 99.00
2007 01 02 15 00  22  9.7 11.9  1.71  5.56  4.56 999 1025.6  12.9  20.9   6.8 99.0 99.00
2007 01 02 16 00  17  8.5 10.8  1.65  5.56  4.45 999 1026.9  12.9  20.9   7.1 99.0 99.00
2007 01 02 17 00  24  9.7 11.8  1.56  5.26  4.49 999 1026.4  13.4  20.8   7.0 99.0 99.00
2007 01 02 18 00  26  9.4 12.0  1.70  5.56  4.60 999 1026.3  13.4  20.9   7.5 99.0 99.00
2007 01 02 19 00  35  9.0 11.4  1.52  5.56  4.39 999 1026.2  13.7  20.9   7.9 99.0 99.00
2007 01 02 20 00  41  8.0  9.6  1.43  5.00  4.39 999 1027.1  14.0  21.0   7.7 99.0 99.00
2007 01 02 21 00  40  8.5 10.7  1.51  5.26  4.57 999 1027.2  14.1  21.1   7.7 99.0 99.00
2007 01 02 22 00  43  6.9  9.5  1.41  6.25  4.59 999 1028.1  14.2  21.2   7.2 99.0 99.00
2007 01 02 23 00  38  6.5  8.6  1.38  6.25  4.92 999 1028.4  14.5  21.2   7.4 99.0 99.00
2007 01 03 00 00  42  6.6  8.8  1.33  6.67  4.83 999 1029.1  15.0  21.3   8.7 99.0 99.00
2007 01 03 01 00  40  8.1  9.7  1.26  6.25  4.65 999 1028.9  15.1  21.3   8.0 99.0 99.00
2007 01 03 02 00  54  8.5 10.5  1.27  5.88  4.46 999 1029.1  15.6  21.2   8.5 99.0 99.00
2007 01 03 03 00  55  7.6  9.3  1.36  7.14  4.62 999 1029.6  15.8  21.1   9.4 99.0 99.00
2007 01 03 04 00  63  8.0  9.8  1.35  6.67  4.51 999 1029.8  16.0  21.0  10.2 99.0 99.00
2007 01 03 05 00  61  7.5  9.4  1.35  6.25  4.52 999 1029.4  16.1  21.0  10.5 99.0 99.00
2007 01 03 06 00  63  7.4  9.0  1.38  4.76  4.55 999 1029.2  16.4  20.9  11.1 99.0 99.00
2007 01 03 07 00  57  8.4  9.9  1.31  9.09  4.51 999 1028.7  16.8  20.9  11.4 99.0 99.00
2007 01 03 08 00  69  7.5  9.5  1.29  7.14  4.31 999 1029.0  17.3  21.1  11.8 99.0 99.00
2007 01 03 09 00  72  7.7  9.6  1.26  6.25  4.51 999 1028.7  17.6  21.4  12.2 99.0 99.00
2007 01 03 10 00  70  7.5  9.4  1.23  6.25  4.44 999 1029.1  17.9  21.6  12.5 99.0 99.00
2007 01 03 11 00  51  8.8 10.6  1.33  4.35  4.44 999 1029.0  17.6  21.7  13.6 99.0 99.00
2007 01 03 12 00  54  9.4 11.1  1.45  4.76  4.42 999 1029.7  17.7  21.7  13.5 99.0 99.00
2007 01 03 13 00  57  9.1 11.1  1.39  5.26  4.63 999 1030.0  17.9  21.7  13.5 99.0 99.00
2007 01 03 14 00  70  8.9 10.4  1.52  5.88  4.58 999 1030.5  18.5  21.6  13.3 99.0 99.00
2007 01 03 15 00  50  8.4 10.5  1.50  5.26  4.46 999 1031.4  18.8  21.6  14.3 99.0 99.00
2007 01 03 16 00  99  6.8  8.7  1.47  5.00  4.49 999 1031.2  19.4  21.5  11.3 99.0 99.00
2007 01 03 17 00 103  6.6  8.7  1.33  5.00  4.57 999 1030.2  19.7  21.4  11.1 99.0 99.00
2007 01 03 18 00 104  6.1  7.7  1.34  5.00  4.40 999 1029.4  19.8  21.4  10.6 99.0 99.00
2007 01 03 19 00 113  6.4  7.7  1.37  5.26  4.56 999 1029.0  19.9  21.4  11.2 99.0 99.00
2007 01 03 20 00 122  6.3  7.7  1.33  5.00  4.54 999 1028.6  20.0  21.6  11.6 99.0 99.00
2007 01 03 21 00 123  6.5  8.0  1.15  5.56  4.35 999 1028.6  20.1  21.7  11.1 99.0 99.00
2007 01 03 22 00 130  5.4  7.1  1.19  7.69  4.49 999 1028.8  20.1  21.8  11.7 99.0 99.00
2007 01 03 23 00 135  5.4  6.8  1.11  5.26  4.57 999 1028.5  20.2  21.9  12.1 99.0 99.00
2007 01 04 00 00 127  5.8  7.7  1.03  7.14  4.55 999 1028.4  20.2  22.1  12.3 99.0 99.00
2007 01 04 01 00 131  5.8  7.3  0.97  7.69  4.37 999 1028.3  20.4  22.1  12.3 99.0 99.00
2007 01 04 02 00 144  5.8  8.0  1.00  7.14  4.64 999 1028.3  20.5  22.1  12.9 99.0 99.00
2007 01 04 03 00 140  5.1  6.5  0.96  5.56  4.60 999 1028.4  20.6  22.0  12.6 99.0 99.00
2007 01 04 04 00 138  5.5  7.1  1.04  4.76  4.78 999 1027.9  20.7  21.9  12.8 99.0 99.00
2007 01 04 05 00 136  4.2  5.7 99.00 99.00 99.00 999 1027.5  20.7  21.8  12.4 99.0 99.00
2007 01 04 06 00 139  4.7  6.6  1.08  7.69  4.55 999 1027.2  20.7  21.7  12.2 99.0 99.00
2007 01 04 07 00 147  4.2  5.1  0.98  7.14  4.64 999 1027.0  20.7  21.7  12.6 99.0 99.00
2007 01 04 08 00 137  4.7  5.6  0.98  6.67  4.62 999 1027.2  20.8  21.8  13.1 99.0 99.00
2007 01 04 09 00 145  4.7  6.0  0.92  8.33  4.58 999 1026.6  20.8  21.8  12.6 99.0 99.00
2007 01 04 10 00 136  5.0  6.5  0.96  8.33  4.77 999 1026.3  20.8  21.9  12.4 99.0 99.00
2007 01 04 11 00 131  6.0  7.6  0.88  7.69  4.51 999 1026.2  20.9  22.0  12.9 99.0 99.00
2007 01 04 12 00 122  5.7  7.0  0.95  8.33  4.66 999 1026.1  21.0  22.1  13.0 99.0 99.00
2007 01 04 13 00 134  6.3  7.3  0.89  7.69  4.66 999 1026.3  21.0  22.1  12.3 99.0 99.00
2007 01 04 14 00 146  6.7  8.4  0.99  8.33  5.02 999 1026.6  21.2  22.0  13.4 99.0 99.00
2007 01 04 15 00 138  7.4  8.8  1.05  7.69  4.75 999 1026.4  21.3  22.1  14.5 99.0 99.00
2007 01 04 16 00 136  7.1  8.3  1.19  7.69  4.84 999 1026.0  21.5  22.1  14.3 99.0 99.00
2007 01 04 17 00 156  8.0  9.5  1.13  8.33  4.72 999 1025.2  21.4  22.0  14.5 99.0 99.00
2007 01 04 18 00 142  5.9  7.0  1.17  5.00  4.64 999 1024.3  21.4  21.9  14.9 99.0 99.00
2007 01 04 19 00 134  5.4  6.4  1.23  5.00  4.74 999 1023.6  21.4  21.9  16.5 99.0 99.00
2007 01 04 20 00 120  5.9  6.9 99.00 99.00 99.00 999 1022.9  21.5  21.8  17.9 99.0 99.00
2007 01 04 21 00 128  6.8  8.5  1.22  6.25  4.49 999 1022.7  21.8  21.8  18.4 99.0 99.00
2007 01 04 22 00 135  6.8  8.0  1.24  5.88  4.38 999 1022.4  22.1  21.8  19.2 99.0 99.00
2007 01 04 23 00 160  7.0  8.5  1.22  5.26  4.47 999 1022.2  21.7  21.9  18.7 99.0 99.00
2007 01 05 00 00 179  8.3 10.0  1.26  6.25  4.61 999 1022.3  21.2  22.0  19.1 99.0 99.00
2007 01 05 01 00 159  8.4 10.5  1.33  6.25  4.67 999 1022.1  21.7  22.0  19.8 99.0 99.00
2007 01 05 02 00 171  8.5  9.8  1.41  5.88  4.66 999 1021.7  22.3  22.0  20.1 99.0 99.00
2007 01 05 03 00 177  7.8  9.6  1.54  5.88  4.90 999 1021.5  22.5  22.0  20.3 99.0 99.00
2007 01 05 04 00 190  7.3  8.5  1.57  6.67  5.03 999 1021.0  22.6  21.9  21.0 99.0 99.00
2007 01 05 05 00 208  6.6  7.9  1.55  6.25  5.01 999 1020.5  22.5  21.8  20.3 99.0 99.00
2007 01 05 06 00 210  6.2  7.4  1.59  6.25  5.08 999 1020.3  22.5  21.7  20.7 99.0 99.00
2007 01 05 07 00 213  5.3  6.3  1.57  6.67  5.15 999 1020.2  22.7  21.7  20.6 99.0 99.00
2007 01 05 08 00 205  5.4  6.0  1.57  6.25  5.02 999 1020.0  22.7  21.7  21.0 99.0 99.00
2007 01 05 09 00 201  6.1  7.3  1.38  6.25  4.62 999 1019.6  22.9  21.8  20.5 99.0 99.00
2007 01 05 10 00 199  6.8  8.7  1.40  5.88  4.76 999 1019.2  22.9  21.8  20.7 99.0 99.00
2007 01 05 11 00 200  6.6  8.0  1.43  6.25  4.46 999 1019.3  23.0  21.9  20.5 99.0 99.00
2007 01 05 12 00 201  7.3  8.7  1.30  5.88  4.48 999 1019.4  23.2  22.0  20.1 99.0 99.00
2007 01 05 13 00 202  7.6  8.9  1.29  5.88  4.25 999 1019.7  23.2  22.1  20.3 99.0 99.00
2007 01 05 14 00 199  8.0  9.6  1.28  6.25  4.36 999 1020.1  23.3  22.1  20.3 99.0 99.00
2007 01 05 15 00 198  8.3  9.8  1.49  6.25  4.60 999 1020.4  23.4  22.1  20.3 99.0 99.00
2007 01 05 16 00 197  8.4 10.1  1.31  6.25  4.40 999 1019.9  23.3  21.9  20.5 99.0 99.00
2007 01 05 17 00 192  8.9 10.8  1.35  6.25  4.68 999 1018.6  23.2  21.7  20.6 99.0 99.00
2007 01 05 18 00 191  8.7 11.0  1.40  5.88  4.58 999 1017.6  23.2  21.5  20.1 99.0 99.00
2007 01 05 19 00 195  8.6 10.0  1.62  6.25  4.78 999 1016.8  23.0  21.4  20.2 99.0 99.00
2007 01 05 20 00 193  8.6 10.0  1.67  5.88  4.84 999 1016.7  23.0  21.3  20.3 99.0 99.00
