#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi    ft
2007 01 01 00 00 198  2.1  2.5  0.65  9.09 99.00   0 1019.2  15.2  15.3   8.2 99.0 99.00
2007 01 01 01 00 300  3.4  4.8  0.60  9.09 99.00   0 1020.3  15.2  15.2   9.5 99.0 99.00
2007 01 01 02 00 305  6.8  8.1  0.61  9.09 99.00  26 1020.6  15.2  15.6   8.8 99.0 99.00
2007 01 01 03 00 318  8.8 10.6  0.74  8.33 99.00 360 1021.1  15.2  15.7   8.6 99.0 99.00
2007 01 01 04 00 328  8.1  9.3  0.87  3.45 99.00   0 1022.0  14.4  15.7   7.4 99.0 99.00
2007 01 01 05 00 330  8.1  9.7  0.88  9.09 99.00   0 1022.5  13.4  15.7   7.2 99.0 99.00
2007 01 01 06 00 330  7.4  9.0  0.88  3.70 99.00   0 1022.5  12.9  15.7   6.0 99.0 99.00
2007 01 01 07 00 339  7.2  8.5  0.75  8.33 99.00   0 1022.5  12.6  15.6   6.0 99.0 99.00
2007 01 01 08 00 336  8.3  9.6  0.80  9.09 99.00   0 1022.5  12.1  15.6   6.2 99.0 99.00
2007 01 01 09 00 343  9.2 10.9  0.87  3.23 99.00   0 1022.6  11.0  15.6   5.6 99.0 99.00
2007 01 01 10 00 342 10.3 12.6  0.94  3.70 99.00   0 1022.9  10.3  15.2   4.2 99.0 99.00
2007 01 01 11 00 348 10.1 12.0  0.99  3.70 99.00   0 1022.7   9.8  15.2   3.3 99.0 99.00
2007 01 01 12 00 346  9.1 10.6  1.00  3.70 99.00 270 1023.3   9.6  15.2   3.2 99.0 99.00
2007 01 01 13 00 356  6.9  8.9  0.74  3.33 99.00   0 1024.0   9.0  15.2   3.2 99.0 99.00
2007 01 01 14 00 353  8.4  9.9  0.75  3.13 99.00   0 1024.9   9.1  15.2   2.3 99.0 99.00
2007 01 01 15 00 356  6.6  8.0  0.74  3.45 99.00   0 1025.6   8.7  15.2   2.4 99.0 99.00
2007 01 01 16 00 355  6.4  7.6  0.55  3.23 99.00   0 1026.3   8.6  15.2   3.0 99.0 99.00
2007 01 01 17 00 357  7.5  9.0  0.59  8.33 99.00   0 1025.5   8.9  15.2   3.6 99.0 99.00
2007 01 01 18 00 343  6.0  7.2  0.57  3.03 99.00   0 1025.1   9.0  15.4   3.6 99.0 99.00
2007 01 01 19 00 332  5.0  6.6  0.54  3.13 99.00   0 1024.1  10.1  15.6   3.1 99.0 99.00
2007 01 01 20 00 325  5.8  6.9  0.46  7.69 99.00   0 1023.4  10.9  15.6   2.8 99.0 99.00
2007 01 01 21 00 321  4.8  6.8  0.42  2.78 99.00   0 1023.3  11.3  15.7   3.8 99.0 99.00
2007 01 01 22 00 317  4.2  5.5  0.42  2.86 99.00   0 1023.3  11.8  15.7   3.8 99.0 99.00
2007 01 01 23 00 317  3.8  5.0  0.42  8.33 99.00   0 1023.4  12.2  15.6   3.7 99.0 99.00
2007 01 02 00 00 357  5.8  7.0  0.38  2.63 99.00   0 1023.4  12.7  15.6   2.5 99.0 99.00
2007 01 02 01 00   4  4.9  6.3  0.39  2.70 99.00   0 1024.1  12.5  15.3   2.7 99.0 99.00
2007 01 02 02 00 358  7.5  8.9  0.43  2.56 99.00   0 1024.1  12.2  15.3   4.0 99.0 99.00
2007 01 02 03 00  18  7.1  8.5  0.58  3.23 99.00   0 1024.8  12.1  15.6   4.1 99.0 99.00
