#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi    ft
2007 01 01 00 00  10 10.6 12.8  1.92  5.88  4.79 354 1017.0  20.4  24.0 999.0 99.0 99.00
2007 01 01 01 00   6  8.9 10.2 99.00 99.00 99.00 999 1017.9  20.8  24.0 999.0 99.0 99.00
2007 01 01 02 00   8  9.8 11.0  1.96  6.25  4.81   7 1017.9  20.8  24.0 999.0 99.0 99.00
2007 01 01 03 00  17  9.9 11.0  1.85  6.25  4.85 334 1018.5  20.6  24.0 999.0 99.0 99.00
2007 01 01 04 00   9 10.7 12.1  1.80  5.88  4.86 357 1018.6  19.5  24.0 999.0 99.0 99.00
2007 01 01 05 00  10  9.8 11.0  1.73  5.88  4.61 352 1018.3  19.7  24.0 999.0 99.0 99.00
2007 01 01 06 00   4  9.5 10.9  1.58  6.25  4.65 338 1018.2  20.4  24.0 999.0 99.0 99.00
2007 01 01 07 00 359  9.8 10.8  1.55  5.56  4.65 351 1017.7  20.0  23.9 999.0 99.0 99.00
2007 01 01 08 00 357 10.5 12.3  1.53  5.56  4.72 335 1017.5  20.0  23.9 999.0 99.0 99.00
2007 01 01 09 00 356 10.2 12.3  1.63  5.88  4.82 344 1017.8  19.8  23.9 999.0 99.0 99.00
2007 01 01 10 00 352 10.3 12.7  1.68  5.56  4.77 351 1018.6  21.0  23.9 999.0 99.0 99.00
2007 01 01 11 00 341 10.1 12.5  1.59  5.56  4.66 359 1018.6  20.3  23.9 999.0 99.0 99.00
2007 01 01 12 00 349 11.1 13.0  1.59  5.88  4.70 335 1018.9  20.0  23.9 999.0 99.0 99.00
2007 01 01 13 00   3 11.7 14.4  1.68  5.56  4.57 355 1019.6  21.1  23.9 999.0 99.0 99.00
2007 01 01 14 00 353 10.5 12.4  1.80  5.56  4.82 349 1020.6  21.1  23.9 999.0 99.0 99.00
2007 01 01 15 00  13 11.2 13.3  1.85  5.88  4.92 356 1021.1  20.6  23.8 999.0 99.0 99.00
2007 01 01 16 00  10 10.7 13.1  1.67  5.88  4.78 344 1021.1  20.3  23.9 999.0 99.0 99.00
2007 01 01 17 00   5 10.5 12.4  1.81  5.56  4.92   1 1021.1  20.1  23.8 999.0 99.0 99.00
2007 01 01 18 00   2  8.9 11.3  1.79  5.88  4.86   4 1021.0  19.8  23.8 999.0 99.0 99.00
2007 01 01 19 00 358  8.9 10.5  1.82  5.88  4.83 328 1019.8  19.4  23.8 999.0 99.0 99.00
2007 01 01 20 00   9  8.4  9.9  1.77  6.25  4.92 335 1019.5  19.1  23.8 999.0 99.0 99.00
2007 01 01 21 00   5  8.9 11.2  1.73  6.25  4.89 327 1019.6  18.9  23.8 999.0 99.0 99.00
2007 01 01 22 00   4  8.0  9.9  1.73  6.67  5.08 319 1019.6  18.8  23.7 999.0 99.0 99.00
2007 01 01 23 00   3  8.2 10.5  1.60  6.67  4.88 326 1019.9  18.8  23.7 999.0 99.0 99.00
2007 01 02 00 00 347  6.9  8.0  1.54  6.67  4.85 322 1020.9  18.6  23.7 999.0 99.0 99.00
2007 01 02 01 00 351  7.1  9.0  1.53  6.67  4.86 323 1020.9  18.4  23.7 999.0 99.0 99.00
2007 01 02 02 00 357  7.2  8.7  1.37  7.14  4.80 334 1021.2  18.3  23.7 999.0 99.0 99.00
2007 01 02 03 00  10  7.7  9.9  1.55  6.67  4.96 321 1021.8  18.5  23.7 999.0 99.0 99.00
2007 01 02 04 00  18  8.5 11.0  1.40  6.67  4.83 313 1021.8  18.5  23.7 999.0 99.0 99.00
2007 01 02 05 00  31  8.6 11.5  1.36  6.67  4.92 308 1021.4  18.7  23.6 999.0 99.0 99.00
2007 01 02 06 00  27  7.2  9.1  1.41  6.25  4.85 322 1021.6  18.7  23.6 999.0 99.0 99.00
2007 01 02 07 00  45  7.2  8.7  1.48  6.67  5.00 314 1021.4  18.6  23.6 999.0 99.0 99.00
2007 01 02 08 00  34  7.3  8.8  1.34  6.67  4.69 308 1020.9  18.8  23.6 999.0 99.0 99.00
2007 01 02 09 00  33  5.4  7.0  1.30  6.67  4.96 310 1021.4  19.1  23.6 999.0 99.0 99.00
2007 01 02 10 00  30  5.3  7.2 99.00 99.00 99.00 999 1020.9  19.4  23.6 999.0 99.0 99.00
2007 01 02 11 00  36  7.7  9.7  1.31  6.25  4.84 320 1020.6  19.6  23.6 999.0 99.0 99.00
2007 01 02 12 00  32  5.2  6.6  1.37  5.88  4.83 311 1021.1  19.7  23.6 999.0 99.0 99.00
2007 01 02 13 00  50  6.0  8.5  1.36  6.25  4.91 313 1021.9  19.8  23.6 999.0 99.0 99.00
2007 01 02 14 00  29  6.8  8.2  1.26  6.25  4.83 329 1022.0  19.9  23.6 999.0 99.0 99.00
2007 01 02 15 00  40  7.2  8.8  1.29  6.67  4.71 306 1022.7  20.0  23.7 999.0 99.0 99.00
2007 01 02 16 00  38  9.1 10.6  1.32  5.88  4.71 328 1023.2  20.1  23.7 999.0 99.0 99.00
2007 01 02 17 00  39  7.3  9.3  1.26  6.67  4.67 319 1022.9  20.2  23.7 999.0 99.0 99.00
2007 01 02 18 00  44  7.9  9.6  1.20  6.67  4.52 324 1022.8  20.5  23.7 999.0 99.0 99.00
2007 01 02 19 00  43  8.1 10.2  1.23  6.25  4.41   3 1021.3  20.5  23.7 999.0 99.0 99.00
2007 01 02 20 00  47  6.1  7.5  1.22  5.26  4.37  13 1020.9  20.7  23.7 999.0 99.0 99.00
2007 01 02 21 00  29  5.2  6.2  1.15  5.26  4.54  20 1021.4  20.9  23.7 999.0 99.0 99.00
2007 01 02 22 00  34  7.0  8.5  1.09  5.56  4.47  15 1021.3  21.0  23.6 999.0 99.0 99.00
2007 01 02 23 00  52  6.3  7.5  1.13  5.56  4.63  21 1021.1  21.2  23.6 999.0 99.0 99.00
2007 01 03 00 00  45  6.0  7.1  1.02  5.56  4.55  23 1022.1  21.2  23.6 999.0 99.0 99.00
2007 01 03 01 00  34  7.0  8.3  1.06  5.56  4.57  29 1021.9  21.1  23.6 999.0 99.0 99.00
