#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi    ft
2007 09 21 06 00 130  5.0  5.7  1.25  6.67  5.61  67 1015.7  27.9  28.7  24.0 99.0 99.00
2007 09 21 07 00 128  5.4  6.2  1.30  6.67  5.58  74 1014.9  27.8  28.7  23.9 99.0 99.00
2007 09 21 08 00 116  6.1  6.9  1.27  7.14  5.54  75 1014.7  27.6  28.7  24.4 99.0 99.00
2007 09 21 09 00 111  5.6  6.7  1.28  6.67  5.32  76 1015.1  27.8  28.7  24.3 99.0 99.00
2007 09 21 10 00 115  4.0  5.9  1.22  7.14  5.45  63 1015.4  27.5  28.6  24.2 99.0 99.00
2007 09 21 11 00 104  5.0  5.7  1.16  6.67  5.43  69 1015.8  27.6  28.7  24.1 99.0 99.00
2007 09 21 12 00  95  5.0  5.8  1.17  7.69  5.51  62 1016.5  27.9  28.6  24.2 99.0 99.00
2007 09 21 13 00  96  4.2  4.9  1.08  6.67  5.53  71 1016.9  28.0  28.7  24.3 99.0 99.00
2007 09 21 14 00  95  4.1  4.8  1.10  6.67  5.48  65 1017.1  28.0  28.7  24.1 99.0 99.00
2007 09 21 15 00 107  4.2  4.9  1.15  6.67  5.75  83 1017.5  28.3  28.8  24.2 99.0 99.00
2007 09 21 16 00 147  5.2  6.0  1.18  6.67  5.72  69 1017.4  28.0  29.0  24.2 99.0 99.00
2007 09 21 17 00 131  3.0  3.5  1.16  6.67  5.90  78 1017.3  28.8  29.2  23.8 99.0 99.00
2007 09 21 18 00 107  2.5  3.2  1.12  7.14  5.96  66 1016.8  28.5  29.4  23.9 99.0 99.00
2007 09 21 19 00  90  1.8  2.7  1.12  6.67  5.96  92 1016.4  28.4  29.5  24.2 99.0 99.00
2007 09 21 20 00  87  2.1  2.8  1.11  5.88  5.87  77 1016.3  28.6  29.5  24.5 99.0 99.00
2007 09 21 21 00  71  3.0  5.0  1.15  7.14  5.94  85 1016.2  28.7  29.6  24.3 99.0 99.00
2007 09 21 22 00  91  4.0  4.7  1.08  7.69  5.97  79 1016.4  28.2  29.4  24.4 99.0 99.00
2007 09 21 23 00 104  5.0  6.1  1.09  7.14  5.93 100 1016.8  28.1  29.1  24.5 99.0 99.00
2007 09 22 00 00  90  5.8  6.8  1.12  6.67  5.88  67 1017.1  28.1  29.0  24.5 99.0 99.00
2007 09 22 01 00  95  6.0  7.4  1.08  6.25  5.69  72 1017.7  28.0  28.9  24.2 99.0 99.00
2007 09 22 02 00 104  5.8  6.5  1.11  6.67  5.63  78 1017.9  28.0  28.9  24.6 99.0 99.00
