#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2009 01 01 00 20 352 13.3 16.9  2.25  6.25  5.09 315 1017.3   9.8  18.9  -1.5 99.0 99.00
2009 01 01 00 50 354 14.5 19.1  2.10  5.88  4.92 326 1017.8   9.3  18.9  -2.0 99.0 99.00
2009 01 01 01 20 348 13.4 17.7  2.03  5.88  4.84 325 1018.5   8.9  18.9  -2.0 99.0 99.00
2009 01 01 01 50 350 13.6 17.2  1.99  5.88  4.84 326 1019.2   8.1  18.9  -2.5 99.0 99.00
2009 01 01 02 20 347 16.2 19.8  1.98  5.56  4.77 336 1019.5   7.5  18.9  -4.4 99.0 99.00
2009 01 01 02 50 349 14.7 18.0  2.25  5.88  4.86 321 1020.3   7.4  18.9  -3.0 99.0 99.00
2009 01 01 03 20 347 15.0 18.3  2.32  5.56  4.89 332 1020.7   6.6  18.9  -4.6 99.0 99.00
2009 01 01 03 50 348 14.0 17.4  2.15  5.88  4.85 336 1021.3   6.3  18.9  -3.5 99.0 99.00
2009 01 01 04 20 347 14.2 18.2  2.29  5.56  4.84 339 1021.6   6.1  18.9  -2.9 99.0 99.00
2009 01 01 04 50 355 13.8 16.6  2.19  5.88  4.77 339 1021.7   5.6  18.9  -3.1 99.0 99.00
2009 01 01 05 20 356 13.0 17.2  1.97  5.88  4.73 342 1021.8   5.2  18.9  -3.3 99.0 99.00
2009 01 01 05 50   5 13.3 16.2  1.94  5.88  4.52 340 1022.1   5.0  18.8  -2.7 99.0 99.00
2009 01 01 06 20   6 13.5 16.2  1.85  5.26  4.46 342 1022.3   4.3  18.8  -4.0 99.0 99.00
2009 01 01 06 50   4 12.4 15.8  1.77  5.56  4.49 346 1022.9   4.2  18.8  -3.7 99.0 99.00
2009 01 01 07 20  14 12.4 15.1  1.80  5.56  4.57 345 1023.3   3.9  18.7  -4.0 99.0 99.00
2009 01 01 07 50  16 12.9 15.3  1.89  5.26  4.61 347 1023.5   3.6  18.7  -4.1 99.0 99.00
2009 01 01 08 20   8 12.5 15.6  1.76  5.26  4.34 352 1023.9   3.4  18.6  -4.4 99.0 99.00
2009 01 01 08 50  15 12.8 15.4  1.90  5.56  4.50 349 1024.2   3.0  18.6  -5.2 99.0 99.00
2009 01 01 09 20  12 11.3 14.3  1.79  5.56  4.57 347 1024.5   3.0  18.5  -4.7 99.0 99.00
2009 01 01 09 50  10 12.0 15.1  1.64  5.26  4.39 357 1024.7   3.1  18.5  -3.8 99.0 99.00
2009 01 01 10 20  11 11.5 15.3  1.69  5.26  4.47 351 1024.9   2.7  18.4  -4.5 99.0 99.00
