#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi    ft
2007 01 01 00 00 300  4.8  6.9  2.03 14.81  9.58 287 1021.8  14.4  16.5 999.0 99.0 99.00
2007 01 01 01 00 298  5.8  7.1  2.13 13.79  9.33 284 1021.6  14.6  16.3 999.0 99.0 99.00
2007 01 01 02 00 298  7.5  8.8  2.16 14.81  9.05 290 1021.5  14.6  16.2 999.0 99.0 99.00
2007 01 01 03 00 288  7.6  9.6  2.37 14.81  8.24 287 1021.5  14.4  16.2 999.0 99.0 99.00
2007 01 01 04 00 307  7.4  9.0  2.32 14.81  8.35 279 1021.5  14.4  16.1 999.0 99.0 99.00
2007 01 01 05 00 298  7.9  9.7  2.52 14.81  8.39 286 1021.7  13.8  16.1 999.0 99.0 99.00
2007 01 01 06 00 301  7.1  9.0  2.80 14.81  8.15 291 1021.5  13.6  16.1 999.0 99.0 99.00
2007 01 01 07 00 299  7.0  9.6  2.63 13.79  7.50 290 1021.0  13.7  16.1 999.0 99.0 99.00
2007 01 01 08 00 296  7.0  9.7  2.76 13.79  7.58 285 1020.0  13.8  16.1 999.0 99.0 99.00
2007 01 01 09 00 302  7.7  9.7  2.77 13.79  7.42 283 1019.6  13.9  16.1 999.0 99.0 99.00
2007 01 01 10 00 321  6.0  7.3  2.86 13.79  7.54 286 1019.6  14.1  16.1 999.0 99.0 99.00
2007 01 01 12 00 350  4.8  5.8  2.87 14.81  7.77 280 1019.0  13.7  16.2 999.0 99.0 99.00
2007 01 01 13 00 355  4.0  5.0  2.92 13.79  8.34 282 1019.0  14.0  16.2 999.0 99.0 99.00
2007 01 01 14 00 344  2.4  3.2  2.80 13.79  8.49 281 1018.7  14.0  16.3 999.0 99.0 99.00
2007 01 01 15 00 313  3.7  5.1  2.61 12.12  8.18 282 1018.8  14.1  16.3 999.0 99.0 99.00
2007 01 01 16 00 318  3.4  4.6  2.82 13.79  8.67 284 1019.2  14.2  16.4 999.0 99.0 99.00
2007 01 01 17 00 319  4.6  5.9  2.63 13.79  8.31 280 1019.4  14.2  16.5 999.0 99.0 99.00
2007 01 01 18 00 318  4.5  6.2  2.65 12.90  8.09 274 1019.4  14.2  16.5 999.0 99.0 99.00
2007 01 01 19 00 347  3.5  4.8  2.66 12.90  8.09 275 1018.6  14.4  16.5 999.0 99.0 99.00
2007 01 01 20 00 340  4.1  5.1  2.55 13.79  7.92 281 1017.7  14.3  16.6 999.0 99.0 99.00
2007 01 01 21 00 339  4.6  5.6  2.51 13.79  7.83 273 1017.0  14.3  16.6 999.0 99.0 99.00
2007 01 01 22 00 334  4.1  5.1  2.39 12.90  7.62 272 1016.5  14.4  16.6 999.0 99.0 99.00
2007 01 01 23 00 324  4.2  5.2  2.33 12.90  7.77 266 1016.1  14.6  16.6 999.0 99.0 99.00
2007 01 02 00 00 307  5.6  6.8  2.33 13.79  7.76 268 1016.1  14.9  16.6 999.0 99.0 99.00
2007 01 02 01 00 315  4.1  5.4  2.14 12.90  7.50 282 1016.1  15.1  16.6 999.0 99.0 99.00
2007 01 02 02 00 323  5.7  7.6  2.19 12.90  7.91 283 1016.3  15.6  16.6 999.0 99.0 99.00
2007 01 02 03 00 327  6.1  7.5  2.34 12.90  7.53 283 1016.5  16.0  16.6 999.0 99.0 99.00
2007 01 02 04 00 318  5.7  7.2  2.09 12.90  7.32 279 1016.5  16.3  16.6 999.0 99.0 99.00
2007 01 02 05 00 326  6.9  8.3  2.06 12.90  6.90 289 1016.7  16.4  16.6 999.0 99.0 99.00
2007 01 02 06 00 353  3.2  4.0  2.18 12.90  7.25 288 1017.2  16.1  16.6 999.0 99.0 99.00
2007 01 02 07 00 356  3.1  3.6  2.24 12.90  7.16 286 1017.5  15.9  16.6 999.0 99.0 99.00
2007 01 02 08 00  13  2.8  3.3  2.06 12.90  7.33 273 1017.4  15.9  16.5 999.0 99.0 99.00
2007 01 02 09 00 329  2.4  3.3  2.18 12.90  7.55 283 1017.0  15.6  16.4 999.0 99.0 99.00
2007 01 02 10 00 303  3.5  4.4  2.14 12.90  7.17 285 1017.3  15.8  16.3 999.0 99.0 99.00
2007 01 02 11 00 311  3.5  4.4  2.13 12.90  7.35 278 1017.3  15.9  16.0 999.0 99.0 99.00
2007 01 02 12 00 287  3.2  4.0  1.86 12.12  6.90 279 1017.2  15.8  16.0 999.0 99.0 99.00
2007 01 02 13 00 318  4.4  5.4  1.84 12.12  7.22 272 1017.2  16.6  16.0 999.0 99.0 99.00
2007 01 02 14 00  10  1.8  2.2  1.73 12.12  7.31 271 1017.8  16.1  16.0 999.0 99.0 99.00
2007 01 02 15 00  44  0.7  1.8  1.80 12.90  7.49 275 1018.3  15.6  16.0 999.0 99.0 99.00
2007 01 02 16 00  88  2.1  2.9  1.81 13.79  7.62 274 1018.7  16.1  15.9 999.0 99.0 99.00
2007 01 02 17 00 358  0.2  1.1  1.69 12.90  7.64 281 1019.5  16.9  15.9 999.0 99.0 99.00
2007 01 02 18 00 356  1.5  1.9  1.70 12.12  7.58 280 1020.1  16.8  15.9 999.0 99.0 99.00
2007 01 02 19 00 289  3.5  4.6  1.78 12.90  7.63 285 1019.9  16.3  15.7 999.0 99.0 99.00
2007 01 02 20 00 334  1.9  2.3  1.70 12.90  7.10 272 1018.7  16.2  15.8 999.0 99.0 99.00
2007 01 02 21 00  69  1.5  2.2  1.72 12.12  7.26 281 1017.6  16.2  16.0 999.0 99.0 99.00
2007 01 02 22 00  39  0.1  0.5  1.70 12.12  7.32 270 1017.0  17.0  16.2 999.0 99.0 99.00
2007 01 02 23 00 323  1.7  2.3  1.71 12.12  7.58 275 1017.3  16.5  16.2 999.0 99.0 99.00
2007 01 03 00 00 320  2.0  2.8  1.71 12.90  7.98 269 1017.3  16.6  16.1 999.0 99.0 99.00
2007 01 03 01 00 300  3.1  3.8  1.64 14.81  8.18 278 1017.1  16.4  16.1 999.0 99.0 99.00
2007 01 03 02 00 302  4.5  5.3  1.67 11.43  8.29 278 1017.5  16.7  16.0 999.0 99.0 99.00
2007 01 03 03 00 303  3.6  4.1  1.69 14.81  8.56 282 1017.5  16.3  15.9 999.0 99.0 99.00
2007 01 03 04 00 269  1.2  1.9  1.68 14.81  8.80 291 1017.9  16.2  15.9 999.0 99.0 99.00
2007 01 03 05 00  17  0.3  1.0  1.66 14.81  8.77 288 1018.2  16.1  15.8 999.0 99.0 99.00
2007 01 03 06 00 316  0.2  0.8  1.61 12.12  8.90 293 1018.6  15.6  15.7 999.0 99.0 99.00
2007 01 03 07 00 310  2.2  2.8  1.64 11.43  8.73 283 1018.7  15.7  15.8 999.0 99.0 99.00
2007 01 03 08 00 349  0.2  0.6  1.64 12.12  8.29 285 1018.3  15.2  15.6 999.0 99.0 99.00
2007 01 03 09 00 342  0.9  1.4  1.77 13.79  8.51 281 1018.0  15.2  15.6 999.0 99.0 99.00
2007 01 03 10 00 261  0.4  1.2  1.67 13.79  8.22 284 1018.0  15.1  15.4 999.0 99.0 99.00
2007 01 03 11 00 273  0.8  1.4  1.66 13.79  8.42 276 1017.9  15.2  15.4 999.0 99.0 99.00
2007 01 03 12 00 261  3.0  3.7  1.52 13.79  8.29 275 1017.8  15.1  16.0 999.0 99.0 99.00
2007 01 03 13 00 269  4.9  6.2  1.59 12.12  8.75 271 1018.1  15.4  16.0 999.0 99.0 99.00
2007 01 03 14 00 273  3.3  4.1  1.45 12.90  8.43 270 1017.8  15.2  15.9 999.0 99.0 99.00
2007 01 03 15 00 247  2.5  3.5  1.52 12.90  8.73 272 1017.6  15.1  15.8 999.0 99.0 99.00
2007 01 03 16 00 255  4.2  5.6  1.46 12.90  8.47 279 1018.7  15.1  15.9 999.0 99.0 99.00
2007 01 03 17 00 262  2.8  3.6  1.51 11.43  8.21 278 1019.4  15.2  15.8 999.0 99.0 99.00
2007 01 03 18 00 259  3.5  4.2  1.51 12.90  8.15 268 1019.9  15.2  15.9 999.0 99.0 99.00
2007 01 03 19 00 258  5.1  5.9  1.61 12.12  8.18 272 1019.4  15.0  15.9 999.0 99.0 99.00
2007 01 03 20 00 259  5.4  6.5  1.60 12.12  7.37 273 1018.6  14.7  15.9 999.0 99.0 99.00
2007 01 03 21 00 258  5.2  6.3  1.55 12.12  7.22 275 1017.9  14.3  16.0 999.0 99.0 99.00
2007 01 03 22 00 270  4.9  6.2  1.66 12.90  7.21 278 1017.8  14.5  16.0 999.0 99.0 99.00
2007 01 03 23 00 266  4.0  5.4  1.73 11.43  7.44 282 1017.8  14.9  16.0 999.0 99.0 99.00
