#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2009 12 31 23 50 338  5.3  6.1  1.57 12.90  7.28 280 1024.6  15.3  15.9 999.0 99.0 99.00
2010 01 01 00 50 326  5.7  6.5  1.58 13.79  6.97 289 1024.9  15.1  15.9 999.0 99.0 99.00
2010 01 01 01 50 330  5.0  5.9  1.53 12.90  7.21 289 1025.0  15.5  15.9 999.0 99.0 99.00
2010 01 01 02 50 318  4.4  5.3  1.48 12.90  7.16 286 1025.4  15.4  15.8 999.0 99.0 99.00
2010 01 01 03 50 331  4.4  5.6  1.56 12.90  7.93 288 1025.5  15.7  15.8 999.0 99.0 99.00
2010 01 01 04 50 331  4.1  5.1  1.48 13.79  7.73 282 1025.8  15.8  15.8 999.0 99.0 99.00
2010 01 01 05 50 344  4.5  5.1  1.55 13.79  7.75 288 1026.0  15.8  15.8 999.0 99.0 99.00
2010 01 01 06 50 334  4.1  5.1  1.46 12.90  7.42 285 1026.0  15.9  15.8 999.0 99.0 99.00
2010 01 01 07 50 341  5.9  7.1  1.51 12.90  7.31 279 1025.9  15.7  15.8 999.0 99.0 99.00
2010 01 01 08 50 350  7.1  8.4  1.44 12.90  6.26 280 1025.3  15.5  15.8 999.0 99.0 99.00
2010 01 01 09 50 345  5.6  6.4  1.52 13.79  6.38 284 1025.1  15.5  15.7 999.0 99.0 99.00
2010 01 01 10 50  13  5.4  6.3  1.41 10.00  6.20 281 1024.3  15.4  15.7 999.0 99.0 99.00
2010 01 01 11 50 347  5.1  5.7  1.31 12.90  6.64 280 1024.0  15.3  15.7 999.0 99.0 99.00
2010 01 01 12 50 354  5.1  5.7  1.31 12.90  6.84 277 1023.3  15.3  15.7 999.0 99.0 99.00
2010 01 01 13 50  18  3.0  3.6  1.20 12.90  6.85 291 1023.2  15.3  15.7 999.0 99.0 99.00
2010 01 01 14 50  18  2.4  3.3  1.18 12.12  7.33 280 1023.3  15.3  15.7 999.0 99.0 99.00
2010 01 01 15 50 351  3.1  3.7  1.15 12.90  7.56 280 1023.5  15.4  15.7 999.0 99.0 99.00
2010 01 01 16 50  18  4.0  4.9  1.29 12.90  8.13 278 1023.6  15.5  15.8 999.0 99.0 99.00
2010 01 01 17 50 354  4.0  4.8  1.18 12.12  8.05 281 1024.1  15.7  15.8 999.0 99.0 99.00
2010 01 01 18 50 340  2.9  3.4  1.31 12.12  8.29 281 1023.8  15.7  15.9 999.0 99.0 99.00
2010 01 01 19 50 331  3.3  4.1  1.32 12.12  8.15 275 1022.7  15.7  16.0 999.0 99.0 99.00
2010 01 01 20 50 310  3.8  4.5  1.32 13.79  7.94 274 1021.6  15.8  16.1 999.0 99.0 99.00
2010 01 01 21 50 331  2.5  3.4  1.35 13.79  7.92 279 1020.7  16.0  16.1 999.0 99.0 99.00
2010 01 01 22 50 344  4.1  4.8  1.30 12.90  7.48 278 1020.1  16.3  16.1 999.0 99.0 99.00
2010 01 01 23 50 312  5.2  6.2  1.21 12.12  7.18 285 1020.3  16.0  16.1 999.0 99.0 99.00
2010 01 02 00 50 341  3.9  4.7  1.28 12.12  6.67 277 1020.0  16.0  16.0 999.0 99.0 99.00
2010 01 02 01 50 310  6.2  7.5  1.28 13.79  6.78 270 1019.9  15.9  16.0 999.0 99.0 99.00
2010 01 02 02 50 318  5.9  6.8  1.18 12.90  5.79 286 1019.8  16.0  16.0 999.0 99.0 99.00
2010 01 02 03 50 325  4.7  5.8  1.17 12.90  5.97 278 1019.4  15.9  16.0 999.0 99.0 99.00
