YYYY MM DD hh mm  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2006 01 01 09 00 150  3.3  5.4  4.06 13.79  9.68 289 1015.3  13.2  13.7 999.0 99.0 99.00
2006 01 01 10 00 115  5.1  7.7  4.15 12.90  9.83 289 1015.0  12.5  13.7 999.0 99.0 99.00
2006 01 01 11 00 133  5.0  7.1  4.03 12.90  9.61 298 1014.7  12.4  13.7 999.0 99.0 99.00
2006 01 01 12 00 130  7.0  9.4  4.52 13.79 10.01 295 1013.1  12.7  13.6 999.0 99.0 99.00
2006 01 01 13 00 105  6.6  9.2  4.10 12.12  9.54 290 1012.4  12.7  13.6 999.0 99.0 99.00
2006 01 01 14 00 127  7.1 10.0  4.33 12.90  9.65 290 1012.3  13.2  13.6 999.0 99.0 99.00
2006 01 01 15 00 174  5.8  7.8  3.83 12.90  8.92 289 1013.8  13.6  13.6 999.0 99.0 99.00
2006 01 01 16 00 148 11.1 14.3  3.72 12.90  8.86 287 1011.7  13.8  13.6 999.0 99.0 99.00
2006 01 01 17 00 153 10.5 12.9  3.63 12.12  8.40 295 1011.8  14.3  13.6 999.0 99.0 99.00
2006 01 01 18 00 146 11.9 15.0  3.57 12.90  7.95 285 1011.8  14.1  13.5 999.0 99.0 99.00
2006 01 01 19 00 124  9.8 12.4  3.26 12.12  8.01 285 1011.3  14.0  13.5 999.0 99.0 99.00
2006 01 01 20 00 135  9.2 11.1  3.12 12.90  7.62 285 1011.3  13.6  13.5 999.0 99.0 99.00
2006 01 01 21 00 121 11.2 13.7  3.01 12.90  7.53 287 1009.3  12.9  13.5 999.0 99.0 99.00
2006 01 01 23 00 137  8.8 11.4  2.69 13.79  7.42 283 1008.3  13.1  13.5 999.0 99.0 99.00
2006 01 02 00 00 134 11.2 13.4  2.65 12.90  7.09 288 1007.0  13.0  13.6 999.0 99.0 99.00
2006 01 02 01 00 137 12.9 15.5  3.09 12.90  6.80 273 1007.1  12.9  13.6 999.0 99.0 99.00
2006 01 02 02 00 131 12.6 15.9  2.97 13.79  6.63 282 1006.5  13.0  13.6 999.0 99.0 99.00
2006 01 02 03 00 130 10.9 13.0  2.89 12.90  6.84 278 1006.4  13.1  13.6 999.0 99.0 99.00
