#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2008 12 31 23 50 310  8.4  9.9  2.84 13.79  7.67 307 1017.7  13.3  12.5 999.0 99.0 99.00
2009 01 01 00 50 314  8.4  9.7  2.44 12.90  7.33 307 1017.7  13.2  12.5 999.0 99.0 99.00
2009 01 01 01 50 320  9.1 10.8  2.47 12.90  7.01 309 1018.1  13.0  12.5 999.0 99.0 99.00
2009 01 01 02 50 326  6.8  8.5  2.36 13.79  6.81 307 1018.5  13.4  12.5 999.0 99.0 99.00
2009 01 01 03 50 321  8.1  9.7  2.18 13.79  6.82 324 1018.9  13.0  12.4 999.0 99.0 99.00
2009 01 01 04 50 321  7.8  9.4  2.24 12.90  6.99 305 1018.8  12.9  12.4 999.0 99.0 99.00
2009 01 01 05 50 321 11.0 13.3  2.06 13.79  6.32 314 1018.8  12.6  12.3 999.0 99.0 99.00
2009 01 01 06 50 320 10.5 11.9  2.28 12.90  6.25 311 1019.0  11.5  12.3 999.0 99.0 99.00
2009 01 01 07 50 317  8.8 11.0  2.17 12.12  6.07 309 1018.7  11.8  12.3 999.0 99.0 99.00
2009 01 01 08 50 320  9.9 11.6  2.29  7.69  6.10 301 1018.5  11.7  12.2 999.0 99.0 99.00
2009 01 01 09 50 326  9.3 11.1  2.34 12.90  6.15 300 1018.5  11.8  12.1 999.0 99.0 99.00
2009 01 01 10 50 319  8.8 10.6  2.18 12.90  6.16 307 1018.6  11.7  12.1 999.0 99.0 99.00
2009 01 01 11 50 324  9.5 11.6  2.07 13.79  6.23 309 1018.4  11.5  12.1 999.0 99.0 99.00
2009 01 01 12 50 320 10.5 12.1  1.86 12.12  5.49 309 1018.2  11.6  12.0 999.0 99.0 99.00
2009 01 01 13 50 322  9.6 11.2  2.11 12.12  5.86 314 1018.1  11.7  12.0 999.0 99.0 99.00
2009 01 01 14 50 317  9.7 11.4  1.93 12.90  5.73 315 1018.3  11.4  12.3 999.0 99.0 99.00
2009 01 01 15 50 328  8.3  9.6  2.01 12.90  6.27 323 1018.3  11.5  12.3 999.0 99.0 99.00
2009 01 01 16 50 319  8.6 10.1  1.85 12.12  6.24 314 1018.5  11.3  12.3 999.0 99.0 99.00
2009 01 01 17 50 321  6.7  8.1  1.90 12.12  6.30 308 1018.8  12.0  12.3 999.0 99.0 99.00
2009 01 01 18 50 318  8.4 99.0 99.00 99.00 99.00 999 1018.7  12.2  12.4 999.0 99.0 99.00
2009 01 01 19 50 323  8.8 10.6  1.85 12.12  6.04 310 1018.1  12.2  12.4 999.0 99.0 99.00
2009 01 01 20 50 317  9.0 10.9  1.92 12.12  5.95 305 1017.0  12.5  12.3 999.0 99.0 99.00
