YYYY MM DD hh mm  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2006 01 01 00 00 284  6.9  8.2  3.50 13.79  8.11 275 1013.2  15.5  14.3 999.0 99.0 99.00
2006 01 01 01 00 287  6.0  7.6  3.13 13.79  8.08 271 1013.5  15.3  14.3 999.0 99.0 99.00
2006 01 01 02 00 276  4.3  5.6  3.20 13.79  8.49 272 1013.7  14.9  14.4 999.0 99.0 99.00
2006 01 01 03 00 292  4.8  6.4  3.14 14.81  8.26 277 1013.7  15.0  14.4 999.0 99.0 99.00
2006 01 01 04 00 293  3.2  4.5  3.26 13.79  8.46 286 1014.7  14.8  14.4 999.0 99.0 99.00
2006 01 01 05 00 342  0.4  1.9  3.38 13.79  8.62 289 1014.7  14.5  14.4 999.0 99.0 99.00
2006 01 01 06 00 180  0.1  0.6  3.41 13.79  8.90 291 1015.2  14.2  14.4 999.0 99.0 99.00
2006 01 01 07 00 249  3.1  4.2  3.73 12.90  9.47 284 1016.0  14.1  14.4 999.0 99.0 99.00
2006 01 01 08 00 274  2.1  3.2  3.49 12.90  9.26 289 1016.1  14.2  14.5 999.0 99.0 99.00
2006 01 01 09 00 256  3.3  4.5  3.54 13.79  9.08 287 1015.4  14.1  14.5 999.0 99.0 99.00
2006 01 01 10 00 180  0.1  1.3  3.54 12.90  9.36 296 1015.4  14.1  14.4 999.0 99.0 99.00
2006 01 01 11 00 145  0.3  2.1  3.54 11.43  9.34 286 1015.1  14.1  14.5 999.0 99.0 99.00
2006 01 01 12 00 145  0.9  3.6  3.89 13.79  9.87 300 1014.9  13.9  14.4 999.0 99.0 99.00
2006 01 01 13 00 109  2.5  4.3  3.60 12.90  9.44 301 1014.7  13.8  14.3 999.0 99.0 99.00
2006 01 01 14 00 120  6.7 11.2  3.65 12.90  9.59 312 1012.6  13.8  14.3 999.0 99.0 99.00
2006 01 01 15 00 140  6.0  8.1  3.89 12.90  9.71 306 1013.8  13.9  14.3 999.0 99.0 99.00
2006 01 01 16 00 108  6.1  8.2  3.36 12.90  9.06 314 1014.3  14.0  14.2 999.0 99.0 99.00
2006 01 01 17 00 130  7.2  9.4  3.40 12.90  8.94 303 1014.3  14.2  14.2 999.0 99.0 99.00
2006 01 01 18 00 126  7.9 10.8  3.66 12.90  9.01 298 1013.9  14.2  14.2 999.0 99.0 99.00
2006 01 01 19 00 127  5.4  7.8  3.65 12.90  9.00 301 1014.8  13.9  14.2 999.0 99.0 99.00
2006 01 01 20 00 137  8.5 11.0  3.30 12.90  8.42 293 1011.4  13.9  14.2 999.0 99.0 99.00
2006 01 01 21 00 136  8.2 10.6  3.03 12.90  7.92 293 1010.7  13.8  14.1 999.0 99.0 99.00
2006 01 01 22 00 123  8.2 10.2  2.87 12.90  7.64 291 1010.4  12.3  14.1 999.0 99.0 99.00
2006 01 01 23 00 103  8.6 11.6  3.04 13.79  8.14 296 1010.9  13.1  14.1 999.0 99.0 99.00
2006 01 02 00 00 102  7.2  9.3  2.88 12.90  8.14 301 1010.8  13.5  14.1 999.0 99.0 99.00
2006 01 02 01 00 173  1.1  2.2  2.95 12.90  8.16 297 1010.9  15.3  14.1 999.0 99.0 99.00
2006 01 02 02 00 140  3.1  4.1  2.66 12.90  7.92 289 1010.4  14.8  14.1 999.0 99.0 99.00
2006 01 02 03 00 178  4.3  5.4  2.71 12.90  8.21 284 1010.0  15.0  14.2 999.0 99.0 99.00
2006 01 02 04 00 193  7.6  9.0  2.78 12.90  7.58 281 1009.6  15.6  14.1 999.0 99.0 99.00
2006 01 02 05 00 186  7.7  9.3  2.87 12.90  7.37 283 1009.7  15.0  14.1 999.0 99.0 99.00
2006 01 02 06 00 188  8.7 10.3  2.86 12.12  7.27 284 1009.4  14.9  14.1 999.0 99.0 99.00
2006 01 02 07 00 187  8.4 10.3  3.03 12.90  7.36 277 1009.3  14.9  14.1 999.0 99.0 99.00
2006 01 02 08 00 186  9.2 10.7  2.97 12.12  7.23 283 1008.6  14.9  14.1 999.0 99.0 99.00
2006 01 02 09 00 186  9.2 11.5  3.12 12.90  7.22 295 1007.9  14.9  14.2 999.0 99.0 99.00
2006 01 02 10 00 187 10.1 12.5  3.24 17.39  7.37 303 1007.8  15.1  14.2 999.0 99.0 99.00
2006 01 02 11 00 179  9.6 11.6  3.58 12.12  7.58 282 1006.9  14.8  14.2 999.0 99.0 99.00
2006 01 02 12 00 180 10.4 12.9  3.55 12.90  7.30 289 1006.4  14.8  14.2 999.0 99.0 99.00
2006 01 02 13 00 175 10.8 13.6  3.50 12.90  7.22 279 1005.8  14.8  14.2 999.0 99.0 99.00
2006 01 02 14 00 178 11.7 14.1  3.94 13.79  7.55 280 1005.2  15.4  14.2 999.0 99.0 99.00
2006 01 02 15 00 183 12.7 15.4  4.19 16.00  7.80 311 1005.1  14.7  14.2 999.0 99.0 99.00
2006 01 02 16 00 210 11.1 13.9  4.33 16.00  7.86 302 1005.6  14.9  14.1 999.0 99.0 99.00
2006 01 02 17 00 204 10.1 11.8  4.54 16.00  7.88 290 1006.7  14.6  14.1 999.0 99.0 99.00
2006 01 02 18 00 200 10.1 12.3  4.89 16.00  8.44 289 1007.9  14.6  14.1 999.0 99.0 99.00
2006 01 02 19 00 224 11.5 13.8  4.76 16.00  8.70 291 1008.3  15.3  14.1 999.0 99.0 99.00
2006 01 02 20 00 239 10.8 13.0  4.64 14.81  7.99 282 1008.8  15.2  14.1 999.0 99.0 99.00
2006 01 02 21 00 248 10.7 13.1  4.45 14.81  7.99 271 1009.4  15.2  14.1 999.0 99.0 99.00
2006 01 02 22 00 260 11.3 13.6  4.50 14.81  8.05 281 1010.3  14.8  14.1 999.0 99.0 99.00
2006 01 02 23 00 257  9.0 11.9  4.71 13.79  7.89 278 1011.9  14.5  14.2 999.0 99.0 99.00
2006 01 03 00 00 274  8.2 10.9  4.85 13.79  8.37 267 1013.2  13.9  14.3 999.0 99.0 99.00
2006 01 03 01 00 284  8.3 10.9  5.08 13.79  8.62 280 1014.1  14.5  14.3 999.0 99.0 99.00
2006 01 03 02 00 291  8.7 10.8  5.08 14.81  8.91 281 1015.2  14.5  14.3 999.0 99.0 99.00
2006 01 03 03 00 288  6.4  8.9  5.12 10.81  9.34 270 1016.6  14.5  14.4 999.0 99.0 99.00
2006 01 03 04 00 291  5.6  7.3  5.26 14.81  9.30 280 1017.7  14.5  14.3 999.0 99.0 99.00
2006 01 03 05 00 276  5.7  8.2  5.16 16.00  9.45 280 1018.8  14.3  14.3 999.0 99.0 99.00
2006 01 03 06 00 290  5.1  7.6  5.41 16.00  9.55 279 1019.6  14.2  14.3 999.0 99.0 99.00
2006 01 03 07 00 324  4.9  6.7  5.02 11.43  9.57 274 1020.4  14.1  14.2 999.0 99.0 99.00
2006 01 03 08 00 327  3.0  4.4  4.78 17.39  9.23 286 1021.1  13.9  14.2 999.0 99.0 99.00
2006 01 03 09 00 333  1.7  3.6  4.77 16.00  9.63 287 1021.4  13.7  14.1 999.0 99.0 99.00
2006 01 03 10 00  12  1.0  2.5  4.51 11.43  9.49 285 1021.7  13.6  14.1 999.0 99.0 99.00
2006 01 03 11 00 133  0.2  1.6  4.66 16.00  9.61 309 1022.0  13.5  14.1 999.0 99.0 99.00
2006 01 03 12 00 206  2.4  3.6  4.51 14.81  9.48 278 1022.0  13.6  14.1 999.0 99.0 99.00
2006 01 03 13 00 261  3.3  5.0  4.76 16.00 10.09 271 1022.0  13.5  14.1 999.0 99.0 99.00
2006 01 03 14 00 241  1.9  3.3  4.01 14.81  9.40 273 1022.2  13.6  14.1 999.0 99.0 99.00
2006 01 03 15 00 304  3.3  5.2  4.30 12.12  9.72 278 1023.2  13.5  14.1 999.0 99.0 99.00
2006 01 03 16 00 360  1.5  2.7  4.61 16.00  9.89 300 1023.3  13.5  14.0 999.0 99.0 99.00
2006 01 03 17 00 318  3.0  4.3  4.53 13.79  9.92 301 1024.5  13.6  13.9 999.0 99.0 99.00
2006 01 03 18 00   8  0.8  2.2  4.28 13.79  9.61 297 1025.4  13.7  13.9 999.0 99.0 99.00
2006 01 03 19 00  12  1.6  2.8  4.36 14.81  9.72 291 1025.5  13.6  13.9 999.0 99.0 99.00
2006 01 03 20 00 347  1.3  2.3  4.24 14.81  9.87 296 1025.3  13.5  13.9 999.0 99.0 99.00
2006 01 03 21 00 338  1.6  2.9  3.89 14.81  9.54 297 1025.0  13.5  14.0 999.0 99.0 99.00
2006 01 03 22 00 322  1.7  3.6  4.14 14.81 10.28 293 1024.6  13.5  14.2 999.0 99.0 99.00
2006 01 03 23 00 294  3.3  5.0  4.08 14.81 10.30 274 1024.6  13.5  14.5 999.0 99.0 99.00
2006 01 04 00 00 306  3.0  4.8  4.02 14.81 10.22 276 1025.2  13.8  14.5 999.0 99.0 99.00
2006 01 04 01 00 316  2.5  3.5  4.17 14.81 10.43 282 1025.0  13.7  14.4 999.0 99.0 99.00
2006 01 04 02 00 313  2.4  4.3  3.58 16.00 10.16 277 1025.1  13.5  14.3 999.0 99.0 99.00
2006 01 04 03 00 305  4.6  6.0  3.61 14.81 10.08 281 1025.2  13.6  14.3 999.0 99.0 99.00
2006 01 04 04 00 295  5.2  7.0  3.39 16.00  9.83 275 1024.9  13.5  14.2 999.0 99.0 99.00
2006 01 04 05 00 304  6.6  7.9  3.43 14.81 10.17 278 1024.8  13.6  14.1 999.0 99.0 99.00
2006 01 04 06 00 309  6.9  8.2  3.53 16.00 10.13 277 1025.5  13.7  14.0 999.0 99.0 99.00
2006 01 04 07 00 313  7.0  8.4  3.35 16.00  9.45 281 1026.0  13.8  13.9 999.0 99.0 99.00
2006 01 04 08 00 319  6.7  8.4  3.31 16.00  9.42 284 1025.2  13.8  13.9 999.0 99.0 99.00
2006 01 04 09 00 323  8.1 10.1  3.42 14.81  9.38 278 1024.2  13.8  13.9 999.0 99.0 99.00
2006 01 04 10 00 325  7.7  9.4  3.31 14.81  9.19 278 1024.2  13.8  13.9 999.0 99.0 99.00
2006 01 04 11 00 331  6.6  8.3  3.03 14.81  8.90 278 1024.9  13.8  13.9 999.0 99.0 99.00
2006 01 04 12 00 338  4.9  6.3  3.12 14.81  9.22 287 1024.2  13.6  13.8 999.0 99.0 99.00
2006 01 04 13 00 331  3.3  4.9  3.16 13.79  9.83 278 1024.1  13.5  13.8 999.0 99.0 99.00
2006 01 04 14 00 344  3.9  5.2  3.29 14.81  9.84 278 1024.0  13.5  13.8 999.0 99.0 99.00
2006 01 04 15 00 334  3.2  4.2  3.44 13.79 10.37 283 1024.6  13.4  13.8 999.0 99.0 99.00
2006 01 04 16 00 332  3.6  5.0  4.00 14.81 11.16 288 1025.0  13.6  13.8 999.0 99.0 99.00
2006 01 04 17 00 315  3.1  4.7  3.80 19.05 11.38 298 1025.6  13.8  13.8 999.0 99.0 99.00
2006 01 04 18 00 310  3.7  5.8  4.50 19.05 12.26 301 1025.6  13.8  13.8 999.0 99.0 99.00
2006 01 04 19 00 335  2.8  4.3  5.04 19.05 12.46 306 1025.2  14.0  13.9 999.0 99.0 99.00
2006 01 04 20 00 340  1.1  3.5  4.93 17.39 12.39 306 1024.5  14.1  14.0 999.0 99.0 99.00
2006 01 04 21 00 318  1.2  3.0  5.04 19.05 12.53 308 1023.6  14.1  14.1 999.0 99.0 99.00
2006 01 04 22 00 316  1.8  3.8  4.56 14.81 12.30 270 1023.3  14.3  14.2 999.0 99.0 99.00
2006 01 04 23 00 320  3.3  5.4  4.66 17.39 12.76 280 1023.3  14.5  14.1 999.0 99.0 99.00
2006 01 05 00 00  41  0.2  1.6  4.38 16.00 12.81 279 1023.8  14.4  14.1 999.0 99.0 99.00
2006 01 05 01 00  49  0.2  2.1  3.88 17.39 12.07 285 1024.4  14.0  14.0 999.0 99.0 99.00
2006 01 05 02 00 249  0.4  1.7  3.95 17.39 12.57 291 1024.8  13.9  14.0 999.0 99.0 99.00
2006 01 05 03 00 268  1.9  4.0  4.08 19.05 12.75 291 1025.3  14.1  14.0 999.0 99.0 99.00
2006 01 05 04 00 322  0.7  2.3  3.90 16.00 12.35 297 1025.4  14.3  14.0 999.0 99.0 99.00
2006 01 05 05 00 320  2.6  4.2  3.81 16.00 12.37 298 1025.5  14.1  13.9 999.0 99.0 99.00
2006 01 05 06 00 324  3.0  4.3  3.90 17.39 12.42 300 1025.4  14.1  13.9 999.0 99.0 99.00
2006 01 05 07 00 344  3.9  5.5  3.68 16.00 11.94 292 1025.1  14.1  13.9 999.0 99.0 99.00
2006 01 05 08 00 341  3.9  5.0  3.97 17.39 11.96 301 1025.0  14.2  13.9 999.0 99.0 99.00
2006 01 05 09 00 346  3.7  5.2  3.66 17.39 10.79 299 1024.7  14.1  13.8 999.0 99.0 99.00
2006 01 05 10 00 343  1.4  2.9  4.17 16.00 11.18 302 1024.8  14.4  13.8 999.0 99.0 99.00
2006 01 05 11 00  63  5.6  7.2  3.94 16.00 10.30 318 1024.4  17.0  13.8 999.0 99.0 99.00
2006 01 05 12 00  65  6.1  7.8  3.69 16.00  9.99 321 1024.1  16.6  13.7 999.0 99.0 99.00
2006 01 05 13 00  62  5.2  6.7  3.64 14.81 10.04 312 1023.8  15.8  13.7 999.0 99.0 99.00
2006 01 05 14 00  67  6.2  7.8  3.66 14.81 10.09 319 1023.8  16.7  13.6 999.0 99.0 99.00
2006 01 05 15 00  67  4.1  5.9  3.31 14.81  9.66 313 1024.2  16.1  13.6 999.0 99.0 99.00
