#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2008 01 01 00 00   2  3.2  4.0  2.84 13.79  8.76 297 1018.2  13.3  12.9 999.0 99.0 99.00
2008 01 01 01 00   5  2.8  3.6  2.67 13.79  8.87 299 1018.4  13.7  12.8 999.0 99.0 99.00
2008 01 01 02 00 358  2.3  3.3  2.90 13.79  9.57 295 1019.0  13.9  12.7 999.0 99.0 99.00
2008 01 01 03 00  90  7.5  9.7  2.91 17.39  9.89 303 1019.2  15.7  12.6 999.0 99.0 99.00
2008 01 01 04 00  76  8.1  9.9  2.82 12.90  8.84 309 1019.8  15.2  12.5 999.0 99.0 99.00
2008 01 01 05 00  81  8.2  9.7  3.13 13.79  8.36 309 1020.2  14.9  12.4 999.0 99.0 99.00
2008 01 01 06 00  77 10.2 13.4  3.33 12.90  8.10 305 1020.4  15.2  12.5 999.0 99.0 99.00
2008 01 01 07 00  79 10.5 13.1  3.41 12.90  7.59 302 1020.4  15.1  12.4 999.0 99.0 99.00
2008 01 01 08 00  84 10.2 13.2  3.42 14.81  7.69 310 1020.4  14.9  12.4 999.0 99.0 99.00
2008 01 01 09 00  83  9.7 11.9  3.50 16.00  7.52 317 1020.3  14.6  12.4 999.0 99.0 99.00
2008 01 01 10 00  86  8.6 11.5  3.38 13.79  7.62 316 1020.5  14.4  12.4 999.0 99.0 99.00
2008 01 01 11 00  86  8.2 10.0  3.44 14.81  7.72 315 1020.4  14.2  12.4 999.0 99.0 99.00
2008 01 01 12 00  80  8.5 10.4  3.28 16.00  7.54 327 1020.2  14.2  12.4 999.0 99.0 99.00
2008 01 01 13 00  83  9.8 11.6  2.99 13.79  6.95 304 1019.8  14.2  12.4 999.0 99.0 99.00
2008 01 01 14 00  84  8.8 10.4  2.91 13.79  7.25 320 1020.3  14.1  12.4 999.0 99.0 99.00
2008 01 01 15 00  85  8.9 10.6  2.88 14.81  7.03 319 1020.7  14.1  12.4 999.0 99.0 99.00
2008 01 01 16 00  86  9.1 10.8  2.86 14.81  7.21 326 1021.0  14.0  12.3 999.0 99.0 99.00
2008 01 01 17 00  86  9.0 10.7  2.68 14.81  7.05 322 1021.4  14.0  12.2 999.0 99.0 99.00
2008 01 01 18 00  78  8.6 10.1  2.62 14.81  6.83 322 1022.0  14.1  12.3 999.0 99.0 99.00
2008 01 01 19 00  81  7.8  9.3  2.40 13.79  6.64 316 1021.8  14.1  12.3 999.0 99.0 99.00
2008 01 01 20 00  87  8.5 10.2  2.57 13.79  6.81 308 1020.9  14.3  12.3 999.0 99.0 99.00
2008 01 01 21 00  88  7.5  8.9  2.40 13.79  6.89 314 1019.9  14.1  12.3 999.0 99.0 99.00
2008 01 01 22 00  86  7.0  8.4  2.42 13.79  7.09 308 1019.0  14.3  12.4 999.0 99.0 99.00
2008 01 01 23 00  99  5.5  6.7  2.10 12.90  6.52 316 1018.8  14.3  12.4 999.0 99.0 99.00
2008 01 02 00 00  92  4.9  5.9  1.90 13.79  6.46 316 1018.6  14.4  12.4 999.0 99.0 99.00
2008 01 02 01 00  94  3.7  4.5  1.82 13.79  6.59 295 1018.8  14.1  12.4 999.0 99.0 99.00
2008 01 02 02 00  99  4.5  5.6  1.76 12.12  7.03 307 1019.1  14.2  12.3 999.0 99.0 99.00
2008 01 02 03 00 103  3.9  5.0  1.72 12.12  6.99 304 1019.2  13.9  12.4 999.0 99.0 99.00
2008 01 02 04 00  93  3.9  4.7  1.69 12.12  6.66 296 1019.1  13.9  12.4 999.0 99.0 99.00
2008 01 02 05 00  94  5.0  5.8  1.67 12.12  6.71 312 1018.9  13.9  12.4 999.0 99.0 99.00
2008 01 02 06 00  99  4.3  5.3  1.65 13.79  6.59 287 1019.3  14.0  12.4 999.0 99.0 99.00
2008 01 02 07 00  95  3.9  4.7  1.66 12.90  6.49 305 1019.6  14.1  12.4 999.0 99.0 99.00
2008 01 02 08 00  76  3.7  4.1  1.68 11.43  6.38 305 1019.2  13.8  12.5 999.0 99.0 99.00
2008 01 02 09 00  71  2.7  3.2  1.55 12.90  6.19 266 1018.8  13.2  12.5 999.0 99.0 99.00
2008 01 02 10 00  88  1.8  2.4  1.49 12.90  5.97 293 1018.8  13.4  12.5 999.0 99.0 99.00
2008 01 02 11 00  97  2.6  3.6  1.38 12.12  5.90 288 1018.3  13.6  12.5 999.0 99.0 99.00
2008 01 02 12 00  83  3.6  4.3  1.41 12.90  5.84 284 1018.1  13.5  12.5 999.0 99.0 99.00
2008 01 02 13 00  91  3.6  4.5  1.36 12.12  5.49 266 1018.2  13.4  12.6 999.0 99.0 99.00
2008 01 02 14 00  98  4.8  5.5  1.23 12.90  5.37 266 1018.3  13.5  12.6 999.0 99.0 99.00
2008 01 02 15 00 103  4.5  5.3  1.12 12.90  5.31 264 1018.4  13.5  12.6 999.0 99.0 99.00
2008 01 02 16 00  95  2.8  3.4  1.06 12.90  5.28 236 1018.5  13.2  12.6 999.0 99.0 99.00
2008 01 02 17 00  91  3.5  4.1  1.04 12.90  5.78 230 1019.1  13.4  12.6 999.0 99.0 99.00
2008 01 02 18 00  94  2.8  3.4  1.00 19.05  5.55 310 1019.7  13.6  12.7 999.0 99.0 99.00
2008 01 02 19 00 124  3.2  3.9  0.96 12.90  5.71 222 1019.7  13.5  12.8 999.0 99.0 99.00
2008 01 02 20 00 111  1.9  2.3  0.91 12.12  5.89 228 1018.8  13.4  13.0 999.0 99.0 99.00
2008 01 02 21 00 129  2.8  3.3  0.88 17.39  5.60 301 1017.8  13.6  13.0 999.0 99.0 99.00
2008 01 02 22 00  96  2.8  3.5  0.93 17.39  5.73 313 1017.1  13.5  13.1 999.0 99.0 99.00
2008 01 02 23 00 115  3.9  4.7  0.88 17.39  5.77 308 1017.0  13.4  13.1 999.0 99.0 99.00
2008 01 03 00 00 158  2.4  2.9  0.93 17.39  6.63 315 1017.3  13.0  13.0 999.0 99.0 99.00
2008 01 03 01 00 160  2.6  3.1  0.91 17.39  7.29 317 1017.3  12.8  13.0 999.0 99.0 99.00
2008 01 03 02 00 169  2.3  2.8  0.83 16.00  7.25 316 1017.4  12.6  13.0 999.0 99.0 99.00
2008 01 03 03 00 149  0.7  1.1  0.89 16.00  7.85 319 1017.7  12.5  12.9 999.0 99.0 99.00
2008 01 03 04 00 242  3.4  4.6  0.96 16.00  8.74 321 1018.1  12.2  12.9 999.0 99.0 99.00
2008 01 03 05 00 266  2.9  3.6  0.93 16.00  8.97 318 1018.1  10.8  12.9 999.0 99.0 99.00
2008 01 03 06 00 323  1.5  2.2  1.00 14.81  9.56 296 1018.3  11.5  12.8 999.0 99.0 99.00
2008 01 03 07 00   3  1.0  1.4  0.95 14.81  9.49 298 1018.2  11.8  12.8 999.0 99.0 99.00
2008 01 03 08 00  46  1.3  1.7  1.02 14.81  9.92 310 1017.9  11.8  12.7 999.0 99.0 99.00
2008 01 03 09 00 106  0.9  1.4  1.00 14.81 10.52 314 1017.8  11.6  12.7 999.0 99.0 99.00
2008 01 03 10 00 140  0.7  1.1  1.05 16.00 10.79 308 1017.7  11.3  12.7 999.0 99.0 99.00
2008 01 03 11 00 180  1.7  2.8  1.00 14.81 10.54 317 1017.5  11.4  12.7 999.0 99.0 99.00
2008 01 03 12 00 239  2.1  2.8  1.02 14.81 10.74 301 1017.7  11.1  12.7 999.0 99.0 99.00
2008 01 03 13 00 240  0.9  1.4  1.22 14.81 11.52 306 1017.1  10.8  12.7 999.0 99.0 99.00
2008 01 03 14 00 240  2.0  2.8  1.11 13.79 11.40 295 1017.4  10.8  12.7 999.0 99.0 99.00
2008 01 03 15 00 305  0.9  1.3  1.24 14.81 11.74 295 1017.9  11.3  12.7 999.0 99.0 99.00
2008 01 03 16 00  75  1.4  2.0  1.40 13.79 11.89 281 1017.9  11.3  12.7 999.0 99.0 99.00
2008 01 03 17 00  88  3.3  4.2  1.38 13.79 12.05 288 1017.7  11.3  12.8 999.0 99.0 99.00
2008 01 03 18 00  99  2.9  4.0  1.64 13.79 12.35 288 1018.4  12.1  12.8 999.0 99.0 99.00
2008 01 03 19 00 128  2.5  3.4  1.83 14.81 12.79 296 1018.7  12.3  12.8 999.0 99.0 99.00
2008 01 03 20 00 181  2.4  3.1  2.01 13.79 12.70 297 1018.6  12.2  12.7 999.0 99.0 99.00
2008 01 03 21 00 215  2.6  3.1  1.97 14.81 12.47 311 1017.9  12.2  12.7 999.0 99.0 99.00
2008 01 03 22 00 228  1.0  1.5  2.17 14.81 12.54 315 1016.8  12.2  12.8 999.0 99.0 99.00
2008 01 03 23 00 224  0.7  2.0  2.12 12.90 12.28 298 1016.4  12.4  12.9 999.0 99.0 99.00
2008 01 04 00 00 104  2.1  3.5  2.40 14.81 12.61 308 1016.3  12.2  12.9 999.0 99.0 99.00
2008 01 04 01 00 161  1.8  2.9  2.87 14.81 12.89 307 1017.0  12.2  12.9 999.0 99.0 99.00
2008 01 04 02 00 148  2.1  3.3  2.49 13.79 12.49 306 1016.8  12.1  12.9 999.0 99.0 99.00
