#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2010 12 31 23 50 308  6.1  7.4  1.85 12.12  6.63 317 1018.3  11.0  12.3 999.0 99.0 99.00
2011 01 01 00 50 312  6.9  8.0  1.83 11.43  6.79 316 1018.4  11.1  12.3 999.0 99.0 99.00
2011 01 01 01 50 309  6.5  7.8  1.69 10.81  6.47 310 1018.2  11.1  12.3 999.0 99.0 99.00
2011 01 01 02 50 325  6.4  7.7  1.66 10.81  6.65 306 1018.9  11.3  12.2 999.0 99.0 99.00
2011 01 01 03 50 338  5.5  6.4  1.65 11.43  6.78 312 1019.5  11.3  12.2 999.0 99.0 99.00
2011 01 01 04 50 338  4.6  5.5  1.63 10.81  6.89 304 1019.8  11.3  12.2 999.0 99.0 99.00
2011 01 01 05 50 347  3.4  4.2  1.51 10.81  7.03 319 1020.4  11.3  12.2 999.0 99.0 99.00
2011 01 01 06 50 349  3.1  4.0  1.56 12.12  7.38 318 1020.8  11.3  12.1 999.0 99.0 99.00
2011 01 01 07 50  20  3.2  4.0  1.54 12.12  7.68 309 1021.0  11.4  12.1 999.0 99.0 99.00
2011 01 01 08 50  46  2.7  3.2  1.64 10.81  8.09 318 1020.9  11.4  12.1 999.0 99.0 99.00
2011 01 01 09 50  90  0.5  1.3  1.63 10.81  8.34 318 1021.1  11.3  12.1 999.0 99.0 99.00
2011 01 01 10 50 152  3.0  4.1  1.68 10.81  8.03 312 1021.2  11.3  12.1 999.0 99.0 99.00
2011 01 01 11 50 133  4.3  5.4  1.61 12.12  7.80 317 1021.1  11.5  12.1 999.0 99.0 99.00
2011 01 01 12 50 123  5.4  6.7  1.77 12.12  8.16 307 1021.2  11.4  12.2 999.0 99.0 99.00
2011 01 01 13 50 134  6.1  7.3  1.93 10.81  8.07 319 1021.4  11.5  12.2 999.0 99.0 99.00
2011 01 01 14 50 136  5.7  7.2  1.76 12.12  7.44 320 1022.1  11.6  12.3 999.0 99.0 99.00
2011 01 01 15 50 140  5.9  7.0  1.53 11.43  6.83 305 1022.8  11.7  12.2 999.0 99.0 99.00
2011 01 01 16 50 128  5.7  6.9  1.64 12.12  7.04 305 1023.9  11.9  12.3 999.0 99.0 99.00
2011 01 01 17 50 133  5.2  6.4  1.43 12.90  6.57 311 1024.7  12.1  12.3 999.0 99.0 99.00
2011 01 01 18 50 144  4.9  6.1  1.38 10.00  6.52 309 1024.9  12.1  12.3 999.0 99.0 99.00
2011 01 01 19 50 139  5.4  6.3  1.29 12.90  6.54 292 1024.1  12.1  12.4 999.0 99.0 99.00
2011 01 01 20 50 131  5.6  6.6  1.14 12.12  6.42 294 1023.3  12.0  12.4 999.0 99.0 99.00
2011 01 01 21 50 131  6.0  7.2  1.20 12.12  6.44 312 1022.8  12.0  12.5 999.0 99.0 99.00
2011 01 01 22 50 138  6.4  7.7  1.02 11.43  5.88 303 1022.6  12.1  12.5 999.0 99.0 99.00
2011 01 01 23 50 131  6.7  8.0  1.04 10.81  5.66 311 1022.4  12.0  12.4 999.0 99.0 99.00
2011 01 02 00 50 140  6.6  7.5  1.12 12.12  5.74 302 1022.4  11.9  12.4 999.0 99.0 99.00
2011 01 02 01 50 137  6.1  7.3  1.05 12.12  5.47 326 1022.6  12.0  12.3 999.0 99.0 99.00
2011 01 02 02 50 136  7.4  8.4  1.07 11.43  5.37 297 1022.7  11.9  12.3 999.0 99.0 99.00
2011 01 02 03 50 137  8.3  9.7  1.05 11.43  4.88 320 1022.5  11.9  12.2 999.0 99.0 99.00
2011 01 02 04 50 151  7.1  8.6  1.17 12.12  5.06 247 1022.7  12.0  12.1 999.0 99.0 99.00
2011 01 02 05 50 143  7.9  9.2  1.07 12.12  4.88 296 1022.1  11.9  12.1 999.0 99.0 99.00
2011 01 02 06 50 139  8.2  9.8  1.14 11.43  5.02 277 1021.7  11.9  12.1 999.0 99.0 99.00
2011 01 02 07 50 141  7.6  9.3  1.05 12.12  4.49 277 1021.2  12.0  12.1 999.0 99.0 99.00
2011 01 02 08 50 144  8.7 10.4  1.21 11.43  4.68 300 1020.5  12.0  12.1 999.0 99.0 99.00
2011 01 02 09 50 142  8.3  9.5  1.20 19.05  4.77 189 1020.3  12.0  12.1 999.0 99.0 99.00
2011 01 02 10 50 139  9.4 11.0  1.31 17.39  5.16 142 1019.7  11.9  12.1 999.0 99.0 99.00
2011 01 02 11 50 134 10.1 11.9  1.45 17.39  5.30 309 1018.6  11.8  12.2 999.0 99.0 99.00
2011 01 02 12 50 137 11.0 13.6  1.77 17.39  5.84 312 1017.9  11.7  12.2 999.0 99.0 99.00
2011 01 02 13 50 130 11.7 14.6  2.20 17.39  6.37 137 1016.8  11.8  12.2 999.0 99.0 99.00
2011 01 02 15 50 127  9.4 12.7 99.00 99.00 99.00 999 1016.9  11.4  12.3 999.0 99.0 99.00
2011 01 02 16 50 138 10.9 13.7  3.16 14.81  7.56 317 1016.8  11.6  12.3 999.0 99.0 99.00
2011 01 02 17 50 148  8.9 11.8  2.89 14.81  6.94 306 1016.5  12.0  12.2 999.0 99.0 99.00
2011 01 02 18 50 177  8.1 10.7  3.54 14.81  7.38 306 1016.3  12.9  12.2 999.0 99.0 99.00
2011 01 02 19 50 220  5.1  6.1  3.48 16.00  8.13 299 1015.7  12.7  12.3 999.0 99.0 99.00
2011 01 02 20 50 233  6.8  8.2  3.52 14.81  8.22 305 1014.7  13.0  12.3 999.0 99.0 99.00
2011 01 02 21 50 245  5.1  6.3  3.41 13.79  8.22 312 1014.4  12.9  12.3 999.0 99.0 99.00
2011 01 02 22 50 248  4.9  5.9  3.40 16.00  8.59 303 1014.4  13.0  12.4 999.0 99.0 99.00
2011 01 02 23 50 262  2.7  3.6  3.32 14.81  8.62 299 1014.7  12.6  12.4 999.0 99.0 99.00
2011 01 03 00 50 254  2.2  3.1  3.46 16.00  9.21 310 1014.8  12.0  12.3 999.0 99.0 99.00
2011 01 03 01 50 284  4.3  5.5  3.29 12.90  8.47 308 1014.9  12.5  12.3 999.0 99.0 99.00
