#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2008 01 01 00 00 999 99.0 99.0  3.19 14.81  9.09 320 1018.5  13.1 999.0 999.0 99.0 99.00
2008 01 01 01 00 999 99.0 99.0  3.18 13.79  9.30 323 1018.7  13.1 999.0 999.0 99.0 99.00
2008 01 01 02 00 999 99.0 99.0  3.01 13.79  9.81 328 1019.3  13.0 999.0 999.0 99.0 99.00
2008 01 01 03 00 999 99.0 99.0  3.01 14.81  9.96 328 1019.8  12.9 999.0 999.0 99.0 99.00
2008 01 01 04 00 999 99.0 99.0  2.97 19.05 10.32 333 1020.1  13.0 999.0 999.0 99.0 99.00
2008 01 01 05 00 999 99.0 99.0  3.00 13.79 10.90 332 1020.4  13.1 999.0 999.0 99.0 99.00
2008 01 01 06 00 999 99.0 99.0  3.31 17.39 11.28 338 1020.6  13.2 999.0 999.0 99.0 99.00
2008 01 01 07 00 999 99.0 99.0  3.15 17.39 10.93 338 1020.9  13.5 999.0 999.0 99.0 99.00
2008 01 01 08 00 999 99.0 99.0  3.19 13.79 11.03 334 1020.9  14.2 999.0 999.0 99.0 99.00
2008 01 01 09 00 999 99.0 99.0  3.23 12.90 10.70 330 1020.8  14.6 999.0 999.0 99.0 99.00
2008 01 01 10 00 999 99.0 99.0  3.31 14.81 10.67 333 1020.4  14.5 999.0 999.0 99.0 99.00
2008 01 01 11 00 999 99.0 99.0  3.41 13.79 10.74 321 1020.5  14.3 999.0 999.0 99.0 99.00
2008 01 01 12 00 999 99.0 99.0  3.30 16.00 10.40 313 1020.2  14.0 999.0 999.0 99.0 99.00
2008 01 01 13 00 999 99.0 99.0  3.11 12.90 10.02 299 1020.2  14.1 999.0 999.0 99.0 99.00
2008 01 01 14 00 999 99.0 99.0  3.14 16.00  9.97 306 1020.4  14.3 999.0 999.0 99.0 99.00
2008 01 01 15 00 999 99.0 99.0  2.97 16.00 10.11 310 1021.1  14.8 999.0 999.0 99.0 99.00
2008 01 01 16 00 999 99.0 99.0  2.76 16.00  9.89 306 1021.3  14.2 999.0 999.0 99.0 99.00
2008 01 01 17 00 999 99.0 99.0  2.66 16.00  9.83 313 1021.8  14.3 999.0 999.0 99.0 99.00
2008 01 01 18 00 999 99.0 99.0  2.66 16.00 10.02 310 1022.1  14.4 999.0 999.0 99.0 99.00
2008 01 01 19 00 999 99.0 99.0  2.59 14.81  9.57 313 1022.0  14.2 999.0 999.0 99.0 99.00
2008 01 01 20 00 999 99.0 99.0  2.78 14.81 10.20 309 1021.5  14.5 999.0 999.0 99.0 99.00
2008 01 01 21 00 999 99.0 99.0  2.32 14.81  9.48 312 1020.1  14.3 999.0 999.0 99.0 99.00
2008 01 01 22 00 999 99.0 99.0  2.18 13.79  9.32 317 1019.0  14.4 999.0 999.0 99.0 99.00
2008 01 01 23 00 999 99.0 99.0  2.14 14.81  8.90 312 1019.1  14.5 999.0 999.0 99.0 99.00
2008 01 02 00 00 999 99.0 99.0  2.06 12.90  9.37 319 1019.4  14.8 999.0 999.0 99.0 99.00
2008 01 02 01 00 999 99.0 99.0  1.94 13.79  8.90 331 1019.3  14.0 999.0 999.0 99.0 99.00
2008 01 02 02 00 999 99.0 99.0  1.78 13.79  8.31 332 1019.0  14.5 999.0 999.0 99.0 99.00
2008 01 02 03 00 999 99.0 99.0  1.90 13.79  8.76 337 1018.9  14.2 999.0 999.0 99.0 99.00
2008 01 02 04 00 999 99.0 99.0  2.02 13.79  8.83 328 1019.2  14.2 999.0 999.0 99.0 99.00
2008 01 02 05 00 999 99.0 99.0  1.81 13.79  8.48 317 1019.4  13.9 999.0 999.0 99.0 99.00
2008 01 02 06 00 999 99.0 99.0  1.72 13.79  8.53 312 1019.6  13.9 999.0 999.0 99.0 99.00
2008 01 02 07 00 999 99.0 99.0  1.67 12.12  8.38 320 1019.6  13.9 999.0 999.0 99.0 99.00
2008 01 02 08 00 999 99.0 99.0  1.65 11.43  8.48 317 1019.5  14.0 999.0 999.0 99.0 99.00
2008 01 02 09 00 999 99.0 99.0  1.62 12.90  8.69 326 1018.6  14.0 999.0 999.0 99.0 99.00
2008 01 02 10 00 999 99.0 99.0  1.52 10.81  8.68 326 1018.7  14.3 999.0 999.0 99.0 99.00
2008 01 02 11 00 999 99.0 99.0  1.49 11.43  8.79 316 1018.5  14.0 999.0 999.0 99.0 99.00
2008 01 02 12 00 999 99.0 99.0  1.25 11.43  8.10 309 1018.4  13.7 999.0 999.0 99.0 99.00
2008 01 02 13 00 999 99.0 99.0  1.28 12.90  8.22 291 1018.6  13.5 999.0 999.0 99.0 99.00
