#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2008 01 01 00 00 999 99.0 99.0  2.83 12.90  7.79 285 1027.4   6.9 999.0 999.0 99.0 99.00
2008 01 01 01 00 999 99.0 99.0  2.66 13.79  7.02 287 1026.2   7.2 999.0 999.0 99.0 99.00
2008 01 01 02 00 999 99.0 99.0  2.66 12.90  7.01 306 1025.3   7.5 999.0 999.0 99.0 99.00
2008 01 01 03 00 999 99.0 99.0  2.50 12.90  6.23 314 1024.3   7.6 999.0 999.0 99.0 99.00
2008 01 01 04 00 999 99.0 99.0  2.22 12.12  5.67 302 1023.1   7.8 999.0 999.0 99.0 99.00
2008 01 01 05 00 999 99.0 99.0  2.39 12.90  5.77 311 1022.5   7.8 999.0 999.0 99.0 99.00
2008 01 01 06 00 999 99.0 99.0  2.23  5.88  5.53 105 1021.4   8.2 999.0 999.0 99.0 99.00
2008 01 01 07 00 999 99.0 99.0  2.11  5.56  5.08 108 1020.7   8.3 999.0 999.0 99.0 99.00
2008 01 01 08 00 999 99.0 99.0  2.24  5.88  5.07 129 1020.2   8.5 999.0 999.0 99.0 99.00
2008 01 01 09 00 999 99.0 99.0  2.11  5.88  4.99 120 1019.6   8.6 999.0 999.0 99.0 99.00
2008 01 01 10 00 999 99.0 99.0  1.99  5.88  4.93 137 1018.7   8.6 999.0 999.0 99.0 99.00
2008 01 01 11 00 999 99.0 99.0  2.25  5.88  5.16 125 1018.2   8.7 999.0 999.0 99.0 99.00
2008 01 01 12 00 999 99.0 99.0  2.12  5.88  5.06 123 1017.8   8.8 999.0 999.0 99.0 99.00
2008 01 01 13 00 999 99.0 99.0  2.18  6.25  5.21 143 1017.0   8.9 999.0 999.0 99.0 99.00
2008 01 01 14 00 999 99.0 99.0  2.22  5.88  5.30 139 1016.5   9.1 999.0 999.0 99.0 99.00
2008 01 01 15 00 999 99.0 99.0  2.12  6.25  5.24 142 1015.6   9.1 999.0 999.0 99.0 99.00
2008 01 01 16 00 999 99.0 99.0  2.45  6.25  5.43 144 1014.8   9.3 999.0 999.0 99.0 99.00
2008 01 01 17 00 999 99.0 99.0  2.62  6.25  5.62 133 1014.4   9.3 999.0 999.0 99.0 99.00
2008 01 01 18 00 999 99.0 99.0  2.81  6.25  5.75 154 1014.2   9.6 999.0 999.0 99.0 99.00
2008 01 01 19 00 999 99.0 99.0  3.05  7.14  5.85 160 1014.7   9.6 999.0 999.0 99.0 99.00
2008 01 01 20 00 999 99.0 99.0  3.28  7.14  6.22 151 1014.5   9.4 999.0 999.0 99.0 99.00
2008 01 01 21 00 999 99.0 99.0  3.06  7.14  6.15 149 1012.8   9.2 999.0 999.0 99.0 99.00
2008 01 01 22 00 999 99.0 99.0  3.36  7.14  6.46 154 1011.8   9.3 999.0 999.0 99.0 99.00
2008 01 01 23 00 999 99.0 99.0  3.41  7.14  6.41 177 1011.1   9.5 999.0 999.0 99.0 99.00
2008 01 02 00 00 999 99.0 99.0  3.78  7.69  6.60 170 1010.1   9.5 999.0 999.0 99.0 99.00
2008 01 02 01 00 999 99.0 99.0  4.37 10.81  7.08 239 1009.9   9.6 999.0 999.0 99.0 99.00
2008 01 02 02 00 999 99.0 99.0  4.86  7.69  7.21 180 1009.4   8.5 999.0 999.0 99.0 99.00
2008 01 02 03 00 999 99.0 99.0  4.30  7.69  6.91 191 1008.9   8.4 999.0 999.0 99.0 99.00
2008 01 02 04 00 999 99.0 99.0  4.60 11.43  7.32 252 1008.9   8.7 999.0 999.0 99.0 99.00
2008 01 02 05 00 999 99.0 99.0  4.85 10.00  7.61 223 1008.6   8.9 999.0 999.0 99.0 99.00
2008 01 02 06 00 999 99.0 99.0  4.62 10.81  7.50 232 1008.5   8.9 999.0 999.0 99.0 99.00
2008 01 02 07 00 999 99.0 99.0  4.02 10.81  7.20 240 1009.0   8.9 999.0 999.0 99.0 99.00
2008 01 02 08 00 999 99.0 99.0  4.30 11.43  7.60 232 1009.0   9.1 999.0 999.0 99.0 99.00
2008 01 02 09 00 999 99.0 99.0  4.12 10.00  7.83 225 1009.0   9.2 999.0 999.0 99.0 99.00
2008 01 02 10 00 999 99.0 99.0  3.88 10.81  7.97 233 1009.5   8.2 999.0 999.0 99.0 99.00
2008 01 02 11 00 999 99.0 99.0  3.91 12.90  8.28 254 1009.7   8.0 999.0 999.0 99.0 99.00
