#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2008 01 01 00 50  59  3.2  5.0  0.65  5.00  4.52  93 1017.7  23.2  24.8  19.8 99.0 99.00
2008 01 01 01 50  57  4.1  4.9  0.62  5.00  4.62  88 1018.6  23.3  24.4  20.5 99.0 99.00
2008 01 01 02 50  66  4.9  5.7  0.56  4.76  4.45 999 1019.2  23.3  24.3  20.5 99.0 99.00
2008 01 01 03 50  51  3.7  4.5  0.55  4.55  4.29 999 1020.1  23.3  24.2  20.8 99.0 99.00
2008 01 01 04 50  32  4.1  4.9  0.51  5.88  4.35  91 1020.6  23.2  24.2  21.0 99.0 99.00
2008 01 01 05 50  38  5.1  5.7  0.53  4.76  4.14 999 1020.9  23.0  24.2  20.9 99.0 99.00
2008 01 01 06 50  29  5.9  7.0  0.54  5.00  3.97  95 1021.4  23.1  24.3  20.9 99.0 99.00
2008 01 01 07 50  21  8.1  9.4  0.58  4.76  3.81 999 1021.5  23.0  24.3  20.5 99.0 99.00
2008 01 01 08 50  13  8.9 10.9  0.65  3.23  3.58 999 1022.1  22.9  24.2  20.0 99.0 99.00
2008 01 01 09 50  13 10.5 12.8  0.75  3.85  3.64 999 1022.7  22.7  24.2  19.2 99.0 99.00
2008 01 01 10 50   7 12.0 14.3  1.02  4.00  3.76 999 1023.3  22.5  24.3  18.3 99.0 99.00
2008 01 01 11 50  18 12.7 14.8  1.37  5.00  4.23  49 1024.4  22.3  24.2  17.5 99.0 99.00
2008 01 01 12 50  18 13.3 16.0  1.62  5.56  4.56  41 1025.4  22.3  24.2  16.0 99.0 99.00
2008 01 01 13 50  19 16.1 19.6  1.99  5.56  4.98  39 1026.8  21.1  24.2  17.1 99.0 99.00
2008 01 01 14 50  21 15.8 19.7  2.70  6.67  5.63  39 1028.1  20.6  24.2  15.7 99.0 99.00
2008 01 01 15 50  13 16.3 20.1  3.25  7.14  6.09  31 1029.3  19.8  24.2  14.9 99.0 99.00
2008 01 01 16 50  16 16.2 20.1  3.67  7.69  6.41  32 1029.7  19.4  24.1  14.4 99.0 99.00
2008 01 01 17 50  28 15.9 19.5  4.09  8.33  6.75  32 1029.3  19.3  24.1  13.4 99.0 99.00
2008 01 01 18 50  30 16.7 20.6  4.32  8.33  7.05  33 1028.5  19.0  24.1  12.7 99.0 99.00
2008 01 01 19 50  28 17.6 20.8 99.00 99.00 99.00 999 1028.4  18.7  24.0  12.0 99.0 99.00
2008 01 01 20 50  23 16.3 20.4  5.25  9.09  7.52  32 1029.2  18.3  24.0  11.5 99.0 99.00
2008 01 01 22 50 999 99.0 20.0  5.00 10.81  7.46  28 1030.5  18.0  23.9  10.7 99.0 99.00
2008 01 01 23 50  23 15.7 18.3  4.97 10.81  7.43  29 1031.7  17.8  23.9   9.4 99.0 99.00
2008 01 02 00 50  26 15.3 17.6  5.01 10.81  7.63  27 1033.0  17.6  23.9   9.4 99.0 99.00
2008 01 02 01 50  22 15.1 18.2  4.78 10.00  7.60  40 1034.1  17.3  23.8   8.9 99.0 99.00
2008 01 02 02 50  21 14.2 18.5 99.00 99.00 99.00 999 1035.2  17.1  23.8   8.9 99.0 99.00
2008 01 02 04 50  14 14.8 18.4  3.90 10.81  6.97  34 1035.9  16.8  23.7   8.3 99.0 99.00
2008 01 02 05 50  13 14.5 18.5  4.14 10.00  7.35  45 1035.5  16.8  23.7   8.9 99.0 99.00
