#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2009 12 31 23 50 999  4.6  5.3  0.63  5.56  4.30 105 1015.3  22.9  24.3 999.0 99.0 99.00
2010 01 01 00 50 999  3.4  3.8  0.64  5.56  4.30 119 1015.9  23.0  24.2 999.0 99.0 99.00
2010 01 01 01 50 999  2.7  3.2  0.62  5.26  4.26 116 1016.6  23.0  24.0 999.0 99.0 99.00
2010 01 01 02 50 999  2.2  2.5  0.62  5.88  4.36 111 1017.6  23.1  24.4 999.0 99.0 99.00
2010 01 01 03 50 999  1.9  2.2  0.61  5.88  4.29 112 1017.8  23.0  24.4 999.0 99.0 99.00
2010 01 01 04 50 999  2.4  2.9  0.56  5.56  4.27 121 1018.0  23.0  24.4 999.0 99.0 99.00
2010 01 01 05 50 999  2.7  3.5  0.54  5.88  4.57 103 1017.5  23.0  24.4 999.0 99.0 99.00
2010 01 01 06 50 999  4.5  5.2  0.55  5.56  4.60 105 1018.1  23.2  24.4 999.0 99.0 99.00
2010 01 01 07 50 999 16.3 19.3  0.56  5.26  3.88 121 1018.9  20.9  24.4 999.0 99.0 99.00
2010 01 01 08 50 999 16.0 19.1  1.52  4.76  4.36 999 1019.7  20.3  24.4 999.0 99.0 99.00
2010 01 01 09 50 999 15.6 19.0  2.24  5.88  5.17 337 1020.6  19.7  24.4 999.0 99.0 99.00
2010 01 01 10 50 999 16.4 19.3  2.76  7.14  5.65 334 1021.0  19.5  24.3 999.0 99.0 99.00
2010 01 01 11 50 999 16.4 19.4  2.86  7.69  5.73 347 1021.6  19.0  24.4 999.0 99.0 99.00
2010 01 01 12 50 999 17.4 20.0  4.10  8.33  6.60 340 1022.5  18.4  24.4 999.0 99.0 99.00
2010 01 01 13 50 999 14.6 17.4  3.56  8.33  6.19 340 1023.4  18.3  24.4 999.0 99.0 99.00
2010 01 01 14 50 999 11.4 14.6  3.56  8.33  6.22 343 1024.6  18.2  24.0 999.0 99.0 99.00
2010 01 01 15 50 999 12.5 15.3  3.53  9.09  6.14 333 1025.8  17.7  24.4 999.0 99.0 99.00
2010 01 01 16 50 999 13.3 15.9  3.77  9.09  6.54 340 1026.1  18.0  24.5 999.0 99.0 99.00
2010 01 01 17 50 999 12.3 15.5  3.69  9.09  6.47 340 1025.8  18.1  24.5 999.0 99.0 99.00
2010 01 01 18 50 999 11.8 14.6  3.75  9.09  6.60 339 1024.7  18.2  24.4 999.0 99.0 99.00
2010 01 01 19 50 999 10.2 12.5  3.06  9.09  6.36 339 1024.2  18.1  24.3 999.0 99.0 99.00
2010 01 01 20 50 999  9.7 12.1  3.02  9.09  6.41 330 1023.7  18.0  25.1 999.0 99.0 99.00
2010 01 01 21 50 999 11.5 14.0  2.94  9.09  6.49 335 1023.8  17.7  25.2 999.0 99.0 99.00
2010 01 01 22 50 999  8.7 10.9  2.74  9.09  6.25 345 1023.9  17.6  24.9 999.0 99.0 99.00
2010 01 01 23 50 999 10.0 12.7  2.53  9.09  6.29 347 1024.4  17.4  25.0 999.0 99.0 99.00
2010 01 02 00 50 999  9.3 11.4  2.68  8.33  6.35 348 1024.4  17.1  24.9 999.0 99.0 99.00
2010 01 02 01 50 999  8.8 10.6  2.44  8.33  6.16 342 1025.0  17.0  24.7 999.0 99.0 99.00
2010 01 02 02 50 999  8.0 10.8  2.23  8.33  6.09 346 1024.8  17.1  24.8 999.0 99.0 99.00
2010 01 02 03 50 999  7.9  9.8  2.25  7.69  5.92 339 1025.6  17.1  24.7 999.0 99.0 99.00
2010 01 02 04 50 999  8.2 10.7  1.93  7.69  5.73 351 1025.1  16.9  24.4 999.0 99.0 99.00
2010 01 02 05 50 999  9.0 11.9  1.71  7.69  5.40   7 1024.7  16.8  24.4 999.0 99.0 99.00
2010 01 02 06 50 999  5.8  8.5  1.77  7.69  5.43  17 1024.7  16.6  24.3 999.0 99.0 99.00
2010 01 02 07 50 999  6.1  7.9  1.68  7.69  5.33 359 1024.5  16.8  24.4 999.0 99.0 99.00
2010 01 02 08 50 999  6.4  8.6  1.61  7.14  5.33   9 1024.1  16.7  24.4 999.0 99.0 99.00
2010 01 02 09 50 999  5.1  7.9  1.59  7.14  5.26  13 1023.7  16.7  24.4 999.0 99.0 99.00
2010 01 02 10 50 999  4.7  8.6  1.45  7.14  5.12  18 1023.3  17.0  24.4 999.0 99.0 99.00
2010 01 02 11 50 999  5.0  7.4  1.39  6.67  5.25   5 1023.6  17.1  24.5 999.0 99.0 99.00
2010 01 02 12 50 999  4.3  6.0  1.31  6.67  5.04  14 1024.0  17.1  24.5 999.0 99.0 99.00
2010 01 02 13 50 999  5.6  7.3  1.34  6.67  5.12  26 1024.3  17.3  24.5 999.0 99.0 99.00
2010 01 02 14 50 999  5.4  7.2  1.15  6.67  4.90  29 1024.6  17.3  24.6 999.0 99.0 99.00
2010 01 02 15 50 999  4.8  7.9  1.08  6.25  4.78  27 1024.7  17.5  24.7 999.0 99.0 99.00
2010 01 02 16 50 999  4.5  6.0  1.06  6.67  4.79  28 1024.0  17.4  24.6 999.0 99.0 99.00
2010 01 02 17 50 999  4.0  5.8  1.05  6.25  4.91  23 1023.6  17.5  24.8 999.0 99.0 99.00
2010 01 02 18 50 999  4.6  6.2  1.10  6.25  4.81  33 1022.3  17.6  24.3 999.0 99.0 99.00
2010 01 02 19 50 999  5.6  7.1  1.06  5.88  4.89  36 1021.2  17.5  24.8 999.0 99.0 99.00
2010 01 02 20 50 999  5.6  7.6  1.05  6.67  4.77  56 1020.6  17.7  25.0 999.0 99.0 99.00
2010 01 02 21 50 999  6.9  8.4  1.15  6.25  4.82  37 1020.6  17.6  24.5 999.0 99.0 99.00
2010 01 02 22 50 999  6.7  9.1  1.08  6.25  4.56  33 1020.7  17.7  24.8 999.0 99.0 99.00
2010 01 02 23 50 999  6.5  8.5  1.11  5.88  4.68  20 1020.3  18.0  24.7 999.0 99.0 99.00
2010 01 03 00 50 999  6.6  8.5  1.13  7.69  4.76  61 1020.5  18.1  24.6 999.0 99.0 99.00
2010 01 03 01 50 999  6.8  8.7  1.10  7.69  4.58  60 1020.6  18.2  24.7 999.0 99.0 99.00
2010 01 03 02 50 999  5.5  7.2  1.05  7.14  4.42  52 1021.3  18.2  24.7 999.0 99.0 99.00
2010 01 03 03 50 999  5.7  8.4  1.06  7.69  4.63  58 1021.2  18.5  24.7 999.0 99.0 99.00
2010 01 03 04 50 999  6.4  8.0  0.99  7.69  4.55  59 1020.7  18.5  24.6 999.0 99.0 99.00
2010 01 03 05 50 999  5.6  7.5  1.12  7.14  5.05  54 1020.0  18.7  24.6 999.0 99.0 99.00
2010 01 03 06 50 999  6.0  7.6  1.02  7.14  4.86  62 1018.8  18.8  24.6 999.0 99.0 99.00
2010 01 03 07 50 999  4.1  5.6  1.03  7.69  4.81  58 1018.4  19.0  24.7 999.0 99.0 99.00
2010 01 03 08 50 999  4.1  5.3  1.04  7.14  5.06  64 1018.3  19.2  24.7 999.0 99.0 99.00
2010 01 03 09 50 999  4.2  5.3  1.01  7.69  5.00  62 1018.0  19.3  24.7 999.0 99.0 99.00
2010 01 03 10 50 999  4.9  6.7  1.00  6.67  4.93  49 1017.7  19.5  24.5 999.0 99.0 99.00
2010 01 03 11 50 999  4.9 99.0 99.00 99.00 99.00 999 9999.0  19.7 999.0 999.0 99.0 99.00
2010 01 03 12 50 999  5.9  7.6  1.03  7.69  5.04  71 1017.8  19.9  24.6 999.0 99.0 99.00
2010 01 03 13 50 999  6.0  7.4  1.00  6.25  4.98  59 1018.2  20.0  24.7 999.0 99.0 99.00
2010 01 03 14 50 999  6.1  8.2  1.05  7.14  4.82  72 1018.2  20.2  24.6 999.0 99.0 99.00
2010 01 03 15 50 999  5.8  7.1  0.98  7.14  4.61  66 1018.9  20.4  24.6 999.0 99.0 99.00
2010 01 03 16 50 999  4.1  5.4  1.00  6.67  4.78  71 1018.9  20.5  24.6 999.0 99.0 99.00
2010 01 03 17 50 999  4.0  5.1  1.02  7.14  4.95  65 1017.8  20.5  24.6 999.0 99.0 99.00
2010 01 03 18 50 999  4.4  6.8  0.90  6.25  4.55  56 1017.1  20.3  24.7 999.0 99.0 99.00
2010 01 03 19 50 999  5.3  6.6  1.09  6.25  4.86  54 1016.1  19.4  24.8 999.0 99.0 99.00
2010 01 03 20 50 999  4.7  5.8  1.06  6.67  4.62  64 1016.4  19.7  24.8 999.0 99.0 99.00
2010 01 03 21 50 999  6.1  7.7  1.15  5.56  4.72  44 1016.2  18.7  24.8 999.0 99.0 99.00
2010 01 03 22 50 999  5.1  6.4  1.31  6.67  4.84  51 1017.1  19.6  24.8 999.0 99.0 99.00
2010 01 03 23 50 999  5.1  6.5  1.28  6.67  4.92  45 1017.3  19.9  24.8 999.0 99.0 99.00
2010 01 04 00 50 999  4.2  5.6  1.37  7.14  5.16  59 1017.6  19.9  25.0 999.0 99.0 99.00
2010 01 04 01 50 999  3.8  4.8  1.36  6.67  5.05  49 1017.9  19.9  23.1 999.0 99.0 99.00
2010 01 04 02 50 999 10.1 12.5  1.33  6.67  4.92  56 1018.6  18.4  23.6 999.0 99.0 99.00
2010 01 04 03 50 999 16.5 19.6  2.15  6.25  4.67  54 1019.6  16.9  25.5 999.0 99.0 99.00
2010 01 04 04 50 999 14.0 16.6  2.39  7.14  4.98  39 1020.2  17.5  25.4 999.0 99.0 99.00
2010 01 04 05 50 999 13.3 15.7  2.58  7.14  5.36  43 1020.2  17.1  25.4 999.0 99.0 99.00
2010 01 04 06 50 999 13.8 15.9  2.69  7.69  5.49  40 1020.2  17.6  25.3 999.0 99.0 99.00
2010 01 04 07 50 999 12.8 15.5  2.62  7.69  5.59  47 1020.0  17.9  25.6 999.0 99.0 99.00
2010 01 04 08 50 999 12.3 14.3  2.30  6.67  5.25  50 1020.2  17.8  25.2 999.0 99.0 99.00
2010 01 04 09 50 999 12.8 15.8  2.27  7.69  5.24  60 1020.1  17.6  25.2 999.0 99.0 99.00
2010 01 04 10 50 999 11.5 14.3  2.18  7.69  5.24  64 1021.0  17.1  24.9 999.0 99.0 99.00
2010 01 04 11 50 999 12.3 15.1  2.12  7.14  5.23  56 1021.5  16.8  24.8 999.0 99.0 99.00
2010 01 04 12 50 999 11.5 14.6 99.00 99.00 99.00 999 1022.0  17.4  25.0 999.0 99.0 99.00
2010 01 04 13 50 999 11.1 13.6  2.09  7.14  5.18  56 1023.2  17.5  25.5 999.0 99.0 99.00
2010 01 04 14 50 999 11.1 13.5  2.08  7.14  5.09  60 1024.0  17.5  24.7 999.0 99.0 99.00
2010 01 04 15 50 999 10.5 13.1  1.93  7.14  5.03  57 1024.8  17.4  25.3 999.0 99.0 99.00
2010 01 04 16 50 999 10.2 12.0  1.94  6.67  4.96  59 1025.1  17.1  24.3 999.0 99.0 99.00
2010 01 04 17 50 999 11.1 13.6  2.02  6.67  5.14  56 1024.5  17.0  24.6 999.0 99.0 99.00
2010 01 04 18 50 999 10.8 12.9  1.78  6.25  4.77  49 1023.9  16.9  24.8 999.0 99.0 99.00
2010 01 04 19 50 999 10.9 12.6  1.87  5.88  4.81  32 1023.9  16.5  25.1 999.0 99.0 99.00
2010 01 04 23 50 999 10.1 12.2 99.00 99.00 99.00 999 1024.8  16.8  24.9 999.0 99.0 99.00
2010 01 05 00 50 999 12.6 14.9 99.00 99.00 99.00 999 1025.6  16.4  24.9 999.0 99.0 99.00
2010 01 05 01 50 999 10.8 13.5  1.85  5.88  4.73  16 1026.5  16.2  24.4 999.0 99.0 99.00
2010 01 05 02 50 999 10.5 13.8  1.80  6.25  4.88  10 1026.7  16.1  24.7 999.0 99.0 99.00
2010 01 05 03 50 999  9.8 12.4  1.95  6.25  4.99 356 1026.8  15.7  24.4 999.0 99.0 99.00
2010 01 05 04 50 999 10.5 13.6  2.09  6.67  5.07 341 1027.1  15.4  24.5 999.0 99.0 99.00
2010 01 05 05 50 999  9.8 12.0  1.86  6.25  5.05   5 1026.9  15.2  24.6 999.0 99.0 99.00
2010 01 05 06 50 999  9.0 10.9  2.04  6.25  5.14 353 1026.5  15.0  25.1 999.0 99.0 99.00
2010 01 05 07 50 999 10.0 12.0 99.00 99.00 99.00 999 1026.5  14.9  23.5 999.0 99.0 99.00
2010 01 05 08 50 999 10.1 13.0  1.88  6.67  5.10  11 1026.6  14.5  23.8 999.0 99.0 99.00
2010 01 05 09 50 999 10.6 13.0  2.09  6.67  5.27 357 1026.6  14.6  24.9 999.0 99.0 99.00
2010 01 05 10 50 999 11.4 15.2  2.21  6.67  5.40 359 1027.0  14.2  24.9 999.0 99.0 99.00
2010 01 05 11 50 999 10.8 14.1  2.09  7.14  5.29   9 1027.3  14.3  22.9 999.0 99.0 99.00
2010 01 05 12 50 999  9.5 12.4  2.15  7.69  5.33  11 1027.7  14.2  23.6 999.0 99.0 99.00
2010 01 05 13 50 999  9.9 13.5  1.88  7.14  5.44   6 1028.1  14.2  23.9 999.0 99.0 99.00
2010 01 05 14 50 999  7.9 10.1  2.17  7.69  5.73  14 1028.6  14.4  23.9 999.0 99.0 99.00
2010 01 05 15 50 999  8.2 10.6  2.02  7.69  5.48  22 1028.8  14.6  23.8 999.0 99.0 99.00
