YYYY MM DD hh mm  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2006 01 01 00 00 178  6.2  7.2  0.78  4.76  4.02 199 1015.0  20.6  20.3  20.5 99.0 99.00
2006 01 01 01 00 169  4.7  5.5  0.78  4.55  4.08 201 1015.4  20.6  20.3  20.5 99.0 99.00
2006 01 01 02 00 164  4.0  4.7  0.71  5.26  4.08 196 1015.7  20.6  20.3  20.5 99.0 99.00
2006 01 01 03 00 159  4.8  5.5  0.74  5.00  4.01 199 1015.7  20.6  20.3  20.5 99.0 99.00
2006 01 01 04 00 154  5.3  6.1  0.71  5.26  4.13 204 1015.7  20.4  20.3  20.3 99.0 99.00
2006 01 01 05 00 160  5.2  6.2  0.68  5.00  4.04 200 1015.4  20.4  20.3  20.3 99.0 99.00
2006 01 01 06 00 160  5.4  6.3  0.67  5.00  3.97 203 1015.1  20.6  20.3  20.5 99.0 99.00
2006 01 01 07 00 173  6.1  7.1  0.73  5.26  4.01 212 1015.0  20.6  20.3  20.5 99.0 99.00
2006 01 01 08 00 161  5.9  6.9  0.74  4.76  4.06 202 1015.0  20.6  20.3  20.5 99.0 99.00
2006 01 01 09 00 165  6.2  7.2  0.78  4.76  3.99 189 1015.0  20.6  20.3  20.5 99.0 99.00
2006 01 01 10 00 155  5.4  6.5  0.80  3.85  3.99 188 1015.0  20.4  20.3  20.3 99.0 99.00
2006 01 01 11 00 150  5.3  6.1  0.78  5.26  4.05 221 1015.6  20.6  20.3  20.5 99.0 99.00
2006 01 01 12 00 154  5.9  6.9  0.86  5.00  4.12 221 1015.7  20.6  20.3  20.5 99.0 99.00
2006 01 01 13 00 163  5.8  7.0  0.83  4.76  4.04 222 1016.4  20.4  20.3  20.3 99.0 99.00
2006 01 01 14 00 163  5.5  7.1  0.87  4.76  4.07 214 1016.6  20.6  20.3  20.5 99.0 99.00
2006 01 01 15 00 146  5.1  6.0  0.82  5.00  4.00 224 1017.5  20.6  20.3  20.5 99.0 99.00
2006 01 01 16 00 164  5.3  6.3  0.85  4.17  4.16 188 1017.6  20.7  20.3  20.6 99.0 99.00
2006 01 01 17 00 150  4.9  6.0  0.83  5.26  4.20 225 1016.9  20.7  20.3  20.6 99.0 99.00
