#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi    ft
2007 01 01 00 00 156  5.6  6.7  1.48  5.88  5.09 172 1018.1  22.0  21.0  22.0 99.0 99.00
2007 01 01 01 00 189  3.3  6.4  1.47  5.88  5.10 167 1019.0  21.2  21.0  21.2 99.0 99.00
2007 01 01 02 00  25  2.9  4.2  1.36  8.33  5.00 209 1019.5  20.1  21.0  20.1 99.0 99.00
2007 01 01 03 00  53  1.9  4.2  1.28  6.25  5.29 167 1020.1  19.8  21.0  19.8 99.0 99.00
2007 01 01 04 00  38  3.7  4.7  1.26  6.25  5.00 168 1019.4  20.0  21.1  20.0 99.0 99.00
2007 01 01 05 00 103  7.2  8.4  1.37  7.14  5.18 187 1018.3  20.3  20.9  20.3 99.0 99.00
2007 01 01 06 00 141  8.3 10.0  1.27  8.33  5.08 197 1017.4  21.0  20.9  20.9 99.0 99.00
2007 01 01 07 00 159  6.0  6.9  1.12  7.69  4.80 196 1017.7  21.2  20.8  20.6 99.0 99.00
2007 01 01 08 00 154  7.0  7.9  1.09  6.25  4.72 174 1016.9  21.2  20.8  20.8 99.0 99.00
2007 01 01 09 00 144  4.4  5.3  1.07  5.88  4.75 166 1017.0  21.2  20.7  21.1 99.0 99.00
2007 01 01 10 00 160  5.0  5.9  1.08  8.33  4.99 203 1016.9  21.3  20.6  21.0 99.0 99.00
2007 01 01 12 00 178  4.9  5.6  0.95  7.69  4.73 217 1017.3  21.2  20.8  21.2 99.0 99.00
2007 01 01 13 00 184  5.8  7.0  0.97  7.69  4.57 200 1018.3  21.4  20.8  21.4 99.0 99.00
2007 01 01 14 00 206  4.5  5.1  0.98  7.14  4.63 213 1019.1  21.5  20.8  21.4 99.0 99.00
2007 01 01 15 00 185  4.2  4.8  0.96  7.69  4.87 209 1019.0  21.5  20.9  21.3 99.0 99.00
2007 01 01 16 00 208  4.5  5.1  0.92  7.14  4.82 215 1019.4  21.6  20.9  21.4 99.0 99.00
2007 01 01 17 00 328  6.1  7.4  1.00  7.69  5.17 203 1018.8  19.8  20.9  19.7 99.0 99.00
2007 01 01 18 00 328  7.5  8.8  1.02  5.88  4.75 177 1018.4  19.2  20.8  19.0 99.0 99.00
2007 01 01 19 00 334  8.4  9.9  1.08  5.88  4.31 163 1018.0  18.2  20.8  17.7 99.0 99.00
2007 01 01 20 00 350  6.8  8.1  1.11  6.67  4.33 214 1017.7  18.4  20.8  16.5 99.0 99.00
2007 01 01 21 00 348  6.4  8.3  1.14  6.25  4.35 185 1017.5  18.5  20.8  16.1 99.0 99.00
2007 01 01 22 00 341  7.4  8.8  1.18  4.35  4.40 307 1018.1  18.6  20.8  15.2 99.0 99.00
2007 01 01 23 00 344  6.0  7.2  1.13  5.26  4.33 261 1018.9  18.8  20.8  14.7 99.0 99.00
2007 01 02 00 00 335  5.8  7.0  1.10  5.88  4.46 197 1019.3  18.9  20.8  14.9 99.0 99.00
2007 01 02 01 00 340  5.5  6.4  1.04  5.26  4.38 282 1019.9  19.1  20.8  13.6 99.0 99.00
2007 01 02 02 00 355  5.1  6.0  1.11  5.00  4.51 286 1020.3  18.9  20.8  13.1 99.0 99.00
2007 01 02 03 00 355  5.2  6.5  0.98  5.00  4.47 290 1021.0  18.8  20.9  12.8 99.0 99.00
2007 01 02 04 00 343  5.0  6.2  0.98  5.56  4.56 243 1021.4  18.7  21.0  13.8 99.0 99.00
2007 01 02 05 00 343  7.4  8.6  0.98  5.88  4.59 273 1020.6  18.7  21.0  13.2 99.0 99.00
2007 01 02 06 00 356  7.2  8.4  1.05  5.88  4.44 280 1020.1  18.7  21.0  12.8 99.0 99.00
2007 01 02 07 00 356  6.0  7.1  1.01  5.56  4.38 283 1020.6  18.7  21.1  12.2 99.0 99.00
2007 01 02 08 00  28  6.0  7.3  0.96  5.56  4.46 280 1020.3  18.4  21.3  14.0 99.0 99.00
2007 01 02 09 00  24  6.0  7.3  1.00  5.26  4.43 266 1020.5  18.2  21.3  14.3 99.0 99.00
2007 01 02 10 00  31  7.0  8.6  0.91  5.56  4.17 282 1020.3  17.3  21.3  15.0 99.0 99.00
2007 01 02 11 00  34  8.4 10.1  1.02  5.26  4.09 285 1020.5  16.6  21.4  14.8 99.0 99.00
2007 01 02 12 00  38  8.0  9.4  1.12  4.35  4.24 356 1021.4  16.1  21.4  14.2 99.0 99.00
2007 01 02 13 00  53  7.6  9.0  1.16  4.76  4.31 355 1022.2  15.9  21.4  14.0 99.0 99.00
2007 01 02 14 00  42  7.2  9.6  1.34  5.00  4.60   5 1023.2  15.7  21.4  13.7 99.0 99.00
2007 01 02 15 00  49  8.4 10.3  1.52  5.56  4.85 348 1023.4  15.9  21.4  13.6 99.0 99.00
2007 01 02 16 00  50  7.6  9.7  1.52  5.88  4.83   1 1024.1  15.7  21.4  13.4 99.0 99.00
2007 01 02 17 00  54  7.3  9.2  1.53  5.88  4.90  20 1023.5  15.8  21.3  13.6 99.0 99.00
2007 01 02 18 00  59  5.5  7.3  1.34  5.88  4.73  22 1023.4  15.9  21.2  13.6 99.0 99.00
2007 01 02 19 00  62  6.9  9.3  1.41  5.26  4.77   6 1021.9  16.0  21.2  13.9 99.0 99.00
2007 01 02 20 00  52  6.5  7.8  1.28  5.56  4.59 360 1022.1  16.2  21.1  14.0 99.0 99.00
2007 01 02 21 00  63  6.7  8.7  1.34  5.56  4.69  11 1022.2  16.1  21.1  14.1 99.0 99.00
2007 01 02 22 00  64  6.4  8.1  1.25  5.26  4.49   7 1022.5  16.1  21.0  13.9 99.0 99.00
2007 01 02 23 00  63  8.9 10.6  1.26  5.56  4.58  17 1021.8  16.4  21.1  14.2 99.0 99.00
2007 01 03 00 00  55  7.3  8.5  1.12  5.26  4.25  24 1023.2  16.9  21.2  14.5 99.0 99.00
