#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2008 01 01 00 50  79  3.3  4.0  0.65  4.35  3.99  19 1018.1  21.0  22.8 999.0 99.0 99.00
2008 01 01 02 50 127  3.4  4.1  0.62  4.35  3.91  17 1018.7  21.5  22.8 999.0 99.0 99.00
2008 01 01 03 50 140  3.3  3.9  0.59  4.17  3.94  23 1019.0  21.7  22.8 999.0 99.0 99.00
2008 01 01 04 50 185  1.3  2.2  0.54  3.85  3.87  23 1019.3  22.0  22.8 999.0 99.0 99.00
2008 01 01 05 50 269  0.7  0.9  0.53  6.67  4.09 210 1019.3  22.1  22.8 999.0 99.0 99.00
2008 01 01 06 50 327  1.9  2.2  0.52  5.56  4.20 205 1019.4  22.0  22.8 999.0 99.0 99.00
2008 01 01 07 50 353  1.9  2.2  0.47  5.26  4.11 203 1019.2  21.9  22.8 999.0 99.0 99.00
2008 01 01 08 50  10  2.3  3.0  0.43  5.88  4.11 226 1019.0  21.9  22.8 999.0 99.0 99.00
2008 01 01 09 50 345  9.5 12.2  0.45  5.88  3.80 220 1019.4  20.3  22.8 999.0 99.0 99.00
2008 01 01 10 50   1  9.1 11.0  0.73  3.45  3.25   9 1019.6  19.5  22.8 999.0 99.0 99.00
2008 01 01 11 50 344 11.8 13.7  1.01  4.17  3.64   8 1020.2  20.1  22.7 999.0 99.0 99.00
2008 01 01 12 50 346 12.0 14.1  1.29  4.55  3.97   3 1021.5  19.7  22.7 999.0 99.0 99.00
2008 01 01 13 50 346 11.9 13.9  1.67  5.26  4.50 346 1022.6  19.3  22.6 999.0 99.0 99.00
2008 01 01 14 50 342 11.0 12.9  1.91  5.88  4.74 348 1023.5  18.6  22.6 999.0 99.0 99.00
2008 01 01 15 50 343 11.4 13.4  1.89  5.88  4.77 351 1023.7  18.1  22.6 999.0 99.0 99.00
2008 01 01 16 50 342 11.6 14.1  1.79  5.88  4.73 357 1024.2  16.8  22.6 999.0 99.0 99.00
2008 01 01 17 50 337 12.1 14.1  2.02  5.88  4.89 352 1024.2  15.9  22.6 999.0 99.0 99.00
2008 01 01 18 50 343 11.4 13.7  2.13  6.67  5.06 330 1023.8  15.9  22.5 999.0 99.0 99.00
2008 01 01 19 50 335 11.8 14.0  2.10  7.14  5.10 312 1023.6  15.8  22.5 999.0 99.0 99.00
2008 01 01 20 50 330 11.4 13.9  2.41  7.14  5.45 317 1023.8  15.8  22.5 999.0 99.0 99.00
2008 01 01 21 50 333 11.3 13.5  2.60  6.67  5.46 318 1024.0  15.7  22.4 999.0 99.0 99.00
2008 01 01 22 50 331 11.3 14.2  2.62  7.69  5.66 309 1024.5  15.3  22.4 999.0 99.0 99.00
2008 01 01 23 50 333 11.6 14.9  2.65  7.69  5.69 313 1025.2  15.0  22.3 999.0 99.0 99.00
2008 01 02 00 50 346 12.7 14.9  2.85  7.69  5.77 314 1026.0  14.6  22.3 999.0 99.0 99.00
2008 01 02 01 50 339 12.5 15.5  2.79  7.69  5.62 313 1026.9  13.9  22.2 999.0 99.0 99.00
2008 01 02 02 50 340 13.2 16.3  2.94  7.14  5.64 320 1027.7  13.2  22.2 999.0 99.0 99.00
2008 01 02 03 50 345 13.6 16.6  2.96  6.67  5.60 326 1028.2  12.9  22.1 999.0 99.0 99.00
2008 01 02 04 50 347 13.4 16.4  3.31  8.33  5.81 305 1028.2  12.6  22.0 999.0 99.0 99.00
