#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2008 01 01 00 00 224  7.7  9.3  1.78  6.67  5.35 209 1020.5  22.5  22.2  20.7 99.0 99.00
2008 01 01 01 00 222  6.9  8.7  1.64  6.25  5.27 237 1020.9  22.3  22.2  20.9 99.0 99.00
2008 01 01 02 00 225  7.3  8.8  1.82  6.67  5.60 229 1021.1  22.4  22.2  21.0 99.0 99.00
2008 01 01 03 00 236  5.7  6.4  1.89  6.67  5.80 205 1021.0  22.3  22.2  20.9 99.0 99.00
2008 01 01 04 00 238  6.3  7.1  1.80  8.33  5.74 263 1020.9  22.3  22.1  20.9 99.0 99.00
2008 01 01 05 00  15  3.8  4.4  1.81  6.67  5.89 211 1020.8  21.6  22.1  19.9 99.0 99.00
2008 01 01 06 00   6  1.7  2.3  1.68  8.33  6.15 247 1020.8  21.8  22.1  19.6 99.0 99.00
2008 01 01 07 00  36  3.5  4.1  1.66  8.33  6.15 285 1020.6  21.5  22.1  19.9 99.0 99.00
2008 01 01 08 00  73  2.7  3.2  1.61  7.14  6.06 230 1020.2  21.4  22.1  19.9 99.0 99.00
2008 01 01 09 00 107  2.1  2.6  1.62  8.33  6.23 253 1019.9  21.5  22.1  20.2 99.0 99.00
2008 01 01 10 00 211  4.5  5.6  1.71  8.33  6.03 245 1019.8  21.1  22.1  19.1 99.0 99.00
2008 01 01 11 00 251  6.6  7.9  1.59  6.67  5.70 202 1020.3  20.9  22.1  18.6 99.0 99.00
2008 01 01 12 00 237  3.8  4.5  1.65  7.69  5.93 254 1020.5  21.5  22.1  19.7 99.0 99.00
2008 01 01 13 00 226  5.3  5.9  1.66  6.25  5.89 218 1020.7  21.9  22.1  20.0 99.0 99.00
2008 01 01 14 00 221  4.3  5.1  1.61  7.69  5.78 270 1021.0  22.1  22.1  20.8 99.0 99.00
2008 01 01 15 00 210  7.8  9.4  1.74  8.33  5.84 279 1020.9  22.5  22.1  20.6 99.0 99.00
2008 01 01 16 00 209  7.7  9.4  1.80  8.33  5.73 305 1020.0  22.4  22.2  20.4 99.0 99.00
2008 01 01 17 00 200  8.7 10.2  1.70  8.33  5.58 294 1018.3  22.4  22.2  20.4 99.0 99.00
2008 01 01 18 00 197 10.8 12.9  1.75  7.14  5.36 279 1017.1  22.5  22.2  20.5 99.0 99.00
2008 01 01 19 00 202 10.9 13.3  1.75  7.69  5.13 287 1016.8  22.6  22.3  20.6 99.0 99.00
2008 01 01 20 00 205 11.6 14.0  1.89  8.33  5.09 338 1016.5  22.6  22.2  20.7 99.0 99.00
2008 01 01 21 00 212 10.1 11.7  1.98  8.33  5.11 333 1016.5  22.3  22.2  20.7 99.0 99.00
2008 01 01 22 00 215 10.5 12.7  2.02  5.56  5.21 204 1016.7  22.6  22.2  20.6 99.0 99.00
2008 01 01 23 00 207 11.2 13.9  1.86  7.69  5.11 258 1016.5  22.5  22.2  20.4 99.0 99.00
2008 01 02 00 00 210 11.4 13.5  1.99  5.88  5.19 201 1016.6  22.6  22.2  20.6 99.0 99.00
2008 01 02 01 00 214 11.6 13.6  1.91  6.67  5.29 253 1016.3  22.6  22.2  20.7 99.0 99.00
2008 01 02 02 00 202 11.9 13.5  2.04  6.25  5.11 235 1015.6  22.5  22.2  20.7 99.0 99.00
2008 01 02 03 00 202 11.5 13.5  2.15  5.88  5.10 214 1015.0  22.6  22.2  21.0 99.0 99.00
2008 01 02 04 00 207 12.3 14.3  2.02  6.25  5.08 228 1014.2  22.6  22.2  20.8 99.0 99.00
2008 01 02 05 00 218 12.8 15.5  2.25  6.25  5.27 210 1013.1  22.4  22.2  20.8 99.0 99.00
2008 01 02 06 00 225 13.4 16.3 99.00 99.00 99.00 999 1012.2  20.8  22.2  20.0 99.0 99.00
2008 01 02 07 00 220 13.7 16.0  2.41  6.25  5.37 214 1011.9  22.2  22.2  19.8 99.0 99.00
2008 01 02 08 00 233 11.0 12.6  2.30  6.67  5.36 206 1010.9  21.1  22.1  19.4 99.0 99.00
2008 01 02 09 00 267 10.1 12.3  2.36  6.25  5.56 220 1011.0  20.7  22.1  18.4 99.0 99.00
2008 01 02 10 00 266  8.5 11.4  2.46  6.67  5.65 214 1011.3  20.1  22.1  15.8 99.0 99.00
2008 01 02 11 00 269 10.6 12.2  2.23  7.14  5.29 244 1011.4  20.0  22.1  16.4 99.0 99.00
2008 01 02 12 00 279 11.2 15.1  2.40  7.14  5.65 245 1012.0  19.7  22.1  16.3 99.0 99.00
2008 01 02 13 00 281 10.1 12.9  2.33  7.14  5.41 253 1012.7  19.0  22.2  14.9 99.0 99.00
2008 01 02 14 00 276 13.0 15.1  2.33  7.14  5.49 249 1013.4  20.0  22.2 999.0 99.0 99.00
2008 01 02 15 00 281 12.5 16.0  2.75  7.14  5.83 267 1013.9  18.8  22.3  13.7 99.0 99.00
2008 01 02 16 00 275 12.9 15.4  2.92  8.33  6.16 293 1013.5  19.1  22.3  11.8 99.0 99.00
2008 01 02 17 00 273 12.8 15.9  2.95  8.33  6.11 291 1012.7  18.8  22.3  11.7 99.0 99.00
2008 01 02 18 00 268 14.5 17.4  3.23  8.33  6.34 284 1011.9  18.6  22.3  11.2 99.0 99.00
2008 01 02 19 00 260 14.8 18.5  3.45 10.00  6.84 305 1011.8  18.7  22.3  10.3 99.0 99.00
2008 01 02 20 00 262 15.6 18.8  3.88  9.09  6.74 293 1011.7  18.4  22.3   9.2 99.0 99.00
2008 01 02 21 00 271 14.4 18.8  3.70 10.00  6.75 291 1012.4  18.1  22.3   9.9 99.0 99.00
2008 01 02 22 00 268 14.7 17.6  4.38  9.09  7.05 290 1012.6  17.8  22.2   9.4 99.0 99.00
2008 01 02 23 00 272 15.3 18.9  4.20  9.09  7.06 288 1013.0  17.2  22.2   9.2 99.0 99.00
2008 01 03 00 00 286 15.3 20.2  3.89  9.09  6.94 287 1013.8  16.0  22.2  10.6 99.0 99.00
2008 01 03 01 00 282 15.7 18.8  4.32 10.00  7.20 290 1014.4  15.5  22.3  10.3 99.0 99.00
2008 01 03 02 00 279 14.8 18.1  4.83 10.00  7.58 281 1014.3  15.4  22.3   8.8 99.0 99.00
2008 01 03 03 00 284 15.2 18.4  4.59 10.00  7.30 286 1014.4  14.5  22.3   9.7 99.0 99.00
2008 01 03 04 00 295 14.7 18.4 99.00 99.00 99.00 999 1014.5  13.9  22.3   9.5 99.0 99.00
2008 01 03 05 00 298 12.3 17.2  4.83 10.00  7.74 295 1014.7  12.5  22.3   8.6 99.0 99.00
2008 01 03 06 00 302 13.0 16.5  5.07 10.81  8.00 301 1014.4  13.1  22.3   7.5 99.0 99.00
2008 01 03 07 00 308 14.6 18.7  4.85 10.81  7.93 295 1014.6  12.3  22.3   7.6 99.0 99.00
2008 01 03 08 00 303 12.5 18.1  5.48 11.43  8.22 306 1014.6  12.2  22.2   7.5 99.0 99.00
2008 01 03 09 00 293  7.0 11.4  5.05 11.43  8.11 300 1015.0  10.9  22.3   6.8 99.0 99.00
2008 01 03 10 00 304 12.8 18.0  5.02 11.43  8.06 298 1015.1  13.2  22.2   6.8 99.0 99.00
2008 01 03 11 00 329 13.1 16.3 99.00 99.00 99.00 999 1016.2  12.6  22.3   5.2 99.0 99.00
2008 01 03 12 00 311 14.6 17.6  5.10 11.43  8.20 287 1017.5  11.3  22.2 999.0 99.0 99.00
2008 01 03 13 00 333  4.3  8.3  4.82 10.81  8.15 297 1019.1   9.8  22.2 999.0 99.0 99.00
2008 01 03 14 00 326 16.2 19.7 99.00 99.00 99.00 999 1019.5  12.4  22.2   6.6 99.0 99.00
2008 01 03 15 00 340 15.8 18.7  5.41 10.00  7.97 293 1020.4  11.6  22.2   6.3 99.0 99.00
2008 01 03 16 00 335 15.0 18.5  5.63 11.43  8.22 301 1021.4  11.2  22.2   6.7 99.0 99.00
2008 01 03 17 00 349 11.9 15.9  5.55 11.43  8.50 312 1021.2  10.9  22.1   5.9 99.0 99.00
2008 01 03 18 00 334 15.5 21.5  6.16 11.43  8.71 321 1021.5  11.2  22.1   6.4 99.0 99.00
2008 01 03 19 00 330 17.6 21.1  6.28 12.12  8.99 328 1021.9  10.7  22.1   6.2 99.0 99.00
2008 01 03 20 00 329 18.3 21.4 99.00 99.00 99.00 999 1022.6  11.5  22.1   5.8 99.0 99.00
2008 01 03 21 00 333 16.3 20.5  6.07 12.90  8.67 317 1023.7  11.7  22.1   5.2 99.0 99.00
2008 01 03 22 00 337 14.5 20.8  6.53 12.12  8.68 323 1024.8  11.9  22.0   4.9 99.0 99.00
2008 01 03 23 00 346 15.2 18.3  6.58 12.12  8.89 329 1025.8  12.2  22.0   5.1 99.0 99.00
