YYYY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2002 01 01 00  45  1.9  2.8  2.18 12.50  8.67 999 1018.9  11.4  12.6 999.0 99.0 99.00
2002 01 01 01 227  2.2  3.3  2.31 14.29  8.75 999 1018.8  11.3  12.6 999.0 99.0 99.00
2002 01 01 02  80  0.3  1.3  2.72 12.50  9.30 999 1017.9  11.0  12.6 999.0 99.0 99.00
2002 01 01 03 195  2.2  3.4  2.52 12.50  9.34 999 1017.5  11.3  12.6 999.0 99.0 99.00
2002 01 01 04  66  2.8  4.5  2.82 12.50  9.95 999 1017.9  11.0  12.6 999.0 99.0 99.00
2002 01 01 05 125  2.4  4.2  2.82 12.50 10.23 999 1018.1  11.0  12.6 999.0 99.0 99.00
2002 01 01 06 200  1.0  2.1  2.75 12.50 10.29 999 1018.7  11.0  12.6 999.0 99.0 99.00
2002 01 01 07 195  1.4  2.5  2.94 12.50 10.21 999 1018.8  11.0  12.5 999.0 99.0 99.00
2002 01 01 08 140  1.9  3.1  3.07 12.50 10.42 999 1017.9  11.4  12.6 999.0 99.0 99.00
2002 01 01 09  89  4.3  5.6  2.74 14.29 10.41 999 1017.3  11.7  12.6 999.0 99.0 99.00
2002 01 01 10 122  2.4  3.6  2.75 12.50 10.46 999 1017.7  11.4  12.5 999.0 99.0 99.00
2002 01 01 11 119  4.0  5.2  2.82 12.50 10.28 999 1017.2  11.7  12.5 999.0 99.0 99.00
2002 01 01 12 131  4.7  5.8  2.74 12.50 10.06 999 1016.5  11.8  12.5 999.0 99.0 99.00
2002 01 01 13 136  4.6  5.9  2.75 12.50 10.48 999 1016.3  11.8  12.5 999.0 99.0 99.00
2002 01 01 14 137  5.1  6.4  2.90 12.50 10.41 999 1016.7  12.0  12.5 999.0 99.0 99.00
2002 01 01 15 140  6.6  8.0  2.40 11.11  9.81 999 1017.2  12.0  12.5 999.0 99.0 99.00
2002 01 01 16 127  7.2  8.6  2.33 12.50  8.35 999 1017.5  11.8  12.5 999.0 99.0 99.00
2002 01 01 17 120  6.9  8.4  2.81 12.50  8.79 999 1018.0  12.1  12.5 999.0 99.0 99.00
2002 01 01 18 118  6.7  8.8  2.73 20.00  9.25 999 1018.3  12.2  12.5 999.0 99.0 99.00
2002 01 01 19 113  8.1  9.6  2.81 20.00  9.22 999 1018.0  12.2  12.5 999.0 99.0 99.00
2002 01 01 20 119  7.3  9.2  2.75 20.00  8.82 999 1017.6  12.2  12.5 999.0 99.0 99.00
2002 01 01 21 135  6.4  7.7  2.36 12.50  8.26 999 1017.5  12.1  12.5 999.0 99.0 99.00
2002 01 01 22 130  7.1  8.8  2.64 20.00  8.21 999 1017.3  12.1  12.5 999.0 99.0 99.00
2002 01 01 23 124  8.3 10.0  2.66 20.00  8.48 999 1016.6  12.1  12.5 999.0 99.0 99.00
2002 01 02 00 122  7.6  9.5  2.44 11.11  7.63 999 1016.6  12.5  12.5 999.0 99.0 99.00
2002 01 02 01 123  6.9  8.5  2.70 12.50  8.54 999 1016.7  12.5  12.5 999.0 99.0 99.00
2002 01 02 02 114  7.4  9.4  2.68 12.50  8.23 999 1016.5  12.5  12.5 999.0 99.0 99.00
2002 01 02 03 119  6.9  8.3  2.36 11.11  7.69 999 1016.8  12.5  12.5 999.0 99.0 99.00
2002 01 02 04 117  6.7  8.8  2.50 12.50  8.69 999 1017.1  12.5  12.5 999.0 99.0 99.00
2002 01 02 05 113  7.7  9.8  2.74 16.67  8.83 999 1016.8  12.5  12.5 999.0 99.0 99.00
2002 01 02 06 122  7.7  9.5  2.59 16.67  8.25 999 1016.5  12.5  12.5 999.0 99.0 99.00
2002 01 02 07 133  8.1 10.0  2.76 16.67  8.16 999 1016.5  12.5  12.5 999.0 99.0 99.00
2002 01 02 08 123  8.1 10.1  3.08 16.67  8.98 999 1015.7  12.5  12.5 999.0 99.0 99.00
2002 01 02 09 127  7.5  8.9  2.64 16.67  7.62 999 1015.9  12.5  12.5 999.0 99.0 99.00
2002 01 02 10 122  7.2  9.0  2.89 16.67  7.93 999 1015.9  12.5  12.5 999.0 99.0 99.00
2002 01 02 11 114  7.3  9.5  3.17 11.11  8.65 999 1015.7  12.5  12.5 999.0 99.0 99.00
2002 01 02 12 121  8.4 10.5  3.46 12.50  8.72 999 1015.5  12.5  12.5 999.0 99.0 99.00
2002 01 02 13 128 10.3 12.2  3.72 12.50  8.72 999 1014.6  12.5  12.5 999.0 99.0 99.00
2002 01 02 14 119  8.5 11.4  3.71 11.11  8.33 999 1014.9  12.6  12.2 999.0 99.0 99.00
2002 01 02 15 138  8.4 10.0  3.79 12.50  8.24 999 1015.7  12.8  12.2 999.0 99.0 99.00
2002 01 02 16 127  9.6 11.8  3.89 12.50  8.48 999 1015.3  12.6  12.2 999.0 99.0 99.00
2002 01 02 17 139  9.6 11.5  3.66 11.11  7.99 999 1016.3  12.6  12.2 999.0 99.0 99.00
2002 01 02 18 136  9.1 11.3  3.63 12.50  7.99 999 1016.5  12.8  12.5 999.0 99.0 99.00
2002 01 02 19 140  9.1 11.0  3.75 12.50  8.01 999 1016.4  12.8  12.5 999.0 99.0 99.00
2002 01 02 20 149  6.9  8.8  3.47 12.50  8.07 999 1016.1  12.8  12.5 999.0 99.0 99.00
2002 01 02 21 145  5.4  7.1  3.33 12.50  8.22 999 1015.3  12.8  12.5 999.0 99.0 99.00
2002 01 02 22 167  4.1  5.1  3.46 12.50  8.21 999 1014.9  12.9  12.5 999.0 99.0 99.00
2002 01 02 23 176  2.7  3.4  3.31 12.50  8.13 999 1015.5  12.8  12.5 999.0 99.0 99.00
2002 01 03 00 201  1.6  2.5  3.37 12.50  8.44 999 1015.8  12.8  12.5 999.0 99.0 99.00
