YYYY MM DD hh mm  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2005 01 01 01 00 248  4.7  5.8  3.02 14.81  7.58 317 1013.8  12.6  13.9 999.0 99.0 99.00
2005 01 01 02 00 240  5.0  6.5  3.22 11.43  7.60 301 1014.1  12.5  13.8 999.0 99.0 99.00
2005 01 01 03 00 230  5.2  6.5  3.20 12.12  7.75 297 1014.4  12.6  13.8 999.0 99.0 99.00
2005 01 01 04 00 209  6.3  7.8  3.41 13.79  7.64 299 1014.4  12.6  13.8 999.0 99.0 99.00
2005 01 01 05 00 211  7.0  8.3  3.09  9.09  7.68 285 1014.5  12.8  13.8 999.0 99.0 99.00
2005 01 01 06 00 229  5.9  7.1  2.96 12.90  7.45 296 1015.1  11.5  13.8 999.0 99.0 99.00
2005 01 01 07 00 230  7.5  9.9  2.78 13.79  7.39 296 1015.3  12.3  13.8 999.0 99.0 99.00
2005 01 01 08 00 271  6.1  7.3  2.75 13.79  7.54 303 1015.4  12.5  13.8 999.0 99.0 99.00
2005 01 01 09 00 263  6.8  8.5  2.65 13.79  7.66 304 1015.2  12.3  13.8 999.0 99.0 99.00
2005 01 01 10 00 272  5.5  6.8  2.95 13.79  7.84 309 1015.4  12.3  13.7 999.0 99.0 99.00
2005 01 01 12 00 285  5.2  6.5  2.79 13.79  7.89 314 1015.7  11.7  13.7 999.0 99.0 99.00
2005 01 01 13 00 277  4.1  5.6  2.79 12.90  8.20 322 1016.0  11.9  13.7 999.0 99.0 99.00
2005 01 01 14 00 290  3.0  4.0  2.73 13.79  8.28 318 1016.5  12.1  13.7 999.0 99.0 99.00
2005 01 01 15 00 285  3.3  4.9  2.77 12.90  8.29 305 1016.8  12.1  13.6 999.0 99.0 99.00
2005 01 01 16 00 278  2.3  3.7  2.78 12.90  8.43 300 1017.4  12.0  13.6 999.0 99.0 99.00
2005 01 01 17 00 238  2.0  3.6  2.86 12.12  8.70 317 1017.9  11.8  13.7 999.0 99.0 99.00
2005 01 01 18 00 254  2.0  2.9  2.87 12.90  8.48 309 1018.8  12.2  13.8 999.0 99.0 99.00
2005 01 01 19 00 217  1.5  2.4  2.86 12.90  8.63 304 1019.1  12.4  13.8 999.0 99.0 99.00
2005 01 01 20 00 230  2.2  3.0  2.71 12.12  8.32 312 1018.7  12.4  13.8 999.0 99.0 99.00
2005 01 01 21 00 238  2.8  4.0  2.84 12.12  8.45 303 1017.9  12.3  13.9 999.0 99.0 99.00
2005 01 01 22 00 235  2.4  3.2  2.83 12.90  8.35 306 1017.6  12.3  13.9 999.0 99.0 99.00
2005 01 01 23 00 254  2.9  3.9  2.82 11.43  8.29 307 1017.3  12.4  13.9 999.0 99.0 99.00
2005 01 02 00 00 259  1.6  2.4  2.97 12.12  8.29 300 1017.1  12.6  13.9 999.0 99.0 99.00
2005 01 02 01 00 250  1.7  3.0  2.80 11.43  8.21 311 1017.0  12.1  13.8 999.0 99.0 99.00
2005 01 02 02 00 244  1.2  1.9  2.90 11.43  8.12 303 1017.1  11.9  13.8 999.0 99.0 99.00
2005 01 02 03 00 256  1.7  2.7  2.63 11.43  7.76 303 1017.4  11.9  13.8 999.0 99.0 99.00
2005 01 02 04 00 241  2.0  3.0  2.79 11.43  8.08 311 1017.7  12.0  13.7 999.0 99.0 99.00
2005 01 02 05 00 260  1.2  2.3  2.63 11.43  8.04 299 1017.8  11.7  13.6 999.0 99.0 99.00
2005 01 02 06 00 221  2.3  3.7  2.54 11.43  8.31 300 1017.8  11.9  13.6 999.0 99.0 99.00
2005 01 02 07 00 202  1.4  2.2  2.48 12.12  8.48 302 1017.7  11.7  13.6 999.0 99.0 99.00
2005 01 02 08 00 152  2.0  3.4  2.28 12.12  8.44 311 1017.3  11.8  13.5 999.0 99.0 99.00
2005 01 02 09 00 144  2.5  3.9  2.41 12.12  8.33 307 1017.1  11.1  13.5 999.0 99.0 99.00
2005 01 02 10 00 204  2.2  2.9  2.50 10.81  8.42 311 1016.7  11.3  13.6 999.0 99.0 99.00
2005 01 02 11 00 170  3.7  5.1  2.53 12.12  8.60 312 1016.2  11.4  13.6 999.0 99.0 99.00
2005 01 02 12 00 201  4.2  5.4  2.59 12.12  8.80 314 1015.5  11.8  13.7 999.0 99.0 99.00
2005 01 02 13 00 199  4.8  6.0  2.43 12.12  8.29 311 1015.0  11.9  13.8 999.0 99.0 99.00
2005 01 02 14 00 188  4.8  5.8  2.40 12.12  8.30 316 1014.5  11.7  13.8 999.0 99.0 99.00
2005 01 02 15 00 198  4.4  5.7  2.38 12.12  8.20 313 1014.4  11.8  13.9 999.0 99.0 99.00
2005 01 02 16 00 195  5.1  6.6  2.43 12.12  7.95 323 1014.3  11.8  13.8 999.0 99.0 99.00
2005 01 02 17 00 210  5.9  7.1  2.45 10.81  8.22 311 1014.4  12.0  13.8 999.0 99.0 99.00
