#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi    ft
2007 01 01 00 00 331  8.4 10.5  3.41 14.81  8.85 305 1025.3  11.7  13.0 999.0 99.0 99.00
2007 01 01 01 00 331  9.0 11.1  3.31 14.81  8.84 298 1025.1  11.7  13.0 999.0 99.0 99.00
2007 01 01 02 00 332  9.8 12.5  3.18 13.79  8.20 292 1025.2  11.9  13.0 999.0 99.0 99.00
2007 01 01 03 00 331 10.3 12.3  3.13 13.79  7.67 296 1025.2  11.9  13.0 999.0 99.0 99.00
2007 01 01 04 00 324 10.5 12.3  3.09 14.81  7.33 290 1025.3  11.7  12.9 999.0 99.0 99.00
2007 01 01 05 00 333 10.9 13.1  3.43 13.79  7.79 310 1025.3  11.8  12.9 999.0 99.0 99.00
2007 01 01 06 00 337  9.5 11.9  3.32 13.79  7.60 309 1025.2  11.8  12.9 999.0 99.0 99.00
2007 01 01 07 00 337  9.9 12.1  3.22 13.79  7.55 304 1025.4  11.7  12.9 999.0 99.0 99.00
2007 01 01 08 00 339 10.0 12.1  3.24 12.90  7.44 289 1025.3  11.6  12.9 999.0 99.0 99.00
2007 01 01 09 00 344 10.0 11.7  3.54 12.90  8.04 299 1025.1  11.4  12.9 999.0 99.0 99.00
2007 01 01 10 00 342  9.9 12.5  3.38 12.90  7.72 307 1025.2  11.4  12.9 999.0 99.0 99.00
2007 01 01 11 00 348 10.3 12.6  3.36 12.90  7.90 307 1025.1  11.4  12.9 999.0 99.0 99.00
2007 01 01 12 00 350  9.8 11.7  3.46 12.90  7.77 316 1024.8  11.3  13.0 999.0 99.0 99.00
2007 01 01 13 00 340 10.8 13.3  3.32 12.12  7.23 310 1023.9  11.4  12.9 999.0 99.0 99.00
2007 01 01 14 00 347 11.4 13.6  3.44 12.12  7.38 317 1024.2  11.2  12.9 999.0 99.0 99.00
2007 01 01 15 00 350 10.7 13.4  3.17 12.12  6.63 307 1024.3  11.3  12.9 999.0 99.0 99.00
2007 01 01 16 00 349  9.8 12.1  3.36 10.81  6.89 309 1024.3  11.1  12.9 999.0 99.0 99.00
