#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2008 12 31 23 50 319 12.6 15.3  3.03 12.90  6.42 312 1018.8  12.7  12.6 999.0 99.0 99.00
2009 01 01 00 50 316 11.8 13.9  2.97 11.43  6.59 308 1018.9  12.4  12.6 999.0 99.0 99.00
2009 01 01 01 50 318 13.3 17.7 99.00 99.00 99.00 999 1019.1  11.7  12.6 999.0 99.0 99.00
2009 01 01 02 50 329 12.6 15.3 99.00 99.00 99.00 999 1019.8  11.3  12.5 999.0 99.0 99.00
2009 01 01 03 50 321 12.3 15.2 99.00 99.00 99.00 999 1019.9  11.3  12.6 999.0 99.0 99.00
2009 01 01 04 50 324 11.7 14.7  2.83 13.79  6.39 321 1020.2  11.5  12.6 999.0 99.0 99.00
2009 01 01 05 50 330 10.5 12.8  2.59  6.25  6.04 326 1020.2  11.6  12.6 999.0 99.0 99.00
2009 01 01 06 50 332 10.9 13.0  2.64  6.25  6.27 328 1020.4  11.6  12.6 999.0 99.0 99.00
2009 01 01 07 50 340 10.8 12.8 99.00 99.00 99.00 999 1020.2  11.3  12.6 999.0 99.0 99.00
2009 01 01 08 50 332  9.0 10.9  2.50  6.67  6.07 324 1019.9  12.0  12.6 999.0 99.0 99.00
2009 01 01 10 50 327 11.0 13.0  2.58  6.67  6.40 324 1019.7  11.8  12.6 999.0 99.0 99.00
2009 01 01 11 50 326 11.0 13.2  2.56 12.90  6.18 320 1019.6  11.7  12.6 999.0 99.0 99.00
2009 01 01 12 50 329  9.9 11.8  2.81  6.67  6.31 323 1019.3  11.6  12.6 999.0 99.0 99.00
2009 01 01 13 50 338  9.7 12.0  2.53  6.67  6.13 326 1019.5  11.3  12.6 999.0 99.0 99.00
2009 01 01 14 50 322  9.9 11.7  2.35 12.12  6.18 330 1019.3  11.3  12.6 999.0 99.0 99.00
2009 01 01 15 50 333  9.4 11.9  2.77 12.12  6.72 318 1019.5  11.3  12.6 999.0 99.0 99.00
2009 01 01 16 50 339 10.2 11.9  2.69 11.43  6.45 310 1019.5  11.0  12.6 999.0 99.0 99.00
2009 01 01 17 50 339  9.9 11.5  2.58  6.67  6.28 312 1020.3  10.8  12.6 999.0 99.0 99.00
2009 01 01 18 50 337 10.3 12.9 99.00 99.00 99.00 999 1020.6  11.0  12.6 999.0 99.0 99.00
2009 01 01 19 50 336  9.5 11.0  2.35 10.81  6.29 316 1019.7  11.2  12.5 999.0 99.0 99.00
2009 01 01 20 50 326  8.9 10.5  2.42 11.43  6.34 325 1018.8  11.1  12.6 999.0 99.0 99.00
2009 01 01 21 50 332  9.8 11.7  2.33 11.43  6.37 314 1017.7  11.0  12.6 999.0 99.0 99.00
2009 01 01 22 50 331  9.8 11.8  2.37 11.43  6.14 320 1017.6  11.3  12.6 999.0 99.0 99.00
2009 01 01 23 50 332  8.3  9.7  2.49 12.12  6.17 318 1017.5  12.0  12.6 999.0 99.0 99.00
