#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi    ft
2007 01 01 00 00 185  5.7  6.9  1.56  6.67  5.45 143 1017.6  26.5  26.9  24.5 99.0 99.00
2007 01 01 01 00 303  7.9 14.2  1.48  6.67  5.62 136 1018.4  24.5  27.0  23.2 99.0 99.00
2007 01 01 02 00 349  8.7 10.2  1.80  7.14  4.39 152 1018.8  24.0  27.1  20.8 99.0 99.00
2007 01 01 03 00 352  7.1  8.2  1.78  7.14  4.54 147 1018.8  24.6  27.1  20.5 99.0 99.00
2007 01 01 04 00  11  7.9  9.2  1.92  5.56  4.66 342 1018.8  24.6  27.1  19.8 99.0 99.00
2007 01 01 05 00  32  7.7  9.2  1.64  7.14  4.65 149 1018.2  24.6  27.1  20.5 99.0 99.00
2007 01 01 06 00  45  7.9  9.6  1.63  7.69  4.89 164 1017.6  24.5  27.1  21.2 99.0 99.00
2007 01 01 07 00  45  6.2  7.9  1.64  7.14  5.08 148 1017.6  24.4  27.1  21.1 99.0 99.00
2007 01 01 08 00  44  5.7  7.0  1.42  7.69  4.94 155 1017.6  24.0  27.1  21.5 99.0 99.00
2007 01 01 09 00  32  5.9  7.7  1.42  6.25  5.22 123 1017.0  24.2  27.0  21.3 99.0 99.00
2007 01 01 10 00  25  7.4  8.8 99.00 99.00 99.00 999 1016.3  24.3  27.1  21.0 99.0 99.00
2007 01 01 11 00  76  6.6  8.1  1.35  6.67  5.36 151 1016.2  24.6  27.1  21.2 99.0 99.00
2007 01 01 12 00  92 10.1 11.4  1.14  6.67  5.11 137 1015.8  25.0  27.2  21.5 99.0 99.00
2007 01 01 13 00  88  8.0  9.3  1.21  6.25  5.03 143 1016.9  25.1  27.2  20.9 99.0 99.00
2007 01 01 14 00  87  7.4  8.7  1.19  6.67  5.12 158 1017.7  24.9  27.3  21.6 99.0 99.00
2007 01 01 15 00  63  7.1  8.4  1.26  6.67  5.28 150 1018.1  24.9  27.3  22.1 99.0 99.00
2007 01 01 16 00 141  8.0 10.1  1.26  6.67  5.19 151 1018.7  25.2  27.3  24.1 99.0 99.00
2007 01 01 17 00 325  6.0  7.7  1.27  6.25  4.89 132 1019.6  21.8  27.2  20.7 99.0 99.00
2007 01 01 18 00 322  1.7  2.7  1.16  5.88  5.11 129 1019.6  21.6  26.9  21.5 99.0 99.00
2007 01 01 19 00  79  4.0  5.1  1.19  6.67  5.34 151 1017.7  21.9  26.6  21.9 99.0 99.00
2007 01 01 20 00 105  5.0  6.4  1.08  6.67  4.96 142 1015.7  23.2  26.7 999.0 99.0 99.00
2007 01 01 21 00  99  2.4  3.9  1.02  6.25  5.14 122 1016.1  23.9  26.8 999.0 99.0 99.00
2007 01 01 22 00 175  0.4  1.2  0.93  5.88  5.18 137 1016.8  25.1  27.0 999.0 99.0 99.00
2007 01 01 23 00 148  0.9  1.4  0.99  6.67  5.54 152 1017.5  24.4  27.0  19.7 99.0 99.00
2007 01 02 00 00  11  0.7  1.3  1.11  6.25  5.66 163 1017.8  24.5  26.9  19.6 99.0 99.00
2007 01 02 01 00   9  3.5  6.8  1.26  5.56  5.45 322 1018.2  24.6  26.9  20.3 99.0 99.00
2007 01 02 02 00  14  8.9 10.3  1.64  5.56  4.84 323 1018.7  23.4  26.8  21.8 99.0 99.00
2007 01 02 03 00  22  9.5 10.6  1.54  5.88  4.62 325 1019.0  23.1  26.8  20.7 99.0 99.00
2007 01 02 04 00  17  9.6 11.5  1.68  5.26  4.65 348 1019.5  23.0  27.0  20.5 99.0 99.00
2007 01 02 05 00  23  9.8 11.7  1.63  5.56  4.66 356 1019.1  23.0  26.9  20.9 99.0 99.00
2007 01 02 06 00  39  8.5 10.4  1.57  5.88  4.66   9 1018.7  23.1  27.1  21.2 99.0 99.00
2007 01 02 07 00  30  9.4 10.6  1.54  5.88  4.70   9 1018.3  23.0  27.2  21.7 99.0 99.00
2007 01 02 08 00  43  8.2 10.5  1.53  5.56  4.87  10 1018.8  23.3  27.2  21.5 99.0 99.00
2007 01 02 09 00  34  9.6 10.7  1.55  5.26  4.88  21 1018.4  23.1  27.2  21.7 99.0 99.00
2007 01 02 10 00  48  9.3 10.8  1.46  5.56  4.81  30 1017.8  23.6  27.2  21.9 99.0 99.00
2007 01 02 11 00  47  7.7  9.4  1.42  5.56  4.80  43 1018.5  23.6  27.2  22.6 99.0 99.00
2007 01 02 12 00  39  9.3 10.7  1.49  5.88  4.84  29 1018.7  23.4  27.2  22.4 99.0 99.00
2007 01 02 13 00  44  9.3 11.1  1.57  5.88  4.89  46 1019.2  23.3  27.2  22.9 99.0 99.00
2007 01 02 14 00  44  9.3 11.2  1.63  5.56  4.90  56 1020.1  23.4  27.1  22.8 99.0 99.00
2007 01 02 15 00  51  9.6 11.1  1.49  5.56  4.72  40 1020.9  23.5  27.1  22.6 99.0 99.00
2007 01 02 16 00  63  8.7 10.3  1.53  5.26  4.86  40 1021.2  23.4  27.0  22.0 99.0 99.00
2007 01 02 17 00  42  7.3  8.6  1.54  5.56  4.95  67 1021.3  23.5  27.2  22.6 99.0 99.00
2007 01 02 18 00  47  7.5  8.6  1.42  5.56  4.97  81 1020.4  23.3  27.3  22.9 99.0 99.00
2007 01 02 19 00  51  7.6  9.3  1.38  5.26  4.89  46 1019.3  23.7  27.3  22.1 99.0 99.00
2007 01 02 20 00  55  7.7  9.1  1.23  5.26  4.81  59 1018.6  23.8  27.3  22.0 99.0 99.00
2007 01 02 21 00  57  8.5 10.6  1.28  5.26  4.69  64 1018.6  23.8  27.4  22.3 99.0 99.00
2007 01 02 22 00  40  8.3  9.6  1.34  5.88  4.82 109 1019.7  23.8  27.4  22.8 99.0 99.00
2007 01 02 23 00  58  7.3  8.6  1.27  5.26  4.80  73 1020.1  24.1  27.3  21.7 99.0 99.00
