YYYY	MM	DD	hh	mm	WD	WSPD	GST	WVHT	DPD	APD	MWD	BAR	ATMP	WTMP	DEWP	VIS	TIDE
2003	11	10	23	99	22	9.3	11.5	99	99	99	81	9999	999	999	999	99	99
2003	11	11	0	99	29	9.1	11.4	2.14	9.09	5.72	94	9999	999	999	999	99	99
2003	11	11	1	99	26	9.3	11.9	2.13	9.09	5.69	81	9999	999	999	999	99	99
2003	11	11	2	99	34	10	12.1	2.13	9.09	5.68	92	9999	999	999	999	99	99
2003	11	11	3	99	42	9.1	11.5	2.14	10	5.52	90	9999	999	999	999	99	99
2003	11	11	4	99	44	8.8	12.4	1.98	9.09	5.65	95	9999	999	999	999	99	99
2003	11	11	5	99	72	5	6.8	1.98	9.09	5.66	93	9999	999	999	999	99	99
2003	11	11	6	99	122	5	8.3	1.85	9.09	5.72	100	9999	999	999	999	99	99
2003	11	11	7	99	107	3.8	5.5	1.78	9.09	5.88	102	9999	999	999	999	99	99
2003	11	11	8	99	53	3	4.9	1.74	8.33	5.65	88	9999	999	999	999	99	99
2003	11	11	9	99	29	2.9	4.5	1.6	8.33	5.65	85	9999	999	999	999	99	99
2003	11	11	10	99	148	3.7	4.9	1.73	9.09	5.85	101	9999	999	999	999	99	99
2003	11	11	11	99	149	1.6	2.7	1.77	9.09	5.89	103	9999	999	999	999	99	99
2003	11	11	12	99	274	1.1	5.6	1.68	8.33	5.76	103	9999	999	999	999	99	99
2003	11	11	13	99	133	5.3	6.6	1.61	8.33	5.92	107	9999	999	999	999	99	99
2003	11	11	14	99	111	6.1	7.5	1.56	9.09	5.83	102	9999	999	999	999	99	99
2003	11	11	15	99	131	3.5	4.7	1.55	9.09	5.74	110	1025.3	21.9	25.3	15.5	99	99
2003	11	11	16	99	139	3.2	4.2	1.39	9.09	5.77	101	1025.1	22.1	25.3	14.6	99	99
2003	11	11	17	99	178	2.9	4.9	1.35	9.09	5.97	109	1024.1	22.6	25.3	14.6	99	99
2003	11	11	18	99	190	2.9	4.1	1.29	9.09	5.82	106	1023.4	22.7	25.4	14.6	99	99
2003	11	11	19	99	157	1.3	2.5	1.3	9.09	5.74	107	1022.7	22.7	25.4	14.3	99	99
2003	11	11	20	99	180	1.6	2.4	1.28	9.09	5.61	105	1022.6	22.9	25.4	14.6	99	99
2003	11	11	21	99	337	1.8	2.5	1.3	9.09	5.86	100	1022.4	22.2	25.4	17	99	99
2003	11	11	22	99	270	0.7	1.7	1.23	9.09	5.89	92	1022.4	22.2	25.4	16.2	99	99
2003	11	11	23	99	320	0.9	1.9	1.22	8.33	5.81	92	1022.3	21.9	25.6	17.4	99	99
2003	11	12	0	99	195	3.2	4.4	1.22	9.09	6.09	101	1022.6	22.4	25.4	15.9	99	99
2003	11	12	1	99	187	5.5	6.8	1.23	9.09	6.43	111	1022.2	22.9	25.4	16.9	99	99
2003	11	12	2	99	204	5	6.1	1.19	8.33	6.08	115	1022.4	23.4	25.4	15.5	99	99
2003	11	12	3	99	184	5.7	7.1	1.25	9.09	6.17	117	1022.2	23.5	25.4	15.4	99	99
2003	11	12	4	99	200	5.8	7.2	1.16	9.09	5.79	112	1022.2	23.5	25.4	15.1	99	99
2003	11	12	5	99	198	5.8	7.1	1.11	9.09	5.9	111	1021.9	23.7	25.4	15.5	99	99
2003	11	12	6	99	197	6.4	7.8	1.09	9.09	5.7	113	1021.1	23.8	25.3	15.4	99	99
2003	11	12	7	99	199	7.3	8.9	1.09	8.33	5.48	103	1020.5	24.1	25.3	16.6	99	99
2003	11	12	8	99	206	6.9	8.2	1.09	8.33	5.04	102	1020.4	24.2	25.3	16.5	99	99
2003	11	12	9	99	195	7.5	9.3	1.07	9.09	4.7	99	1019.5	24.2	25.3	16.4	99	99
2003	11	12	10	99	191	8.2	9.7	1.13	8.33	4.96	105	1019.4	24.1	25.3	17.5	99	99
2003	11	12	11	99	223	8.3	10.2	1.21	9.09	4.63	116	1019.2	24.3	25.4	17.2	99	99
2003	11	12	12	99	225	8.7	10.3	1.25	9.09	4.81	119	1019.4	24.3	25.4	17.3	99	99
2003	11	12	13	99	270	7.4	9.3	1.23	4.35	4.66	183	1020.4	22.7	25.4	19.6	99	99
2003	11	12	14	99	257	8.6	10.2	1.25	8.33	4.68	103	1020.4	23	25.4	17.7	99	99
2003	11	12	15	99	268	9.2	10.6	1.26	10	4.62	124	1020.7	22.9	25.4	14.3	99	99
2003	11	12	16	99	264	9	11.1	1.29	10	4.39	124	1020.2	22.7	25.4	13.7	99	99
2003	11	12	17	99	254	8.4	10.1	1.27	4	4.44	250	1019	22.7	25.4	15.7	99	99
2003	11	12	18	99	247	8	9.6	1.29	9.09	4.82	112	1018	23	25.4	14.9	99	99
2003	11	12	19	99	242	8.8	10.7	1.29	9.09	4.73	128	1017.2	23.4	25.4	15.8	99	99
2003	11	12	20	99	238	8.6	10.2	1.3	4.55	4.54	240	1016.5	23.7	25.4	14	99	99
