#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2008 12 31 23 50 999 15.0 18.7  2.35  5.26  4.91 332 1016.2  12.2  17.7 999.0 99.0 99.00
2009 01 01 00 50 999 12.8 17.9  2.19  5.88  5.07 347 1018.0  11.1  17.4 999.0 99.0 99.00
2009 01 01 01 50 999 12.8 15.8  2.36  6.25  5.10 355 1019.4   9.9  17.2 999.0 99.0 99.00
2009 01 01 02 50 999 14.7 18.1  2.43  5.88  5.18 348 1020.3   8.7  17.1 999.0 99.0 99.00
2009 01 01 03 50 999 14.9 18.4  2.42  6.25  5.11  11 1021.0   8.1  17.0 999.0 99.0 99.00
2009 01 01 04 50 999 14.8 18.0  2.70  6.25  5.25   6 1021.2   7.2  17.0 999.0 99.0 99.00
2009 01 01 05 50 999 13.7 17.0  2.38  5.88  4.91 359 1021.8   6.2  16.9 999.0 99.0 99.00
2009 01 01 06 50 999 13.6 16.9  2.27  5.56  4.93 349 1022.3   5.5  16.9 999.0 99.0 99.00
2009 01 01 07 50 999 13.0 15.6  2.17  5.88  4.84  16 1023.5   4.9  17.0 999.0 99.0 99.00
2009 01 01 08 50 999 12.3 15.1  2.26  5.88  5.09  20 1023.7   4.5  17.0 999.0 99.0 99.00
2009 01 01 09 50 999 12.1 15.6  2.13  6.25  4.91  32 1024.2   4.2  17.0 999.0 99.0 99.00
2009 01 01 10 50 999 11.1 14.0  2.16  6.25  5.11  20 1025.2   4.0  17.0 999.0 99.0 99.00
2009 01 01 11 50 999 11.0 14.3  1.95  6.25  4.91  25 1026.0   3.9  17.1 999.0 99.0 99.00
2009 01 01 12 50 999 11.3 14.3  1.86  6.25  4.97  24 1026.9   4.0  17.0 999.0 99.0 99.00
2009 01 01 13 50 999 12.0 15.1  1.89  6.67  5.03  33 1027.3   4.3  17.0 999.0 99.0 99.00
2009 01 01 14 50 999 11.1 13.2  1.91  6.67  4.94  35 1027.3   4.5  17.0 999.0 99.0 99.00
2009 01 01 15 50 999 10.5 13.1  2.00  6.25  4.95  33 1027.4   5.2  17.0 999.0 99.0 99.00
2009 01 01 16 50 999  7.6 10.6  1.83  6.67  4.93  36 1027.5   5.3  17.1 999.0 99.0 99.00
2009 01 01 17 50 999  5.9  8.7  1.65  6.67  4.93  42 1027.2   5.5  17.0 999.0 99.0 99.00
2009 01 01 18 50 999  6.0  8.6  1.54  6.25  4.95  43 1026.5   6.1  16.9 999.0 99.0 99.00
2009 01 01 19 50 999  5.6  7.7  1.41  6.25  4.94  44 1026.8   6.1  16.8 999.0 99.0 99.00
2009 01 01 20 50 999  4.6  6.7  1.25  5.88  4.86  49 1027.3   6.2  16.6 999.0 99.0 99.00
2009 01 01 21 50 999  5.3  7.4  1.18  6.25  4.89  59 1027.5   6.2  16.3 999.0 99.0 99.00
2009 01 01 22 50 999  4.0  6.2  1.09  5.56  4.97  52 1027.4   6.5  16.2 999.0 99.0 99.00
2009 01 01 23 50 999  3.4  5.4  1.09  5.56  5.11  59 1027.6   7.0  16.0 999.0 99.0 99.00
2009 01 02 00 50 999  4.1  5.7  1.03  5.88  5.10  58 1027.0   7.4  15.9 999.0 99.0 99.00
2009 01 02 01 50 999  4.3  6.4  1.01 12.12  5.31  83 1026.5   7.7  15.9 999.0 99.0 99.00
2009 01 02 02 50 999  5.0  6.6  1.03 11.43  5.64  77 1025.7   8.2  15.9 999.0 99.0 99.00
2009 01 02 03 50 999  3.9  6.2  1.04 12.12  5.91  84 1025.3   8.7  16.0 999.0 99.0 99.00
2009 01 02 04 50 999  4.3  6.2  1.07 10.81  5.97  78 1024.5   9.5  16.0 999.0 99.0 99.00
2009 01 02 05 50 999  2.8  4.1  1.06 10.00  5.92  82 1023.6  10.2  16.0 999.0 99.0 99.00
2009 01 02 06 50 999  4.1  6.0  1.03 12.12  6.39  85 1022.8  11.3  16.0 999.0 99.0 99.00
2009 01 02 07 50 999  4.1  6.3  1.05 11.43  6.55  81 1022.3  11.9  15.9 999.0 99.0 99.00
2009 01 02 08 50 999  4.1  5.8  1.06 11.43  6.49  81 1022.1  12.4  15.9 999.0 99.0 99.00
2009 01 02 09 50 999  3.8  5.6  1.10 10.81  6.47  81 1021.5  13.0  15.8 999.0 99.0 99.00
2009 01 02 10 50 999  4.2  5.4  1.05 10.81  6.23  86 1021.5  13.9  15.8 999.0 99.0 99.00
2009 01 02 11 50 999  5.3  6.4  1.00 10.81  6.25  75 1021.1  14.6  15.8 999.0 99.0 99.00
2009 01 02 12 50 999  6.8  9.0  0.90 10.81  4.94  75 1020.9  15.6  15.9 999.0 99.0 99.00
2009 01 02 13 50 999  6.6  8.0  0.97 10.81  4.77  91 1021.1  16.3  16.1 999.0 99.0 99.00
2009 01 02 14 50 999  8.4 10.2  1.01 10.81  4.42  92 1020.6  17.0  16.2 999.0 99.0 99.00
2009 01 02 15 50 999  9.0 10.6  1.05 10.81  4.23  79 1019.7  17.2  16.4 999.0 99.0 99.00
2009 01 02 16 50 999  9.3 11.1  1.24  4.35  4.31 192 1018.6  17.6  16.6 999.0 99.0 99.00
