#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2009 12 31 23 50 333  4.3  5.0  1.20  6.25  4.72 999 1018.4  19.7  20.9  18.6 99.0 99.00
2010 01 01 00 50 312  4.4  5.2  1.02  6.25  4.47 999 1019.0  19.8  20.9  18.5 99.0 99.00
2010 01 01 01 50 329  2.2  3.3  1.00  5.88  4.48 999 1019.3  19.8  20.9  18.4 99.0 99.00
2010 01 01 02 50 325  1.6  2.2  1.03  5.56  4.58 999 1019.2  20.0  20.9  18.3 99.0 99.00
2010 01 01 03 50 343  4.7  5.7  0.99  5.56  4.60 999 1019.1  19.9  20.9  18.3 99.0 99.00
2010 01 01 04 50   3  3.2  3.9  0.92  6.25  4.57 999 1019.2  19.6  20.9  17.4 99.0 99.00
2010 01 01 05 50  32  3.8  4.7  0.90  5.88  4.60 999 1018.5  19.7  20.9  14.4 99.0 99.00
2010 01 01 06 50  38  4.9  5.6  0.85  5.56  4.40 999 1018.2  19.0  20.9  16.3 99.0 99.00
2010 01 01 07 50  45  7.0  8.5  0.83  5.56  4.07 999 1016.7  18.3  20.9  15.8 99.0 99.00
2010 01 01 08 50  49  6.9  8.0  0.89  5.56  4.00 999 1016.0  18.3  20.9  16.2 99.0 99.00
2010 01 01 09 50  64  6.2  7.4  0.87  5.88  3.98 999 1015.6  18.4  20.8  16.2 99.0 99.00
2010 01 01 10 50  41  6.8  8.3  0.87  3.85  3.83 999 1015.8  18.0  20.8  15.7 99.0 99.00
2010 01 01 11 50   2 11.6 14.0  0.89  4.00  3.70 999 1017.2  16.2  20.8  14.2 99.0 99.00
2010 01 01 12 50   6 11.7 13.6  1.48  5.00  4.07 999 1018.1  15.9  20.8  11.0 99.0 99.00
2010 01 01 13 50  29 11.3 13.6  1.67  5.00  4.28 999 1018.5  14.7  20.8  12.2 99.0 99.00
2010 01 01 14 50  14 10.8 12.6  1.79  5.88  4.52 999 1019.7  15.3  20.8  11.2 99.0 99.00
2010 01 01 15 50 359 11.6 14.3  1.89  6.25  4.73 999 1021.1  15.5  20.8  11.8 99.0 99.00
2010 01 01 16 50 357 11.9 14.2  1.99  5.88  4.91 999 1021.3  15.1  20.7  10.7 99.0 99.00
2010 01 01 17 50 355 10.7 12.7  1.85  6.67  4.79 999 1020.8  14.5  20.7  10.2 99.0 99.00
2010 01 01 18 50 353 10.5 13.4  1.85  6.25  4.79 999 1019.2  14.2  20.7  10.5 99.0 99.00
2010 01 01 19 50 342 10.2 12.5  1.79  6.25  4.76 999 1019.1  14.2  20.7  10.3 99.0 99.00
2010 01 01 20 50 341 10.8 13.1  1.91  6.25  4.86 999 1020.0  13.8  20.7   9.6 99.0 99.00
2010 01 01 21 50 344 10.8 14.2  1.93  6.67  4.96 999 1020.6  13.6  20.7   9.2 99.0 99.00
