YYYY MM DD hh mm  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2005 01 01 00 00 315  3.0  3.8  2.15 10.81  6.73 290 1014.7  14.2  15.6 999.0 99.0 99.00
2005 01 01 01 00   1  1.5  2.2  2.24 11.43  6.72 276 1014.7  14.3  15.6 999.0 99.0 99.00
2005 01 01 02 00 322  5.5  6.7  2.15 11.43  6.82 278 1015.0  14.5  15.5 999.0 99.0 99.00
2005 01 01 03 00 302  5.3  6.6  2.15 11.43  6.97 282 1015.7  14.3  15.5 999.0 99.0 99.00
2005 01 01 04 00 305  5.2  6.4  1.97 12.90  6.52 283 1016.1  14.1  15.5 999.0 99.0 99.00
2005 01 01 05 00 295  4.9  6.4  1.83 11.43  6.70 281 1016.3  14.0  15.6 999.0 99.0 99.00
2005 01 01 06 00 291  4.1  5.1  1.87 12.12  6.90 280 1016.8  14.0  15.6 999.0 99.0 99.00
2005 01 01 07 00 280  4.7  6.0  2.08 11.43  7.40 284 1016.8  14.0  15.6 999.0 99.0 99.00
2005 01 01 08 00 319  4.2  5.6  1.98 11.43  7.23 289 1016.7  14.1  15.6 999.0 99.0 99.00
2005 01 01 09 00 296  4.5  5.6  1.88 11.43  7.20 288 1016.6  14.0  15.6 999.0 99.0 99.00
2005 01 01 10 00 340  4.3  6.2  1.88 12.12  7.24 283 1016.9  13.8  15.5 999.0 99.0 99.00
2005 01 01 11 00   4  2.1  2.7  1.93 11.43  7.31 280 1017.0  13.8  15.5 999.0 99.0 99.00
2005 01 01 12 00  24  1.5  2.1  1.92 14.81  7.46 282 1017.0  13.7  15.6 999.0 99.0 99.00
2005 01 01 13 00 347  1.8  2.8  1.74 12.12  7.38 278 1016.9  13.7  15.6 999.0 99.0 99.00
2005 01 01 14 00 330  2.8  3.9  1.87 13.79  7.46 277 1017.5  13.9  15.7 999.0 99.0 99.00
2005 01 01 15 00 346  1.9  2.7  1.68 13.79  7.19 271 1018.2  14.0  15.8 999.0 99.0 99.00
