#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2010 12 31 23 50 345  2.1  3.3  1.77 10.81  6.13 290 1017.9  12.4  14.4 999.0 99.0 99.00
2011 01 01 00 50 348  2.3  3.2  1.73 11.43  6.33 286 1018.4  12.0  14.4 999.0 99.0 99.00
2011 01 01 01 50 342  1.8  2.8  1.59  5.88  5.88 284 1018.7  12.0  14.4 999.0 99.0 99.00
2011 01 01 02 50   7  0.8  1.4  1.49  8.33  6.08 291 1019.2  11.9  14.3 999.0 99.0 99.00
2011 01 01 03 50  12  1.6  3.0  1.36 10.81  6.16 294 1019.6  12.0  14.3 999.0 99.0 99.00
2011 01 01 04 50  20  1.5  2.0  1.30 10.81  6.22 294 1020.1  12.1  14.3 999.0 99.0 99.00
2011 01 01 05 50  64  2.1  2.8  1.27 10.81  6.25 293 1020.5  12.2  14.2 999.0 99.0 99.00
2011 01 01 06 50  90  2.4  3.4  1.27 10.81  6.18 302 1020.9  12.2  14.2 999.0 99.0 99.00
2011 01 01 07 50  90  3.2  4.5  1.29 10.81  6.44 303 1020.9  12.3  14.2 999.0 99.0 99.00
2011 01 01 08 50  72  3.4  4.6  1.18 10.81  6.21 294 1021.2  12.2  14.2 999.0 99.0 99.00
2011 01 01 09 50  81  5.1  6.4  1.26  9.09  6.44 288 1021.5  12.2  14.1 999.0 99.0 99.00
2011 01 01 10 50  79  7.5  8.9  1.13 12.12  5.75 273 1021.2  12.1  14.1 999.0 99.0 99.00
2011 01 01 11 50  77  6.2  7.6  1.27 10.00  5.37 280 1021.0  11.9  14.1 999.0 99.0 99.00
2011 01 01 12 50  78  4.3  5.8  1.11 11.43  5.42 288 1021.2  12.0  14.1 999.0 99.0 99.00
2011 01 01 13 50  74  3.5  4.4  1.09 10.81  5.48 291 1021.8  12.3  14.1 999.0 99.0 99.00
2011 01 01 14 50  89  4.5  5.4  1.04 12.90  5.52 254 1022.3  12.3  14.0 999.0 99.0 99.00
2011 01 01 15 50 111  4.4  5.6  1.06 10.00  5.44 278 1023.0  12.4  14.1 999.0 99.0 99.00
2011 01 01 16 50 100  4.0  4.7  1.10 10.00  5.81 281 1024.1  12.7  14.1 999.0 99.0 99.00
2011 01 01 17 50 146  2.8  4.0  1.00 12.90  5.47 260 1024.8  13.1  14.2 999.0 99.0 99.00
2011 01 01 18 50 155  2.0  2.8  1.05 12.90  5.67 261 1025.1  13.2  14.3 999.0 99.0 99.00
2011 01 01 19 50 139  1.6  2.7  1.04 12.90  5.76 263 1024.3  13.3  14.5 999.0 99.0 99.00
2011 01 01 20 50 102  2.6  3.5  1.10 10.81  6.42 270 1023.7  13.1  14.7 999.0 99.0 99.00
2011 01 01 21 50 121  2.2  3.4  1.03 10.81  5.98 277 1023.4  13.2  14.7 999.0 99.0 99.00
2011 01 01 22 50  59  1.1  1.7  0.99 12.12  5.94 258 1023.5  13.5  14.8 999.0 99.0 99.00
2011 01 01 23 50  84  1.0  2.2  0.90 12.12  5.81 265 1023.3  13.7  14.8 999.0 99.0 99.00
2011 01 02 00 50 132  2.6  3.5  0.89 11.43  6.09 278 1023.1  13.0  14.7 999.0 99.0 99.00
2011 01 02 01 50 178  2.0  3.3  0.85 12.12  6.30 258 1023.4  12.9  14.6 999.0 99.0 99.00
2011 01 02 02 50 179  1.9  2.5  0.85 11.43  6.12 283 1023.7  12.9  14.5 999.0 99.0 99.00
2011 01 02 03 50 185  2.1  2.9  0.83 12.12  6.49 262 1023.8  12.9  14.5 999.0 99.0 99.00
2011 01 02 04 50 194  2.3  3.1  0.77 11.43  6.44 276 1024.0  12.9  14.4 999.0 99.0 99.00
2011 01 02 05 50 186  2.5  3.2  0.73 12.90  6.39 270 1024.2  12.9  14.4 999.0 99.0 99.00
2011 01 02 06 50 165  2.5  3.5  0.71 11.43  6.51 277 1023.9  12.8  14.3 999.0 99.0 99.00
2011 01 02 07 50 152  3.2  4.2  0.71 12.90  6.62 265 1023.2  12.7  14.3 999.0 99.0 99.00
2011 01 02 08 50 148  2.9  3.7  0.68 11.43  6.77 260 1022.5  12.7  14.3 999.0 99.0 99.00
2011 01 02 09 50 121  3.1  4.1  0.64 11.43  7.15 268 1021.9  12.7  14.3 999.0 99.0 99.00
2011 01 02 10 50 148  3.2  4.4  0.65 12.12  6.99 261 1022.0  12.8  14.2 999.0 99.0 99.00
2011 01 02 11 50 136  3.1  4.1  0.71 12.12  7.68 255 1021.2  12.7  14.2 999.0 99.0 99.00
2011 01 02 12 50 129  3.8  4.4  0.63 11.43  7.60 268 1020.5  12.6  14.2 999.0 99.0 99.00
2011 01 02 13 50 145  3.2  3.8  0.60 12.12  7.60 237 1020.7  12.5  14.2 999.0 99.0 99.00
2011 01 02 14 50 174  2.5  3.5  0.64 19.05  7.62 270 1021.0  12.6  14.2 999.0 99.0 99.00
2011 01 02 15 50 171  3.9  4.5  0.67 17.39  6.94 274 1020.8  12.9  14.1 999.0 99.0 99.00
2011 01 02 16 50 178  4.3  5.2  0.80 19.05  7.64 265 1021.1  13.0  14.1 999.0 99.0 99.00
2011 01 02 17 50 161  4.6  5.7  0.77 17.39  7.08 281 1021.2  13.1  14.2 999.0 99.0 99.00
