#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2008 01 01 00 00 318  1.8  2.9  3.13 17.39  9.71 311 1019.5  13.6  12.6 999.0 99.0 99.00
2008 01 01 01 00 355  1.7  2.5  3.24 17.39 10.23 303 1019.7  13.4  12.6 999.0 99.0 99.00
2008 01 01 02 00  19  2.5  3.3  3.25 12.90 10.51 307 1020.0  13.6  12.5 999.0 99.0 99.00
2008 01 01 03 00  34  2.3  3.4  3.55 12.90 10.81 302 1020.5  13.3  12.4 999.0 99.0 99.00
2008 01 01 04 00  57  3.5  4.7  3.13 12.90 10.73 306 1021.1  13.0  12.3 999.0 99.0 99.00
2008 01 01 05 00  55  3.9  5.0  2.86 12.90 10.16 303 1021.7  12.6  12.3 999.0 99.0 99.00
2008 01 01 06 00  74  3.3  4.2  2.80 16.00 10.26 308 1022.2  12.3  12.3 999.0 99.0 99.00
2008 01 01 07 00  24  2.0  2.7  2.86 14.81 10.04 308 1022.3  12.3  12.3 999.0 99.0 99.00
2008 01 01 08 00 146  1.7  2.8  2.87 14.81 10.38 309 1022.1  11.7  12.3 999.0 99.0 99.00
2008 01 01 09 00  90  1.5  2.5  2.53 14.81 10.11 312 1021.9  11.7  12.3 999.0 99.0 99.00
2008 01 01 10 00 125  2.8  3.8  2.36 16.00  9.83 311 1021.8  11.4  12.3 999.0 99.0 99.00
2008 01 01 11 00 116  3.4  4.6  2.38 16.00 10.16 314 1021.8  11.9  12.2 999.0 99.0 99.00
2008 01 01 12 00  89  3.0  4.2  2.36 14.81  9.90 311 1021.5  11.4  12.2 999.0 99.0 99.00
2008 01 01 13 00  37  2.1  2.7  2.09 14.81  9.42 309 1021.5  11.4  12.2 999.0 99.0 99.00
2008 01 01 14 00   6  1.7  2.5  2.16 14.81  9.32 302 1021.6  11.8  12.2 999.0 99.0 99.00
2008 01 01 15 00 280  1.1  1.7  2.12 14.81  9.80 313 1022.0  11.6  12.2 999.0 99.0 99.00
2008 01 01 16 00 222  0.8  1.5  2.13 14.81  9.90 320 1022.3  11.8  12.2 999.0 99.0 99.00
2008 01 01 17 00 103  1.7  2.5  2.10 13.79  9.86 315 1023.1  11.8  12.3 999.0 99.0 99.00
2008 01 01 18 00 109  2.6  3.4  1.98 14.81 10.08 313 1023.5  11.5  12.3 999.0 99.0 99.00
2008 01 01 19 00 124  2.7  3.6  1.88 13.79  9.57 318 1023.0  11.6  12.4 999.0 99.0 99.00
2008 01 01 20 00  79  1.5  2.0  1.94 13.79  9.88 312 1021.7  12.0  12.6 999.0 99.0 99.00
2008 01 01 21 00 252  0.5  1.1  1.79 12.90  9.50 321 1020.8  13.0  12.8 999.0 99.0 99.00
2008 01 01 22 00 251  1.7  2.6  1.54 12.12  9.08 315 1020.2  13.0  13.1 999.0 99.0 99.00
2008 01 01 23 00 281  2.3  4.0  1.54 12.12  9.06 319 1020.2  13.2  13.2 999.0 99.0 99.00
2008 01 02 00 00 318  2.0  3.0  1.53 12.90  9.02 307 1020.0  12.8  13.1 999.0 99.0 99.00
2008 01 02 01 00   7  2.8  3.3  1.67 10.81  9.06 316 1019.9  12.8  12.9 999.0 99.0 99.00
2008 01 02 02 00 303  1.9  2.6  1.38 10.81  8.72 309 1019.9  12.5  12.8 999.0 99.0 99.00
2008 01 02 03 00  20  2.1  2.8  1.31 11.43  8.33 308 1019.9  12.4  12.8 999.0 99.0 99.00
2008 01 02 04 00 359  0.8  1.1  1.27 12.90  8.31 279 1020.2  12.3  12.7 999.0 99.0 99.00
2008 01 02 05 00 289  2.2  2.9  1.27 10.81  8.04 320 1020.1  12.1  12.5 999.0 99.0 99.00
2008 01 02 06 00 299  1.9  2.9  1.13 12.90  7.89 300 1020.7  12.4  12.5 999.0 99.0 99.00
2008 01 02 07 00  33  0.3  0.8  1.01 12.90  7.90 269 1020.4  12.1  12.4 999.0 99.0 99.00
2008 01 02 08 00  95  2.9  3.4  1.01 12.12  7.73 290 1020.1  11.7  12.4 999.0 99.0 99.00
2008 01 02 09 00 106  2.5  3.0  0.91 12.12  7.87 279 1019.9  11.7  12.4 999.0 99.0 99.00
2008 01 02 10 00 117  2.5  3.1  0.86 12.90  7.61 234 1019.8  11.0  12.3 999.0 99.0 99.00
2008 01 02 11 00 107  2.3  2.7  0.74 12.90  7.28 243 1019.7  11.0  12.3 999.0 99.0 99.00
2008 01 02 12 00 104  1.8  2.5  0.76 12.90  7.53 231 1019.4  10.8  12.3 999.0 99.0 99.00
2008 01 02 13 00 180  0.1  0.6  0.72 12.12  7.38 266 1019.2  10.5  12.2 999.0 99.0 99.00
2008 01 02 14 00 131  0.9  1.3  0.74 12.12  7.68 277 1019.6  10.5  12.2 999.0 99.0 99.00
2008 01 02 15 00 134  0.4  1.2  0.74 12.90  7.93 227 1019.7  10.8  12.2 999.0 99.0 99.00
2008 01 02 16 00 104  1.1  1.4  0.72 12.90  7.60 236 1020.1  11.0  12.2 999.0 99.0 99.00
2008 01 02 17 00  95  1.9  3.2  0.73 19.05  7.97 306 1020.2  11.2  12.2 999.0 99.0 99.00
2008 01 02 18 00  90  2.3  2.9  0.74 17.39  8.43 304 1020.3  11.0  12.3 999.0 99.0 99.00
2008 01 02 19 00 114  0.9  1.3  0.70 17.39  8.14 310 1020.1  12.1  12.5 999.0 99.0 99.00
2008 01 02 20 00 195  1.3  1.7  0.75 17.39  8.72 308 1019.3  12.2  12.7 999.0 99.0 99.00
2008 01 02 21 00 124  0.2  0.6  0.81 17.39  9.51 308 1018.3  13.3  12.7 999.0 99.0 99.00
2008 01 02 22 00 201  3.0  4.6  0.73 17.39  8.98 307 1017.8  13.5  12.9 999.0 99.0 99.00
2008 01 02 23 00 254  5.3  6.2  0.84 16.00  6.67 315 1017.1  12.9  12.8 999.0 99.0 99.00
