YYYY MM DD hh mm  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2005 01 01 00 00 321  5.8  8.0 99.00 99.00 99.00 999 1014.7  13.5  14.3 999.0 99.0 99.00
2005 01 01 01 00 318  5.8  7.3 99.00 99.00 99.00 999 1014.9  13.3  14.3 999.0 99.0 99.00
2005 01 01 02 00 311  5.1  6.7  2.71 14.81  8.20 999 1015.4  13.2  14.3 999.0 99.0 99.00
2005 01 01 03 00 312  4.1  6.7  3.15 14.81  8.80 999 1015.8  13.2  14.3 999.0 99.0 99.00
2005 01 01 04 00 292  5.5  6.9  3.09 14.81  8.88 999 1016.0  13.3  14.3 999.0 99.0 99.00
2005 01 01 05 00 303  3.8  5.6  2.95 12.90  8.75 999 1016.4  13.2  14.2 999.0 99.0 99.00
2005 01 01 06 00 293  2.8  4.0  2.97 14.81  8.59 999 1016.7  13.2  14.2 999.0 99.0 99.00
2005 01 01 07 00 296  4.8  6.4 99.00 99.00 99.00 999 1016.9  13.3  14.2 999.0 99.0 99.00
2005 01 01 08 00 292  4.4  5.9  2.90 13.79  8.29 999 1016.9  13.4  14.2 999.0 99.0 99.00
2005 01 01 09 00 301  5.0  6.2 99.00 99.00 99.00 999 1016.6  13.4 999.0 999.0 99.0 99.00
2005 01 01 10 00 321  4.1  5.6 99.00 99.00 99.00 999 1016.6  13.3  14.2 999.0 99.0 99.00
2005 01 01 11 00 311  3.3  4.6  3.22 12.12  8.69 999 1016.6  13.2  14.2 999.0 99.0 99.00
2005 01 01 12 00 317  2.6  3.8 99.00 99.00 99.00 999 1016.7  13.2  14.3 999.0 99.0 99.00
2005 01 01 13 00 230  4.6  5.5  2.74 11.43  8.13 999 1016.6  12.3  14.3 999.0 99.0 99.00
2005 01 01 14 00 214  4.0  4.9  2.60 13.79  8.01 999 1017.2  11.9  14.3 999.0 99.0 99.00
2005 01 01 15 00 217  4.1  4.8  2.65 11.43  8.20 999 1017.5  11.9  14.3 999.0 99.0 99.00
2005 01 01 16 00 177  4.1  5.4  2.59 12.12  8.26 999 1018.3  12.0  14.3 999.0 99.0 99.00
2005 01 01 17 00 234  3.3  4.5  2.68 13.79  8.83 999 1019.1  10.7  14.3 999.0 99.0 99.00
2005 01 01 18 00 293  3.3  5.1  2.44 13.79  8.58 999 1019.7  11.7  14.3 999.0 99.0 99.00
2005 01 01 19 00 129  2.8  3.8  2.10 12.90  8.29 999 1019.5  11.7  14.3 999.0 99.0 99.00
2005 01 01 20 00 124  1.9  2.7  2.40 13.79  9.01 999 1018.8  12.2  14.4 999.0 99.0 99.00
2005 01 01 21 00 132  1.6  2.8  2.22 12.90  8.79 999 1018.0  12.2  14.5 999.0 99.0 99.00
2005 01 01 22 00 107  1.5  2.3  2.27 13.79  9.23 999 1017.6  12.5  14.5 999.0 99.0 99.00
2005 01 01 23 00  97  1.1  2.0  2.13 13.79  9.28 999 1017.3  13.0  14.5 999.0 99.0 99.00
2005 01 02 00 00 142  1.5  2.6  2.09 12.90  9.02 999 1017.2  12.8  14.5 999.0 99.0 99.00
2005 01 02 01 00 123  1.5  3.2  2.31 12.90  9.58 999 1017.2  12.5  14.4 999.0 99.0 99.00
2005 01 02 02 00 145  2.1  3.6  2.15 12.90  9.14 999 1017.3  12.5  14.4 999.0 99.0 99.00
2005 01 02 03 00 200  1.6  2.2  2.35 12.12  9.42 999 1017.5  12.6  14.3 999.0 99.0 99.00
2005 01 02 04 00 186  2.0  3.0  2.39 12.12  9.32 999 1017.6  12.7  14.3 999.0 99.0 99.00
2005 01 02 05 00 207  2.0  3.1  2.66 12.12  9.29 999 1017.9  12.9  14.4 999.0 99.0 99.00
2005 01 02 06 00 223  1.7  3.0  2.63 12.12  9.35 999 1017.8  13.1  14.4 999.0 99.0 99.00
2005 01 02 07 00 218  1.6  2.9  2.43 12.12  8.80 999 1017.7  13.2  14.5 999.0 99.0 99.00
2005 01 02 08 00 233  2.2  3.1  2.95 12.12  9.19 999 1017.5  13.3  14.5 999.0 99.0 99.00
2005 01 02 09 00 225  2.4  3.2  2.70 11.43  8.73 999 1017.2  13.4  14.6 999.0 99.0 99.00
2005 01 02 10 00 284  6.7  8.0  2.63 12.12  8.71 999 1016.8  11.8  14.6 999.0 99.0 99.00
2005 01 02 11 00 303  3.8  4.9 99.00 99.00 99.00 999 1016.7  12.2 999.0 999.0 99.0 99.00
2005 01 02 12 00 308  3.7  5.0 99.00 99.00 99.00 999 1016.2  12.3  14.6 999.0 99.0 99.00
2005 01 02 13 00 277  2.7  3.9  2.64 11.43  8.77 999 1015.8  12.4  14.6 999.0 99.0 99.00
2005 01 02 14 00 248  1.2  2.1  2.36 11.43  8.59 999 1015.7  12.5  14.6 999.0 99.0 99.00
2005 01 02 15 00 246  2.4  3.0  2.03 12.12  8.37 999 1015.6  12.5  14.6 999.0 99.0 99.00
2005 01 02 16 00 228  2.3  3.5  2.11 10.81  8.77 999 1015.8  12.8  14.5 999.0 99.0 99.00
2005 01 02 17 00 233  2.3  3.3  1.96 12.12  8.62 999 1016.2  13.1  14.4 999.0 99.0 99.00
2005 01 02 18 00 216  3.0  4.1  1.99 12.12  8.98 999 1016.5  13.3  14.4 999.0 99.0 99.00
2005 01 02 19 00 209  4.7  5.5  1.83 12.12  8.63 999 1016.1  13.6  14.5 999.0 99.0 99.00
2005 01 02 20 00 196  6.1  7.4  1.89 12.12  8.69 999 1015.1  13.3  14.5 999.0 99.0 99.00
2005 01 02 21 00 203  6.0  7.2  1.90 12.12  8.31 999 1014.2  13.2  14.5 999.0 99.0 99.00
2005 01 02 22 00 188  5.2  6.9  1.68 12.12  7.41 999 1013.6  12.0  14.4 999.0 99.0 99.00
2005 01 02 23 00 204  5.4  6.6  1.92 12.12  8.09 999 1013.1  13.3  14.4 999.0 99.0 99.00
2005 01 03 00 00 221  5.5  6.5  1.86 12.12  7.47 999 1013.0  13.4  14.4 999.0 99.0 99.00
2005 01 03 01 00 197  5.4  6.3  1.81 12.12  7.51 999 1013.0  12.6  14.5 999.0 99.0 99.00
